original_text,perturbed_text,label
"Singapore govt extends third-party war risk [[insurance]] SINGAPORE : The government is extending third-party war risk insurance cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore [[Airlines]] group.","Singapore govt extends third-party war risk [[insurCance]] SINGAPORE : The government is extending third-party war risk insurance cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore [[irlines]] group.",2
"[[Sun]] to shine spotlight on new operating system, [[Solaris]] [[10]] [[Sun]] [[Microsystems]] SUNW is [[expected]] to [[release]] a new [[version]] of its operating system today - a big part of the struggling computer maker #39;s [[plan]] to [[save]] itself.","[[Su]] to shine spotlight on new operating system, [[Soaris]] [[Q10]] [[Sn]] [[Midrosystems]] SUNW is [[expcted]] to [[Lelease]] a new [[hersion]] of its operating system today - a big part of the struggling computer maker #39;s [[plac]] to [[sve]] itself.",3
Govt. to [[Test]] New Air Passenger [[Screening]] Program The US government unveiled plans on Thursday for a revised [[computer-based]] program using personal information to identify airline [[passengers]] who may pose a threat to air [[travel]].,Govt. to [[est]] New Air Passenger [[Sceening]] Program The US government unveiled plans on Thursday for a revised [[compuKer-based]] program using personal information to identify airline [[passegners]] who may pose a threat to air [[tavel]].,3
[[Sun's]] [[Looking]] [[Glass]] [[Provides]] [[3D]] [[View]] [[Developers]] [[get]] early [[code]] for new [[operating]] [[system]] '[[skin']] still being [[crafted]].,[[Suns]] [[LooIing]] [[Galss]] [[Provide]] [[D]] [[Vie]] [[Dveelopers]] [[gee]] early [[cde]] for new [[oZerating]] [[sytsem]] '[[ski']] still being [[crwfted]].,3
"Anniversary remembered on [[game]] day [[When]] the attacks came on [[Sept]]. 11, 2001, Tom O'Brien, if only for a moment, stopped being Boston College's coach. On that day, as the World Trade Center and Pentagon smoldered and the world stood still, O'Brien was a Navy man.","Anniversary remembered on [[gTme]] day [[Wgen]] the attacks came on [[SepL]]. 11, 2001, Tom O'Brien, if only for a moment, stopped being Boston College's coach. On that day, as the World Trade Center and Pentagon smoldered and the world stood still, O'Brien was a Navy man.",1
"[[Viacom]], Disney pay \$1.5M FCC fine Disney and Viacom agreed to a fine of \$1.5 million from the Federal Communications Commission over claims their children #[[39]];s [[cable]] [[television]] [[networks]] violated advertising [[restrictions]], the [[FCC]] said Thursday.","[[iacom]], Disney pay \$1.5M FCC fine Disney and Viacom agreed to a fine of \$1.5 million from the Federal Communications Commission over claims their children #[[3p9]];s [[cabe]] [[televisioin]] [[networsk]] violated advertising [[restricions]], the [[fFCC]] said Thursday.",2
[[Athens]] - a \$12bn bill THE world sighed with relief when Greeks kept their promise to deliver some of the world #39;s finest sport [[venues]] in time for the [[Athens]] [[Olympics]].,[[Afhens]] - a \$12bn bill THE world sighed with relief when Greeks kept their promise to deliver some of the world #39;s finest sport [[vaenues]] in time for the [[Athes]] [[Olypics]].,1
"Alleged U.S. [[Deserter]] [[Set]] to [[Surrender]] [[TOKYO]] - [[Accused]] U.S. Army deserter [[Charles]] [[Jenkins]] [[left]] his [[Tokyo]] [[hospital]] for an American [[military]] base to [[surrender]] to [[military]] authorities [[Saturday]], nearly 40 years after he allegedly defected to North Korea...","Alleged U.S. [[eserter]] [[Jet]] to [[Surrkender]] [[TOKOY]] - [[AccusZd]] U.S. Army deserter [[CQharles]] [[JHenkins]] [[lejt]] his [[Tokoy]] [[hopital]] for an American [[miliAtary]] base to [[srrender]] to [[miltiary]] authorities [[Saturay]], nearly 40 years after he allegedly defected to North Korea...",0
"Taking [[Advantage]] of the Terminally Stupid [[Would]] you pay \$4 for something that, at [[best]], is worth a dime? Concord Communications [[shareholders]] would.","Taking [[Avdantage]] of the Terminally Stupid [[WouEd]] you pay \$4 for something that, at [[besy]], is worth a dime? Concord Communications [[shaeholders]] would.",2
"3 [[Former]] [[Enron]] [[Executives]] to Share a Trial Kenneth [[Lay]], a [[founder]] of the [[Enron]] [[Corporation]], will get two [[criminal]] trials - [[one]] by himself and [[one]] with his former protg, Jeffrey [[Skilling]], a judge [[ruled]] [[Tuesday]].","3 [[Foremr]] [[Etron]] [[Executive]] to Share a Trial Kenneth [[La]], a [[Efounder]] of the [[Eron]] [[Corrporation]], will get two [[crimnal]] trials - [[on]] by himself and [[noe]] with his former protg, Jeffrey [[Skyilling]], a judge [[ruld]] [[Tueesday]].",2
"Students Pay More for Beer Than Books British students [[spend]] about \$1.8 billion on drink every [[year]], nearly three times as much as they cough up for books, a survey released on Monday showed.","Students Pay More for Beer Than Books British students [[sped]] about \$1.8 billion on drink every [[rear]], nearly three times as much as they cough up for books, a survey released on Monday showed.",2
"Report: Global [[warming]] now inevitable The [[Arctic]] Council, an international group of northern nations, [[says]] global [[warming]] will be both a blessing and a curse. [[The]] group #39;s report, four years in the making and set for a Nov.","Report: Global [[waring]] now inevitable The [[rActic]] Council, an international group of northern nations, [[asys]] global [[wariing]] will be both a blessing and a curse. [[TAe]] group #39;s report, four years in the making and set for a Nov.",3
"[[Project]] Megagrid shows off business side of [[grid]] Hoping to prove that [[grid]] [[computing]] can [[work]] in the business [[world]], Dell, [[EMC]], Intel and Oracle have [[announced]] a [[joint]] [[effort]] [[designed]] to show [[business]] [[users]] how to use the distributed computing technology.","[[Projkect]] Megagrid shows off business side of [[grind]] Hoping to prove that [[grd]] [[compting]] can [[wokr]] in the business [[wordl]], Dell, [[MEC]], Intel and Oracle have [[annoucned]] a [[joiOt]] [[efzfort]] [[desined]] to show [[bsuiness]] [[uses]] how to use the distributed computing technology.",3
EU Move on Cyprus [[Eases]] [[Way]] for Turkey Deal  BRUSSELS (Reuters) - [[The]] European [[Union]] and Turkey [[inched]]  toward a historic agreement on [[starting]] [[membership]] [[talks]] on  [[Friday]] as [[EU]] [[leaders]] [[softened]] their [[demands]] on the [[crucial]]  [[sticking]] [[point]] of [[Cyprus]].,EU Move on Cyprus [[Ease]] [[ay]] for Turkey Deal  BRUSSELS (Reuters) - [[Te]] European [[UIion]] and Turkey [[inchd]]  toward a historic agreement on [[startign]] [[membrship]] [[talFs]] on  [[rFiday]] as [[EW]] [[leadeys]] [[softtned]] their [[demandI]] on the [[cruical]]  [[stickSing]] [[roint]] of [[CypruKs]].,0
"[[HP]] [[Unveils]] [[Cavalcade]] of Consumer Products ([[PC]] [[World]]) [[PC]] [[World]] - First [[TVs]], new [[printers]], long-lasting inks, and projectors are targeted\ at living room and office.","[[P]] [[Unviels]] [[Caalcade]] of Consumer Products ([[PuC]] [[orld]]) [[C]] [[WorOld]] - First [[Vs]], new [[prnters]], long-lasting inks, and projectors are targeted\ at living room and office.",3
"[[Study]]: Wrecks Jump 3 Days After Terrorism Fatal traffic accidents increase sharply in Israel on the third day after a terrorist attack, and [[researchers]] are searching for an explanation why.","[[Sutdy]]: Wrecks Jump 3 Days After Terrorism Fatal traffic accidents increase sharply in Israel on the third day after a terrorist attack, and [[rseearchers]] are searching for an explanation why.",3
"Mother of Jackson Accuser Testifies SANTA [[MARIA]], Calif. - The mother of the [[boy]] accusing [[Michael]] [[Jackson]] of [[molestation]] testified Friday she does not remember a private [[investigator]] telling her that he was working for [[one]] of the pop [[star's]] [[attorneys]], but believed he worked directly for the singer...","Mother of Jackson Accuser Testifies SANTA [[MoRIA]], Calif. - The mother of the [[bo]] accusing [[Mihcael]] [[Jckson]] of [[molesZation]] testified Friday she does not remember a private [[investiagtor]] telling her that he was working for [[Bone]] of the pop [[sta's]] [[atorneys]], but believed he worked directly for the singer...",0
"New Ivory Coast Violence Shatters French Connection Chanting  quot;We want the French! quot; a crowd of armed and angry young men swept past La Planta, a club [[owned]] by an Ivorian. They started to attack the nearby Byblos ","New Ivory Coast Violence Shatters French Connection Chanting  quot;We want the French! quot; a crowd of armed and angry young men swept past La Planta, a club [[owed]] by an Ivorian. They started to attack the nearby Byblos ",0
"SICK KIDS VS. [[DISNEY]] IN  #39;PETER PAN #39; DUSTUP It #39;s a story that would make Peter Pan glad that he never grew up. Walt [[Disney]] Co. is caught in a feud with a UK children #39;s hospital over the copyright to JM Barrie #39;s classic novel,  quot;Peter Pan.","SICK KIDS VS. [[ISNEY]] IN  #39;PETER PAN #39; DUSTUP It #39;s a story that would make Peter Pan glad that he never grew up. Walt [[Diney]] Co. is caught in a feud with a UK children #39;s hospital over the copyright to JM Barrie #39;s classic novel,  quot;Peter Pan.",2
