original_text,perturbed_text,label
"Singapore govt extends third-party war risk insurance SINGAPORE : The government is extending third-party war risk insurance cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore [[Airlines]] group.","Singapore govt extends third-party war risk insurance SINGAPORE : The government is extending third-party war risk insurance cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore [[airway]] group.",2
"Mills Grabs \$1B Portfolio; Taubman [[Likely]] to [[Lose]] [[Contracts]] [[Mills]] [[Corp]]. [[agreed]] to purchase a [[50]] [[percent]] [[interest]] in [[nine]] [[malls]] [[owned]] by [[General]] Motors [[Asset]] [[Management]] [[Corp]]. for just over \$[[1]] [[billion]], [[creating]] a [[new]] [[joint]] venture between the [[groups]]. The [[deal]] will [[extend]] ...","Mills Grabs \$1B Portfolio; Taubman [[potential]] to [[lose]] [[press]] [[grind]] [[corp]]. [[fit]] to purchase a [[fifty]] [[percentage]] [[involvement]] in [[club]] [[plaza]] [[own]] by [[worldwide]] Motors [[plus]] [[management]] [[corporation]]. for just over \$[[i]] [[1000000000]], [[create]] a [[novel]] [[join]] venture between the [[group]]. The [[stack]] will [[gallop]] ...",2
"[[Sun]] to [[shine]] spotlight on new [[operating]] [[system]], Solaris [[10]] Sun Microsystems SUNW is expected to [[release]] a [[new]] [[version]] of its [[operating]] [[system]] today - a [[big]] [[part]] of the [[struggling]] computer maker #39;s plan to [[save]] itself.","[[insolate]] to [[fall]] spotlight on new [[maneuver]] [[organization]], Solaris [[X]] Sun Microsystems SUNW is expected to [[exit]] a [[New]] [[reading]] of its [[operational]] [[organization]] today - a [[grown]] [[voice]] of the [[contend]] computer maker #39;s plan to [[keep]] itself.",3
"[[Fed]] [[Cup]] all [[tied]] up FRANCE #39;S Russian-born Tatiana Golovin [[left]] the Fed Cup final [[hanging]] in the [[balance]] today as she [[beat]] [[Russia]] #39;s US [[Open]] [[champion]] Svetlana Kuznetsova 6-4, 6-1 to [[level]] the tie at 2-2 and take it to the final doubles match.","[[Federal]] [[transfuse]] all [[bond]] up FRANCE #39;S Russian-born Tatiana Golovin [[forget]] the Fed Cup final [[flow]] in the [[residual]] today as she [[measure]] [[USSR]] #39;s US [[undefended]] [[wiz]] Svetlana Kuznetsova 6-4, 6-1 to [[grade]] the tie at 2-2 and take it to the final doubles match.",1
[[President]] Hu congratulates Sihamoni on [[becoming]] [[king]] of [[Cambodia]] [[Chinese]] [[President]] Hu Jintao [[sent]] a [[message]] to Norodom Sihamoni on [[Thursday]] to [[congratulate]] him on his election as the [[king]] of [[Cambodia]].,[[chair]] Hu congratulates Sihamoni on [[get]] [[world-beater]] of [[Kampuchea]] [[Formosan]] [[chair]] Hu Jintao [[commit]] a [[substance]] to Norodom Sihamoni on [[Th]] to [[pride]] him on his election as the [[Rex]] of [[Kampuchea]].,0
Govt. to [[Test]] [[New]] [[Air]] [[Passenger]] Screening [[Program]] The [[US]] [[government]] [[unveiled]] plans on Thursday for a revised computer-based [[program]] [[using]] personal information to [[identify]] airline [[passengers]] who [[may]] [[pose]] a [[threat]] to [[air]] [[travel]].,Govt. to [[prove]] [[newly]] [[publicise]] [[passenger]] Screening [[broadcast]] The [[America]] [[regime]] [[reveal]] plans on Thursday for a revised computer-based [[plan]] [[use]] personal information to [[name]] airline [[rider]] who [[May]] [[stupefy]] a [[scourge]] to [[aviation]] [[jaunt]].,3
Oil Prices [[Set]] a [[New]] [[Record]] Above \$50  [[SINGAPORE]] (Reuters) - [[Oil]] [[prices]] [[set]] a [[new]] [[record]] above \$50  a [[barrel]] on Tuesday as a [[prolonged]] [[U]].S. [[production]] outage  following Hurricane Ivan attracted [[fresh]] [[speculative]] [[buying]].,Oil Prices [[readiness]] a [[Modern]] [[disk]] Above \$50  [[Singapore]] (Reuters) - [[embrocate]] [[cost]] [[determined]] a [[raw]] [[disk]] above \$50  a [[drum]] on Tuesday as a [[drawn-out]] [[uranium]].S. [[product]] outage  following Hurricane Ivan attracted [[smart]] [[wondering]] [[purchasing]].,2
Sun's [[Looking]] [[Glass]] [[Provides]] [[3D]] [[View]] Developers [[get]] early [[code]] for [[new]] [[operating]] [[system]] 'skin' [[still]] being crafted.,Sun's [[bet]] [[glassful]] [[provide]] [[three-D]] [[see]] Developers [[stimulate]] early [[inscribe]] for [[fresh]] [[manoeuvre]] [[scheme]] 'skin' [[stock-still]] being crafted.,3
"[[US]] [[suspends]] helicopter flights after [[Japan]] [[crash]] (AFP) AFP - The [[United]] [[States]] [[suspended]] [[flights]] of CH-53D military [[helicopters]] in Japan, [[bowing]] to [[protests]] over a [[crash]] in an Okinawa university campus.","[[uranium]] [[freeze]] helicopter flights after [[Nippon]] [[clangoring]] (AFP) AFP - The [[connect]] [[posit]] [[freeze]] [[escape]] of CH-53D military [[whirlybird]] in Japan, [[bend]] to [[resist]] over a [[clang]] in an Okinawa university campus.",0
"Anniversary remembered on [[game]] day When the attacks came on Sept. 11, 2001, Tom O'Brien, if only for a moment, stopped being Boston College's coach. On that day, as the World Trade Center and Pentagon smoldered and the world stood still, O'Brien was a Navy man.","Anniversary remembered on [[gimpy]] day When the attacks came on Sept. 11, 2001, Tom O'Brien, if only for a moment, stopped being Boston College's coach. On that day, as the World Trade Center and Pentagon smoldered and the world stood still, O'Brien was a Navy man.",1
