original_text,perturbed_text,label
"Singapore govt [[extends]] third-party war risk [[insurance]] SINGAPORE : The government is extending third-party war risk [[insurance]] cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore Airlines group.","Singapore govt [[gallop]] third-party war risk [[indemnity]] SINGAPORE : The government is extending third-party war risk [[indemnity]] cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore Airlines group.",2
"Afghans rocky road to historic elections KALAKAN, Afghanistan [[There]] were toothless [[old]] [[men]], turbaned and gray-bearded, and [[young]] [[men]] not [[yet]] [[old]] [[enough]] to shave. There were mullahs and mujahedeen, and the presidential candidate #39;s 3-year-old son.","Afghans rocky road to historic elections KALAKAN, Afghanistan [[thither]] were toothless [[honest-to-goodness]] [[humankind]], turbaned and gray-bearded, and [[immature]] [[humans]] not [[hitherto]] [[honest-to-goodness]] [[adequate]] to shave. There were mullahs and mujahedeen, and the presidential candidate #39;s 3-year-old son.",0
[[Oil]] Prices [[Set]] a [[New]] [[Record]] [[Above]] \$[[50]]  [[SINGAPORE]] (Reuters) - [[Oil]] prices [[set]] a [[new]] [[record]] above \$[[50]]  a [[barrel]] on Tuesday as a prolonged [[U]].[[S]]. production outage  [[following]] Hurricane Ivan [[attracted]] [[fresh]] [[speculative]] [[buying]].,[[crude]] Prices [[plant]] a [[raw]] [[disk]] [[supra]] \$[[fifty]]  [[Singapore]] (Reuters) - [[crude]] prices [[specify]] a [[raw]] [[disk]] above \$[[fifty]]  a [[drum]] on Tuesday as a prolonged [[uranium]].[[sulfur]]. production outage  [[comply]] Hurricane Ivan [[appeal]] [[sassy]] [[wondering]] [[corrupt]].,2
Sun's [[Looking]] [[Glass]] [[Provides]] [[3D]] [[View]] Developers [[get]] [[early]] [[code]] for new [[operating]] [[system]] 'skin' [[still]] being crafted.,Sun's [[bet]] [[glaze]] [[leave]] [[three-D]] [[position]] Developers [[sire]] [[former]] [[encrypt]] for new [[manoeuver]] [[organization]] 'skin' [[stock-still]] being crafted.,3
"Phelps Seeks [[More]] [[Gold]] at [[World]] [[Championships]]  INDIANAPOLIS (Reuters) - [[Still]] [[riding]] a wave of [[euphoria]]  from the [[Olympics]], Michael Phelps [[returns]] to the [[pool]] this [[week]]  at the [[world]] [[short]] [[course]] [[swimming]] [[championships]] seeking a  [[repeat]] of his [[six]] [[gold]] [[medals]] in Athens.","Phelps Seeks [[more]] [[Au]] at [[global]] [[backing]]  INDIANAPOLIS (Reuters) - [[distillery]] [[mount]] a wave of [[euphory]]  from the [[Olympiad]], Michael Phelps [[generate]] to the [[puddle]] this [[workweek]]  at the [[humanity]] [[light]] [[naturally]] [[float]] [[backing]] seeking a  [[ingeminate]] of his [[6]] [[amber]] [[ribbon]] in Athens.",1
"[[US]] suspends [[helicopter]] flights after [[Japan]] [[crash]] (AFP) AFP - The United States suspended flights of CH-53D military [[helicopters]] in [[Japan]], bowing to protests over a [[crash]] in an Okinawa university campus.","[[uracil]] suspends [[whirlybird]] flights after [[Nihon]] [[doss]] (AFP) AFP - The United States suspended flights of CH-53D military [[whirlybird]] in [[Nippon]], bowing to protests over a [[wreck]] in an Okinawa university campus.",0
"Anniversary remembered on [[game]] day When the attacks came on Sept. 11, 2001, Tom O'Brien, if only for a moment, stopped being Boston College's [[coach]]. On that day, as the World Trade [[Center]] and Pentagon smoldered and the world stood still, O'Brien was a Navy man.","Anniversary remembered on [[halting]] day When the attacks came on Sept. 11, 2001, Tom O'Brien, if only for a moment, stopped being Boston College's [[train]]. On that day, as the World Trade [[centre]] and Pentagon smoldered and the world stood still, O'Brien was a Navy man.",1
"Viacom, Disney pay \$1.5M FCC fine Disney and Viacom agreed to a fine of \$1.5 million from the Federal Communications [[Commission]] over claims their children #39;s cable [[television]] networks violated advertising restrictions, the FCC said Thursday.","Viacom, Disney pay \$1.5M FCC fine Disney and Viacom agreed to a fine of \$1.5 million from the Federal Communications [[deputation]] over claims their children #39;s cable [[video]] networks violated advertising restrictions, the FCC said Thursday.",2
"[[Restive]] Maldives [[eases]] curfew after [[rounding]] up [[dissidents]] (AFP) AFP - [[A]] curfew in the capital of the Maldives was [[eased]] but parliament sessions were put off indefinitely and emergency [[rule]] [[continued]] [[following]] last week's [[riots]], officials and [[residents]] [[said]].","[[edgy]] Maldives [[EAS]] curfew after [[labialize]] up [[contestant]] (AFP) AFP - [[axerophthol]] curfew in the capital of the Maldives was [[ease]] but parliament sessions were put off indefinitely and emergency [[formula]] [[keep]] [[espouse]] last week's [[sidesplitter]], officials and [[occupant]] [[allege]].",0
"[[Hostages]] [[plight]] [[clouds]] [[meeting]] of Blairs [[party]] BRIGHTON, England The annual conference of [[Prime]] [[Minister]] Tony Blair #39;s [[Labour]] Party [[opened]] here Monday under the pall of the war in [[Iraq]], as the [[fate]] of the [[British]] [[hostage]] Ken Bigley remained uncertain amid [[fresh]] [[appeals]] for his [[release]] from family ","[[surety]] [[engage]] [[fog]] [[match]] of Blairs [[company]] BRIGHTON, England The annual conference of [[premier]] [[pastor]] Tony Blair #39;s [[Labor]] Party [[open]] here Monday under the pall of the war in [[Irak]], as the [[portion]] of the [[Brits]] [[surety]] Ken Bigley remained uncertain amid [[clean]] [[appealingness]] for his [[handout]] from family ",0
