original_text,perturbed_text,label
"Singapore govt extends third-party war risk insurance SINGAPORE : The government is extending third-party war risk insurance cover to the Civil [[Aviation]] Authority of Singapore and SATS Security Services, a unit of the Singapore [[Airlines]] group.","Singapore govt extends third-party war risk insurance SINGAPORE : The government is extending third-party war risk insurance cover to the Civil [[Aviatoin]] Authority of Singapore and SATS Security Services, a unit of the Singapore [[Aiⲅlines]] group.",2
"[[Fed]] [[Cup]] all [[tied]] up FRANCE #39;S [[Russian-born]] [[Tatiana]] Golovin left the Fed Cup [[final]] hanging in the balance today as she [[beat]] [[Russia]] #39;s US [[Open]] champion Svetlana [[Kuznetsova]] [[6-4]], [[6-1]] to level the tie at 2-2 and take it to the final doubles match.","[[Feԁ]] [[Cuр]] all [[ted]] up FRANCE #39;S [[Russian-borո]] [[Tatana]] Golovin left the Fed Cup [[f]] [[inal]] hanging in the balance today as she [[bea𝚝]] [[Rսssia]] #39;s US [[Opeո]] champion Svetlana [[Kuzn]] [[etsova]] [[6-Ꮞ]], [[6]] -[[1]] to level the tie at 2-2 and take it to the final doubles match.",1
Today in [[Athens]] Leontien Zijlaard-van Moorsel of the Netherlands wipes a [[tear]] after winning the gold medal in the women #[[39]];s road [[cycling]] individual time [[trial]] at the Vouliagmeni Olympic Centre in Athens on Wednesday. ,Today in [[Athenѕ]] Leontien Zijlaard-van Moorsel of the Netherlands wipes a [[ter]] after winning the gold medal in the women #[[Ʒ9]];s road [[cyling]] individual time [[𝚝rial]] at the Vouliagmeni Olympic Centre in Athens on Wednesday. ,1
President Hu congratulates Sihamoni on becoming king of [[Cambodia]] [[Chinese]] President Hu Jintao sent a message to Norodom Sihamoni on Thursday to congratulate him on his [[election]] as the king of Cambodia.,President Hu congratulates Sihamoni on becoming king of [[Cɑmbodia]] [[Chinеse]] President Hu Jintao sent a message to Norodom Sihamoni on Thursday to congratulate him on his [[еlection]] as the king of Cambodia.,0
"[[Afghans]] rocky [[road]] to historic elections KALAKAN, Afghanistan There were toothless old men, [[turbaned]] and [[gray-bearded]], and young men not yet old enough to shave. There were [[mullahs]] and [[mujahedeen]], and the presidential candidate #39;s 3-year-old son.","[[Afghanѕ]] rocky [[roaԁ]] to historic elections KALAKAN, Afghanistan There were toothless old men, [[turbned]] and [[gray-beardeԁ]], and young men not yet old enough to shave. There were [[mullhas]] and [[mujaheԁeen]], and the presidential candidate #39;s 3-year-old son.",0
"US [[suspends]] helicopter flights after Japan crash (AFP) [[AFP]] - The [[United]] States suspended flights of CH-53D military helicopters in [[Japan]], bowing to protests over a crash in an [[Okinawa]] [[university]] campus.","US [[susрends]] helicopter flights after Japan crash (AFP) [[A]] [[FP]] - The [[Uniteԁ]] States suspended flights of CH-53D military helicopters in [[Jpaan]], bowing to protests over a crash in an [[Okiawa]] [[universi𝚝y]] campus.",0
"Anniversary remembered on [[game]] day When the attacks came on Sept. 11, 2001, Tom O'Brien, if only for a moment, stopped being [[Boston]] College's coach. On that day, as the World Trade Center and Pentagon smoldered and the world stood still, O'Brien was a Navy man.","Anniversary remembered on [[gmae]] day When the attacks came on Sept. 11, 2001, Tom O'Brien, if only for a moment, stopped being [[Bos𝚝on]] College's coach. On that day, as the World Trade Center and Pentagon smoldered and the world stood still, O'Brien was a Navy man.",1
"[[Viacom]], Disney pay \$1.5M FCC fine [[Disney]] and [[Viacom]] agreed to a fine of \$1.5 million from the Federal Communications Commission over claims their children #39;s cable [[television]] networks violated [[advertising]] restrictions, the FCC said Thursday.","[[Viɑcom]], Disney pay \$1.5M FCC fine [[Diѕney]] and [[Vicom]] agreed to a fine of \$1.5 million from the Federal Communications Commission over claims their children #39;s cable [[televisioո]] networks violated [[advertiisng]] restrictions, the FCC said Thursday.",2
Pfizer Sends Out Update On [[Drug]] Bextra Pfizer Inc. said Friday that it will provide health-care professionals with additional information about its Bextra [[arthritis]] [[drug]] and that it will conduct further studies to confirm the [[drug]] #39;s long-term cardiovascular safety record.,Pfizer Sends Out Update On [[Durg]] Bextra Pfizer Inc. said Friday that it will provide health-care professionals with additional information about its Bextra [[arthritiѕ]] [[dⲅug]] and that it will conduct further studies to confirm the [[dⲅug]] #39;s long-term cardiovascular safety record.,2
"[[Sun]] to shine spotlight on new operating system, [[Solaris]] 10 Sun Microsystems SUNW is expected to release a new version of its operating system today - a big part of the struggling computer maker #39;s plan to save itself.","[[Sn]] to shine spotlight on new operating system, [[Solariѕ]] 10 Sun Microsystems SUNW is expected to release a new version of its operating system today - a big part of the struggling computer maker #39;s plan to save itself.",3
