original_text,perturbed_text,label
"Singapore govt extends third-party war risk insurance SINGAPORE : The government is extending third-party war risk insurance cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore [[Airlines]] group.","Singapore govt extends third-party war risk insurance SINGAPORE : The government is extending third-party war risk insurance cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore [[Airlineѕ]] group.",2
"Fed [[Cup]] all tied up FRANCE #[[39]];S [[Russian-born]] Tatiana [[Golovin]] left the Fed [[Cup]] [[final]] hanging in the balance [[today]] as she beat Russia #39;s US Open champion [[Svetlana]] Kuznetsova [[6-4]], [[6-1]] to level the tie at [[2-2]] and take it to the final doubles match.","Fed [[Cp]] all tied up FRANCE #[[3৭]];S [[Rssian-born]] Tatiana [[Glovin]] left the Fed [[Cսp]] [[finaⅼ]] hanging in the balance [[toԁay]] as she beat Russia #39;s US Open champion [[Sveltana]] Kuznetsova [[б-4]], [[б-1]] to level the tie at [[ᒿ-2]] and take it to the final doubles match.",1
Today in Athens Leontien [[Zijlaard-van]] Moorsel of the Netherlands wipes a tear after winning the gold medal in the women #39;s road cycling [[individual]] [[time]] [[trial]] at the Vouliagmeni [[Olympic]] Centre in Athens on [[Wednesday]]. ,Today in Athens Leontien [[Zijalard-van]] Moorsel of the Netherlands wipes a tear after winning the gold medal in the women #39;s road cycling [[individuaⅼ]] [[𝚝ime]] [[trail]] at the Vouliagmeni [[Olympiϲ]] Centre in Athens on [[Wednesԁay]]. ,1
President Hu congratulates Sihamoni on becoming king of [[Cambodia]] Chinese President Hu Jintao sent a message to Norodom Sihamoni on Thursday to congratulate him on his [[election]] as the king of Cambodia.,President Hu congratulates Sihamoni on becoming king of [[Cɑmbodia]] Chinese President Hu Jintao sent a message to Norodom Sihamoni on Thursday to congratulate him on his [[еlection]] as the king of Cambodia.,0
Oil Prices Set a [[New]] Record Above \$50  SINGAPORE ([[Reuters]]) - Oil prices set a [[new]] record above \$50  a barrel on Tuesday as a prolonged U.S. production outage  following Hurricane Ivan [[attracted]] [[fresh]] speculative buying.,Oil Prices Set a [[Nw]] Record Above \$50  SINGAPORE ([[Reutrs]]) - Oil prices set a [[nw]] record above \$50  a barrel on Tuesday as a prolonged U.S. production outage  following Hurricane Ivan [[ɑttracted]] [[frsh]] speculative buying.,2
"US suspends [[helicopter]] flights after Japan crash (AFP) AFP - The United States suspended flights of CH-53D military helicopters in Japan, bowing to protests over a crash in an [[Okinawa]] university campus.","US suspends [[hleicopter]] flights after Japan crash (AFP) AFP - The United States suspended flights of CH-53D military helicopters in Japan, bowing to protests over a crash in an [[Okinawɑ]] university campus.",0
"Anniversary remembered on game day When the attacks came on Sept. 11, 2001, Tom O'Brien, if only for a moment, stopped being Boston [[College's]] coach. On that day, as the World Trade Center and Pentagon smoldered and the world stood still, O'Brien was a Navy man.","Anniversary remembered on game day When the attacks came on Sept. 11, 2001, Tom O'Brien, if only for a moment, stopped being Boston [[College'ѕ]] coach. On that day, as the World Trade Center and Pentagon smoldered and the world stood still, O'Brien was a Navy man.",1
"Phelps [[Seeks]] More Gold at World Championships  [[INDIANAPOLIS]] (Reuters) - Still riding a wave of euphoria  from the Olympics, Michael Phelps returns to the [[pool]] this [[week]]  at the world short [[course]] [[swimming]] [[championships]] [[seeking]] a  repeat of his [[six]] gold medals in [[Athens]].","Phelps [[Seekѕ]] More Gold at World Championships  [[INDIANPOLIS]] (Reuters) - Still riding a wave of euphoria  from the Olympics, Michael Phelps returns to the [[pooⅼ]] this [[wee𝒌]]  at the world short [[courѕe]] [[swimｍing]] [[championshipѕ]] [[see𝒌ing]] a  repeat of his [[ѕix]] gold medals in [[Athenѕ]].",1
"Viacom, Disney pay \$1.5M FCC fine Disney and Viacom agreed to a fine of \$1.5 million from the Federal Communications Commission over claims their children #39;s cable television networks violated advertising restrictions, the FCC said [[Thursday]].","Viacom, Disney pay \$1.5M FCC fine Disney and Viacom agreed to a fine of \$1.5 million from the Federal Communications Commission over claims their children #39;s cable television networks violated advertising restrictions, the FCC said [[Thurѕday]].",2
Pfizer Sends Out Update On Drug Bextra Pfizer Inc. said [[Friday]] that it will provide health-care [[professionals]] with additional information about its [[Bextra]] arthritis drug and that it will conduct further studies to confirm the drug #[[39]];s long-term [[cardiovascular]] safety record.,Pfizer Sends Out Update On Drug Bextra Pfizer Inc. said [[Friԁay]] that it will provide health-care [[profession]] [[als]] with additional information about its [[Be×tra]] arthritis drug and that it will conduct further studies to confirm the drug #[[3৭]];s long-term [[cardiovasculɑr]] safety record.,2
