original_text,perturbed_text,label
"Singapore govt extends third-party war risk [[insurance]] SINGAPORE : The government is extending third-party war risk [[insurance]] cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore Airlines group.","Singapore govt extends third-party war risk [[security]] SINGAPORE : The government is extending third-party war risk [[assurances]] cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore Airlines group.",2
"[[Mills]] Grabs \$1B Portfolio; Taubman [[Likely]] to [[Lose]] [[Contracts]] [[Mills]] Corp. [[agreed]] to purchase a 50 [[percent]] [[interest]] in nine malls owned by [[General]] [[Motors]] Asset Management [[Corp]]. for just over \$1 billion, creating a new joint venture between the groups. The deal will extend ...","[[Flora]] Grabs \$1B Portfolio; Taubman [[Hazards]] to [[Waste]] [[Procurement]] [[Vegetation]] Corp. [[recognised]] to purchase a 50 [[phosphorus]] [[importance]] in nine malls owned by [[Gerais]] [[Motorised]] Asset Management [[Companies]]. for just over \$1 billion, creating a new joint venture between the groups. The deal will extend ...",2
"[[Sun]] to [[shine]] [[spotlight]] on new operating [[system]], [[Solaris]] 10 [[Sun]] Microsystems SUNW is expected to [[release]] a [[new]] [[version]] of its operating system today - a big part of the struggling computer maker #39;s plan to save itself.","[[Sunshine]] to [[glossy]] [[centered]] on new operating [[plans]], [[Mandrake]] 10 [[Sunshine]] Microsystems SUNW is expected to [[publishes]] a [[ny]] [[print]] of its operating system today - a big part of the struggling computer maker #39;s plan to save itself.",3
"Fed [[Cup]] all [[tied]] up FRANCE #39;S Russian-born [[Tatiana]] Golovin [[left]] the Fed [[Cup]] [[final]] [[hanging]] in the balance [[today]] as she [[beat]] [[Russia]] #39;s US [[Open]] champion Svetlana Kuznetsova 6-4, 6-1 to [[level]] the tie at 2-2 and take it to the final doubles match.","Fed [[Trophy]] all [[tying]] up FRANCE #39;S Russian-born [[Natalie]] Golovin [[leaving]] the Fed [[Goblet]] [[definitive]] [[discontinued]] in the balance [[topical]] as she [[topped]] [[Russe]] #39;s US [[Openings]] champion Svetlana Kuznetsova 6-4, 6-1 to [[grades]] the tie at 2-2 and take it to the final doubles match.",1
"[[Nokia]] announces [[Near]] Field [[Communication]] products [[With]] the [[Nokia]] NFC (Near Field [[Communication]]) shell on their phone, consumers will [[be]] [[able]] to [[access]] a variety of services and exchange [[information]] with a simple [[touch]] gesture.","[[Motorola]] announces [[Foreseeable]] Field [[Disclosure]] products [[At]] the [[Handset]] NFC (Near Field [[Disclosure]]) shell on their phone, consumers will [[become]] [[unable]] to [[accede]] a variety of services and exchange [[endorsements]] with a simple [[impacted]] gesture.",3
Today in Athens Leontien Zijlaard-van Moorsel of the Netherlands [[wipes]] a [[tear]] after [[winning]] the [[gold]] [[medal]] in the [[women]] #39;s [[road]] [[cycling]] [[individual]] time [[trial]] at the Vouliagmeni Olympic [[Centre]] in Athens on [[Wednesday]]. ,Today in Athens Leontien Zijlaard-van Moorsel of the Netherlands [[buffers]] a [[ravaged]] after [[conquer]] the [[kim]] [[decorated]] in the [[hoochie]] #39;s [[tracks]] [[motorcyclists]] [[particular]] time [[justices]] at the Vouliagmeni Olympic [[Stations]] in Athens on [[Sunday]]. ,1
President [[Hu]] [[congratulates]] Sihamoni on [[becoming]] [[king]] of [[Cambodia]] [[Chinese]] President Hu Jintao [[sent]] a [[message]] to Norodom Sihamoni on [[Thursday]] to [[congratulate]] him on his [[election]] as the [[king]] of [[Cambodia]].,President [[Liang]] [[complimented]] Sihamoni on [[acquires]] [[kaiser]] of [[Saigon]] [[Rmb]] President Hu Jintao [[convey]] a [[messaging]] to Norodom Sihamoni on [[Mondays]] to [[saluting]] him on his [[pick]] as the [[kaiser]] of [[Saigon]].,0
"[[Afghans]] [[rocky]] [[road]] to historic elections KALAKAN, [[Afghanistan]] There were toothless old [[men]], turbaned and gray-bearded, and [[young]] [[men]] not yet [[old]] enough to [[shave]]. There were mullahs and mujahedeen, and the [[presidential]] [[candidate]] #39;s 3-year-old son.","[[Bagdad]] [[boulder]] [[trajectories]] to historic elections KALAKAN, [[Afghan]] There were toothless old [[man]], turbaned and gray-bearded, and [[jr]] [[guys]] not yet [[longtime]] enough to [[goatee]]. There were mullahs and mujahedeen, and the [[preside]] [[bidders]] #39;s 3-year-old son.",0
[[Oil]] [[Prices]] Set a New Record Above \$50  SINGAPORE (Reuters) - [[Oil]] [[prices]] [[set]] a new record above \$50  a barrel on [[Tuesday]] as a [[prolonged]] [[U]].[[S]]. production outage  following Hurricane Ivan [[attracted]] fresh speculative [[buying]].,[[Fuel]] [[Costa]] Set a New Record Above \$50  SINGAPORE (Reuters) - [[Refineries]] [[tolling]] [[configuration]] a new record above \$50  a barrel on [[Thu]] as a [[sustainable]] [[xin]].[[ies]]. production outage  following Hurricane Ivan [[sparked]] fresh speculative [[pimping]].,2
Sun's Looking Glass [[Provides]] 3D [[View]] [[Developers]] [[get]] [[early]] [[code]] for new operating system 'skin' still being [[crafted]].,Sun's Looking Glass [[Supply]] 3D [[Belvedere]] [[Decorators]] [[acquire]] [[speedy]] [[encrypted]] for new operating system 'skin' still being [[industrialized]].,3
"Phelps [[Seeks]] [[More]] [[Gold]] at [[World]] [[Championships]]  [[INDIANAPOLIS]] (Reuters) - [[Still]] [[riding]] a [[wave]] of [[euphoria]]  from the [[Olympics]], [[Michael]] Phelps [[returns]] to the [[pool]] this [[week]]  at the [[world]] [[short]] [[course]] swimming championships [[seeking]] a  [[repeat]] of his six gold [[medals]] in [[Athens]].","Phelps [[Wanted]] [[Langer]] [[Golden]] at [[Universal]] [[Starring]]  [[DECATUR]] (Reuters) - [[Alternatively]] [[constituency]] a [[stirring]] of [[rejoicing]]  from the [[Olympiad]], [[Michelle]] Phelps [[repatriate]] to the [[puddles]] this [[zou]]  at the [[planets]] [[little]] [[routing]] swimming championships [[attempts]] a  [[reproduction]] of his six gold [[awards]] in [[Greece]].",1
"US suspends helicopter [[flights]] after [[Japan]] [[crash]] (AFP) AFP - The [[United]] [[States]] suspended flights of CH-53D [[military]] helicopters in [[Japan]], bowing to [[protests]] over a [[crash]] in an [[Okinawa]] university campus.","US suspends helicopter [[airline]] after [[Yen]] [[misadventure]] (AFP) AFP - The [[Standardized]] [[State]] suspended flights of CH-53D [[martial]] helicopters in [[Yens]], bowing to [[demonstrator]] over a [[breakup]] in an [[Fukuoka]] university campus.",0
"Anniversary remembered on [[game]] day When the attacks came on Sept. 11, 2001, Tom O'Brien, if only for a moment, stopped being Boston College's [[coach]]. On that day, as the World Trade Center and Pentagon smoldered and the world stood still, O'Brien was a [[Navy]] [[man]].","Anniversary remembered on [[jeu]] day When the attacks came on Sept. 11, 2001, Tom O'Brien, if only for a moment, stopped being Boston College's [[instructors]]. On that day, as the World Trade Center and Pentagon smoldered and the world stood still, O'Brien was a [[Armies]] [[boy]].",1
"Viacom, Disney pay \$1.5M FCC fine Disney and Viacom agreed to a [[fine]] of \$1.5 million from the [[Federal]] [[Communications]] Commission over claims their children #39;s [[cable]] television [[networks]] violated advertising restrictions, the FCC [[said]] [[Thursday]].","Viacom, Disney pay \$1.5M FCC fine Disney and Viacom agreed to a [[jamil]] of \$1.5 million from the [[Countries]] [[Communicative]] Commission over claims their children #39;s [[yarns]] television [[webs]] violated advertising restrictions, the FCC [[declares]] [[Domingo]].",2
Pfizer Sends Out Update On Drug Bextra Pfizer [[Inc]]. said Friday that it will provide health-care professionals with additional information about its Bextra arthritis drug and that it will conduct further studies to [[confirm]] the [[drug]] #39;s long-term [[cardiovascular]] [[safety]] [[record]].,Pfizer Sends Out Update On Drug Bextra Pfizer [[Serv]]. said Friday that it will provide health-care professionals with additional information about its Bextra arthritis drug and that it will conduct further studies to [[corroboration]] the [[codeine]] #39;s long-term [[cardiac]] [[secure]] [[file]].,2
