original_text,perturbed_text,label
'[[Nonis']] is a [[hybrid]] [[cultivar]] of the [[genus]] Neoregelia in the Bromeliad [[family]].,'[[arabia]] is a [[biennial]] [[flowering]] of the [[band]] Neoregelia in the Bromeliad [[kingdom]].,3
"Les Disques du Crépuscule is an independent [[record]] [[label]] founded in Belgium. The label was founded in 1980 by Michel Duval and Annik Honoré. It also had a prominent associated sublabel, Factory Benelux. Both are now run by former employee James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the label's catalogue numbers being prefixed by the letters TWI.","Les Disques du Crépuscule is an independent [[records]] [[store]] founded in Belgium. The label was founded in 1980 by Michel Duval and Annik Honoré. It also had a prominent associated sublabel, Factory Benelux. Both are now run by former employee James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the label's catalogue numbers being prefixed by the letters TWI.",0
"[[Yisrael]] Beiteinu (Hebrew: יִשְׂרָאֵל [[ב]]ֵּיתֵ[[נו]]ּ‎‎, lit. Israel is Our Home) is a [[secularist]] and right-wing nationalist political [[party]] in [[Israel]]. The party's base has traditionally been secular, [[Russian-speaking]] Israelis. The party describes itself as \""a national movement with the clear vision to follow in the bold path of Zev [[Jabotinsky]]\"", the founder of Revisionist Zionism. It primarily represents immigrants from the former Soviet Union. Although it has attempted to expand its appeal to more established Israelis, it has not been successful, and most of its voters are Russian-speaking. It takes a strong line towards the peace process and the integration of Israeli Arabs, characterized by its 2009 election slogan \""No loyalty, no citizenship\"". Its main platform includes a recognition of the [[two-state]] solution, the creation of a Palestinian state that would include an exchange of some largely Arab-inhabited parts of Israel for largely Jewish-inhabited parts of the West Bank. The party maintains an anti-clerical mantle and [[encourages]] socio-economic opportunities for new immigrants, in conjunction with [[efforts]] to increase Jewish immigration. In the 2009 [[election]] the [[party]] won 15 seats, its most to date, [[making]] it the third largest [[party]] in the previous [[Knesset]]. In the 2015 election, the party won [[six]] seats.","[[beit]] Beiteinu (Hebrew: יִשְׂרָאֵל [[jews]]ֵּיתֵ[[[UNK]]]ּ‎‎, lit. Israel is Our Home) is a [[movement]] and right-wing nationalist political [[parties]] in [[israel]]. The party's base has traditionally been secular, [[evangelical]] Israelis. The party describes itself as \""a national movement with the clear vision to follow in the bold path of Zev [[hartman]]\"", the founder of Revisionist Zionism. It primarily represents immigrants from the former Soviet Union. Although it has attempted to expand its appeal to more established Israelis, it has not been successful, and most of its voters are Russian-speaking. It takes a strong line towards the peace process and the integration of Israeli Arabs, characterized by its 2009 election slogan \""No loyalty, no citizenship\"". Its main platform includes a recognition of the [[palestinian]] solution, the creation of a Palestinian state that would include an exchange of some largely Arab-inhabited parts of Israel for largely Jewish-inhabited parts of the West Bank. The party maintains an anti-clerical mantle and [[suggests]] socio-economic opportunities for new immigrants, in conjunction with [[movements]] to increase Jewish immigration. In the 2009 [[party]] the [[country]] won 15 seats, its most to date, [[putting]] it the third largest [[parties]] in the previous [[knesset]]. In the 2015 election, the party won [[nine]] seats.",0
"Hong Kong Tramways (Chinese: 香港電車) is a tram [[system]] in Hong Kong and one of the earliest forms of public transport in the metropolis. Owned and operated by Veolia Transport RATP Asia, the tramway runs on Hong Kong Island between Shau Kei Wan and Kennedy Town, with a branch circulating through Happy Valley. Trams in Hong Kong have not only been a form of commuter transport for over 110 years, but also a major tourist attraction and one of the most environmentally friendly ways of travelling in Hong Kong. The tram system is the only one in the world operated exclusively with double-decker trams, and is one of only three non-heritage tram systems in the world that use double-deck cars. The tram is the cheapest mode of public transport on the island. The comparatively affordable fare is highlighted by Hong Kong Tramways' advertising slogan: \""Hop on 1. $2.3. Tram so easy!\""","Hong Kong Tramways (Chinese: 香港電車) is a tram [[station]] in Hong Kong and one of the earliest forms of public transport in the metropolis. Owned and operated by Veolia Transport RATP Asia, the tramway runs on Hong Kong Island between Shau Kei Wan and Kennedy Town, with a branch circulating through Happy Valley. Trams in Hong Kong have not only been a form of commuter transport for over 110 years, but also a major tourist attraction and one of the most environmentally friendly ways of travelling in Hong Kong. The tram system is the only one in the world operated exclusively with double-decker trams, and is one of only three non-heritage tram systems in the world that use double-deck cars. The tram is the cheapest mode of public transport on the island. The comparatively affordable fare is highlighted by Hong Kong Tramways' advertising slogan: \""Hop on 1. $2.3. Tram so easy!\""",0
"Taufik Hidayat ([[born]] 10 [[August]] 1981 in Bandung, West Java) is a [[retired]] Indonesian badminton [[player]]. He is a former World and Olympic champion in men's singles. He has also won the Indonesian Open six times (1999, 2000, 2002, 2003, 2004 and 2006). When he was young, he joined the [[SGS]] Club, a badminton club in Bandung, where he trained under [[Iie]] Sumirat. Hidayat won the men's singles competition in badminton at the 2004 Summer Olympics. [[In]] August 2005, he won the men's singles competition at the [[IBF]] [[World]] Championships. He also won the gold [[medal]] at the Asian [[Games]] twice, at [[Busan]] in 2002 and [[Doha]] in 2006. [[Popular]] media has at [[times]] [[focused]] on the perceived rivalry between Hidayat and Chinese [[player]] Lin [[Dan]], referring to the two as \""arch rivals\"". [[In]] November 2012, Hidayat [[built]] a badminton training [[center]] [[named]] Taufik Hidayat Arena (THA), located at [[Ciracas]], East Jakarta. [[The]] Center is owned and named after himself.","Taufik Hidayat ([[raised]] 10 [[dec]] 1981 in Bandung, West Java) is a [[defunct]] Indonesian badminton [[centre]]. He is a former World and Olympic champion in men's singles. He has also won the Indonesian Open six times (1999, 2000, 2002, 2003, 2004 and 2006). When he was young, he joined the [[bukit]] Club, a badminton club in Bandung, where he trained under [[hari]] Sumirat. Hidayat won the men's singles competition in badminton at the 2004 Summer Olympics. [[near]] August 2005, he won the men's singles competition at the [[chiba]] [[world]] Championships. He also won the gold [[medals]] at the Asian [[games]] twice, at [[seoul]] in 2002 and [[doha]] in 2006. [[popular]] media has at [[having]] [[played]] on the perceived rivalry between Hidayat and Chinese [[players]] Lin [[dan]], referring to the two as \""arch rivals\"". [[near]] November 2012, Hidayat [[designed]] a badminton training [[centre]] [[renamed]] Taufik Hidayat Arena (THA), located at [[sera]], East Jakarta. [[this]] Center is owned and named after himself.",0
"Mumtaz Mahal (1921 – 1945) was a British Thoroughbred [[racehorse]] who the National Sporting Library's Thoroughbred Heritage website says was \""one of the most important broodmares of the 20th Century\"". She was named for empress Mumtaz Mahal, wife of Mughal Empire ruler Shah Jahan of Taj Mahal fame. Bred by Lady Sykes at her Sledmere Stud in Driffield, East Riding of Yorkshire, Mumtaz Mahal was out of the mare Lady Josephine. Her sire was The Tetrarch, whom the Thoroughbred Heritage website also said was \""probably the greatest two-year-old of all time\"", and that he was \""possibly the greatest runner ever.\""","Mumtaz Mahal (1921 – 1945) was a British Thoroughbred [[jockey]] who the National Sporting Library's Thoroughbred Heritage website says was \""one of the most important broodmares of the 20th Century\"". She was named for empress Mumtaz Mahal, wife of Mughal Empire ruler Shah Jahan of Taj Mahal fame. Bred by Lady Sykes at her Sledmere Stud in Driffield, East Riding of Yorkshire, Mumtaz Mahal was out of the mare Lady Josephine. Her sire was The Tetrarch, whom the Thoroughbred Heritage website also said was \""probably the greatest two-year-old of all time\"", and that he was \""possibly the greatest runner ever.\""",3
"Sarah Siddons (6 [[May]] 1973 – 2000) was a French-bred, Irish-trained Thoroughbred [[racehorse]]. [[She]] was a well-bred mare, being descended from a [[half-sister]] of the [[outstanding]] Irish racehorse Ragusa. As a two-year-old in 1975 she [[showed]] [[promise]] when winning her only race of the [[season]]. In the following year she was rated the [[best]] three-year-old filly trained in the [[British]] Isles in a division which was otherwise dominated by French-trained horses. She recorded [[Group]] One wins in the Irish 1000 Guineas and Yorkshire Oaks, as [[well]] as finishing second to Lagunette in both the Irish Oaks and the Prix Vermeille. She [[failed]] to win as a four-year-old, but became a very successful [[broodmare]].","Sarah Siddons (6 [[may]] 1973 – 2000) was a French-bred, Irish-trained Thoroughbred [[jockey]]. [[her]] was a well-bred mare, being descended from a [[out]] of the [[former]] Irish racehorse Ragusa. As a two-year-old in 1975 she [[appeared]] [[promising]] when winning her only race of the [[year]]. In the following year she was rated the [[greatest]] three-year-old filly trained in the [[uk]] Isles in a division which was otherwise dominated by French-trained horses. She recorded [[page]] One wins in the Irish 1000 Guineas and Yorkshire Oaks, as [[yet]] as finishing second to Lagunette in both the Irish Oaks and the Prix Vermeille. She [[tried]] to win as a four-year-old, but became a very successful [[woman]].",3
"Op:l Bastards was [[formed]] by Timo Kaukolampi (born 1971), Vilunki 3000 (real name: Mikko Viljakainen, b. 1973) and Tuomo Puranen from Helsinki, Finland. Kaukolampi and Vilunki had earlier on played in the garage rock band Larry and the Lefthanded. Their original name was Opel Bastards, but they had to change it due to the pressure from Opel company. Their music is categorised as electronic music. They are described as having \""specializ[ed] in Kraut-baiting impenetrability.\"" In 2007 Op:l Bastards had their first gig in five years on the 18th of August at Flow festival of Helsinki. The Job album was re-released on Op:l's record label Lefta Records in Finland, with liner notes written by Philip Oakey (of The Human League fame). The group released their second album in 2009","Op:l Bastards was [[made]] by Timo Kaukolampi (born 1971), Vilunki 3000 (real name: Mikko Viljakainen, b. 1973) and Tuomo Puranen from Helsinki, Finland. Kaukolampi and Vilunki had earlier on played in the garage rock band Larry and the Lefthanded. Their original name was Opel Bastards, but they had to change it due to the pressure from Opel company. Their music is categorised as electronic music. They are described as having \""specializ[ed] in Kraut-baiting impenetrability.\"" In 2007 Op:l Bastards had their first gig in five years on the 18th of August at Flow festival of Helsinki. The Job album was re-released on Op:l's record label Lefta Records in Finland, with liner notes written by Philip Oakey (of The Human League fame). The group released their second album in 2009",0
Louis Finet (born 1894 - died ?) was a Belgian [[vaulter]] who competed in the 1920 Summer Olympics. [[In]] 1920 he won the gold medal in the team vaulting competition and the bronze medal in the individual [[vaulting]] event.,Louis Finet (born 1894 - died ?) was a Belgian [[racehorse]] who competed in the 1920 Summer Olympics. [[during]] 1920 he won the gold medal in the team vaulting competition and the bronze medal in the individual [[combined]] event.,0
"Carmine [[Gorga]] (Italian: [[[ˈkar]]’meeŋɛ gorga]; December 8, 1935) is an Italian political scientist naturalized American working as [[President]] of [[The]] [[Somist]] [[Institute]].","Carmine [[case]] (Italian: [[[[UNK]]]’meeŋɛ gorga]; December 8, 1935) is an Italian political scientist naturalized American working as [[president]] of [[a]] [[medici]] [[institute]].",0
