original_text,perturbed_text,label
'[[Nonis']] is a [[hybrid]] [[cultivar]] of the [[genus]] [[Neoregelia]] in the [[Bromeliad]] [[family]].,'[[alba]] is a [[popular]] [[painter]] of the [[summer]] [[roses]] in the [[felix]] [[genre]].,3
"The Texas river cooter (Pseudemys texana) is a [[species]] of freshwater turtle native to creeks, rivers, and lakes of the US state of Texas. It is [[found]] in the river basins of the Colorado, [[Brazos]], Guadalupe, and San Antonio Rivers. It is one of two [[species]] of cooter native to the state, the other being the Eastern River Cooter.","The Texas river cooter (Pseudemys texana) is a [[branch]] of freshwater turtle native to creeks, rivers, and lakes of the US state of Texas. It is [[seen]] in the river basins of the Colorado, [[hidalgo]], Guadalupe, and San Antonio Rivers. It is one of two [[branch]] of cooter native to the state, the other being the Eastern River Cooter.",3
"Hong Kong Tramways (Chinese: 香港電車) is a tram [[system]] in Hong Kong and one of the earliest forms of public transport in the metropolis. Owned and operated by Veolia Transport RATP Asia, the tramway runs on Hong Kong Island between Shau Kei Wan and Kennedy Town, with a branch circulating through Happy Valley. Trams in Hong Kong have not only been a form of commuter transport for over 110 years, but also a major tourist attraction and one of the most environmentally friendly ways of travelling in Hong Kong. The tram system is the only one in the world operated exclusively with double-decker trams, and is one of only three non-heritage tram systems in the world that use double-deck cars. The tram is the cheapest mode of public transport on the island. The comparatively affordable fare is highlighted by Hong Kong Tramways' advertising slogan: \""Hop on 1. $2.3. Tram so easy!\""","Hong Kong Tramways (Chinese: 香港電車) is a tram [[line]] in Hong Kong and one of the earliest forms of public transport in the metropolis. Owned and operated by Veolia Transport RATP Asia, the tramway runs on Hong Kong Island between Shau Kei Wan and Kennedy Town, with a branch circulating through Happy Valley. Trams in Hong Kong have not only been a form of commuter transport for over 110 years, but also a major tourist attraction and one of the most environmentally friendly ways of travelling in Hong Kong. The tram system is the only one in the world operated exclusively with double-decker trams, and is one of only three non-heritage tram systems in the world that use double-deck cars. The tram is the cheapest mode of public transport on the island. The comparatively affordable fare is highlighted by Hong Kong Tramways' advertising slogan: \""Hop on 1. $2.3. Tram so easy!\""",0
"The [[Savages]] were an American garage rock band from Bermuda that were active in the [[mid-1960s]]. They are best remembered for their album, Live 'n Wild, which was composed largely of self-penned tunes and recorded in front of a live audience, has been mentioned as a seminal work in the genre, and features the song, \""The World Ain't Round It's Square\"". This song has become regarded as a classic 1960s anthem of youthful defiance.","The [[damned]] were an American garage rock band from Bermuda that were active in the [[years]]. They are best remembered for their album, Live 'n Wild, which was composed largely of self-penned tunes and recorded in front of a live audience, has been mentioned as a seminal work in the genre, and features the song, \""The World Ain't Round It's Square\"". This song has become regarded as a classic 1960s anthem of youthful defiance.",0
"Op:l Bastards was formed by Timo Kaukolampi (born 1971), [[Vilunki]] 3000 (real name: Mikko Viljakainen, b. 1973) and Tuomo [[Puranen]] from Helsinki, Finland. Kaukolampi and Vilunki had earlier on [[played]] in the garage rock band Larry and the Lefthanded. [[Their]] [[original]] name was Opel Bastards, but they had to [[change]] it due to the pressure from Opel [[company]]. Their music is categorised as electronic music. [[They]] are described as having \""specializ[ed] in Kraut-baiting impenetrability.\"" In 2007 Op:l [[Bastards]] had their first gig in five years on the 18th of August at Flow festival of [[Helsinki]]. The [[Job]] album was re-released on Op:l's record [[label]] Lefta [[Records]] in Finland, with liner notes written by Philip Oakey (of The Human League fame). The [[group]] released their second album in 2009","Op:l Bastards was formed by Timo Kaukolampi (born 1971), [[gene]] 3000 (real name: Mikko Viljakainen, b. 1973) and Tuomo [[finland]] from Helsinki, Finland. Kaukolampi and Vilunki had earlier on [[formed]] in the garage rock band Larry and the Lefthanded. [[band]] [[english]] name was Opel Bastards, but they had to [[ditch]] it due to the pressure from Opel [[companies]]. Their music is categorised as electronic music. [[you]] are described as having \""specializ[ed] in Kraut-baiting impenetrability.\"" In 2007 Op:l [[bastard]] had their first gig in five years on the 18th of August at Flow festival of [[helsinki]]. The [[resulting]] album was re-released on Op:l's record [[companies]] Lefta [[records]] in Finland, with liner notes written by Philip Oakey (of The Human League fame). The [[quintet]] released their second album in 2009",0
"Rosemount High [[School]] (French: École secondaire Rosemount) is an English-language high [[school]] located in Montreal, Quebec, Canada. It opened in 1951. The [[school]] offers a special music program as well as [[drama]] and visual arts programs. Today, the school offers a French-immersion program in addition to its English core [[program]]. It is situated on Beaubien street East, across the street from park Etienne-Desmarteau and College Rosemont. There is a soccer field and tennis court behind the school. School facilities include two double gymnasiums, an [[auditorium]] that can seat 762 people, a library, a computer lab, specialized drama & art rooms, two circular sound-proofed music rooms, and a large soccer field. The school is made up of 3 wings, 2 of those wings having 2 floors. The 2100 wing is the main hallway where you will find the old gym, the main office and the guidance office. The 3100 wing is situated right on top of the 2100 wing and has classrooms. The 2400 wing is on the same floor as the 2100 wing. It has classrooms, the computer lab, the library, the New Gym, the art room and a science lab. The 3400 wing has classrooms including a large drama room and a senior square for the senior students to hang out. The 3300 wing has science labs and classrooms. The Music Concentration Program actually has its own wing located behind the school's auditorium. The school's auditorium can hold up to 762 people and is named after the founder of the music department and a dedicated music teacher at the school for many years who died in the 90s, Mrs. Helen Hall. The school is part of the English Montreal [[School]] Board.","Rosemount High [[place]] (French: École secondaire Rosemount) is an English-language high [[schoolhouse]] located in Montreal, Quebec, Canada. It opened in 1951. The [[schoolhouse]] offers a special music program as well as [[theatre]] and visual arts programs. Today, the school offers a French-immersion program in addition to its English core [[programs]]. It is situated on Beaubien street East, across the street from park Etienne-Desmarteau and College Rosemont. There is a soccer field and tennis court behind the school. School facilities include two double gymnasiums, an [[stand]] that can seat 762 people, a library, a computer lab, specialized drama & art rooms, two circular sound-proofed music rooms, and a large soccer field. The school is made up of 3 wings, 2 of those wings having 2 floors. The 2100 wing is the main hallway where you will find the old gym, the main office and the guidance office. The 3100 wing is situated right on top of the 2100 wing and has classrooms. The 2400 wing is on the same floor as the 2100 wing. It has classrooms, the computer lab, the library, the New Gym, the art room and a science lab. The 3400 wing has classrooms including a large drama room and a senior square for the senior students to hang out. The 3300 wing has science labs and classrooms. The Music Concentration Program actually has its own wing located behind the school's auditorium. The school's auditorium can hold up to 762 people and is named after the founder of the music department and a dedicated music teacher at the school for many years who died in the 90s, Mrs. Helen Hall. The school is part of the English Montreal [[student]] Board.",0
"[[3rd]] [[Corps]] (Vietnamese: Quân đoàn 3) or Tây Nguyên [[Corps]] (Vietnamese: Binh doan tay nguyen, literally: Corps of Tây Nguyên or Corps of the Western Highlands) is one of the four regular army corps of the Vietnam People's Army. First organised in 1975 during the Vietnam War, 3rd Corps had a major role in the Ho Chi Minh Campaign and the Cambodian–Vietnamese War. Today the corps is stationed in Pleiku, Gia Lai. \n*  Commander: Maj. Gen. Nguyễn Đức Hải \n*  Political Commissar: Maj. Gen. Chu Công Phu","[[31st]] [[base]] (Vietnamese: Quân đoàn 3) or Tây Nguyên [[post]] (Vietnamese: Binh doan tay nguyen, literally: Corps of Tây Nguyên or Corps of the Western Highlands) is one of the four regular army corps of the Vietnam People's Army. First organised in 1975 during the Vietnam War, 3rd Corps had a major role in the Ho Chi Minh Campaign and the Cambodian–Vietnamese War. Today the corps is stationed in Pleiku, Gia Lai. \n*  Commander: Maj. Gen. Nguyễn Đức Hải \n*  Political Commissar: Maj. Gen. Chu Công Phu",0
"[[Teatro]] Avante is a nonprofit theater organization [[located]] in the [[Little]] Havana neighborhood of Miami, [[Florida]].","[[theater]] Avante is a nonprofit theater organization [[placed]] in the [[le]] Havana neighborhood of Miami, [[usa]].",2
"St. Gabriel's is a Roman Catholic [[parish]] of the Roman Catholic Archdiocese of New York, located in southern end of the city of New Rochelle in Westchester County, New York. This [[parish]] was founded in 1893 by Mrs. Adrian Iselin and [[family]], longtime residents of New Rochelle. [[The]] church was a memorial given by Mrs. Adrian [[Iselin]] and endowed by her for the Catholics of New Rochelle. [[St]]. [[Gabriel's]] was consecrated on May 28, 1893 by Michael Corrigan, then the Archbishop of New York. The buildings of the parish are distinctly Norman-English in design. [[The]] [[church]] was built of blue granite and limestone with a steeply pitched red tile [[roof]], and two towers with a clock and chimes. [[The]] [[adjacent]] rectory house was built in a corresponding [[style]].[[The]] interior features salmon colored brick walls, arched hardwood paneled ceilings and [[mosaic]] floors. The decoration of the chancel walls is in old gold and is a near perfect [[reproduction]] of the chancel of the San Marco Cathedral in Venice. The three [[chancel]] windows were [[designed]] by Franz Mayer & Co. and represent \""the Saviour\"", \""[[St]]. Francis de Sales\"" and \""St. Margaret of [[Scotland]]\"". The intricately carved white marble altar is a memorial to Fannie G. Iselin. St. Paul's features [[17]] [[impressive]] stained-glass windows crafted by Louis Comfort Tiffany Studios, The Gorham [[Company]], [[Franz]] Mayer & Co. and Heaton, Butler and Bayne. The Tiffany windows include \""The Education [[Of]] [[The]] [[Virgin]]\"", \""[[The]] Annunciation\"", \""The Marriage Of Joseph [[And]] Mary\"" and \""The Baptism of [[Jesus]]\"". The complete [[set]] of memorial windows were gifts of the seven Iselin children in honor of their mother. At the time of its construction, St. Gabriel's was one of the most costly [[houses]] of worship in the [[region]]. The church building, together with the rectory and a home for the Sisters of [[Charity]], it [[cost]] $250,000. Another gift was [[made]] when the Iselin's transferred its $100,000 gymnasium building and property to the parish for a school for children. Mrs. Iselin would later contribute a $30,000 endowment for the continued maintenance and operation of the church.","St. Gabriel's is a Roman Catholic [[congregation]] of the Roman Catholic Archdiocese of New York, located in southern end of the city of New Rochelle in Westchester County, New York. This [[congregation]] was founded in 1893 by Mrs. Adrian Iselin and [[relatives]], longtime residents of New Rochelle. [[which]] church was a memorial given by Mrs. Adrian [[parish]] and endowed by her for the Catholics of New Rochelle. [[holy]]. [[john]] was consecrated on May 28, 1893 by Michael Corrigan, then the Archbishop of New York. The buildings of the parish are distinctly Norman-English in design. [[which]] [[rectory]] was built of blue granite and limestone with a steeply pitched red tile [[building]], and two towers with a clock and chimes. [[any]] [[neighboring]] rectory house was built in a corresponding [[construction]].[[any]] interior features salmon colored brick walls, arched hardwood paneled ceilings and [[polished]] floors. The decoration of the chancel walls is in old gold and is a near perfect [[reproduced]] of the chancel of the San Marco Cathedral in Venice. The three [[tower]] windows were [[crafted]] by Franz Mayer & Co. and represent \""the Saviour\"", \""[[blessed]]. Francis de Sales\"" and \""St. Margaret of [[england]]\"". The intricately carved white marble altar is a memorial to Fannie G. Iselin. St. Paul's features [[eight]] [[outstanding]] stained-glass windows crafted by Louis Comfort Tiffany Studios, The Gorham [[building]], [[franz]] Mayer & Co. and Heaton, Butler and Bayne. The Tiffany windows include \""The Education [[after]] [[that]] [[virgin]]\"", \""[[that]] Annunciation\"", \""The Marriage Of Joseph [[or]] Mary\"" and \""The Baptism of [[christ]]\"". The complete [[sets]] of memorial windows were gifts of the seven Iselin children in honor of their mother. At the time of its construction, St. Gabriel's was one of the most costly [[house]] of worship in the [[area]]. The church building, together with the rectory and a home for the Sisters of [[charities]], it [[costs]] $250,000. Another gift was [[produced]] when the Iselin's transferred its $100,000 gymnasium building and property to the parish for a school for children. Mrs. Iselin would later contribute a $30,000 endowment for the continued maintenance and operation of the church.",2
Europa [[Magazine]] is the only monthly [[magazine]] in Bosnian [[language]] in the United States.,Europa [[publishers]] is the only monthly [[publishing]] in Bosnian [[publishing]] in the United States.,1
