original_text,perturbed_text,label
"Les Disques du Crépuscule is an independent [[record]] [[label]] founded in Belgium. The label was founded in 1980 by Michel Duval and Annik [[Honoré]]. [[It]] also had a prominent associated sublabel, Factory Benelux. Both are now [[run]] by former employee James Nice. \""[[Crépuscule]]\"" translates as \""twilight\"", with most of the label's catalogue [[numbers]] being prefixed by the letters TWI.","Les Disques du Crépuscule is an independent [[label]] [[imprint]] founded in Belgium. The label was founded in 1980 by Michel Duval and Annik [[sima]]. [[it]] also had a prominent associated sublabel, Factory Benelux. Both are now [[maintained]] by former employee James Nice. \""[[m]]\"" translates as \""twilight\"", with most of the label's catalogue [[s]] being prefixed by the letters TWI.",0
"The Brockville Football Club was a team that played in the QRFU at the turn of the century. They had great success early on in their [[history]]. In 1899, they finished in first place in the [[QRFU]] but lost to Ottawa College in the Quebec finals. They won the [[QRFU]] Championship in 1900 but lost in the Dominion [[Final]] to the Ottawa Rough Riders.","The Brockville Football Club was a team that played in the QRFU at the turn of the century. They had great success early on in their [[histories]]. In 1899, they finished in first place in the [[jhl]] but lost to Ottawa College in the Quebec finals. They won the [[football]] Championship in 1900 but lost in the Dominion [[rounds]] to the Ottawa Rough Riders.",0
"Yisrael Beiteinu (Hebrew: [[י]]ִ[[ש]]ְׂרָאֵל בֵּ[[ית]]ֵ[[נו]]ּ‎‎, lit. Israel is Our Home) is a secularist and right-wing nationalist political [[party]] in Israel. The party's base has traditionally been secular, [[Russian-speaking]] Israelis. The party describes itself as \""a national movement with the clear vision to follow in the bold path of Zev [[Jabotinsky]]\"", the founder of Revisionist Zionism. It primarily represents immigrants from the former Soviet Union. Although it has attempted to [[expand]] its appeal to more established [[Israelis]], it has not been [[successful]], and most of its voters are Russian-speaking. [[It]] [[takes]] a strong line [[towards]] the peace process and the integration of Israeli Arabs, characterized by its 2009 [[election]] slogan \""[[No]] loyalty, no citizenship\"". [[Its]] main platform includes a [[recognition]] of the two-state solution, the [[creation]] of a Palestinian state that would include an [[exchange]] of some largely [[Arab-inhabited]] parts of Israel for largely Jewish-inhabited parts of the West Bank. [[The]] party maintains an anti-clerical mantle and encourages [[socio-economic]] opportunities for new immigrants, in conjunction with [[efforts]] to increase [[Jewish]] immigration. [[In]] the 2009 [[election]] the party won 15 seats, its most to date, [[making]] it the third largest [[party]] in the previous Knesset. In the 2015 election, the [[party]] won six seats.","Yisrael Beiteinu (Hebrew: [[knesset]]ִ[[[UNK]]]ְׂרָאֵל בֵּ[[stale]]ֵ[[linen]]ּ‎‎, lit. Israel is Our Home) is a secularist and right-wing nationalist political [[ideology]] in Israel. The party's base has traditionally been secular, [[young]] Israelis. The party describes itself as \""a national movement with the clear vision to follow in the bold path of Zev [[feldman]]\"", the founder of Revisionist Zionism. It primarily represents immigrants from the former Soviet Union. Although it has attempted to [[spread]] its appeal to more established [[israelis]], it has not been [[influential]], and most of its voters are Russian-speaking. [[its]] [[is]] a strong line [[by]] the peace process and the integration of Israeli Arabs, characterized by its 2009 [[knesset]] slogan \""[[a]] loyalty, no citizenship\"". [[its]] main platform includes a [[realization]] of the two-state solution, the [[recognition]] of a Palestinian state that would include an [[exchanging]] of some largely [[hellenistic]] parts of Israel for largely Jewish-inhabited parts of the West Bank. [[another]] party maintains an anti-clerical mantle and encourages [[economic]] opportunities for new immigrants, in conjunction with [[moves]] to increase [[jewish]] immigration. [[with]] the 2009 [[knesset]] the party won 15 seats, its most to date, [[becoming]] it the third largest [[parties]] in the previous Knesset. In the 2015 election, the [[organisation]] won six seats.",0
"The Savages were an American garage rock [[band]] from Bermuda that were active in the [[mid-1960s]]. They are best remembered for their album, Live 'n Wild, which was composed largely of self-penned tunes and recorded in front of a live audience, has been [[mentioned]] as a seminal work in the genre, and features the song, \""The World Ain't Round [[It's]] Square\"". This song has become regarded as a classic 1960s anthem of youthful defiance.","The Savages were an American garage rock [[bands]] from Bermuda that were active in the [[area]]. They are best remembered for their album, Live 'n Wild, which was composed largely of self-penned tunes and recorded in front of a live audience, has been [[stated]] as a seminal work in the genre, and features the song, \""The World Ain't Round [[dle]] Square\"". This song has become regarded as a classic 1960s anthem of youthful defiance.",0
"Op:l Bastards was [[formed]] by Timo Kaukolampi (born 1971), Vilunki 3000 (real name: Mikko Viljakainen, b. 1973) and Tuomo Puranen from Helsinki, Finland. Kaukolampi and Vilunki had earlier on played in the garage rock band Larry and the Lefthanded. Their original name was Opel Bastards, but they had to change it due to the pressure from Opel company. Their music is categorised as electronic music. They are described as having \""specializ[ed] in Kraut-baiting impenetrability.\"" In 2007 Op:l Bastards had their first gig in five years on the 18th of August at Flow festival of Helsinki. The Job album was re-released on Op:l's record label Lefta Records in Finland, with liner notes written by Philip Oakey (of The Human League fame). The group released their second album in 2009","Op:l Bastards was [[made]] by Timo Kaukolampi (born 1971), Vilunki 3000 (real name: Mikko Viljakainen, b. 1973) and Tuomo Puranen from Helsinki, Finland. Kaukolampi and Vilunki had earlier on played in the garage rock band Larry and the Lefthanded. Their original name was Opel Bastards, but they had to change it due to the pressure from Opel company. Their music is categorised as electronic music. They are described as having \""specializ[ed] in Kraut-baiting impenetrability.\"" In 2007 Op:l Bastards had their first gig in five years on the 18th of August at Flow festival of Helsinki. The Job album was re-released on Op:l's record label Lefta Records in Finland, with liner notes written by Philip Oakey (of The Human League fame). The group released their second album in 2009",0
"Rosemount High School (French: École secondaire Rosemount) is an English-language high [[school]] located in Montreal, Quebec, Canada. It opened in 1951. The school offers a special music program as well as drama and visual arts programs. Today, the school offers a [[French-immersion]] program in addition to its English core program. It is situated on Beaubien street East, across the street from park Etienne-Desmarteau and College Rosemont. There is a soccer field and tennis court behind the school. School facilities include two double gymnasiums, an auditorium that can seat 762 people, a library, a computer lab, specialized drama & art rooms, two circular sound-proofed music rooms, and a large soccer field. The school is made up of 3 wings, 2 of those wings having 2 floors. The 2100 wing is the main hallway where you will find the old gym, the main office and the guidance office. The 3100 wing is situated right on top of the 2100 wing and has classrooms. The 2400 wing is on the same floor as the 2100 wing. It has classrooms, the computer lab, the library, the New Gym, the art room and a science lab. The 3400 wing has classrooms including a large drama room and a senior square for the senior students to hang out. The 3300 wing has science labs and classrooms. The Music Concentration Program actually has its own wing located behind the school's auditorium. The school's auditorium can hold up to 762 people and is named after the founder of the music department and a dedicated music teacher at the school for many years who died in the 90s, Mrs. Helen Hall. The school is part of the English Montreal School Board.","Rosemount High School (French: École secondaire Rosemount) is an English-language high [[schoolhouse]] located in Montreal, Quebec, Canada. It opened in 1951. The school offers a special music program as well as drama and visual arts programs. Today, the school offers a [[full]] program in addition to its English core program. It is situated on Beaubien street East, across the street from park Etienne-Desmarteau and College Rosemont. There is a soccer field and tennis court behind the school. School facilities include two double gymnasiums, an auditorium that can seat 762 people, a library, a computer lab, specialized drama & art rooms, two circular sound-proofed music rooms, and a large soccer field. The school is made up of 3 wings, 2 of those wings having 2 floors. The 2100 wing is the main hallway where you will find the old gym, the main office and the guidance office. The 3100 wing is situated right on top of the 2100 wing and has classrooms. The 2400 wing is on the same floor as the 2100 wing. It has classrooms, the computer lab, the library, the New Gym, the art room and a science lab. The 3400 wing has classrooms including a large drama room and a senior square for the senior students to hang out. The 3300 wing has science labs and classrooms. The Music Concentration Program actually has its own wing located behind the school's auditorium. The school's auditorium can hold up to 762 people and is named after the founder of the music department and a dedicated music teacher at the school for many years who died in the 90s, Mrs. Helen Hall. The school is part of the English Montreal School Board.",0
"The 911th Technical [[Rescue]] Engineer Company, formerly the MDW (Military District of Washington) Engineer Company, is the only technical rescue company in the Department of Defense. It specializes in urban search and rescue (USAR). The 911th is stationed at Fort Belvoir, Virginia, and is best known for its response to The Pentagon following the September 11 attacks in 2001. The First Sergeant and Company Commander moved the company to the disaster site without waiting for orders and spent 10 days engaged in search and rescue operations. The unit was re-designated as the 911th United States Army Technical Rescue Engineer Company on 11 September 2006, in memory of its historic role in the subsequent recovery effort. Its sister company is the 554th Engineer Company (Vertical Construction) located in Fort Stewart, GA. The 554th Engineer Company is currently tasked with technical rescue response under the Defense CBRNE Response Force, however it is a temporary task and on order the vertical construction mission will be resumed. The 911th Technical Rescue Engineer Company is assigned to the 12th Aviation Battalion, Army Air Operations Group, Military District of Washington. The company is modeled after a Federal Emergency Management Agency (FEMA) Urban Search and Rescue Heavy Task Force. The company is mine rescue and technical rescue certified and specializes in trench, structural collapse, ropes, and confined space disciplines. It regularly trains with local, state, and federal first responders. The company was on standby during the 2009 Presidential Inauguration. In 2012 the company was [[equipped]] with [[heavy]] transport and dump trucks. Unlike other conventional [[military]] units, prospective candidates [[must]] pass through a screening process in which they must be interviewed by unit [[leadership]] as well as pass a modified physical evaluation and extensive background questionnaire. The unit has never [[deployed]] overseas.","The 911th Technical [[services]] Engineer Company, formerly the MDW (Military District of Washington) Engineer Company, is the only technical rescue company in the Department of Defense. It specializes in urban search and rescue (USAR). The 911th is stationed at Fort Belvoir, Virginia, and is best known for its response to The Pentagon following the September 11 attacks in 2001. The First Sergeant and Company Commander moved the company to the disaster site without waiting for orders and spent 10 days engaged in search and rescue operations. The unit was re-designated as the 911th United States Army Technical Rescue Engineer Company on 11 September 2006, in memory of its historic role in the subsequent recovery effort. Its sister company is the 554th Engineer Company (Vertical Construction) located in Fort Stewart, GA. The 554th Engineer Company is currently tasked with technical rescue response under the Defense CBRNE Response Force, however it is a temporary task and on order the vertical construction mission will be resumed. The 911th Technical Rescue Engineer Company is assigned to the 12th Aviation Battalion, Army Air Operations Group, Military District of Washington. The company is modeled after a Federal Emergency Management Agency (FEMA) Urban Search and Rescue Heavy Task Force. The company is mine rescue and technical rescue certified and specializes in trench, structural collapse, ropes, and confined space disciplines. It regularly trains with local, state, and federal first responders. The company was on standby during the 2009 Presidential Inauguration. In 2012 the company was [[fitted]] with [[wheeled]] transport and dump trucks. Unlike other conventional [[dod]] units, prospective candidates [[should]] pass through a screening process in which they must be interviewed by unit [[leaders]] as well as pass a modified physical evaluation and extensive background questionnaire. The unit has never [[resided]] overseas.",0
"Teatro Avante is a nonprofit theater organization [[located]] in the Little Havana neighborhood of Miami, Florida.","Teatro Avante is a nonprofit theater organization [[sited]] in the Little Havana neighborhood of Miami, Florida.",2
"[[WKVN]] (95.3 FM) is a radio [[station]] [[broadcasting]] the K-Love network. Licensed to Morganfield, Kentucky, USA, the station serves the Evansville area. [[The]] station is currently owned by the Educational Media Foundation  and [[broadcasts]] out of Rocklin, CA.","[[way]] (95.3 FM) is a radio [[broadcast]] [[ing]] the K-Love network. Licensed to Morganfield, Kentucky, USA, the station serves the Evansville area. [[another]] station is currently owned by the Educational Media Foundation  and [[aired]] out of Rocklin, CA.",0
"Me Naiset (meaning We the Women in English) is a Finnish language women's [[magazine]] [[published]] in Helsinki, Finland. It is one of the largest weekly women's [[magazines]] in the country.","Me Naiset (meaning We the Women in English) is a Finnish language women's [[issue]] [[zine]] in Helsinki, Finland. It is one of the largest weekly women's [[zine]] in the country.",1
