original_text,perturbed_text,label
"Hong Kong Tramways (Chinese: [[香港電車]]) is a tram [[system]] in Hong Kong and one of the earliest forms of public transport in the metropolis. Owned and operated by Veolia Transport RATP Asia, the tramway runs on Hong Kong Island between Shau Kei Wan and Kennedy Town, with a branch circulating through Happy Valley. Trams in Hong Kong have not only been a form of commuter transport for over 110 years, but also a major tourist attraction and one of the most environmentally friendly ways of travelling in Hong Kong. The tram system is the only one in the world operated exclusively with double-decker trams, and is one of only three non-heritage tram systems in the world that use double-deck cars. The tram is the cheapest mode of public transport on the island. The comparatively affordable fare is highlighted by Hong Kong Tramways' advertising slogan: \""Hop on 1. $2.3. Tram so easy!\""","Hong Kong Tramways (Chinese: [[香電港車]]) is a tram [[sZstem]] in Hong Kong and one of the earliest forms of public transport in the metropolis. Owned and operated by Veolia Transport RATP Asia, the tramway runs on Hong Kong Island between Shau Kei Wan and Kennedy Town, with a branch circulating through Happy Valley. Trams in Hong Kong have not only been a form of commuter transport for over 110 years, but also a major tourist attraction and one of the most environmentally friendly ways of travelling in Hong Kong. The tram system is the only one in the world operated exclusively with double-decker trams, and is one of only three non-heritage tram systems in the world that use double-deck cars. The tram is the cheapest mode of public transport on the island. The comparatively affordable fare is highlighted by Hong Kong Tramways' advertising slogan: \""Hop on 1. $2.3. Tram so easy!\""",0
"Op:l Bastards was [[formed]] by Timo Kaukolampi (born 1971), Vilunki 3000 (real name: Mikko Viljakainen, b. 1973) and Tuomo Puranen from Helsinki, Finland. Kaukolampi and Vilunki had earlier on played in the garage rock band Larry and the Lefthanded. Their original name was Opel Bastards, but they had to change it due to the pressure from Opel company. Their music is categorised as electronic music. They are described as having \""specializ[ed] in Kraut-baiting impenetrability.\"" In 2007 Op:l Bastards had their first gig in five years on the 18th of August at Flow festival of Helsinki. The Job album was re-released on Op:l's record label Lefta Records in Finland, with liner notes written by Philip Oakey (of The Human League fame). The group released their second album in 2009","Op:l Bastards was [[Zormed]] by Timo Kaukolampi (born 1971), Vilunki 3000 (real name: Mikko Viljakainen, b. 1973) and Tuomo Puranen from Helsinki, Finland. Kaukolampi and Vilunki had earlier on played in the garage rock band Larry and the Lefthanded. Their original name was Opel Bastards, but they had to change it due to the pressure from Opel company. Their music is categorised as electronic music. They are described as having \""specializ[ed] in Kraut-baiting impenetrability.\"" In 2007 Op:l Bastards had their first gig in five years on the 18th of August at Flow festival of Helsinki. The Job album was re-released on Op:l's record label Lefta Records in Finland, with liner notes written by Philip Oakey (of The Human League fame). The group released their second album in 2009",0
"The Near [[East]] [[earthquakes]] of 1759 was a [[series]] of devastating earthquakes that shook a large [[portion]] of the Levant in October and [[November]] of that year. This geographical crossroads in the [[Eastern]] Mediterranean includes portions of Syria, Lebanon, Turkey, and Israel. The ruins of [[Baalbek]], a settlement in the Beqaa Valley of Lebanon east of the [[Litani]] River, were badly damaged. These [[events]], along with the earlier [[1202]] Syria [[earthquake]], are likely the [[strongest]] historical [[earthquakes]] in the [[region]].","The Near [[Eas]] [[erthquakes]] of 1759 was a [[sewies]] of devastating earthquakes that shook a large [[potion]] of the Levant in October and [[Novebmer]] of that year. This geographical crossroads in the [[Easern]] Mediterranean includes portions of Syria, Lebanon, Turkey, and Israel. The ruins of [[Baalbe]], a settlement in the Beqaa Valley of Lebanon east of the [[itani]] River, were badly damaged. These [[evets]], along with the earlier [[102]] Syria [[earthquare]], are likely the [[stroFgest]] historical [[eartDhquakes]] in the [[reion]].",5
"The Savages were an American garage rock [[band]] from Bermuda that were active in the mid-1960s. They are best remembered for their album, Live 'n Wild, which was composed largely of self-penned tunes and recorded in front of a live audience, has been mentioned as a seminal work in the genre, and features the song, \""The World Ain't Round It's Square\"". This song has become regarded as a classic 1960s anthem of youthful defiance.","The Savages were an American garage rock [[bnad]] from Bermuda that were active in the mid-1960s. They are best remembered for their album, Live 'n Wild, which was composed largely of self-penned tunes and recorded in front of a live audience, has been mentioned as a seminal work in the genre, and features the song, \""The World Ain't Round It's Square\"". This song has become regarded as a classic 1960s anthem of youthful defiance.",0
"Rosemount High [[School]] (French: École secondaire Rosemount) is an English-language high [[school]] located in Montreal, Quebec, Canada. It opened in 1951. The school offers a special music program as well as drama and visual arts programs. Today, the school offers a [[French-immersion]] program in addition to its English core program. It is situated on [[Beaubien]] street East, across the street from park Etienne-Desmarteau and College Rosemont. There is a soccer field and tennis court behind the school. School facilities include two double gymnasiums, an auditorium that can seat 762 people, a library, a computer lab, specialized drama & art rooms, two circular [[sound-proofed]] music rooms, and a large soccer field. The school is made up of 3 wings, 2 of those wings having 2 floors. The 2100 wing is the main hallway where you will find the old gym, the main office and the guidance office. The 3100 wing is situated right on top of the 2100 wing and has classrooms. The 2400 wing is on the same floor as the 2100 wing. It has classrooms, the computer lab, the library, the New Gym, the art room and a science lab. The 3400 wing has classrooms including a large drama room and a senior square for the senior students to hang out. The 3300 wing has science labs and classrooms. The Music Concentration Program actually has its own wing located behind the school's auditorium. The school's auditorium can hold up to [[762]] people and is named after the founder of the music department and a dedicated music teacher at the school for many years who died in the 90s, Mrs. Helen Hall. The school is part of the English Montreal School Board.","Rosemount High [[Swhool]] (French: École secondaire Rosemount) is an English-language high [[shool]] located in Montreal, Quebec, Canada. It opened in 1951. The school offers a special music program as well as drama and visual arts programs. Today, the school offers a [[French-immerion]] program in addition to its English core program. It is situated on [[Beaubin]] street East, across the street from park Etienne-Desmarteau and College Rosemont. There is a soccer field and tennis court behind the school. School facilities include two double gymnasiums, an auditorium that can seat 762 people, a library, a computer lab, specialized drama & art rooms, two circular [[sound-proofd]] music rooms, and a large soccer field. The school is made up of 3 wings, 2 of those wings having 2 floors. The 2100 wing is the main hallway where you will find the old gym, the main office and the guidance office. The 3100 wing is situated right on top of the 2100 wing and has classrooms. The 2400 wing is on the same floor as the 2100 wing. It has classrooms, the computer lab, the library, the New Gym, the art room and a science lab. The 3400 wing has classrooms including a large drama room and a senior square for the senior students to hang out. The 3300 wing has science labs and classrooms. The Music Concentration Program actually has its own wing located behind the school's auditorium. The school's auditorium can hold up to [[76]] people and is named after the founder of the music department and a dedicated music teacher at the school for many years who died in the 90s, Mrs. Helen Hall. The school is part of the English Montreal School Board.",0
"The 1994 Taiwan Strait [[earthquake]] [[occurred]] on September 16, 1994 at 14:20 local time (06:20 UTC) in the southern Taiwan Strait. The magnitude of this [[earthquake]] was given as Mw 6.8 by USGS and Ms 7.3 by Fujian Seismological Bureau. [[The]] epicenter was located about 150 to 180 km from the [[coast]] of the border of Guangdong and Fujian, and about 150 km southwest of Taiwan.","The 1994 Taiwan Strait [[eParthquake]] [[ocZurred]] on September 16, 1994 at 14:20 local time (06:20 UTC) in the southern Taiwan Strait. The magnitude of this [[earthSquake]] was given as Mw 6.8 by USGS and Ms 7.3 by Fujian Seismological Bureau. [[he]] epicenter was located about 150 to 180 km from the [[cBoast]] of the border of Guangdong and Fujian, and about 150 km southwest of Taiwan.",5
"[[The]] [[Hamilton]] [[Spectator]], founded in 1846, is a [[newspaper]] published every day but Sunday in Hamilton, Ontario, Canada.","[[Teh]] [[HamiYton]] [[Specattor]], founded in 1846, is a [[ewspaper]] published every day but Sunday in Hamilton, Ontario, Canada.",1
"Gendo Ikari (碇 ゲンドウ Ikari Gendō) is a [[fictional]] [[character]] in the Neon Genesis Evangelion franchise. He is the commander of NERV. While all of the English versions romanize his given name as Gendo, Gainax's website romanizes it Gendoh, and some fansites romanize his name as \""Gendou\"". During Takaaki Mitsuhashi's 2010 campaign for the House of Councillors, he cosplayed as Gendo Ikari.","Gendo Ikari (碇 ゲンドウ Ikari Gendō) is a [[fictionaul]] [[caracter]] in the Neon Genesis Evangelion franchise. He is the commander of NERV. While all of the English versions romanize his given name as Gendo, Gainax's website romanizes it Gendoh, and some fansites romanize his name as \""Gendou\"". During Takaaki Mitsuhashi's 2010 campaign for the House of Councillors, he cosplayed as Gendo Ikari.",0
"3rd [[Corps]] (Vietnamese: Quân đoàn 3) or Tây [[Nguyên]] Corps (Vietnamese: Binh doan tay nguyen, literally: Corps of Tây [[Nguyên]] or Corps of the Western Highlands) is one of the four [[regular]] army [[corps]] of the Vietnam People's Army. First organised in 1975 during the Vietnam War, 3rd Corps had a major [[role]] in the Ho Chi Minh [[Campaign]] and the Cambodian–Vietnamese War. [[Today]] the [[corps]] is stationed in Pleiku, Gia [[Lai]]. \n*  Commander: Maj. Gen. [[Nguyễn]] [[Đức]] Hải \n*  Political Commissar: Maj. Gen. Chu [[Công]] Phu","3rd [[Cops]] (Vietnamese: Quân đoàn 3) or Tây [[Nguyn]] Corps (Vietnamese: Binh doan tay nguyen, literally: Corps of Tây [[NgSyên]] or Corps of the Western Highlands) is one of the four [[regulaIr]] army [[Xcorps]] of the Vietnam People's Army. First organised in 1975 during the Vietnam War, 3rd Corps had a major [[rople]] in the Ho Chi Minh [[Capaign]] and the Cambodian–Vietnamese War. [[oTday]] the [[corWs]] is stationed in Pleiku, Gia [[Lar]]. \n*  Commander: Maj. Gen. [[Nguyễi]] [[Đcứ]] Hải \n*  Political Commissar: Maj. Gen. Chu [[Côn]] Phu",0
"Teatro Avante is a nonprofit [[theater]] organization located in the Little Havana neighborhood of Miami, Florida.","Teatro Avante is a nonprofit [[theaIer]] organization located in the Little Havana neighborhood of Miami, Florida.",2
