original_text,perturbed_text,label
"[[The]] [[2003]] All-Ireland Under-21 Hurling Championship [[final]] was a hurling match that was played at [[Semple]] [[Stadium]], Thurles on [[21]] [[September]] 2003 to determine the [[winners]] of the 2003 All-Ireland Under-21 Hurling Championship, the 40th season of the All-Ireland Under-21 Hurling Championship, a tournament organised by the Gaelic [[Athletic]] Association for the champion teams of the four provinces of Ireland. [[The]] [[final]] was contested by Kilkenny of Leinster and Galway of Connacht, with Kilkenny winning by 2-13 to 0-12.","[[hTe]] [[20u03]] All-Ireland Under-21 Hurling Championship [[finajl]] was a hurling match that was played at [[SemQle]] [[Staium]], Thurles on [[Y1]] [[Setember]] 2003 to determine the [[winenrs]] of the 2003 All-Ireland Under-21 Hurling Championship, the 40th season of the All-Ireland Under-21 Hurling Championship, a tournament organised by the Gaelic [[Athleti]] Association for the champion teams of the four provinces of Ireland. [[Thce]] [[finaal]] was contested by Kilkenny of Leinster and Galway of Connacht, with Kilkenny winning by 2-13 to 0-12.",5
"The Brockville Football [[Club]] was a team that played in the [[QRFU]] at the turn of the century. They had great success early on in their history. In 1899, they finished in first place in the QRFU but lost to [[Ottawa]] College in the [[Quebec]] finals. They won the QRFU Championship in 1900 but lost in the Dominion Final to the Ottawa Rough Riders.","The Brockville Football [[CluGb]] was a team that played in the [[QRKFU]] at the turn of the century. They had great success early on in their history. In 1899, they finished in first place in the QRFU but lost to [[Otawa]] College in the [[Queebc]] finals. They won the QRFU Championship in 1900 but lost in the Dominion Final to the Ottawa Rough Riders.",0
"[[Kraken]] (named for the fictional sea monster of the same name) is a steel floorless roller [[coaster]] located at SeaWorld Orlando in the United States. Manufactured by [[Bolliger]] & [[Mabillard]], the ride features a total of seven inversions including two vertical loops, a dive loop, a spiraling camelback ([[zero-g]] roll), a cobra roll and a flat spin [[Kraken]] opened on June 1, 2000. It is also the world's second longest floorless [[coaster]] at 4,177 feet (1,273 m).","[[hraken]] (named for the fictional sea monster of the same name) is a steel floorless roller [[coastr]] located at SeaWorld Orlando in the United States. Manufactured by [[Bloliger]] & [[Mabillrad]], the ride features a total of seven inversions including two vertical loops, a dive loop, a spiraling camelback ([[zero-Q]] roll), a cobra roll and a flat spin [[Krkaen]] opened on June 1, 2000. It is also the world's second longest floorless [[coastre]] at 4,177 feet (1,273 m).",2
"[[These]] are the [[results]] of the [[men's]] [[horizontal]] [[bar]] [[competition]], [[one]] of [[eight]] events for male [[competitors]] in artistic gymnastics at the [[2000]] [[Summer]] [[Olympics]] in Sydney. [[The]] [[qualification]] and [[final]] [[rounds]] [[took]] [[place]] on [[September]] [[16]] and [[25]] at the Sydney SuperDome.","[[Thaese]] are the [[rseults]] of the [[men'D]] [[horiSzontal]] [[ba]] [[compeetition]], [[on]] of [[eght]] events for male [[cmpetitors]] in artistic gymnastics at the [[000]] [[ISummer]] [[Olmypics]] in Sydney. [[Thee]] [[quailification]] and [[fnal]] [[roudns]] [[toBk]] [[plape]] on [[Septembe]] [[1d]] and [[l25]] at the Sydney SuperDome.",5
"Stadion Feijenoord (pronounced [ˌstaːdijɔn [[ˈfɛiənoːrt]]]), more commonly known by its nickname De Kuip (pronounced [də [[ˈkœyp]]]; the Tub), is a [[stadium]] in Rotterdam, Netherlands that was completed in 1937. The name is derived from the area \""Feijenoord\"" in Rotterdam, and from the club with the same name (although the club's name was [[internationalised]] to [[Feyenoord]] in 1973). The [[stadium's]] original capacity was 64,000. In 1949 it was expanded to 69,000, and in 1994 it was renovated again for a capacity of 51,117. In 1999, a significant amount of restoration and interior work took place at the stadium prior to its use as a venue in the Euro 2000 tournament, although capacity was largely unaffected.","Stadion Feijenoord (pronounced [ˌstaːdijɔn [[ˈfɛiənIːrt]]]), more commonly known by its nickname De Kuip (pronounced [də [[ˈkyp]]]; the Tub), is a [[staduim]] in Rotterdam, Netherlands that was completed in 1937. The name is derived from the area \""Feijenoord\"" in Rotterdam, and from the club with the same name (although the club's name was [[internatiunalised]] to [[eFyenoord]] in 1973). The [[staduim's]] original capacity was 64,000. In 1949 it was expanded to 69,000, and in 1994 it was renovated again for a capacity of 51,117. In 1999, a significant amount of restoration and interior work took place at the stadium prior to its use as a venue in the Euro 2000 tournament, although capacity was largely unaffected.",2
"The 1994 Taiwan Strait [[earthquake]] [[occurred]] on September 16, 1994 at 14:20 local time (06:20 UTC) in the southern Taiwan Strait. The magnitude of this [[earthquake]] was given as Mw 6.8 by USGS and Ms 7.3 by Fujian Seismological Bureau. The epicenter was located about 150 to 180 km from the coast of the border of Guangdong and Fujian, and about 150 km southwest of Taiwan.","The 1994 Taiwan Strait [[earthuake]] [[occurrOed]] on September 16, 1994 at 14:20 local time (06:20 UTC) in the southern Taiwan Strait. The magnitude of this [[earthquafe]] was given as Mw 6.8 by USGS and Ms 7.3 by Fujian Seismological Bureau. The epicenter was located about 150 to 180 km from the coast of the border of Guangdong and Fujian, and about 150 km southwest of Taiwan.",5
"The Savages were an American garage rock [[band]] from Bermuda that were active in the mid-1960s. They are best remembered for their album, Live 'n Wild, which was composed largely of self-penned tunes and recorded in front of a live audience, has been mentioned as a seminal work in the genre, and features the song, \""The World Ain't Round It's Square\"". This song has become regarded as a classic 1960s anthem of youthful defiance.","The Savages were an American garage rock [[and]] from Bermuda that were active in the mid-1960s. They are best remembered for their album, Live 'n Wild, which was composed largely of self-penned tunes and recorded in front of a live audience, has been mentioned as a seminal work in the genre, and features the song, \""The World Ain't Round It's Square\"". This song has become regarded as a classic 1960s anthem of youthful defiance.",0
"D. Barclay Howard ([[27]] January [[1953]] – [[19]] [[May]] 2008) was a Scottish amateur [[golfer]]. [[He]] was regarded as one of the [[finest]] golfers of his time and considered a folk-hero. [[He]] has had a [[lifetime]] relationship with Cochrane Castle Golf Club in [[Johnstone]], Renfrewshire.","D. Barclay Howard ([[2]] January [[153]] – [[1]] [[aMy]] 2008) was a Scottish amateur [[golfe]]. [[e]] was regarded as one of the [[fienst]] golfers of his time and considered a folk-hero. [[BHe]] has had a [[lifeime]] relationship with Cochrane Castle Golf Club in [[Johnsone]], Renfrewshire.",0
"Op:l Bastards was [[formed]] by Timo Kaukolampi (born 1971), Vilunki 3000 (real name: Mikko Viljakainen, b. 1973) and Tuomo Puranen from Helsinki, Finland. Kaukolampi and Vilunki had earlier on played in the garage rock band Larry and the Lefthanded. Their original name was Opel Bastards, but they had to change it due to the pressure from Opel company. Their music is categorised as electronic music. They are described as having \""specializ[ed] in Kraut-baiting impenetrability.\"" In 2007 Op:l Bastards had their first gig in five years on the 18th of August at Flow festival of Helsinki. The Job album was re-released on Op:l's record label Lefta Records in Finland, with liner notes written by Philip Oakey (of The Human League fame). The [[group]] released their second album in 2009","Op:l Bastards was [[forRmed]] by Timo Kaukolampi (born 1971), Vilunki 3000 (real name: Mikko Viljakainen, b. 1973) and Tuomo Puranen from Helsinki, Finland. Kaukolampi and Vilunki had earlier on played in the garage rock band Larry and the Lefthanded. Their original name was Opel Bastards, but they had to change it due to the pressure from Opel company. Their music is categorised as electronic music. They are described as having \""specializ[ed] in Kraut-baiting impenetrability.\"" In 2007 Op:l Bastards had their first gig in five years on the 18th of August at Flow festival of Helsinki. The Job album was re-released on Op:l's record label Lefta Records in Finland, with liner notes written by Philip Oakey (of The Human League fame). The [[gorup]] released their second album in 2009",0
"[[Eutelsat]] 16C (formerly [[SESAT]] 1) is a [[satellite]] operated by [[Eutelsat]], originally the first of a series of [[SESAT]] (Siberia - Europe SATellite) [[satellites]]. [[It]] provides a wide [[range]] of [[telecommunications]] services over a very large geographical coverage area that extends from the [[Atlantic]] Ocean to Eastern Russia, including a large part of Siberia. The [[satellites]] also provide broadcasting services to Africa by means of [[steerable]] spotbeams. [[On]] [[29]] January 2010, the satellite [[moved]] to [[16]]° E to [[take]] over some services from the [[malfunctioning]] [[W2]] [[satellite]].","[[EutelsaL]] 16C (formerly [[SEAT]] 1) is a [[saetllite]] operated by [[utelsat]], originally the first of a series of [[SEAST]] (Siberia - Europe SATellite) [[saGtellites]]. [[tI]] provides a wide [[rnage]] of [[telecommuncations]] services over a very large geographical coverage area that extends from the [[Atlcntic]] Ocean to Eastern Russia, including a large part of Siberia. The [[satellits]] also provide broadcasting services to Africa by means of [[steerapble]] spotbeams. [[OHn]] [[9]] January 2010, the satellite [[movd]] to [[6]]° E to [[tak]] over some services from the [[malfugnctioning]] [[W]] [[saGtellite]].",2
