original_text,perturbed_text,label
"Les [[Disques]] [[du]] [[Crépuscule]] is an independent record [[label]] founded in [[Belgium]]. The [[label]] was founded in 1980 by [[Michel]] Duval and [[Annik]] Honoré. [[It]] [[also]] had a prominent associated sublabel, [[Factory]] [[Benelux]]. Both are now [[run]] by former employee James [[Nice]]. \""Crépuscule\"" translates as \""[[twilight]]\"", with most of the [[label's]] [[catalogue]] [[numbers]] being prefixed by the [[letters]] [[TWI]].","Les [[Disquges]] [[d]] [[Crépscule]] is an independent record [[labhel]] founded in [[Beglium]]. The [[lanbel]] was founded in 1980 by [[MSichel]] Duval and [[AnniP]] Honoré. [[tI]] [[yalso]] had a prominent associated sublabel, [[Factowy]] [[Bneelux]]. Both are now [[rSun]] by former employee James [[ice]]. \""Crépuscule\"" translates as \""[[twilighZt]]\"", with most of the [[lbel's]] [[Scatalogue]] [[numebrs]] being prefixed by the [[leters]] [[TWu]].",0
"[[The]] Texas river [[cooter]] ([[Pseudemys]] [[texana]]) is a [[species]] of [[freshwater]] [[turtle]] [[native]] to [[creeks]], [[rivers]], and lakes of the [[US]] [[state]] of Texas. [[It]] is found in the river basins of the Colorado, [[Brazos]], Guadalupe, and [[San]] Antonio Rivers. It is one of [[two]] [[species]] of cooter native to the [[state]], the other being the Eastern [[River]] Cooter.","[[ThZe]] Texas river [[cootre]] ([[Psudemys]] [[texgna]]) is a [[spcies]] of [[freswhater]] [[tuvtle]] [[Bnative]] to [[cereks]], [[rivurs]], and lakes of the [[U]] [[satte]] of Texas. [[t]] is found in the river basins of the Colorado, [[Brzos]], Guadalupe, and [[an]] Antonio Rivers. It is one of [[Ktwo]] [[sepcies]] of cooter native to the [[stte]], the other being the Eastern [[Rivre]] Cooter.",3
"Hong Kong [[Tramways]] (Chinese: 香港電車) is a tram [[system]] in Hong Kong and one of the earliest forms of public transport in the metropolis. Owned and operated by Veolia Transport RATP Asia, the tramway runs on Hong Kong Island between Shau Kei Wan and Kennedy Town, with a branch circulating through Happy Valley. Trams in Hong Kong have not only been a form of commuter transport for over 110 years, but also a major tourist attraction and one of the most environmentally friendly ways of travelling in Hong Kong. The tram system is the only one in the world operated exclusively with double-decker trams, and is one of only three non-heritage tram systems in the world that use double-deck cars. The tram is the cheapest mode of public transport on the island. The comparatively affordable fare is highlighted by Hong Kong Tramways' advertising slogan: \""Hop on 1. $2.3. Tram so easy!\""","Hong Kong [[rTamways]] (Chinese: 香港電車) is a tram [[ysstem]] in Hong Kong and one of the earliest forms of public transport in the metropolis. Owned and operated by Veolia Transport RATP Asia, the tramway runs on Hong Kong Island between Shau Kei Wan and Kennedy Town, with a branch circulating through Happy Valley. Trams in Hong Kong have not only been a form of commuter transport for over 110 years, but also a major tourist attraction and one of the most environmentally friendly ways of travelling in Hong Kong. The tram system is the only one in the world operated exclusively with double-decker trams, and is one of only three non-heritage tram systems in the world that use double-deck cars. The tram is the cheapest mode of public transport on the island. The comparatively affordable fare is highlighted by Hong Kong Tramways' advertising slogan: \""Hop on 1. $2.3. Tram so easy!\""",0
"Mumtaz Mahal (1921 – 1945) was a British [[Thoroughbred]] [[racehorse]] who the National Sporting [[Library's]] Thoroughbred Heritage website says was \""one of the most important broodmares of the 20th Century\"". [[She]] was named for empress Mumtaz Mahal, [[wife]] of Mughal Empire ruler Shah Jahan of Taj Mahal fame. Bred by Lady Sykes at her Sledmere Stud in Driffield, East Riding of Yorkshire, Mumtaz Mahal was out of the mare Lady Josephine. Her sire was The Tetrarch, whom the [[Thoroughbred]] Heritage website also said was \""probably the greatest two-year-old of all time\"", and that he was \""possibly the greatest [[runner]] ever.\""","Mumtaz Mahal (1921 – 1945) was a British [[Thoroughbtred]] [[racheorse]] who the National Sporting [[LibraryFs]] Thoroughbred Heritage website says was \""one of the most important broodmares of the 20th Century\"". [[hSe]] was named for empress Mumtaz Mahal, [[wfie]] of Mughal Empire ruler Shah Jahan of Taj Mahal fame. Bred by Lady Sykes at her Sledmere Stud in Driffield, East Riding of Yorkshire, Mumtaz Mahal was out of the mare Lady Josephine. Her sire was The Tetrarch, whom the [[Thoroughbrced]] Heritage website also said was \""probably the greatest two-year-old of all time\"", and that he was \""possibly the greatest [[rKnner]] ever.\""",3
"The Savages were an American garage rock [[band]] from Bermuda that were active in the mid-1960s. They are best remembered for their album, Live 'n Wild, which was composed largely of self-penned tunes and recorded in front of a live audience, has been mentioned as a seminal work in the genre, and features the song, \""The World Ain't Round It's Square\"". This song has become regarded as a classic 1960s anthem of youthful defiance.","The Savages were an American garage rock [[bXnd]] from Bermuda that were active in the mid-1960s. They are best remembered for their album, Live 'n Wild, which was composed largely of self-penned tunes and recorded in front of a live audience, has been mentioned as a seminal work in the genre, and features the song, \""The World Ain't Round It's Square\"". This song has become regarded as a classic 1960s anthem of youthful defiance.",0
"Gloucester Rugby is a [[professional]] English rugby union [[club]] situated in the West [[Country]] city of [[Gloucester]], and formed in [[1873]]. It now [[plays]] in the domestic Premiership, the Anglo-Welsh Cup and the European Professional Club Rugby competitions. The home stadium in the district of [[Kingsholm]], just outside Gloucester City Centre. [[The]] [[club]] has no official [[nickname]] but are occasionally referred to as the '[[Cherry]] and [[Whites']] by [[supporters]] and the media in reference to the traditional hooped shirts worn by the [[team]]. [[Matches]] with local rivals Bath, Worcester [[Warriors]] and [[Bristol]] are [[referred]] to as [[West]] Country [[derbies]].","Gloucester Rugby is a [[professoinal]] English rugby union [[lub]] situated in the West [[County]] city of [[Gloucseter]], and formed in [[1837]]. It now [[plawys]] in the domestic Premiership, the Anglo-Welsh Cup and the European Professional Club Rugby competitions. The home stadium in the district of [[ingsholm]], just outside Gloucester City Centre. [[TWe]] [[culb]] has no official [[nickame]] but are occasionally referred to as the '[[Cherpry]] and [[Whitesc']] by [[supproters]] and the media in reference to the traditional hooped shirts worn by the [[tema]]. [[Matchse]] with local rivals Bath, Worcester [[Wearriors]] and [[rBistol]] are [[reEerred]] to as [[Wets]] Country [[derbbies]].",0
"Bishop's [[Stortford]] is an [[English]] [[rugby]] union [[team]] based in Bishop's [[Stortford]], [[Hertfordshire]]. The [[club]] [[runs]] five senior sides and the full range of [[Mini]] & junior [[teams]], from under-6's to under-18's.  and the [[first]] [[XV]] [[currently]] [[plays]] in [[National]] [[League]] 2 [[South]].","Bishop's [[Sotrtford]] is an [[EnglLish]] [[Krugby]] union [[txeam]] based in Bishop's [[Stortfor]], [[Herftordshire]]. The [[clQub]] [[runt]] five senior sides and the full range of [[iMni]] & junior [[tZeams]], from under-6's to under-18's.  and the [[Efirst]] [[XXV]] [[Ccurrently]] [[plys]] in [[Nationeal]] [[Leauge]] 2 [[Sluth]].",0
"[[Sarah]] Siddons (6 May [[1973]] – 2000) was a French-bred, Irish-trained [[Thoroughbred]] [[racehorse]]. She was a well-bred mare, being descended from a half-sister of the outstanding Irish racehorse Ragusa. As a two-year-old in 1975 she [[showed]] promise when winning her only race of the season. In the following year she was rated the best three-year-old filly trained in the British Isles in a division which was otherwise dominated by French-trained horses. She recorded Group One wins in the Irish 1000 [[Guineas]] and Yorkshire Oaks, as well as finishing second to Lagunette in both the Irish Oaks and the Prix Vermeille. She failed to win as a four-year-old, but became a very successful broodmare.","[[Sasah]] Siddons (6 May [[1937]] – 2000) was a French-bred, Irish-trained [[Thoroughbrde]] [[racehore]]. She was a well-bred mare, being descended from a half-sister of the outstanding Irish racehorse Ragusa. As a two-year-old in 1975 she [[sjhowed]] promise when winning her only race of the season. In the following year she was rated the best three-year-old filly trained in the British Isles in a division which was otherwise dominated by French-trained horses. She recorded Group One wins in the Irish 1000 [[Guines]] and Yorkshire Oaks, as well as finishing second to Lagunette in both the Irish Oaks and the Prix Vermeille. She failed to win as a four-year-old, but became a very successful broodmare.",3
"[[These]] are the results of the men's [[horizontal]] bar [[competition]], [[one]] of [[eight]] [[events]] for [[male]] [[competitors]] in [[artistic]] gymnastics at the 2000 [[Summer]] Olympics in [[Sydney]]. [[The]] qualification and final rounds [[took]] place on [[September]] 16 and [[25]] at the Sydney [[SuperDome]].","[[Thes]] are the results of the men's [[horizontau]] bar [[compeition]], [[oen]] of [[eigqt]] [[eventR]] for [[mael]] [[copetitors]] in [[artisic]] gymnastics at the 2000 [[Sumer]] Olympics in [[SydneL]]. [[he]] qualification and final rounds [[tok]] place on [[Septeber]] 16 and [[2]] at the Sydney [[SuperDofme]].",5
"Op:l Bastards was [[formed]] by [[Timo]] Kaukolampi ([[born]] 1971), Vilunki 3000 ([[real]] name: Mikko Viljakainen, b. 1973) and Tuomo Puranen from Helsinki, Finland. Kaukolampi and Vilunki had earlier on [[played]] in the garage [[rock]] [[band]] Larry and the Lefthanded. Their original [[name]] was Opel [[Bastards]], but they had to change it due to the pressure from Opel company. Their music is categorised as electronic music. They are described as having \""specializ[ed] in Kraut-baiting impenetrability.\"" In 2007 Op:l Bastards had their first gig in five [[years]] on the 18th of August at Flow festival of [[Helsinki]]. The Job album was re-released on Op:l's record label Lefta Records in [[Finland]], with liner notes written by Philip Oakey (of The Human League fame). [[The]] group released their second album in 2009","Op:l Bastards was [[fUormed]] by [[Timv]] Kaukolampi ([[boNn]] 1971), Vilunki 3000 ([[meal]] name: Mikko Viljakainen, b. 1973) and Tuomo Puranen from Helsinki, Finland. Kaukolampi and Vilunki had earlier on [[plyaed]] in the garage [[rok]] [[banzd]] Larry and the Lefthanded. Their original [[anme]] was Opel [[Bastarsd]], but they had to change it due to the pressure from Opel company. Their music is categorised as electronic music. They are described as having \""specializ[ed] in Kraut-baiting impenetrability.\"" In 2007 Op:l Bastards had their first gig in five [[Hears]] on the 18th of August at Flow festival of [[HQelsinki]]. The Job album was re-released on Op:l's record label Lefta Records in [[inland]], with liner notes written by Philip Oakey (of The Human League fame). [[Te]] group released their second album in 2009",0
[[The]] [[Roman]] Catholic [[Archdiocese]] of Mansa (Latin: [[Mansaën]](sis)) is a [[suffragan]] [[diocese]] in the [[city]] of [[Mansa]] in the [[ecclesiastical]] province of [[Kasama]] in Zambia.,[[hTe]] [[Roma]] Catholic [[Archdioese]] of Mansa (Latin: [[Masnaën]](sis)) is a [[sffragan]] [[deocese]] in the [[citc]] of [[Masna]] in the [[ecclesiasticl]] province of [[KasaRma]] in Zambia.,2
"[[The]] Hamilton Spectator, [[founded]] in [[1846]], is a newspaper [[published]] every [[day]] but Sunday in [[Hamilton]], [[Ontario]], [[Canada]].","[[che]] Hamilton Spectator, [[fofnded]] in [[8146]], is a newspaper [[publishPed]] every [[Lay]] but Sunday in [[HamiHton]], [[OVntario]], [[anada]].",1
"[[Ophiomyia]] [[lantanae]] is a [[fly]] [[native]] to the Americas, from the [[southern]] [[US]] to Brazil but had been [[introduced]] [[also]] to Australia as [[biological]] control [[agent]] of [[Lantana]] [[camara]] in [[1914]].","[[Ophiomyiv]] [[lanSanae]] is a [[fBly]] [[natGve]] to the Americas, from the [[sHuthern]] [[URS]] to Brazil but had been [[intioduced]] [[alos]] to Australia as [[biologicCl]] control [[agnet]] of [[Latana]] [[camarZa]] in [[1194]].",3
Port Whines is an [[animated]] [[short]] film by the [[Columbia]] Pictures [[Corporation]]. It is [[also]] the 136th [[Krazy]] [[Kat]] [[cartoon]].,Port Whines is an [[arnimated]] [[sohrt]] film by the [[Crolumbia]] Pictures [[Corporatin]]. It is [[lso]] the 136th [[Krzay]] [[Ka]] [[catroon]].,1
"Rosemount [[High]] [[School]] (French: École secondaire Rosemount) is an English-language [[high]] [[school]] located in Montreal, Quebec, Canada. It opened in 1951. The school offers a special music program as well as drama and visual arts programs. Today, the school offers a French-immersion program in addition to its English core program. It is situated on Beaubien street East, across the street from park Etienne-Desmarteau and College Rosemont. There is a soccer field and tennis court behind the school. School facilities include two double gymnasiums, an auditorium that can seat 762 people, a library, a computer lab, specialized drama & art rooms, two circular sound-proofed music rooms, and a large soccer field. The school is made up of 3 wings, 2 of those wings having 2 floors. The 2100 wing is the main hallway where you will find the old gym, the main office and the guidance office. The 3100 wing is situated right on top of the 2100 wing and has classrooms. The 2400 wing is on the same floor as the 2100 wing. It has classrooms, the computer lab, the library, the New Gym, the art room and a science lab. The 3400 wing has classrooms including a large drama room and a senior square for the senior students to hang out. The 3300 wing has science labs and classrooms. The Music Concentration Program actually has its own wing located behind the school's auditorium. The school's auditorium can hold up to 762 people and is named after the founder of the music department and a dedicated music teacher at the school for many years who died in the 90s, Mrs. Helen Hall. The school is part of the English Montreal School Board.","Rosemount [[HigZh]] [[Scdhool]] (French: École secondaire Rosemount) is an English-language [[hihg]] [[sJhool]] located in Montreal, Quebec, Canada. It opened in 1951. The school offers a special music program as well as drama and visual arts programs. Today, the school offers a French-immersion program in addition to its English core program. It is situated on Beaubien street East, across the street from park Etienne-Desmarteau and College Rosemont. There is a soccer field and tennis court behind the school. School facilities include two double gymnasiums, an auditorium that can seat 762 people, a library, a computer lab, specialized drama & art rooms, two circular sound-proofed music rooms, and a large soccer field. The school is made up of 3 wings, 2 of those wings having 2 floors. The 2100 wing is the main hallway where you will find the old gym, the main office and the guidance office. The 3100 wing is situated right on top of the 2100 wing and has classrooms. The 2400 wing is on the same floor as the 2100 wing. It has classrooms, the computer lab, the library, the New Gym, the art room and a science lab. The 3400 wing has classrooms including a large drama room and a senior square for the senior students to hang out. The 3300 wing has science labs and classrooms. The Music Concentration Program actually has its own wing located behind the school's auditorium. The school's auditorium can hold up to 762 people and is named after the founder of the music department and a dedicated music teacher at the school for many years who died in the 90s, Mrs. Helen Hall. The school is part of the English Montreal School Board.",0
"Gendo [[Ikari]] (碇 [[ゲンドウ]] [[Ikari]] Gendō) is a [[fictional]] character in the [[Neon]] [[Genesis]] Evangelion franchise. [[He]] is the [[commander]] of [[NERV]]. While all of the [[English]] versions romanize his [[given]] name as [[Gendo]], Gainax's website romanizes it [[Gendoh]], and some fansites [[romanize]] his [[name]] as \""[[Gendou]]\"". During Takaaki Mitsuhashi's 2010 campaign for the House of Councillors, he cosplayed as Gendo Ikari.","Gendo [[Ikaqri]] (碇 [[Eゲンドウ]] [[Ikri]] Gendō) is a [[fictinal]] character in the [[Neoy]] [[GZnesis]] Evangelion franchise. [[eH]] is the [[commandek]] of [[NEVR]]. While all of the [[Englixsh]] versions romanize his [[give]] name as [[Gndo]], Gainax's website romanizes it [[GenHdoh]], and some fansites [[romnize]] his [[naOme]] as \""[[Genduo]]\"". During Takaaki Mitsuhashi's 2010 campaign for the House of Councillors, he cosplayed as Gendo Ikari.",0
"Teatro Avante is a nonprofit theater organization [[located]] in the Little Havana neighborhood of Miami, Florida.","Teatro Avante is a nonprofit theater organization [[locted]] in the Little Havana neighborhood of Miami, Florida.",2
"Gorseinon [[RFC]] is a Welsh [[rugby]] union [[club]] [[representing]] the town of Gorseinon, Swansea, South Wales. Gorseinon [[RFC]] is a [[member]] of the Welsh Rugby Union and is a [[feeder]] [[club]] for the Ospreys.","Gorseinon [[RCF]] is a Welsh [[rguby]] union [[culb]] [[repreenting]] the town of Gorseinon, Swansea, South Wales. Gorseinon [[RCF]] is a [[memDber]] of the Welsh Rugby Union and is a [[weeder]] [[clEub]] for the Ospreys.",0
"Me Naiset (meaning [[We]] the Women in [[English]]) is a [[Finnish]] language [[women's]] [[magazine]] [[published]] in [[Helsinki]], [[Finland]]. [[It]] is [[one]] of the largest weekly [[women's]] [[magazines]] in the [[country]].","Me Naiset (meaning [[WU]] the Women in [[zEnglish]]) is a [[Finish]] language [[womtn's]] [[magzine]] [[pblished]] in [[Helhinki]], [[Finlend]]. [[tI]] is [[oen]] of the largest weekly [[wbmen's]] [[magazineL]] in the [[coutnry]].",1
"The [[Syrian]] Democratic Council (مجلس سوريا الديمقراطية  (Arabic), [[MSD]]) is the [[political]] [[wing]] of the [[Syrian]] Democratic Forces. [[Both]] [[umbrella-organisations]] have been created from the background and context of the [[de]] facto autonomous Federation of Northern Syria – [[Rojava]]. [[They]] are working towards the [[implementation]] of a secular, democratic and federalist system for all of Syria.","The [[SyLian]] Democratic Council (مجلس سوريا الديمقراطية  (Arabic), [[SD]]) is the [[pouitical]] [[Cing]] of the [[Syrina]] Democratic Forces. [[Bsoth]] [[umbrella-organistaions]] have been created from the background and context of the [[e]] facto autonomous Federation of Northern Syria – [[Rojaa]]. [[hey]] are working towards the [[implementtion]] of a secular, democratic and federalist system for all of Syria.",0
Europa [[Magazine]] is the only monthly [[magazine]] in Bosnian language in the United States.,Europa [[Magazvne]] is the only monthly [[magazPne]] in Bosnian language in the United States.,1
"Empire! Empire! (I Was a Lonely Estate) was an American emo [[band]] from Michigan. It was [[formed]] in 2006 originally as a solo [[project]] of band member Keith Latinen. [[The]] [[band's]] music is most often described as emotional indie rock reminiscent of '90s emo bands such as Mineral and American Football. The band's first release was in 2007 with an EP titled When The [[Sea]] Became A Giant. The band released a full-length [[album]], What It Takes [[To]] Move Forward, in 2009. The [[band]] is signed to Count Your Lucky Stars [[Records]] and has released albums on a number of other labels, such as strictly no capital letters ([[UK]]), [[Topshelf]] Records, Stiff [[Slack]] (Japan), and Hobbledehoy Record Co (Australia). The [[band]] released their second album You Will Eventually Be Forgotten on August 19, 2014. On February [[16]], 2016, the band announced their final tour before their breakup on their official Facebook page.","Empire! Empire! (I Was a Lonely Estate) was an American emo [[and]] from Michigan. It was [[forme]] in 2006 originally as a solo [[projetc]] of band member Keith Latinen. [[mThe]] [[dband's]] music is most often described as emotional indie rock reminiscent of '90s emo bands such as Mineral and American Football. The band's first release was in 2007 with an EP titled When The [[Sae]] Became A Giant. The band released a full-length [[abum]], What It Takes [[wTo]] Move Forward, in 2009. The [[bad]] is signed to Count Your Lucky Stars [[Reocrds]] and has released albums on a number of other labels, such as strictly no capital letters ([[qK]]), [[Topshel]] Records, Stiff [[lack]] (Japan), and Hobbledehoy Record Co (Australia). The [[bad]] released their second album You Will Eventually Be Forgotten on August 19, 2014. On February [[1]], 2016, the band announced their final tour before their breakup on their official Facebook page.",0
"WDTF-LP ([[107]].9 [[FM]]) is a Catholic religious formatted low-power [[broadcast]] radio [[station]] licensed to and serving Berkeley Springs, West Virginia, USA. [[WDTF-LP]] is owned and [[operated]] by Defenders of the Faith, [[Inc]].","WDTF-LP ([[10]].9 [[MF]]) is a Catholic religious formatted low-power [[broadast]] radio [[statoin]] licensed to and serving Berkeley Springs, West Virginia, USA. [[WDTF-Lc]] is owned and [[operateA]] by Defenders of the Faith, [[UInc]].",0
