original_text,perturbed_text,label
"The 2003 All-Ireland Under-21 [[Hurling]] Championship final was a [[hurling]] match that was [[played]] at Semple Stadium, Thurles on 21 September 2003 to determine the [[winners]] of the 2003 All-Ireland Under-21 Hurling Championship, the 40th season of the All-Ireland Under-21 [[Hurling]] Championship, a tournament organised by the Gaelic Athletic Association for the champion teams of the four provinces of Ireland. The final was contested by Kilkenny of Leinster and Galway of Connacht, with Kilkenny winning by 2-13 to 0-12.","The 2003 All-Ireland Under-21 [[thrust]] Championship final was a [[throw]] match that was [[fiddle]] at Semple Stadium, Thurles on 21 September 2003 to determine the [[achiever]] of the 2003 All-Ireland Under-21 Hurling Championship, the 40th season of the All-Ireland Under-21 [[cast]] Championship, a tournament organised by the Gaelic Athletic Association for the champion teams of the four provinces of Ireland. The final was contested by Kilkenny of Leinster and Galway of Connacht, with Kilkenny winning by 2-13 to 0-12.",5
"Giulia Sergas ([[born]] [[26]] December 1979) is an Italian [[professional]] golfer, currently [[playing]] on both the LPGA [[Tour]] and the Ladies European [[Tour]].","Giulia Sergas ([[carry]] [[twenty-six]] December 1979) is an Italian [[master]] golfer, currently [[encounter]] on both the LPGA [[circuit]] and the Ladies European [[enlistment]].",0
"Yisrael Beiteinu (Hebrew: יִשְׂרָאֵל בֵּיתֵנוּ‎‎, lit. Israel is Our Home) is a secularist and right-wing nationalist political party in Israel. The party's [[base]] has traditionally been secular, Russian-speaking Israelis. The party describes itself as \""a national movement with the [[clear]] vision to follow in the bold path of Zev Jabotinsky\"", the founder of Revisionist Zionism. It primarily represents immigrants from the former Soviet Union. Although it has attempted to expand its appeal to more established Israelis, it has not been successful, and most of its voters are Russian-speaking. It takes a strong line towards the peace process and the integration of Israeli Arabs, characterized by its 2009 election slogan \""No loyalty, no citizenship\"". Its main platform includes a [[recognition]] of the two-state solution, the creation of a Palestinian state that would include an exchange of some largely Arab-inhabited parts of Israel for largely Jewish-inhabited parts of the West Bank. The party maintains an anti-clerical mantle and encourages socio-economic opportunities for [[new]] immigrants, in [[conjunction]] with efforts to increase Jewish immigration. In the 2009 election the party won 15 seats, its most to date, making it the third [[largest]] party in the previous Knesset. In the 2015 election, the party won six seats.","Yisrael Beiteinu (Hebrew: יִשְׂרָאֵל בֵּיתֵנוּ‎‎, lit. Israel is Our Home) is a secularist and right-wing nationalist political party in Israel. The party's [[found]] has traditionally been secular, Russian-speaking Israelis. The party describes itself as \""a national movement with the [[cleared]] vision to follow in the bold path of Zev Jabotinsky\"", the founder of Revisionist Zionism. It primarily represents immigrants from the former Soviet Union. Although it has attempted to expand its appeal to more established Israelis, it has not been successful, and most of its voters are Russian-speaking. It takes a strong line towards the peace process and the integration of Israeli Arabs, characterized by its 2009 election slogan \""No loyalty, no citizenship\"". Its main platform includes a [[credit]] of the two-state solution, the creation of a Palestinian state that would include an exchange of some largely Arab-inhabited parts of Israel for largely Jewish-inhabited parts of the West Bank. The party maintains an anti-clerical mantle and encourages socio-economic opportunities for [[newly]] immigrants, in [[continuative]] with efforts to increase Jewish immigration. In the 2009 election the party won 15 seats, its most to date, making it the third [[great]] party in the previous Knesset. In the 2015 election, the party won six seats.",0
"Hong Kong Tramways (Chinese: 香港電車) is a [[tram]] system in Hong Kong and one of the earliest forms of public [[transport]] in the metropolis. Owned and operated by Veolia [[Transport]] RATP Asia, the tramway runs on Hong Kong Island between Shau Kei Wan and Kennedy Town, with a branch circulating through Happy Valley. Trams in Hong Kong have not only been a form of commuter transport for over 110 years, but also a major tourist attraction and one of the most environmentally friendly ways of travelling in Hong Kong. The tram system is the only one in the world operated exclusively with double-decker [[trams]], and is one of only three non-heritage tram systems in the world that use double-deck cars. The [[tram]] is the cheapest mode of public transport on the island. The comparatively affordable fare is highlighted by Hong Kong Tramways' advertising slogan: \""Hop on 1. $2.3. Tram so easy!\""","Hong Kong Tramways (Chinese: 香港電車) is a [[streetcar]] system in Hong Kong and one of the earliest forms of public [[exaltation]] in the metropolis. Owned and operated by Veolia [[channel]] RATP Asia, the tramway runs on Hong Kong Island between Shau Kei Wan and Kennedy Town, with a branch circulating through Happy Valley. Trams in Hong Kong have not only been a form of commuter transport for over 110 years, but also a major tourist attraction and one of the most environmentally friendly ways of travelling in Hong Kong. The tram system is the only one in the world operated exclusively with double-decker [[streetcar]], and is one of only three non-heritage tram systems in the world that use double-deck cars. The [[streetcar]] is the cheapest mode of public transport on the island. The comparatively affordable fare is highlighted by Hong Kong Tramways' advertising slogan: \""Hop on 1. $2.3. Tram so easy!\""",0
"The II Grote Prijs van Danske (or 2nd Danish Grand Prix) was held on 26–27 August 1961, at the Roskilde Ring circuit, Roskilde, Denmark. The race was a non-Championship event run to Formula [[One]] rules. The race was run over three heats, [[one]] of 20 laps and two of 30 laps, and was won overall by Stirling Moss, who won all three heats in his Lotus 18/21. This was the first Formula One event to be held at the Roskildering, which was eventually closed in 1969. The first heat was held on the 26 August, a Saturday, with the final two heats on the Sunday.","The II Grote Prijs van Danske (or 2nd Danish Grand Prix) was held on 26–27 August 1961, at the Roskilde Ring circuit, Roskilde, Denmark. The race was a non-Championship event run to Formula [[unmatched]] rules. The race was run over three heats, [[unrivalled]] of 20 laps and two of 30 laps, and was won overall by Stirling Moss, who won all three heats in his Lotus 18/21. This was the first Formula One event to be held at the Roskildering, which was eventually closed in 1969. The first heat was held on the 26 August, a Saturday, with the final two heats on the Sunday.",5
"Stadion Feijenoord ([[pronounced]] [ˌstaːdijɔn ˈfɛiənoːrt]), more commonly [[known]] by its nickname De Kuip ([[pronounced]] [də ˈkœyp]; the Tub), is a stadium in Rotterdam, Netherlands that was completed in 1937. The name is derived from the [[area]] \""Feijenoord\"" in Rotterdam, and from the [[club]] with the same name (although the club's [[name]] was internationalised to Feyenoord in 1973). The stadium's original capacity was 64,000. [[In]] 1949 it was expanded to [[69]],000, and in 1994 it was [[renovated]] again for a [[capacity]] of 51,117. In 1999, a significant amount of restoration and [[interior]] [[work]] [[took]] place at the stadium prior to its use as a venue in the Euro 2000 tournament, although capacity was largely unaffected.","Stadion Feijenoord ([[enunciate]] [ˌstaːdijɔn ˈfɛiənoːrt]), more commonly [[jazz]] by its nickname De Kuip ([[label]] [də ˈkœyp]; the Tub), is a stadium in Rotterdam, Netherlands that was completed in 1937. The name is derived from the [[region]] \""Feijenoord\"" in Rotterdam, and from the [[guild]] with the same name (although the club's [[constitute]] was internationalised to Feyenoord in 1973). The stadium's original capacity was 64,000. [[Indiana]] 1949 it was expanded to [[ilxx]],000, and in 1994 it was [[revivify]] again for a [[content]] of 51,117. In 1999, a significant amount of restoration and [[upcountry]] [[influence]] [[charter]] place at the stadium prior to its use as a venue in the Euro 2000 tournament, although capacity was largely unaffected.",2
"D. Barclay Howard ([[27]] January 1953 – 19 May 2008) was a Scottish amateur golfer. He was regarded as one of the finest golfers of his time and considered a folk-hero. He has had a lifetime relationship with Cochrane Castle Golf Club in Johnstone, Renfrewshire.","D. Barclay Howard ([[XXVII]] January 1953 – 19 May 2008) was a Scottish amateur golfer. He was regarded as one of the finest golfers of his time and considered a folk-hero. He has had a lifetime relationship with Cochrane Castle Golf Club in Johnstone, Renfrewshire.",0
"Paperman (stylized as paperman) is a 2012 black-and-white 3D romantic comedy [[short]] [[film]]. [[Produced]] by Walt Disney [[Animation]] Studios and [[directed]] by John Kahrs, the short blends traditional [[animation]] and computer [[animation]]. It won both the Academy Award for [[Best]] [[Animated]] Short [[Film]] at the 85th Academy Awards and the Annie Award for [[Best]] [[Animated]] [[Short]] [[Subject]] at the 40th Annie Awards. Paperman was the [[first]] [[animated]] [[short]] [[film]] [[produced]] by Walt Disney [[Animation]] Studios to win an Academy Award since It's [[Tough]] to [[Be]] a Bird in 1970.","Paperman (stylized as paperman) is a 2012 black-and-white 3D romantic comedy [[light]] [[cinema]]. [[raise]] by Walt Disney [[living]] Studios and [[guide]] by John Kahrs, the short blends traditional [[living]] and computer [[living]]. It won both the Academy Award for [[beneficial]] [[inspire]] Short [[cinema]] at the 85th Academy Awards and the Annie Award for [[honorable]] [[inspire]] [[abruptly]] [[issue]] at the 40th Annie Awards. Paperman was the [[commencement]] [[alive]] [[light]] [[celluloid]] [[produce]] by Walt Disney [[liveliness]] Studios to win an Academy Award since It's [[toughie]] to [[beryllium]] a Bird in 1970.",1
"Op:l Bastards was formed by Timo Kaukolampi ([[born]] 1971), Vilunki 3000 (real name: Mikko Viljakainen, b. 1973) and Tuomo Puranen from Helsinki, Finland. Kaukolampi and Vilunki had earlier on played in the garage rock band Larry and the Lefthanded. Their original name was Opel Bastards, but they had to change it due to the pressure from Opel company. Their music is categorised as electronic music. They are described as having \""specializ[ed] in Kraut-baiting impenetrability.\"" In 2007 Op:l Bastards had their first gig in five years on the 18th of August at Flow festival of Helsinki. The Job album was re-released on Op:l's record label Lefta Records in Finland, with liner notes written by Philip Oakey (of The Human League fame). The group released their second album in 2009","Op:l Bastards was formed by Timo Kaukolampi ([[behave]] 1971), Vilunki 3000 (real name: Mikko Viljakainen, b. 1973) and Tuomo Puranen from Helsinki, Finland. Kaukolampi and Vilunki had earlier on played in the garage rock band Larry and the Lefthanded. Their original name was Opel Bastards, but they had to change it due to the pressure from Opel company. Their music is categorised as electronic music. They are described as having \""specializ[ed] in Kraut-baiting impenetrability.\"" In 2007 Op:l Bastards had their first gig in five years on the 18th of August at Flow festival of Helsinki. The Job album was re-released on Op:l's record label Lefta Records in Finland, with liner notes written by Philip Oakey (of The Human League fame). The group released their second album in 2009",0
"The Hamilton [[Spectator]], [[founded]] in 1846, is a [[newspaper]] [[published]] every day but Sunday in Hamilton, Ontario, Canada.","The Hamilton [[witness]], [[constitute]] in 1846, is a [[newsprint]] [[write]] every day but Sunday in Hamilton, Ontario, Canada.",1
