original_text,perturbed_text,label
"Les Disques du Crépuscule is an [[independent]] [[record]] label founded in Belgium. The label was founded in 1980 by Michel Duval and Annik Honoré. It also had a prominent associated sublabel, Factory Benelux. Both are now run by former employee James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the label's catalogue [[numbers]] being prefixed by the letters TWI.","Les Disques du Crépuscule is an [[fencesitter]] [[immortalize]] label founded in Belgium. The label was founded in 1980 by Michel Duval and Annik Honoré. It also had a prominent associated sublabel, Factory Benelux. Both are now run by former employee James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the label's catalogue [[numerate]] being prefixed by the letters TWI.",0
"The 2003 All-Ireland Under-21 Hurling [[Championship]] [[final]] was a hurling [[match]] that was [[played]] at Semple [[Stadium]], Thurles on 21 [[September]] 2003 to [[determine]] the [[winners]] of the 2003 All-Ireland Under-21 [[Hurling]] [[Championship]], the 40th [[season]] of the All-Ireland Under-21 [[Hurling]] [[Championship]], a tournament [[organised]] by the Gaelic [[Athletic]] [[Association]] for the [[champion]] [[teams]] of the [[four]] [[provinces]] of Ireland. The [[final]] was [[contested]] by Kilkenny of Leinster and Galway of Connacht, with Kilkenny [[winning]] by 2-13 to 0-12.","The 2003 All-Ireland Under-21 Hurling [[title]] [[last]] was a hurling [[twin]] that was [[represent]] at Semple [[arena]], Thurles on 21 [[Sep]] 2003 to [[mold]] the [[winner]] of the 2003 All-Ireland Under-21 [[throw]] [[patronage]], the 40th [[harden]] of the All-Ireland Under-21 [[cast]] [[backing]], a tournament [[coordinate]] by the Gaelic [[acrobatic]] [[connexion]] for the [[virtuoso]] [[squad]] of the [[IV]] [[province]] of Ireland. The [[last]] was [[contend]] by Kilkenny of Leinster and Galway of Connacht, with Kilkenny [[gain]] by 2-13 to 0-12.",5
"Damon Kyle Wayans, Sr. (/ˈdeɪmən ˈweɪ.ənz/; [[born]] [[September]] [[4]], 1960) is an American [[actor]], comedian, writer and producer, and [[member]] of the Wayans [[family]] of entertainers. Wayans performed as a comedian and [[actor]] throughout the 1980s, including a yearlong [[stint]] on the [[sketch]] comedy series [[Saturday]] Night [[Live]], although his [[true]] breakthrough [[came]] as a co-creator and performer on his own [[sketch]] [[comedy]] [[show]], In [[Living]] [[Color]], from 1990 to 1992. Since then he has starred in a [[number]] of films and television shows, some of which he has co-produced or co-written, including The Last Boy Scout and Major Payne, and the sitcom My Wife and Kids.","Damon Kyle Wayans, Sr. (/ˈdeɪmən ˈweɪ.ənz/; [[abide]] [[Sept]] [[quartet]], 1960) is an American [[player]], comedian, writer and producer, and [[penis]] of the Wayans [[home]] of entertainers. Wayans performed as a comedian and [[player]] throughout the 1980s, including a yearlong [[stretch]] on the [[outline]] comedy series [[Sat]] Night [[unrecorded]], although his [[reliable]] breakthrough [[fare]] as a co-creator and performer on his own [[survey]] [[funniness]] [[indicate]], In [[keep]] [[coloration]], from 1990 to 1992. Since then he has starred in a [[amount]] of films and television shows, some of which he has co-produced or co-written, including The Last Boy Scout and Major Payne, and the sitcom My Wife and Kids.",0
"The Brockville Football [[Club]] was a team that [[played]] in the QRFU at the [[turn]] of the century. They had [[great]] [[success]] early on in their [[history]]. In 1899, they finished in [[first]] place in the QRFU but [[lost]] to [[Ottawa]] College in the Quebec finals. They won the QRFU Championship in 1900 but [[lost]] in the Dominion [[Final]] to the [[Ottawa]] [[Rough]] Riders.","The Brockville Football [[bludgeon]] was a team that [[represent]] in the QRFU at the [[spell]] of the century. They had [[outstanding]] [[winner]] early on in their [[account]]. In 1899, they finished in [[outset]] place in the QRFU but [[lose]] to [[Outaouais]] College in the Quebec finals. They won the QRFU Championship in 1900 but [[baffled]] in the Dominion [[final]] to the [[Outaouais]] [[rough]] Riders.",0
"The Savages were an American garage [[rock]] [[band]] from Bermuda that were active in the mid-1960s. They are best remembered for their album, Live 'n Wild, which was composed largely of self-penned tunes and recorded in front of a live audience, has been mentioned as a seminal work in the genre, and features the song, \""The World Ain't Round It's Square\"". This song has become regarded as a classic 1960s anthem of youthful defiance.","The Savages were an American garage [[sway]] [[stripe]] from Bermuda that were active in the mid-1960s. They are best remembered for their album, Live 'n Wild, which was composed largely of self-penned tunes and recorded in front of a live audience, has been mentioned as a seminal work in the genre, and features the song, \""The World Ain't Round It's Square\"". This song has become regarded as a classic 1960s anthem of youthful defiance.",0
"Stadion Feijenoord ([[pronounced]] [ˌstaːdijɔn ˈfɛiənoːrt]), more [[commonly]] [[known]] by its [[nickname]] De Kuip ([[pronounced]] [də ˈkœyp]; the Tub), is a [[stadium]] in Rotterdam, Netherlands that was completed in 1937. The [[name]] is [[derived]] from the [[area]] \""Feijenoord\"" in Rotterdam, and from the [[club]] with the same [[name]] (although the club's [[name]] was internationalised to Feyenoord in 1973). The stadium's original [[capacity]] was 64,000. [[In]] 1949 it was [[expanded]] to 69,000, and in 1994 it was renovated again for a [[capacity]] of [[51]],117. In 1999, a significant amount of restoration and interior work [[took]] [[place]] at the [[stadium]] prior to its [[use]] as a [[venue]] in the Euro 2000 tournament, although [[capacity]] was largely unaffected.","Stadion Feijenoord ([[articulate]] [ˌstaːdijɔn ˈfɛiənoːrt]), more [[usually]] [[jazz]] by its [[dub]] De Kuip ([[articulate]] [də ˈkœyp]; the Tub), is a [[arena]] in Rotterdam, Netherlands that was completed in 1937. The [[epithet]] is [[descend]] from the [[orbit]] \""Feijenoord\"" in Rotterdam, and from the [[order]] with the same [[nominate]] (although the club's [[figure]] was internationalised to Feyenoord in 1973). The stadium's original [[capacitance]] was 64,000. [[inward]] 1949 it was [[thrive]] to 69,000, and in 1994 it was renovated again for a [[capability]] of [[li]],117. In 1999, a significant amount of restoration and interior work [[deal]] [[office]] at the [[bowl]] prior to its [[habit]] as a [[locus]] in the Euro 2000 tournament, although [[content]] was largely unaffected.",2
"Bishop's Stortford is an English [[rugby]] union team [[based]] in Bishop's Stortford, Hertfordshire. The club runs five senior sides and the full range of Mini & junior teams, from under-6's to under-18's.  and the first XV currently plays in National League 2 South.","Bishop's Stortford is an English [[rugger]] union team [[ground]] in Bishop's Stortford, Hertfordshire. The club runs five senior sides and the full range of Mini & junior teams, from under-6's to under-18's.  and the first XV currently plays in National League 2 South.",0
"These are the results of the men's horizontal [[bar]] competition, [[one]] of eight [[events]] for [[male]] [[competitors]] in artistic gymnastics at the 2000 Summer Olympics in Sydney. The [[qualification]] and final [[rounds]] [[took]] [[place]] on [[September]] 16 and [[25]] at the Sydney SuperDome.","These are the results of the men's horizontal [[prevention]] competition, [[1]] of eight [[effect]] for [[manly]] [[challenger]] in artistic gymnastics at the 2000 Summer Olympics in Sydney. The [[making]] and final [[beat]] [[necessitate]] [[pose]] on [[Sept]] 16 and [[twenty-five]] at the Sydney SuperDome.",5
"The Hamilton [[Spectator]], [[founded]] in 1846, is a [[newspaper]] [[published]] every day but [[Sunday]] in Hamilton, Ontario, Canada.","The Hamilton [[viewer]], [[institute]] in 1846, is a [[paper]] [[write]] every day but [[Dominicus]] in Hamilton, Ontario, Canada.",1
"Op:l Bastards was [[formed]] by Timo Kaukolampi (born 1971), Vilunki 3000 (real name: Mikko Viljakainen, b. 1973) and Tuomo Puranen from Helsinki, Finland. Kaukolampi and Vilunki had earlier on played in the garage rock band Larry and the Lefthanded. Their original name was Opel Bastards, but they had to change it due to the pressure from Opel company. Their music is categorised as electronic music. They are described as having \""specializ[ed] in Kraut-baiting impenetrability.\"" In 2007 Op:l Bastards had their first gig in five years on the 18th of August at Flow festival of Helsinki. The Job album was re-released on Op:l's record label Lefta Records in Finland, with liner notes written by Philip Oakey (of The Human League fame). The group released their second album in 2009","Op:l Bastards was [[work]] by Timo Kaukolampi (born 1971), Vilunki 3000 (real name: Mikko Viljakainen, b. 1973) and Tuomo Puranen from Helsinki, Finland. Kaukolampi and Vilunki had earlier on played in the garage rock band Larry and the Lefthanded. Their original name was Opel Bastards, but they had to change it due to the pressure from Opel company. Their music is categorised as electronic music. They are described as having \""specializ[ed] in Kraut-baiting impenetrability.\"" In 2007 Op:l Bastards had their first gig in five years on the 18th of August at Flow festival of Helsinki. The Job album was re-released on Op:l's record label Lefta Records in Finland, with liner notes written by Philip Oakey (of The Human League fame). The group released their second album in 2009",0
Port Whines is an animated [[short]] [[film]] by the Columbia [[Pictures]] [[Corporation]]. It is also the 136th Krazy Kat cartoon.,Port Whines is an animated [[shortstop]] [[celluloid]] by the Columbia [[video]] [[corp]]. It is also the 136th Krazy Kat cartoon.,1
"Gloucester Rugby is a professional English rugby [[union]] [[club]] [[situated]] in the West [[Country]] city of Gloucester, and [[formed]] in 1873. It now [[plays]] in the [[domestic]] Premiership, the Anglo-Welsh Cup and the European Professional [[Club]] Rugby competitions. The home stadium in the district of Kingsholm, just outside Gloucester City [[Centre]]. The [[club]] has no [[official]] [[nickname]] but are occasionally [[referred]] to as the '[[Cherry]] and Whites' by [[supporters]] and the [[media]] in reference to the traditional hooped shirts [[worn]] by the team. [[Matches]] with local [[rivals]] [[Bath]], Worcester Warriors and Bristol are [[referred]] to as [[West]] [[Country]] derbies.","Gloucester Rugby is a professional English rugby [[pairing]] [[clubhouse]] [[located]] in the West [[country]] city of Gloucester, and [[work]] in 1873. It now [[run]] in the [[domesticated]] Premiership, the Anglo-Welsh Cup and the European Professional [[clubhouse]] Rugby competitions. The home stadium in the district of Kingsholm, just outside Gloucester City [[heart]]. The [[bludgeon]] has no [[functionary]] [[moniker]] but are occasionally [[refer]] to as the '[[reddish]] and Whites' by [[suspensor]] and the [[sensitive]] in reference to the traditional hooped shirts [[fatigue]] by the team. [[equate]] with local [[competition]] [[bath]], Worcester Warriors and Bristol are [[touch]] to as [[W]] [[area]] derbies.",0
"Günther Seiffert ([[born]] 18 October 1937) is a [[former]] racing driver from Germany. [[He]] [[made]] [[one]] [[attempt]] at a [[World]] Championship Formula [[One]] event, [[entering]] the 1962 German Grand Prix with a [[Lotus]] [[run]] by Wolfgang Seidel's team. The [[car]] was [[shared]] with Seidel himself, but they [[failed]] to qualify it. Seiffert also [[participated]] in several non-Championship Formula [[One]] races during 1962–63, [[mostly]] for Seidel's team. [[He]] generally [[qualified]] at the [[back]] of the grid, and when he [[finished]] [[races]], it was usually also at the [[back]] of the [[field]]. [[He]] [[drew]] attention to himself at the 1962 Lavant [[Cup]] when he [[knocked]] John Surtees out of the race, but his [[best]] showing was in his [[last]] Formula [[One]] event, where he [[finished]] seventh, albeit [[12]] laps down, at the 1963 Austrian [[Grand]] Prix.","Günther Seiffert ([[hold]] 18 October 1937) is a [[previous]] racing driver from Germany. [[helium]] [[realise]] [[1]] [[endeavour]] at a [[reality]] Championship Formula [[unitary]] event, [[entry]] the 1962 German Grand Prix with a [[lotus]] [[race]] by Wolfgang Seidel's team. The [[auto]] was [[deal]] with Seidel himself, but they [[bomb]] to qualify it. Seiffert also [[participate]] in several non-Championship Formula [[ace]] races during 1962–63, [[generally]] for Seidel's team. [[he]] generally [[qualify]] at the [[binding]] of the grid, and when he [[end]] [[race]], it was usually also at the [[support]] of the [[arena]]. [[helium]] [[draw]] attention to himself at the 1962 Lavant [[cup]] when he [[pink]] John Surtees out of the race, but his [[beneficial]] showing was in his [[final]] Formula [[single]] event, where he [[end]] seventh, albeit [[twelve]] laps down, at the 1963 Austrian [[sumptuous]] Prix.",0
"Allegheny [[Mountain]] is a stratigraphic [[ridge]] that extends [[northeast]] to [[southwest]] from [[south]] of [[Blue]] [[Knob]] (Pennsylvania) to a saddle [[point]] at the [[Savage]] [[Mountain]] anticline. It [[merges]] with [[Negro]] [[Mountain]] just north of the Cambria [[County]] [[line]] where the Berlin-Salisbury basin [[expires]] . Eastern Continental [[Divide]] (ECD) The ECD [[enters]] Allegheny [[Mountain]] [[south]] of Fraziers [[Pass]] and [[follows]] the Allegheny [[Backbone]]  [[southwest]] where it [[leaves]] the escarpment toward the [[saddle]] [[point]] to the [[southeast]] between headwaters of Flaugherty and [[Wills]] [[Creeks]], at which the ECD enters the Savage Mountain anticline.","Allegheny [[plenty]] is a stratigraphic [[rooftree]] that extends [[nor'-east]] to [[sou'-west]] from [[South]] of [[grim]] [[boss]] (Pennsylvania) to a saddle [[stop]] at the [[savage]] [[pot]] anticline. It [[meld]] with [[negro]] [[batch]] just north of the Cambria [[county]] [[stock]] where the Berlin-Salisbury basin [[croak]] . Eastern Continental [[split]] (ECD) The ECD [[recruit]] Allegheny [[mint]] [[Confederacy]] of Fraziers [[notch]] and [[comply]] the Allegheny [[back]]  [[SW]] where it [[leaf]] the escarpment toward the [[charge]] [[stop]] to the [[south-east]] between headwaters of Flaugherty and [[leave]] [[brook]], at which the ECD enters the Savage Mountain anticline.",2
