original_text,perturbed_text,label
"[[The]] [[2003]] [[All-Ireland]] Under-21 Hurling [[Championship]] [[final]] was a hurling match that was played at Semple [[Stadium]], Thurles on [[21]] [[September]] 2003 to [[determine]] the [[winners]] of the 2003 All-Ireland Under-21 Hurling Championship, the 40th season of the All-Ireland Under-21 Hurling Championship, a tournament organised by the Gaelic Athletic Association for the champion teams of the four provinces of Ireland. [[The]] [[final]] was contested by Kilkenny of Leinster and Galway of Connacht, with Kilkenny winning by 2-13 to 0-12.","[[Te]] [[ᒿ003]] [[All-Irelanԁ]] Under-21 Hurling [[Chmapionship]] [[finaⅼ]] was a hurling match that was played at Semple [[S𝚝adium]], Thurles on [[2l]] [[Septembeⲅ]] 2003 to [[deterｍine]] the [[winnеrs]] of the 2003 All-Ireland Under-21 Hurling Championship, the 40th season of the All-Ireland Under-21 Hurling Championship, a tournament organised by the Gaelic Athletic Association for the champion teams of the four provinces of Ireland. [[T]] [[he]] [[finl]] was contested by Kilkenny of Leinster and Galway of Connacht, with Kilkenny winning by 2-13 to 0-12.",5
"The Brockville Football [[Club]] was a team that played in the QRFU at the turn of the century. They had great success early on in their history. In 1899, they finished in first place in the QRFU but lost to Ottawa College in the Quebec finals. They won the QRFU Championship in 1900 but lost in the Dominion Final to the Ottawa Rough Riders.","The Brockville Football [[Cl]] [[ub]] was a team that played in the QRFU at the turn of the century. They had great success early on in their history. In 1899, they finished in first place in the QRFU but lost to Ottawa College in the Quebec finals. They won the QRFU Championship in 1900 but lost in the Dominion Final to the Ottawa Rough Riders.",0
"Yisrael [[Beiteinu]] ([[Hebrew]]: יִשְׂרָאֵל בֵּיתֵנוּ‎‎, lit. Israel is Our Home) is a secularist and right-wing nationalist political [[party]] in Israel. The [[party's]] base has [[traditionally]] been secular, Russian-speaking Israelis. The [[party]] describes itself as \""a national [[movement]] with the clear vision to follow in the bold path of Zev [[Jabotinsky]]\"", the founder of Revisionist Zionism. It primarily represents immigrants from the former Soviet Union. Although it has attempted to expand its appeal to more [[established]] Israelis, it has not been successful, and most of its voters are [[Russian-speaking]]. It [[takes]] a strong line towards the [[peace]] process and the [[integration]] of Israeli Arabs, characterized by its [[2009]] election slogan \""No [[loyalty]], no [[citizenship]]\"". Its [[main]] platform [[includes]] a [[recognition]] of the two-state solution, the creation of a Palestinian state that would include an exchange of some largely [[Arab-inhabited]] [[parts]] of Israel for largely Jewish-inhabited parts of the West Bank. The [[party]] [[maintains]] an anti-clerical [[mantle]] and encourages socio-economic opportunities for new immigrants, in [[conjunction]] with efforts to increase Jewish immigration. In the [[2009]] election the [[party]] won [[15]] [[seats]], its most to date, [[making]] it the third largest [[party]] in the previous [[Knesset]]. In the [[2015]] election, the [[party]] won six seats.","Yisrael [[Beiteiu]] ([[Hеbrew]]: יִשְׂרָאֵל בֵּיתֵנוּ‎‎, lit. Israel is Our Home) is a secularist and right-wing nationalist political [[partу]] in Israel. The [[praty's]] base has [[traditionalⅼy]] been secular, Russian-speaking Israelis. The [[par𝚝y]] describes itself as \""a national [[movemen𝚝]] with the clear vision to follow in the bold path of Zev [[JaЬotinsky]]\"", the founder of Revisionist Zionism. It primarily represents immigrants from the former Soviet Union. Although it has attempted to expand its appeal to more [[establisheԁ]] Israelis, it has not been successful, and most of its voters are [[Russian˗speaking]]. It [[takeѕ]] a strong line towards the [[pеace]] process and the [[integra𝚝ion]] of Israeli Arabs, characterized by its [[200৭]] election slogan \""No [[loyal𝚝y]], no [[citizenѕhip]]\"". Its [[ｍain]] platform [[includeѕ]] a [[recogni𝚝ion]] of the two-state solution, the creation of a Palestinian state that would include an exchange of some largely [[AraЬ-inhabited]] [[pɑrts]] of Israel for largely Jewish-inhabited parts of the West Bank. The [[par𝚝y]] [[maintainѕ]] an anti-clerical [[mantⅼe]] and encourages socio-economic opportunities for new immigrants, in [[conjunc𝚝ion]] with efforts to increase Jewish immigration. In the [[209]] election the [[paⲅty]] won [[1Ƽ]] [[sets]], its most to date, [[ma𝒌ing]] it the third largest [[pɑrty]] in the previous [[Knesse𝚝]]. In the [[2O15]] election, the [[par𝚝y]] won six seats.",0
"[[Stadion]] Feijenoord ([[pronounced]] [ˌstaːdijɔn ˈfɛiənoːrt]), more commonly known by its nickname De Kuip ([[pronounced]] [də [[ˈkœyp]]]; the Tub), is a [[stadium]] in [[Rotterdam]], [[Netherlands]] that was [[completed]] in [[1937]]. [[The]] name is derived from the [[area]] \""Feijenoord\"" in [[Rotterdam]], and from the club with the same name (although the club's name was internationalised to Feyenoord in 1973). The stadium's original capacity was 64,000. In 1949 it was expanded to 69,000, and in 1994 it was [[renovated]] again for a capacity of 51,117. In 1999, a significant amount of restoration and interior work took place at the [[stadium]] prior to its use as a venue in the Euro 2000 tournament, although capacity was largely unaffected.","[[Staԁion]] Feijenoord ([[pronounceԁ]] [ˌstaːdijɔn ˈfɛiənoːrt]), more commonly known by its nickname De Kuip ([[pronounceԁ]] [də [[ˈkyœp]]]; the Tub), is a [[stɑdium]] in [[Rotterdaｍ]], [[Netherlandѕ]] that was [[completeԁ]] in [[193𝟕]]. [[Te]] name is derived from the [[aⲅea]] \""Feijenoord\"" in [[Rotterdaｍ]], and from the club with the same name (although the club's name was internationalised to Feyenoord in 1973). The stadium's original capacity was 64,000. In 1949 it was expanded to 69,000, and in 1994 it was [[renovateԁ]] again for a capacity of 51,117. In 1999, a significant amount of restoration and interior work took place at the [[stdium]] prior to its use as a venue in the Euro 2000 tournament, although capacity was largely unaffected.",2
"[[Gloucester]] [[Rugby]] is a professional English [[rugby]] union club situated in the West Country city of Gloucester, and formed in 1873. It now plays in the domestic Premiership, the Anglo-Welsh Cup and the European Professional Club Rugby competitions. The home stadium in the district of Kingsholm, just outside Gloucester [[City]] [[Centre]]. [[The]] club has no official nickname but are occasionally referred to as the 'Cherry and Whites' by supporters and the media in reference to the traditional hooped shirts worn by the team. Matches with local rivals Bath, Worcester Warriors and Bristol are referred to as [[West]] Country derbies.","[[Glouces𝚝er]] [[Ruby]] is a professional English [[ru]] [[gby]] union club situated in the West Country city of Gloucester, and formed in 1873. It now plays in the domestic Premiership, the Anglo-Welsh Cup and the European Professional Club Rugby competitions. The home stadium in the district of Kingsholm, just outside Gloucester [[Cіty]] [[Cetre]]. [[Thе]] club has no official nickname but are occasionally referred to as the 'Cherry and Whites' by supporters and the media in reference to the traditional hooped shirts worn by the team. Matches with local rivals Bath, Worcester Warriors and Bristol are referred to as [[Wes𝚝]] Country derbies.",0
"The Savages were an American garage rock [[band]] from Bermuda that were active in the mid-1960s. They are best remembered for their album, Live 'n Wild, which was composed largely of self-penned tunes and recorded in front of a live audience, has been mentioned as a seminal work in the genre, and features the song, \""The World Ain't Round It's Square\"". This song has become regarded as a classic 1960s anthem of youthful defiance.","The Savages were an American garage rock [[bnad]] from Bermuda that were active in the mid-1960s. They are best remembered for their album, Live 'n Wild, which was composed largely of self-penned tunes and recorded in front of a live audience, has been mentioned as a seminal work in the genre, and features the song, \""The World Ain't Round It's Square\"". This song has become regarded as a classic 1960s anthem of youthful defiance.",0
"[[The]] [[1994]] Taiwan [[Strait]] [[earthquake]] occurred on September 16, 1994 at 14:20 local time (06:20 UTC) in the southern Taiwan Strait. The magnitude of this [[earthquake]] was given as Mw 6.8 by USGS and Ms 7.3 by Fujian Seismological Bureau. The epicenter was located about 150 to 180 km from the coast of the border of Guangdong and Fujian, and about 150 km southwest of Taiwan.","[[Te]] [[l994]] Taiwan [[Srtait]] [[earthquke]] occurred on September 16, 1994 at 14:20 local time (06:20 UTC) in the southern Taiwan Strait. The magnitude of this [[eartհquake]] was given as Mw 6.8 by USGS and Ms 7.3 by Fujian Seismological Bureau. The epicenter was located about 150 to 180 km from the coast of the border of Guangdong and Fujian, and about 150 km southwest of Taiwan.",5
"D. [[Barclay]] Howard (27 [[January]] [[1953]] – 19 [[May]] 2008) was a [[Scottish]] amateur [[golfer]]. He was [[regarded]] as one of the [[finest]] golfers of his time and considered a [[folk-hero]]. He has had a lifetime [[relationship]] with Cochrane [[Castle]] Golf Club in [[Johnstone]], Renfrewshire.","D. [[Barcⅼay]] Howard (27 [[Jauary]] [[1]] [[953]] – 19 [[M]] [[ay]] 2008) was a [[Scottiѕh]] amateur [[golf]] [[er]]. He was [[regardeԁ]] as one of the [[fines𝚝]] golfers of his time and considered a [[fоlk-hero]]. He has had a lifetime [[relations]] [[hip]] with Cochrane [[Castⅼe]] Golf Club in [[Johnstoոe]], Renfrewshire.",0
"Op:l Bastards was [[formed]] by Timo Kaukolampi (born 1971), Vilunki 3000 (real name: Mikko Viljakainen, b. 1973) and Tuomo Puranen from Helsinki, Finland. Kaukolampi and Vilunki had earlier on played in the garage rock band Larry and the Lefthanded. Their original name was Opel Bastards, but they had to change it due to the pressure from Opel company. Their music is categorised as electronic music. They are described as having \""specializ[ed] in Kraut-baiting impenetrability.\"" In 2007 Op:l Bastards had their first gig in five years on the 18th of August at Flow festival of Helsinki. The Job album was re-released on Op:l's record label Lefta Records in Finland, with liner notes written by Philip Oakey (of The Human League fame). The group released their second album in 2009","Op:l Bastards was [[formеd]] by Timo Kaukolampi (born 1971), Vilunki 3000 (real name: Mikko Viljakainen, b. 1973) and Tuomo Puranen from Helsinki, Finland. Kaukolampi and Vilunki had earlier on played in the garage rock band Larry and the Lefthanded. Their original name was Opel Bastards, but they had to change it due to the pressure from Opel company. Their music is categorised as electronic music. They are described as having \""specializ[ed] in Kraut-baiting impenetrability.\"" In 2007 Op:l Bastards had their first gig in five years on the 18th of August at Flow festival of Helsinki. The Job album was re-released on Op:l's record label Lefta Records in Finland, with liner notes written by Philip Oakey (of The Human League fame). The group released their second album in 2009",0
"Le [[Bonheur]] [[Children's]] [[Hospital]] is a [[255-bed]], [[tertiary]] [[care]] [[children's]] [[hospital]] [[located]] in [[Downtown]] [[Memphis]], [[Tennessee]]. Le Bonheur has more than [[700]] [[medical]] [[staff]] representing 40 pediatric specialties. Approximately [[170]] [[patients]] [[per]] day are admitted, [[mostly]] from Tennessee and [[nearby]] [[states]] but also from around the [[world]], mainly [[due]] to its nationally recognized [[brain]] [[tumor]] program, [[affiliation]] with St. Jude Children's Research [[Hospital]] and for being the home of the Children's [[Foundation]] Research [[Center]]. Le Bonheur functions as the region's primary [[level]] [[1]] pediatric [[trauma]] center. [[The]] [[hospital]] [[cares]] for 14,000 patients every year, including about 81,000 visits to the emergency department a year and 8,800 surgeries per year. Le Bonheur also serves as a teaching [[hospital]] affiliated with the University of Tennessee [[Health]] Science Center and offers training in general pediatrics and pediatric sub-specialties. For the past couple of years the [[hospital]] has been recognized among the nation’s “Best Children’s Hospitals” by U.S. [[News]] and [[World]] Report.","Le [[Boոheur]] [[Children`s]] [[Hospitaⅼ]] is a [[25Ƽ-bed]], [[tertiaⲅy]] [[caⲅe]] [[childⲅen's]] [[հospital]] [[locateԁ]] in [[Downtоwn]] [[Memphiѕ]], [[Tennesѕee]]. Le Bonheur has more than [[70O]] [[mеdical]] [[staf𝚏]] representing 40 pediatric specialties. Approximately [[1𝟕0]] [[patents]] [[peⲅ]] day are admitted, [[mostⅼy]] from Tennessee and [[neaⲅby]] [[stateѕ]] but also from around the [[worlԁ]], mainly [[ԁue]] to its nationally recognized [[bⲅain]] [[tumoⲅ]] program, [[affiliatoin]] with St. Jude Children's Research [[Hosptial]] and for being the home of the Children's [[Foսndation]] Research [[Centeⲅ]]. Le Bonheur functions as the region's primary [[leveⅼ]] [[l]] pediatric [[trauｍa]] center. [[Te]] [[hosрital]] [[careѕ]] for 14,000 patients every year, including about 81,000 visits to the emergency department a year and 8,800 surgeries per year. Le Bonheur also serves as a teaching [[hospitaⅼ]] affiliated with the University of Tennessee [[Heal𝚝h]] Science Center and offers training in general pediatrics and pediatric sub-specialties. For the past couple of years the [[hospitaⅼ]] has been recognized among the nation’s “Best Children’s Hospitals” by U.S. [[Newѕ]] and [[Wоrld]] Report.",2
