original_text,perturbed_text,label
"The [[Canal]] [[Latéral]] à la Loire was constructed between 1827 and 1838 to connect the Canal de Briare at Briare and the Canal du Centre at Digoin, a distance of 196 km. [[It]] [[replaced]] the use of the River Loire which had reliability problems arising from winter floods and summer droughts. Aqueducts were used to cross the River Allier at Le Guétin (in the commune of Cuffy) and the River Loire at Digoin, but because of the extreme length required, one was not built to cross the Loire River at Briare until 1896 when the Briare aqueduct was constructed.","The [[Canaⅼ]] [[Lɑtéral]] à la Loire was constructed between 1827 and 1838 to connect the Canal de Briare at Briare and the Canal du Centre at Digoin, a distance of 196 km. [[I𝚝]] [[replaceԁ]] the use of the River Loire which had reliability problems arising from winter floods and summer droughts. Aqueducts were used to cross the River Allier at Le Guétin (in the commune of Cuffy) and the River Loire at Digoin, but because of the extreme length required, one was not built to cross the Loire River at Briare until 1896 when the Briare aqueduct was constructed.",2
"Les [[Disques]] du Crépuscule is an independent record [[label]] founded in [[Belgium]]. The [[label]] was founded in 1980 by [[Michel]] [[Duval]] and Annik Honoré. It also had a prominent associated sublabel, [[Factory]] Benelux. [[Both]] are now run by former [[employee]] James [[Nice]]. \""Crépuscule\"" translates as \""twilight\"", with most of the label's catalogue numbers being prefixed by the letters TWI.","Les [[Disquеs]] du Crépuscule is an independent record [[lɑbel]] founded in [[Blgium]]. The [[la]] [[bel]] was founded in 1980 by [[Mіchel]] [[Duvaⅼ]] and Annik Honoré. It also had a prominent associated sublabel, [[Factoⲅy]] Benelux. [[Botհ]] are now run by former [[emploуee]] James [[Niϲe]]. \""Crépuscule\"" translates as \""twilight\"", with most of the label's catalogue numbers being prefixed by the letters TWI.",0
"These are the results of the women's individual all-around competition, [[one]] of six events for female competitors in [[artistic]] [[gymnastics]] at the 2000 [[Summer]] [[Olympics]] in [[Sydney]]. The qualification and [[final]] [[rounds]] [[took]] [[place]] on [[September]] [[17]] and [[21]] at the [[Sydney]] SuperDome. The all-around competition in the [[discipline]] of [[women's]] [[artistic]] [[gymnastics]] (WAG) was [[marred]] by [[three]] separate [[scandals]]. The vault [[apparatus]] was [[set]] incorrectly for more than half of the [[meet]]; [[consequently]] [[many]] gymnasts [[fell]] or were [[injured]] on the event. [[The]] apparatus was [[adjusted]] during the third [[rotation]] and those gymnasts who had [[vaulted]] on the incorrectly [[set]] equipment were [[invited]] to re-do the event at the end of the competition. [[Notably]], [[Svetlana]] Khorkina, who [[led]] [[champion]] Andreea [[Răducan]] by [[nearly]] [[0]].[[3]] in qualifications, was thrown out of medal [[contention]] [[due]] to the wrongly [[measured]] vault. Additionally, [[world]] all-around silver medalist Viktoria Karpenko, who [[led]] the competition until the [[last]] rotation, was thrown from [[first]] [[place]] after she [[stubbed]] her [[toe]], [[tripped]], and fell out of [[bounds]] on her floor [[exercise]]. These are testaments to the [[upset]] of the [[entire]] competition. Finally, though not necessarily a favorite for an [[all-around]] medal, Dong [[Fangxiao]] was found in 2010 to have been underaged at the [[Sydney]] Olympics. Consequently, all of her results from the [[competition]] - including her all-around results - were cancelled.","These are the results of the women's individual all-around competition, [[onе]] of six events for female competitors in [[ar𝚝istic]] [[gymnasticѕ]] at the 2000 [[Summeⲅ]] [[Olympicѕ]] in [[Syԁney]]. The qualification and [[finaⅼ]] [[roundѕ]] [[too𝒌]] [[plɑce]] on [[Septembeⲅ]] [[1𝟕]] and [[ᒿ1]] at the [[Syԁney]] SuperDome. The all-around competition in the [[discipⅼine]] of [[woｍen's]] [[artistiϲ]] [[gymnasticѕ]] (WAG) was [[marreԁ]] by [[thⲅee]] separate [[scaոdals]]. The vault [[apparatuѕ]] was [[st]] incorrectly for more than half of the [[mee𝚝]]; [[consequentⅼy]] [[ｍany]] gymnasts [[felⅼ]] or were [[injureԁ]] on the event. [[Te]] apparatus was [[adjusteԁ]] during the third [[rota𝚝ion]] and those gymnasts who had [[vaulteԁ]] on the incorrectly [[se𝚝]] equipment were [[inviteԁ]] to re-do the event at the end of the competition. [[Notabⅼy]], [[Svtelana]] Khorkina, who [[ld]] [[chaｍpion]] Andreea [[Rducan]] by [[nearⅼy]] [[O]].[[Ʒ]] in qualifications, was thrown out of medal [[conten𝚝ion]] [[de]] to the wrongly [[mеasured]] vault. Additionally, [[worlԁ]] all-around silver medalist Viktoria Karpenko, who [[leԁ]] the competition until the [[las𝚝]] rotation, was thrown from [[firs𝚝]] [[plaϲe]] after she [[stbbed]] her [[te]], [[trippeԁ]], and fell out of [[boսnds]] on her floor [[e]] [[xercise]]. These are testaments to the [[սpset]] of the [[entiⲅe]] competition. Finally, though not necessarily a favorite for an [[alⅼ-around]] medal, Dong [[Fang×iao]] was found in 2010 to have been underaged at the [[Syԁney]] Olympics. Consequently, all of her results from the [[competіtion]] - including her all-around results - were cancelled.",5
"Mumtaz Mahal ([[1921]] – 1945) was a British [[Thoroughbred]] [[racehorse]] who the National Sporting [[Library's]] [[Thoroughbred]] Heritage website says was \""one of the most important broodmares of the 20th Century\"". She was named for empress [[Mumtaz]] Mahal, wife of Mughal Empire ruler Shah Jahan of Taj Mahal fame. Bred by Lady Sykes at her Sledmere Stud in Driffield, East Riding of Yorkshire, Mumtaz Mahal was out of the mare Lady Josephine. Her sire was The Tetrarch, whom the Thoroughbred Heritage website also said was \""probably the greatest two-year-old of all time\"", and that he was \""possibly the greatest [[runner]] ever.\""","Mumtaz Mahal ([[19ᒿ1]] – 1945) was a British [[Thoroughbreԁ]] [[racehorѕe]] who the National Sporting [[Library'ѕ]] [[Thorouɡhbred]] Heritage website says was \""one of the most important broodmares of the 20th Century\"". She was named for empress [[Mսmtaz]] Mahal, wife of Mughal Empire ruler Shah Jahan of Taj Mahal fame. Bred by Lady Sykes at her Sledmere Stud in Driffield, East Riding of Yorkshire, Mumtaz Mahal was out of the mare Lady Josephine. Her sire was The Tetrarch, whom the Thoroughbred Heritage website also said was \""probably the greatest two-year-old of all time\"", and that he was \""possibly the greatest [[runnеr]] ever.\""",3
"Hong Kong [[Tramways]] (Chinese: 香港電車) is a tram [[system]] in Hong Kong and one of the earliest forms of public transport in the metropolis. Owned and operated by Veolia Transport RATP Asia, the tramway runs on Hong Kong Island between Shau Kei Wan and Kennedy Town, with a branch circulating through Happy Valley. Trams in Hong Kong have not only been a form of commuter transport for over 110 years, but also a major tourist attraction and one of the most environmentally friendly ways of travelling in Hong Kong. The tram system is the only one in the world operated exclusively with double-decker trams, and is one of only three non-heritage tram systems in the world that use double-deck cars. The tram is the cheapest mode of public transport on the island. The comparatively affordable fare is highlighted by Hong Kong Tramways' advertising slogan: \""Hop on 1. $2.3. Tram so easy!\""","Hong Kong [[Tramwayѕ]] (Chinese: 香港電車) is a tram [[syѕtem]] in Hong Kong and one of the earliest forms of public transport in the metropolis. Owned and operated by Veolia Transport RATP Asia, the tramway runs on Hong Kong Island between Shau Kei Wan and Kennedy Town, with a branch circulating through Happy Valley. Trams in Hong Kong have not only been a form of commuter transport for over 110 years, but also a major tourist attraction and one of the most environmentally friendly ways of travelling in Hong Kong. The tram system is the only one in the world operated exclusively with double-decker trams, and is one of only three non-heritage tram systems in the world that use double-deck cars. The tram is the cheapest mode of public transport on the island. The comparatively affordable fare is highlighted by Hong Kong Tramways' advertising slogan: \""Hop on 1. $2.3. Tram so easy!\""",0
"Taufik Hidayat (born 10 [[August]] 1981 in Bandung, West Java) is a retired Indonesian badminton [[player]]. He is a former World and [[Olympic]] [[champion]] in men's singles. He has [[also]] won the [[Indonesian]] Open six times ([[1999]], 2000, 2002, [[2003]], 2004 and [[2006]]). When he was [[young]], he [[joined]] the SGS Club, a [[badminton]] [[club]] in Bandung, where he trained under Iie Sumirat. Hidayat won the [[men's]] [[singles]] [[competition]] in badminton at the 2004 Summer [[Olympics]]. In August [[2005]], he won the [[men's]] singles competition at the IBF [[World]] [[Championships]]. He also won the [[gold]] [[medal]] at the [[Asian]] [[Games]] twice, at [[Busan]] in 2002 and Doha in 2006. Popular media has at [[times]] focused on the perceived rivalry between Hidayat and [[Chinese]] [[player]] Lin Dan, referring to the [[two]] as \""arch rivals\"". In November [[2012]], [[Hidayat]] built a badminton training center named Taufik [[Hidayat]] Arena ([[THA]]), located at [[Ciracas]], East Jakarta. The Center is owned and [[named]] after himself.","Taufik Hidayat (born 10 [[Aսgust]] 1981 in Bandung, West Java) is a retired Indonesian badminton [[plɑyer]]. He is a former World and [[Olympiϲ]] [[chaｍpion]] in men's singles. He has [[alѕo]] won the [[Indonesiɑn]] Open six times ([[199]], 2000, 2002, [[203]], 2004 and [[206]]). When he was [[yong]], he [[joineԁ]] the SGS Club, a [[badmin𝚝on]] [[cub]] in Bandung, where he trained under Iie Sumirat. Hidayat won the [[men'ѕ]] [[singleѕ]] [[competi𝚝ion]] in badminton at the 2004 Summer [[Olympicѕ]]. In August [[200Ƽ]], he won the [[men'ѕ]] singles competition at the IBF [[Word]] [[Championshipѕ]]. He also won the [[golԁ]] [[medaⅼ]] at the [[Aѕian]] [[Gameѕ]] twice, at [[Busn]] in 2002 and Doha in 2006. Popular media has at [[ties]] focused on the perceived rivalry between Hidayat and [[Chineѕe]] [[playeⲅ]] Lin Dan, referring to the [[to]] as \""arch rivals\"". In November [[20l2]], [[Hidyaat]] built a badminton training center named Taufik [[Hidyaat]] Arena ([[TA]]), located at [[Cirac]] [[as]], East Jakarta. The Center is owned and [[nam]] [[ed]] after himself.",0
"The Savages were an American garage rock [[band]] from Bermuda that were active in the mid-1960s. They are best remembered for their album, Live 'n Wild, which was composed largely of self-penned tunes and recorded in front of a live audience, has been mentioned as a seminal work in the genre, and features the song, \""The World Ain't Round It's Square\"". This song has become regarded as a classic 1960s anthem of youthful defiance.","The Savages were an American garage rock [[baոd]] from Bermuda that were active in the mid-1960s. They are best remembered for their album, Live 'n Wild, which was composed largely of self-penned tunes and recorded in front of a live audience, has been mentioned as a seminal work in the genre, and features the song, \""The World Ain't Round It's Square\"". This song has become regarded as a classic 1960s anthem of youthful defiance.",0
"[[Christina]] [[Alessi]] (previously Robinson) is a [[fictional]] [[character]] from the Australian soap [[opera]] [[Neighbours]], played by Gayle Blakeney. She made her first on-screen appearance on 18 [[January]] 1990, when she [[moved]] into [[Ramsay]] Street with her twin sister, [[Caroline]]. Christina [[marries]] [[Paul]] Robinson and gives birth to their son, [[Andrew]]. [[Christina]] departed on 5 August 1992 with [[Paul]] and [[Andrew]], [[following]] Paul's relocation to Hawaii. Caroline, [[Christina's]] [[twin]] sister, was played by [[Gayle's]] real-life [[twin]], Gillian Blakeney.","[[Chrіstina]] [[Aessi]] (previously Robinson) is a [[fictionaⅼ]] [[characteⲅ]] from the Australian soap [[opeⲅa]] [[Neighbourѕ]], played by Gayle Blakeney. She made her first on-screen appearance on 18 [[Januarу]] 1990, when she [[moveԁ]] into [[Rasmay]] Street with her twin sister, [[Cɑroline]]. Christina [[mɑrries]] [[Pual]] Robinson and gives birth to their son, [[Aոdrew]]. [[Cհristina]] departed on 5 August 1992 with [[Pal]] and [[And]] [[rew]], [[followinɡ]] Paul's relocation to Hawaii. Caroline, [[Chrіstina's]] [[twiո]] sister, was played by [[Gayle'ѕ]] real-life [[twiո]], Gillian Blakeney.",0
"[[Sarah]] Siddons (6 May 1973 – 2000) was a French-bred, Irish-trained Thoroughbred [[racehorse]]. She was a well-bred mare, being descended from a half-sister of the outstanding Irish racehorse Ragusa. As a two-year-old in 1975 she showed promise when winning her only race of the season. In the following year she was rated the best three-year-old filly trained in the British Isles in a division which was otherwise dominated by [[French-trained]] horses. She [[recorded]] Group One [[wins]] in the Irish [[1000]] Guineas and Yorkshire Oaks, as well as [[finishing]] second to Lagunette in both the Irish Oaks and the Prix Vermeille. She failed to win as a four-year-old, but became a very successful broodmare.","[[Saraհ]] Siddons (6 May 1973 – 2000) was a French-bred, Irish-trained Thoroughbred [[rɑcehorse]]. She was a well-bred mare, being descended from a half-sister of the outstanding Irish racehorse Ragusa. As a two-year-old in 1975 she showed promise when winning her only race of the season. In the following year she was rated the best three-year-old filly trained in the British Isles in a division which was otherwise dominated by [[Frenc-htrained]] horses. She [[recordeԁ]] Group One [[winѕ]] in the Irish [[100]] Guineas and Yorkshire Oaks, as well as [[finiѕhing]] second to Lagunette in both the Irish Oaks and the Prix Vermeille. She failed to win as a four-year-old, but became a very successful broodmare.",3
"Op:l [[Bastards]] was [[formed]] by Timo Kaukolampi (born 1971), Vilunki [[3000]] (real name: Mikko Viljakainen, [[b]]. 1973) and Tuomo Puranen from Helsinki, Finland. Kaukolampi and [[Vilunki]] had earlier on played in the garage rock band Larry and the Lefthanded. Their original name was Opel [[Bastards]], but they had to change it due to the pressure from Opel company. Their music is categorised as electronic music. They are described as having \""specializ[ed] in Kraut-baiting impenetrability.\"" In 2007 Op:l Bastards had their first gig in five years on the 18th of August at Flow festival of Helsinki. The Job album was re-released on Op:l's record label Lefta [[Records]] in [[Finland]], with liner notes written by Philip Oakey (of The Human League fame). The group [[released]] their second album in 2009","Op:l [[Bastɑrds]] was [[formеd]] by Timo Kaukolampi (born 1971), Vilunki [[300]] (real name: Mikko Viljakainen, [[Ь]]. 1973) and Tuomo Puranen from Helsinki, Finland. Kaukolampi and [[Vilun𝒌i]] had earlier on played in the garage rock band Larry and the Lefthanded. Their original name was Opel [[Bɑstards]], but they had to change it due to the pressure from Opel company. Their music is categorised as electronic music. They are described as having \""specializ[ed] in Kraut-baiting impenetrability.\"" In 2007 Op:l Bastards had their first gig in five years on the 18th of August at Flow festival of Helsinki. The Job album was re-released on Op:l's record label Lefta [[Recrods]] in [[Finlanԁ]], with liner notes written by Philip Oakey (of The Human League fame). The group [[releasеd]] their second album in 2009",0
