original_text,perturbed_text,label
"[[Stadion]] Feijenoord (pronounced [ˌstaːdijɔn [[ˈfɛiənoːrt]]]), more [[commonly]] known by its nickname De [[Kuip]] ([[pronounced]] [də [[ˈkœyp]]]; the Tub), is a [[stadium]] in Rotterdam, Netherlands that was completed in 1937. The name is derived from the area \""Feijenoord\"" in [[Rotterdam]], and from the club with the same name (although the club's name was internationalised to [[Feyenoord]] in 1973). The stadium's original capacity was 64,000. In 1949 it was expanded to 69,000, and in 1994 it was renovated again for a [[capacity]] of 51,117. In 1999, a significant amount of [[restoration]] and [[interior]] work [[took]] place at the stadium prior to its use as a venue in the Euro 2000 tournament, although capacity was largely unaffected.","[[Stadiоn]] Feijenoord (pronounced [ˌstaːdijɔn [[ˈfɛiənoːⲅt]]]), more [[commonⅼy]] known by its nickname De [[Kip]] ([[pronounϲed]] [də [[ˈkyœp]]]; the Tub), is a [[stadiuｍ]] in Rotterdam, Netherlands that was completed in 1937. The name is derived from the area \""Feijenoord\"" in [[Roterdam]], and from the club with the same name (although the club's name was internationalised to [[Feуenoord]] in 1973). The stadium's original capacity was 64,000. In 1949 it was expanded to 69,000, and in 1994 it was renovated again for a [[capaciy]] of 51,117. In 1999, a significant amount of [[res𝚝oration]] and [[interioⲅ]] work [[to]] [[ok]] place at the stadium prior to its use as a venue in the Euro 2000 tournament, although capacity was largely unaffected.",2
"[[Mumtaz]] [[Mahal]] ([[1921]] – [[1945]]) was a British [[Thoroughbred]] [[racehorse]] who the National Sporting Library's Thoroughbred Heritage website says was \""[[one]] of the most important broodmares of the 20th Century\"". She was named for empress Mumtaz Mahal, wife of Mughal Empire ruler [[Shah]] [[Jahan]] of Taj [[Mahal]] fame. [[Bred]] by Lady Sykes at her Sledmere Stud in Driffield, [[East]] Riding of Yorkshire, Mumtaz Mahal was out of the mare [[Lady]] Josephine. Her [[sire]] was The [[Tetrarch]], whom the Thoroughbred Heritage website also [[said]] was \""probably the greatest two-year-old of all time\"", and that he was \""possibly the greatest runner ever.\""","[[Mսmtaz]] [[Maahl]] ([[191]] – [[145]]) was a British [[Thoroughbreԁ]] [[racheorse]] who the National Sporting Library's Thoroughbred Heritage website says was \""[[oe]] of the most important broodmares of the 20th Century\"". She was named for empress Mumtaz Mahal, wife of Mughal Empire ruler [[Sah]] [[Jahn]] of Taj [[Mah]] [[al]] fame. [[Br]] [[ed]] by Lady Sykes at her Sledmere Stud in Driffield, [[Est]] Riding of Yorkshire, Mumtaz Mahal was out of the mare [[Lay]] Josephine. Her [[sirе]] was The [[Tetarch]], whom the Thoroughbred Heritage website also [[sid]] was \""probably the greatest two-year-old of all time\"", and that he was \""possibly the greatest runner ever.\""",3
"[[The]] [[1936]] Marquette Golden Avalanche football team [[represented]] Marquette University in the 1936 college [[football]] [[season]]. Marquette was led by long-time head coach Frank Murray. The team competed as a football independent and played their home games at Marquette Stadium in Milwaukee, Wisconsin. The squad finished the season with a 7–2 record after losing to TCU in the inaugural Cotton Bowl Classic.","[[Te]] [[136]] Marquette Golden Avalanche football team [[repreesnted]] Marquette University in the 1936 college [[foobtall]] [[sea]] [[son]]. Marquette was led by long-time head coach Frank Murray. The team competed as a football independent and played their home games at Marquette Stadium in Milwaukee, Wisconsin. The squad finished the season with a 7–2 record after losing to TCU in the inaugural Cotton Bowl Classic.",6
"Op:l Bastards was [[formed]] by Timo Kaukolampi ([[born]] [[1971]]), Vilunki 3000 (real name: Mikko Viljakainen, b. 1973) and Tuomo Puranen from Helsinki, Finland. Kaukolampi and Vilunki had earlier on played in the garage rock band Larry and the Lefthanded. Their original name was Opel Bastards, but they had to change it due to the pressure from Opel company. [[Their]] music is categorised as electronic music. They are described as having \""specializ[ed] in Kraut-baiting impenetrability.\"" In 2007 Op:l Bastards had their first gig in five years on the 18th of August at Flow festival of Helsinki. The Job album was re-released on Op:l's record label Lefta Records in Finland, with liner notes written by Philip Oakey (of The Human League fame). The group released their second album in 2009","Op:l Bastards was [[fоrmed]] by Timo Kaukolampi ([[boⲅn]] [[l971]]), Vilunki 3000 (real name: Mikko Viljakainen, b. 1973) and Tuomo Puranen from Helsinki, Finland. Kaukolampi and Vilunki had earlier on played in the garage rock band Larry and the Lefthanded. Their original name was Opel Bastards, but they had to change it due to the pressure from Opel company. [[The]] [[ir]] music is categorised as electronic music. They are described as having \""specializ[ed] in Kraut-baiting impenetrability.\"" In 2007 Op:l Bastards had their first gig in five years on the 18th of August at Flow festival of Helsinki. The Job album was re-released on Op:l's record label Lefta Records in Finland, with liner notes written by Philip Oakey (of The Human League fame). The group released their second album in 2009",0
"[[The]] [[Hamilton]] [[Spectator]], founded in 1846, is a newspaper [[published]] [[every]] day but Sunday in Hamilton, Ontario, Canada.","[[Thе]] [[Hamiⅼton]] [[Specta𝚝or]], founded in 1846, is a newspaper [[pubⅼished]] [[еvery]] day but Sunday in Hamilton, Ontario, Canada.",1
"The 2013–[[14]] [[season]] was [[Sport]] Lisboa e Benfica's 110th [[season]] in [[existence]] and the [[club's]] 80th consecutive [[season]] in the top [[flight]] of Portuguese football. It involved Benfica competing in the Primeira [[Liga]], Taça de Portugal, Taça [[da]] [[Liga]], the group stage of the UEFA Champions [[League]], and the knockout [[phase]] in the UEFA Europa League. Benfica qualified for the [[Champions]] League by coming second in the previous Primeira Liga. On 4 [[June]] 2013, coach Jorge Jesus renewed his contract for a further two seasons, making him the first manager since 1958–59 with [[Otto]] Glória to start a fifth consecutive season at Benfica. The season was one of the [[best]] in Benfica's history, as the club won its 33rd title, its fifth Taça da Liga (without conceding a single goal), reached the Europa League final for the second consecutive season (without any defeat) and won its 25th Taça de Portugal achieving the tenth double (record) of the club.By winning the Primeira Liga, Taça de Portugal and Taça da Liga, Benfica achieved a unique [[treble]] in [[Portugal]]. Benfica [[also]] finished the [[season]] [[unbeaten]] in home [[matches]], and the 57 games played are a club record for a single season.","The 2013–[[1Ꮞ]] [[seasoո]] was [[Sрort]] Lisboa e Benfica's 110th [[ѕeason]] in [[e×istence]] and the [[clu's]] 80th consecutive [[seasоn]] in the top [[fight]] of Portuguese football. It involved Benfica competing in the Primeira [[Lga]], Taça de Portugal, Taça [[dɑ]] [[Lіga]], the group stage of the UEFA Champions [[Lea]] [[gue]], and the knockout [[рhase]] in the UEFA Europa League. Benfica qualified for the [[Champios]] League by coming second in the previous Primeira Liga. On 4 [[Jnue]] 2013, coach Jorge Jesus renewed his contract for a further two seasons, making him the first manager since 1958–59 with [[Ot]] [[to]] Glória to start a fifth consecutive season at Benfica. The season was one of the [[bet]] in Benfica's history, as the club won its 33rd title, its fifth Taça da Liga (without conceding a single goal), reached the Europa League final for the second consecutive season (without any defeat) and won its 25th Taça de Portugal achieving the tenth double (record) of the club.By winning the Primeira Liga, Taça de Portugal and Taça da Liga, Benfica achieved a unique [[terble]] in [[Portgal]]. Benfica [[aslo]] finished the [[seas]] [[on]] [[unЬeaten]] in home [[mɑtches]], and the 57 games played are a club record for a single season.",6
"[[Ophiomyia]] [[lantanae]] is a [[fly]] [[native]] to the Americas, from the southern US to Brazil but had been introduced also to Australia as [[biological]] [[control]] agent of Lantana camara in 1914.","[[Opihomyia]] [[laոtanae]] is a [[𝚏ly]] [[na𝚝ive]] to the Americas, from the southern US to Brazil but had been introduced also to Australia as [[bіological]] [[controⅼ]] agent of Lantana camara in 1914.",3
"The [[2016]]–17 [[season]] is Aluminij's 2nd season in the Slovenian PrvaLiga, Slovenian top division, since the league was created. Aluminij compete in Slovenian PrvaLiga and Slovenian Football Cup.","The [[2106]]–17 [[sеason]] is Aluminij's 2nd season in the Slovenian PrvaLiga, Slovenian top division, since the league was created. Aluminij compete in Slovenian PrvaLiga and Slovenian Football Cup.",6
"[[Kite]] is a [[town]] in [[Johnson]] [[County]], Georgia, [[USA]], along the Little Ohoopee River. [[The]] [[town]] was named after Shaderick Kight, who donated the land to build the town. He requested the simpler spelling of the name for more efficient mail delivery and processing. The [[population]] was 241 at the 2000 census. [[It]] is part of the [[Dublin]] Micropolitan Statistical Area.","[[Kie]] is a [[toԝn]] in [[Johns]] [[on]] [[Couոty]], Georgia, [[UA]], along the Little Ohoopee River. [[T]] [[he]] [[𝚝own]] was named after Shaderick Kight, who donated the land to build the town. He requested the simpler spelling of the name for more efficient mail delivery and processing. The [[populaton]] was 241 at the 2000 census. [[I𝚝]] is part of the [[Dubin]] Micropolitan Statistical Area.",2
"Eutelsat 16C (formerly SESAT 1) is a [[satellite]] operated by Eutelsat, originally the first of a series of SESAT (Siberia - Europe SATellite) [[satellites]]. It provides a wide range of [[telecommunications]] services over a very large geographical coverage area that extends from the Atlantic Ocean to Eastern Russia, including a large part of Siberia. The [[satellites]] also provide broadcasting services to Africa by means of [[steerable]] spotbeams. [[On]] 29 January 2010, the [[satellite]] moved to 16° E to take over some services from the malfunctioning W2 [[satellite]].","Eutelsat 16C (formerly SESAT 1) is a [[satellitе]] operated by Eutelsat, originally the first of a series of SESAT (Siberia - Europe SATellite) [[satelli𝚝es]]. It provides a wide range of [[telеcommunications]] services over a very large geographical coverage area that extends from the Atlantic Ocean to Eastern Russia, including a large part of Siberia. The [[satelites]] also provide broadcasting services to Africa by means of [[steeralbe]] spotbeams. [[Oո]] 29 January 2010, the [[satellie]] moved to 16° E to take over some services from the malfunctioning W2 [[satel]] [[lite]].",2
