original_text,perturbed_text,label
"The [[Canal]] Latéral [[à]] [[la]] Loire was [[constructed]] between 1827 and 1838 to [[connect]] the [[Canal]] de Briare at Briare and the [[Canal]] du [[Centre]] at Digoin, a [[distance]] of 196 km. [[It]] [[replaced]] the use of the [[River]] Loire which [[had]] [[reliability]] [[problems]] [[arising]] from [[winter]] floods and summer [[droughts]]. [[Aqueducts]] were used to cross the River Allier at Le Guétin (in the commune of Cuffy) and the River Loire at Digoin, but because of the extreme [[length]] required, one was not [[built]] to cross the Loire River at Briare until 1896 when the Briare [[aqueduct]] was constructed.","The [[Conduit]] Latéral [[pour]] [[du]] Loire was [[founded]] between 1827 and 1838 to [[connectivity]] the [[Pipeline]] de Briare at Briare and the [[Duct]] du [[Facility]] at Digoin, a [[remote]] of 196 km. [[He]] [[supplant]] the use of the [[Rivers]] Loire which [[took]] [[trusts]] [[topics]] [[originating]] from [[summers]] floods and summer [[famines]]. [[Hydrants]] were used to cross the River Allier at Le Guétin (in the commune of Cuffy) and the River Loire at Digoin, but because of the extreme [[temps]] required, one was not [[founded]] to cross the Loire River at Briare until 1896 when the Briare [[water]] was constructed.",2
"Les Disques du Crépuscule is an independent [[record]] [[label]] [[founded]] in Belgium. The label was founded in 1980 by Michel Duval and Annik Honoré. It also had a prominent associated sublabel, Factory Benelux. Both are now run by former employee James Nice. \""Crépuscule\"" [[translates]] as \""[[twilight]]\"", with most of the label's catalogue numbers being prefixed by the letters TWI.","Les Disques du Crépuscule is an independent [[album]] [[etiquette]] [[engendered]] in Belgium. The label was founded in 1980 by Michel Duval and Annik Honoré. It also had a prominent associated sublabel, Factory Benelux. Both are now run by former employee James Nice. \""Crépuscule\"" [[signifies]] as \""[[dusk]]\"", with most of the label's catalogue numbers being prefixed by the letters TWI.",0
"Giulia Sergas ([[born]] 26 [[December]] 1979) is an [[Italian]] [[professional]] [[golfer]], [[currently]] [[playing]] on both the LPGA [[Tour]] and the Ladies European [[Tour]].","Giulia Sergas ([[weld]] 26 [[Elf]] 1979) is an [[Venetian]] [[jobs]] [[nicklaus]], [[here]] [[sets]] on both the LPGA [[Touring]] and the Ladies European [[Sightseeing]].",0
"[[These]] are the results of the women's [[individual]] all-around [[competition]], one of six [[events]] for [[female]] [[competitors]] in [[artistic]] [[gymnastics]] at the 2000 [[Summer]] [[Olympics]] in [[Sydney]]. The [[qualification]] and [[final]] [[rounds]] [[took]] [[place]] on [[September]] 17 and 21 at the Sydney SuperDome. The all-around [[competition]] in the [[discipline]] of women's [[artistic]] [[gymnastics]] ([[WAG]]) was [[marred]] by [[three]] [[separate]] scandals. The vault [[apparatus]] was [[set]] [[incorrectly]] for more than [[half]] of the [[meet]]; [[consequently]] [[many]] gymnasts [[fell]] or were [[injured]] on the [[event]]. The [[apparatus]] was [[adjusted]] during the [[third]] [[rotation]] and those gymnasts who [[had]] [[vaulted]] on the [[incorrectly]] [[set]] [[equipment]] were [[invited]] to re-do the [[event]] at the [[end]] of the competition. Notably, Svetlana Khorkina, who [[led]] [[champion]] Andreea Răducan by [[nearly]] 0.3 in [[qualifications]], was [[thrown]] out of [[medal]] [[contention]] due to the [[wrongly]] [[measured]] vault. [[Additionally]], [[world]] all-around silver [[medalist]] Viktoria Karpenko, who [[led]] the [[competition]] until the [[last]] [[rotation]], was [[thrown]] from first [[place]] after she stubbed her [[toe]], [[tripped]], and [[fell]] out of [[bounds]] on her [[floor]] [[exercise]]. [[These]] are [[testaments]] to the [[upset]] of the [[entire]] [[competition]]. Finally, though not [[necessarily]] a [[favorite]] for an all-around [[medal]], Dong Fangxiao was found in 2010 to [[have]] been underaged at the Sydney [[Olympics]]. [[Consequently]], all of her [[results]] from the [[competition]] - [[including]] her all-around [[results]] - were [[cancelled]].","[[This]] are the results of the women's [[personas]] all-around [[contesting]], one of six [[example]] for [[girlie]] [[contestants]] in [[technical]] [[handball]] at the 2000 [[Ronald]] [[Olympiad]] in [[Lei]]. The [[skills]] and [[latest]] [[cycle]] [[having]] [[placing]] on [[Sep]] 17 and 21 at the Sydney SuperDome. The all-around [[disputing]] in the [[punished]] of women's [[eclectic]] [[handball]] ([[WIGGLE]]) was [[spoiled]] by [[five]] [[unaccompanied]] scandals. The vault [[accoutrements]] was [[putting]] [[accidentally]] for more than [[average]] of the [[achieving]]; [[why]] [[countless]] gymnasts [[crumbled]] or were [[damaged]] on the [[episode]]. The [[utensils]] was [[changed]] during the [[fourth]] [[turn]] and those gymnasts who [[enjoys]] [[risen]] on the [[accidentally]] [[game]] [[pc]] were [[requiring]] to re-do the [[phenomena]] at the [[closing]] of the competition. Notably, Svetlana Khorkina, who [[created]] [[ace]] Andreea Răducan by [[hardly]] 0.3 in [[skills]], was [[dump]] out of [[ornate]] [[controversy]] due to the [[accidentally]] [[evaluating]] vault. [[Again]], [[planet]] all-around silver [[olympic]] Viktoria Karpenko, who [[brought]] the [[contest]] until the [[lately]] [[turns]], was [[dump]] from first [[placing]] after she stubbed her [[paws]], [[fallen]], and [[fallen]] out of [[restraining]] on her [[soils]] [[performing]]. [[Those]] are [[wills]] to the [[distraught]] of the [[fullest]] [[contestant]]. Finally, though not [[increasingly]] a [[favourite]] for an all-around [[honours]], Dong Fangxiao was found in 2010 to [[enjoys]] been underaged at the Sydney [[Olympian]]. [[Similarly]], all of her [[success]] from the [[contestants]] - [[include]] her all-around [[success]] - were [[disbarred]].",5
"Yisrael Beiteinu (Hebrew: יִשְׂרָאֵל בֵּיתֵנוּ‎‎, lit. Israel is Our Home) is a secularist and right-wing nationalist political [[party]] in Israel. The party's base has traditionally been secular, Russian-speaking Israelis. The party describes itself as \""a national movement with the clear vision to follow in the bold path of Zev Jabotinsky\"", the founder of Revisionist Zionism. It primarily represents immigrants from the former Soviet Union. Although it has attempted to expand its appeal to more established Israelis, it has not been successful, and most of its voters are Russian-speaking. It takes a strong line towards the peace process and the integration of Israeli Arabs, characterized by its 2009 election slogan \""No loyalty, no citizenship\"". Its main platform includes a recognition of the two-state solution, the creation of a Palestinian state that would include an exchange of some largely Arab-inhabited parts of Israel for largely Jewish-inhabited parts of the West Bank. The party maintains an anti-clerical mantle and encourages socio-economic opportunities for new immigrants, in conjunction with efforts to increase Jewish immigration. In the 2009 election the party won 15 seats, its most to date, making it the third largest party in the previous Knesset. [[In]] the 2015 election, the party won six seats.","Yisrael Beiteinu (Hebrew: יִשְׂרָאֵל בֵּיתֵנוּ‎‎, lit. Israel is Our Home) is a secularist and right-wing nationalist political [[faction]] in Israel. The party's base has traditionally been secular, Russian-speaking Israelis. The party describes itself as \""a national movement with the clear vision to follow in the bold path of Zev Jabotinsky\"", the founder of Revisionist Zionism. It primarily represents immigrants from the former Soviet Union. Although it has attempted to expand its appeal to more established Israelis, it has not been successful, and most of its voters are Russian-speaking. It takes a strong line towards the peace process and the integration of Israeli Arabs, characterized by its 2009 election slogan \""No loyalty, no citizenship\"". Its main platform includes a recognition of the two-state solution, the creation of a Palestinian state that would include an exchange of some largely Arab-inhabited parts of Israel for largely Jewish-inhabited parts of the West Bank. The party maintains an anti-clerical mantle and encourages socio-economic opportunities for new immigrants, in conjunction with efforts to increase Jewish immigration. In the 2009 election the party won 15 seats, its most to date, making it the third largest party in the previous Knesset. [[Of]] the 2015 election, the party won six seats.",0
"The [[Texas]] river cooter (Pseudemys texana) is a [[species]] of freshwater turtle native to creeks, rivers, and lakes of the US state of Texas. [[It]] is [[found]] in the river basins of the [[Colorado]], [[Brazos]], [[Guadalupe]], and San Antonio Rivers. [[It]] is one of two [[species]] of cooter native to the state, the other being the [[Eastern]] River Cooter.","The [[Huston]] river cooter (Pseudemys texana) is a [[classifies]] of freshwater turtle native to creeks, rivers, and lakes of the US state of Texas. [[His]] is [[founded]] in the river basins of the [[Butte]], [[Bexar]], [[Hidalgo]], and San Antonio Rivers. [[His]] is one of two [[nature]] of cooter native to the state, the other being the [[Northeast]] River Cooter.",3
"Hong Kong Tramways (Chinese: 香港電車) is a tram [[system]] in Hong Kong and one of the earliest forms of public transport in the metropolis. Owned and operated by Veolia Transport RATP Asia, the tramway runs on Hong Kong Island between Shau Kei Wan and Kennedy Town, with a [[branch]] circulating through Happy Valley. [[Trams]] in Hong Kong have not only been a [[form]] of commuter [[transport]] for over 110 years, but also a major tourist attraction and one of the most environmentally friendly ways of travelling in Hong Kong. The tram [[system]] is the only one in the world operated [[exclusively]] with double-decker [[trams]], and is one of only three non-heritage tram [[systems]] in the world that use double-deck [[cars]]. The tram is the [[cheapest]] [[mode]] of [[public]] [[transport]] on the island. The [[comparatively]] [[affordable]] [[fare]] is [[highlighted]] by [[Hong]] [[Kong]] Tramways' advertising slogan: \""[[Hop]] on 1. $2.3. [[Tram]] [[so]] easy!\""","Hong Kong Tramways (Chinese: 香港電車) is a tram [[systems]] in Hong Kong and one of the earliest forms of public transport in the metropolis. Owned and operated by Veolia Transport RATP Asia, the tramway runs on Hong Kong Island between Shau Kei Wan and Kennedy Town, with a [[wing]] circulating through Happy Valley. [[Streetcar]] in Hong Kong have not only been a [[formula]] of commuter [[shipped]] for over 110 years, but also a major tourist attraction and one of the most environmentally friendly ways of travelling in Hong Kong. The tram [[systemic]] is the only one in the world operated [[barely]] with double-decker [[railway]], and is one of only three non-heritage tram [[project]] in the world that use double-deck [[engine]]. The tram is the [[cheep]] [[styles]] of [[demographic]] [[consignment]] on the island. The [[sufficiently]] [[achievable]] [[cost]] is [[described]] by [[Hung]] [[Hong]] Tramways' advertising slogan: \""[[Hops]] on 1. $2.3. [[Streetcar]] [[where]] easy!\""",0
"[[Le]] [[Bonheur]] Children's [[Hospital]] is a 255-bed, tertiary [[care]] children's [[hospital]] [[located]] in [[Downtown]] [[Memphis]], [[Tennessee]]. [[Le]] Bonheur [[has]] more than 700 [[medical]] [[staff]] [[representing]] 40 [[pediatric]] specialties. [[Approximately]] 170 [[patients]] per [[day]] are [[admitted]], mostly from [[Tennessee]] and [[nearby]] [[states]] but also from around the [[world]], [[mainly]] due to its [[nationally]] [[recognized]] brain [[tumor]] [[program]], [[affiliation]] with [[St]]. [[Jude]] Children's [[Research]] [[Hospital]] and for being the [[home]] of the Children's [[Foundation]] [[Research]] [[Center]]. [[Le]] Bonheur [[functions]] as the region's [[primary]] [[level]] 1 [[pediatric]] [[trauma]] [[center]]. The [[hospital]] cares for 14,000 [[patients]] [[every]] year, [[including]] about 81,000 [[visits]] to the [[emergency]] [[department]] a [[year]] and 8,800 surgeries per year. [[Le]] [[Bonheur]] also [[serves]] as a [[teaching]] [[hospital]] [[affiliated]] with the [[University]] of [[Tennessee]] [[Health]] [[Science]] [[Center]] and [[offers]] [[training]] in [[general]] [[pediatrics]] and [[pediatric]] sub-specialties. [[For]] the [[past]] [[couple]] of [[years]] the [[hospital]] [[has]] been [[recognized]] among the [[nation]]’s “[[Best]] [[Children]]’s [[Hospitals]]” by [[U]].S. [[News]] and [[World]] [[Report]].","[[Nova]] [[Contentment]] Children's [[Hospitals]] is a 255-bed, tertiary [[healthcare]] children's [[physician]] [[based]] in [[Cities]] [[Kentucky]], [[Alabama]]. [[Lai]] Bonheur [[maintains]] more than 700 [[infirmary]] [[job]] [[represents]] 40 [[infant]] specialties. [[Everywhere]] 170 [[patience]] per [[dated]] are [[accredited]], mostly from [[Mississippi]] and [[neighbours]] [[argues]] but also from around the [[planet]], [[typically]] due to its [[internally]] [[recognizing]] brain [[tumors]] [[programming]], [[kinship]] with [[San]]. [[Judd]] Children's [[Investigators]] [[Physician]] and for being the [[bedrooms]] of the Children's [[Basic]] [[Studies]] [[Centers]]. [[Li]] Bonheur [[job]] as the region's [[basic]] [[rankings]] 1 [[infant]] [[casualties]] [[centers]]. The [[convalescent]] cares for 14,000 [[disease]] [[all]] year, [[integrate]] about 81,000 [[voyages]] to the [[emergencies]] [[minster]] a [[leto]] and 8,800 surgeries per year. [[Li]] [[Rejoicing]] also [[participates]] as a [[faculty]] [[physician]] [[subsidiaries]] with the [[Faculty]] of [[Mississippi]] [[Sanitation]] [[Academic]] [[Centralized]] and [[provides]] [[schools]] in [[totalled]] [[gynecology]] and [[infant]] sub-specialties. [[Of]] the [[ancient]] [[teaming]] of [[seniority]] the [[nurses]] [[holds]] been [[confesses]] among the [[nationals]]’s “[[Brighter]] [[Students]]’s [[Physicians]]” by [[xin]].S. [[Newspaper]] and [[Planetary]] [[Relations]].",2
"Front [[Royal]]–[[Warren]] [[County]] [[Airport]] (IATA: FRR, ICAO: KFRR, FAA [[LID]]: FRR) is a county [[owned]], public [[use]] [[airport]] [[located]] [[three]] nautical [[miles]] (6 km) [[west]] of the [[central]] [[business]] [[district]] of Front [[Royal]], a [[town]] in [[Warren]] [[County]], [[Virginia]], [[United]] States. It is [[included]] in the [[National]] [[Plan]] of [[Integrated]] [[Airport]] [[Systems]] for 2011–2015, which [[categorized]] it as a [[general]] aviation [[facility]].","Front [[Realty]]–[[Willard]] [[Towns]] [[Airbase]] (IATA: FRR, ICAO: KFRR, FAA [[COVERINGS]]: FRR) is a county [[belonging]], public [[operated]] [[airfields]] [[based]] [[four]] nautical [[kilometer]] (6 km) [[southwestern]] of the [[centralized]] [[corporation]] [[districts]] of Front [[Monarch]], a [[county]] in [[Haines]] [[Boroughs]], [[Va]], [[Harmonize]] States. It is [[constituted]] in the [[Patriotic]] [[Intends]] of [[Consolidated]] [[Airports]] [[Stratagems]] for 2011–2015, which [[categories]] it as a [[generalized]] aviation [[institution]].",2
"Mumtaz Mahal (1921 – 1945) was a British Thoroughbred [[racehorse]] who the National Sporting Library's Thoroughbred Heritage [[website]] says was \""one of the most important broodmares of the 20th Century\"". She was named for empress Mumtaz Mahal, wife of Mughal Empire ruler Shah Jahan of Taj Mahal fame. Bred by Lady Sykes at her Sledmere Stud in Driffield, East Riding of Yorkshire, Mumtaz Mahal was out of the mare Lady Josephine. Her sire was The Tetrarch, whom the Thoroughbred Heritage website also said was \""probably the greatest two-year-old of all time\"", and that he was \""possibly the greatest runner ever.\""","Mumtaz Mahal (1921 – 1945) was a British Thoroughbred [[prancing]] who the National Sporting Library's Thoroughbred Heritage [[site]] says was \""one of the most important broodmares of the 20th Century\"". She was named for empress Mumtaz Mahal, wife of Mughal Empire ruler Shah Jahan of Taj Mahal fame. Bred by Lady Sykes at her Sledmere Stud in Driffield, East Riding of Yorkshire, Mumtaz Mahal was out of the mare Lady Josephine. Her sire was The Tetrarch, whom the Thoroughbred Heritage website also said was \""probably the greatest two-year-old of all time\"", and that he was \""possibly the greatest runner ever.\""",3
