original_text,perturbed_text,label
"Les Disques du Crépuscule is an [[independent]] [[record]] [[label]] founded in Belgium. The [[label]] was founded in 1980 by [[Michel]] Duval and Annik Honoré. [[It]] also [[had]] a [[prominent]] [[associated]] sublabel, [[Factory]] Benelux. [[Both]] are now [[run]] by former [[employee]] [[James]] [[Nice]]. \""Crépuscule\"" [[translates]] as \""[[twilight]]\"", with most of the label's [[catalogue]] [[numbers]] being prefixed by the [[letters]] TWI.","Les Disques du Crépuscule is an [[untied]] [[debriefing]] [[nametag]] founded in Belgium. The [[stamp]] was founded in 1980 by [[Mikhail]] Duval and Annik Honoré. [[His]] also [[hectare]] a [[conspicuous]] [[corresponding]] sublabel, [[Vegetation]] Benelux. [[Thus]] are now [[applied]] by former [[persons]] [[Jacques]] [[Pleasing]]. \""Crépuscule\"" [[indicates]] as \""[[dusk]]\"", with most of the label's [[classifies]] [[quantities]] being prefixed by the [[letter]] TWI.",0
"[[The]] 2003 All-Ireland Under-21 [[Hurling]] [[Championship]] [[final]] was a [[hurling]] [[match]] that was played at Semple [[Stadium]], Thurles on 21 [[September]] 2003 to [[determine]] the [[winners]] of the 2003 All-Ireland Under-21 [[Hurling]] [[Championship]], the 40th season of the All-Ireland Under-21 Hurling Championship, a [[tournament]] [[organised]] by the [[Gaelic]] [[Athletic]] [[Association]] for the [[champion]] [[teams]] of the four [[provinces]] of [[Ireland]]. The [[final]] was [[contested]] by Kilkenny of Leinster and [[Galway]] of Connacht, with Kilkenny [[winning]] by 2-13 to 0-12.","[[Both]] 2003 All-Ireland Under-21 [[Tossing]] [[Buckaroo]] [[last]] was a [[smashing]] [[matches]] that was played at Semple [[Phase]], Thurles on 21 [[Janvier]] 2003 to [[ascertain]] the [[earning]] of the 2003 All-Ireland Under-21 [[Tossing]] [[Champions]], the 40th season of the All-Ireland Under-21 Hurling Championship, a [[pageant]] [[organizes]] by the [[Scottish]] [[Recreation]] [[Associating]] for the [[championship]] [[teamwork]] of the four [[administrations]] of [[Wicklow]]. The [[recent]] was [[conflicted]] by Kilkenny of Leinster and [[Drogheda]] of Connacht, with Kilkenny [[finalist]] by 2-13 to 0-12.",5
"[[The]] [[Texas]] [[river]] cooter (Pseudemys texana) is a [[species]] of freshwater [[turtle]] native to creeks, rivers, and lakes of the US state of [[Texas]]. [[It]] is [[found]] in the river basins of the Colorado, [[Brazos]], Guadalupe, and San Antonio Rivers. It is one of two [[species]] of cooter native to the state, the other being the Eastern River Cooter.","[[Both]] [[Denton]] [[brook]] cooter (Pseudemys texana) is a [[class]] of freshwater [[spotted]] native to creeks, rivers, and lakes of the US state of [[Lubbock]]. [[He]] is [[detects]] in the river basins of the Colorado, [[Bexar]], Guadalupe, and San Antonio Rivers. It is one of two [[classifies]] of cooter native to the state, the other being the Eastern River Cooter.",3
"These are the [[results]] of the women's [[individual]] all-around [[competition]], one of six [[events]] for [[female]] [[competitors]] in [[artistic]] [[gymnastics]] at the 2000 [[Summer]] [[Olympics]] in Sydney. The [[qualification]] and [[final]] [[rounds]] [[took]] [[place]] on [[September]] 17 and 21 at the Sydney SuperDome. The all-around [[competition]] in the [[discipline]] of women's [[artistic]] [[gymnastics]] (WAG) was [[marred]] by [[three]] [[separate]] scandals. [[The]] vault [[apparatus]] was [[set]] [[incorrectly]] for more than [[half]] of the [[meet]]; [[consequently]] [[many]] gymnasts [[fell]] or were [[injured]] on the [[event]]. The [[apparatus]] was [[adjusted]] during the [[third]] rotation and those gymnasts who had vaulted on the incorrectly [[set]] equipment were [[invited]] to re-do the event at the end of the competition. Notably, Svetlana Khorkina, who [[led]] [[champion]] Andreea Răducan by [[nearly]] 0.3 in [[qualifications]], was [[thrown]] out of [[medal]] [[contention]] due to the [[wrongly]] [[measured]] [[vault]]. Additionally, [[world]] all-around [[silver]] [[medalist]] Viktoria Karpenko, who [[led]] the [[competition]] until the [[last]] rotation, was [[thrown]] from first [[place]] after she stubbed her [[toe]], [[tripped]], and [[fell]] out of [[bounds]] on her [[floor]] [[exercise]]. These are testaments to the [[upset]] of the [[entire]] [[competition]]. [[Finally]], [[though]] not [[necessarily]] a [[favorite]] for an all-around [[medal]], Dong Fangxiao was found in 2010 to [[have]] been underaged at the Sydney [[Olympics]]. [[Consequently]], all of her [[results]] from the [[competition]] - [[including]] her all-around [[results]] - were [[cancelled]].","These are the [[resulting]] of the women's [[sole]] all-around [[tournament]], one of six [[examples]] for [[fille]] [[rivalry]] in [[performer]] [[volleyball]] at the 2000 [[Ronald]] [[Olympian]] in Sydney. The [[capacity]] and [[later]] [[cartridges]] [[takes]] [[venue]] on [[Feb]] 17 and 21 at the Sydney SuperDome. The all-around [[competes]] in the [[strict]] of women's [[imaginative]] [[volleyball]] (WAG) was [[eroded]] by [[four]] [[independent]] scandals. [[Both]] vault [[team]] was [[established]] [[inadvertently]] for more than [[averaging]] of the [[cater]]; [[where]] [[incalculable]] gymnasts [[decline]] or were [[wounded]] on the [[occasions]]. The [[equipment]] was [[modifications]] during the [[iii]] rotation and those gymnasts who had vaulted on the incorrectly [[game]] equipment were [[calling]] to re-do the event at the end of the competition. Notably, Svetlana Khorkina, who [[chaired]] [[defender]] Andreea Răducan by [[intently]] 0.3 in [[grade]], was [[introduced]] out of [[ornamental]] [[litigation]] due to the [[incorrectly]] [[evaluating]] [[trunk]]. Additionally, [[mundo]] all-around [[silvery]] [[trophies]] Viktoria Karpenko, who [[unleashed]] the [[tournaments]] until the [[iast]] rotation, was [[introduced]] from first [[venue]] after she stubbed her [[feet]], [[jumped]], and [[declining]] out of [[bordering]] on her [[porch]] [[drills]]. These are testaments to the [[distraught]] of the [[aggregate]] [[competes]]. [[Lastly]], [[whether]] not [[usually]] a [[prefers]] for an all-around [[medals]], Dong Fangxiao was found in 2010 to [[gets]] been underaged at the Sydney [[Olympian]]. [[Similarly]], all of her [[fruit]] from the [[competes]] - [[consists]] her all-around [[fruit]] - were [[revoked]].",5
"Hong [[Kong]] Tramways ([[Chinese]]: 香港電車) is a [[tram]] [[system]] in Hong Kong and one of the [[earliest]] [[forms]] of public transport in the metropolis. Owned and operated by Veolia Transport RATP Asia, the [[tramway]] runs on Hong Kong Island between Shau Kei Wan and Kennedy Town, with a branch circulating through Happy Valley. [[Trams]] in Hong Kong have not only been a form of commuter transport for over 110 years, but also a major tourist attraction and one of the most environmentally friendly ways of travelling in Hong Kong. The tram system is the only one in the world operated exclusively with double-decker trams, and is one of only three non-heritage tram systems in the world that use double-deck cars. The tram is the cheapest mode of public transport on the island. The comparatively affordable fare is highlighted by Hong Kong Tramways' advertising slogan: \""Hop on 1. $2.3. Tram so easy!\""","Hong [[Hong]] Tramways ([[Renminbi]]: 香港電車) is a [[streetcar]] [[programme]] in Hong Kong and one of the [[nearest]] [[shapes]] of public transport in the metropolis. Owned and operated by Veolia Transport RATP Asia, the [[railway]] runs on Hong Kong Island between Shau Kei Wan and Kennedy Town, with a branch circulating through Happy Valley. [[Streetcar]] in Hong Kong have not only been a form of commuter transport for over 110 years, but also a major tourist attraction and one of the most environmentally friendly ways of travelling in Hong Kong. The tram system is the only one in the world operated exclusively with double-decker trams, and is one of only three non-heritage tram systems in the world that use double-deck cars. The tram is the cheapest mode of public transport on the island. The comparatively affordable fare is highlighted by Hong Kong Tramways' advertising slogan: \""Hop on 1. $2.3. Tram so easy!\""",0
"[[Yisrael]] Beiteinu (Hebrew: יִשְׂרָאֵל בֵּיתֵנוּ‎‎, lit. Israel is Our Home) is a secularist and right-wing nationalist [[political]] [[party]] in [[Israel]]. The party's base [[has]] traditionally been secular, Russian-speaking Israelis. The [[party]] describes itself as \""a [[national]] movement with the clear vision to follow in the bold path of Zev Jabotinsky\"", the founder of Revisionist Zionism. It primarily [[represents]] [[immigrants]] from the former Soviet [[Union]]. Although it has [[attempted]] to [[expand]] its [[appeal]] to more [[established]] [[Israelis]], it [[has]] not been successful, and most of its [[voters]] are Russian-speaking. It takes a [[strong]] [[line]] towards the [[peace]] [[process]] and the [[integration]] of [[Israeli]] [[Arabs]], characterized by its 2009 election [[slogan]] \""No [[loyalty]], no [[citizenship]]\"". Its [[main]] [[platform]] [[includes]] a [[recognition]] of the two-state [[solution]], the [[creation]] of a Palestinian [[state]] that would [[include]] an [[exchange]] of some [[largely]] Arab-inhabited parts of [[Israel]] for largely Jewish-inhabited [[parts]] of the West Bank. The [[party]] maintains an anti-clerical mantle and encourages socio-economic opportunities for new immigrants, in conjunction with efforts to increase Jewish immigration. [[In]] the 2009 election the [[party]] won 15 seats, its most to date, [[making]] it the third largest [[party]] in the [[previous]] Knesset. [[In]] the 2015 election, the party won six seats.","[[Israelites]] Beiteinu (Hebrew: יִשְׂרָאֵל בֵּיתֵנוּ‎‎, lit. Israel is Our Home) is a secularist and right-wing nationalist [[strategic]] [[servings]] in [[Jews]]. The party's base [[hectare]] traditionally been secular, Russian-speaking Israelis. The [[parties]] describes itself as \""a [[nationale]] movement with the clear vision to follow in the bold path of Zev Jabotinsky\"", the founder of Revisionist Zionism. It primarily [[describes]] [[settlers]] from the former Soviet [[Confederacy]]. Although it has [[ventured]] to [[grew]] its [[attraction]] to more [[establish]] [[Palestinians]], it [[hectare]] not been successful, and most of its [[election]] are Russian-speaking. It takes a [[ferocious]] [[lineup]] towards the [[equanimity]] [[procedure]] and the [[incorporation]] of [[Rabbis]] [[Egyptians]], characterized by its 2009 election [[chants]] \""No [[dedication]], no [[populace]]\"". Its [[nucleus]] [[docks]] [[realises]] a [[confessed]] of the two-state [[decision]], the [[instituted]] of a Palestinian [[stat]] that would [[embracing]] an [[exchanged]] of some [[widely]] Arab-inhabited parts of [[Palestinians]] for largely Jewish-inhabited [[parties]] of the West Bank. The [[portion]] maintains an anti-clerical mantle and encourages socio-economic opportunities for new immigrants, in conjunction with efforts to increase Jewish immigration. [[Roundabout]] the 2009 election the [[portion]] won 15 seats, its most to date, [[took]] it the third largest [[servings]] in the [[elapsed]] Knesset. [[Of]] the 2015 election, the party won six seats.",0
"Mumtaz Mahal (1921 – 1945) was a British Thoroughbred [[racehorse]] who the National Sporting Library's Thoroughbred Heritage website says was \""one of the most important broodmares of the 20th Century\"". She was named for empress Mumtaz Mahal, wife of Mughal Empire ruler Shah Jahan of Taj Mahal fame. [[Bred]] by Lady Sykes at her Sledmere [[Stud]] in Driffield, East Riding of Yorkshire, Mumtaz Mahal was out of the mare Lady Josephine. Her [[sire]] was The Tetrarch, whom the Thoroughbred Heritage [[website]] also said was \""probably the greatest two-year-old of all time\"", and that he was \""possibly the greatest runner ever.\""","Mumtaz Mahal (1921 – 1945) was a British Thoroughbred [[horses]] who the National Sporting Library's Thoroughbred Heritage website says was \""one of the most important broodmares of the 20th Century\"". She was named for empress Mumtaz Mahal, wife of Mughal Empire ruler Shah Jahan of Taj Mahal fame. [[High]] by Lady Sykes at her Sledmere [[Nail]] in Driffield, East Riding of Yorkshire, Mumtaz Mahal was out of the mare Lady Josephine. Her [[sir]] was The Tetrarch, whom the Thoroughbred Heritage [[site]] also said was \""probably the greatest two-year-old of all time\"", and that he was \""possibly the greatest runner ever.\""",3
"Gendo Ikari (碇 ゲンドウ Ikari Gendō) is a [[fictional]] [[character]] in the [[Neon]] [[Genesis]] [[Evangelion]] franchise. [[He]] is the [[commander]] of NERV. [[While]] all of the [[English]] [[versions]] romanize his [[given]] [[name]] as Gendo, Gainax's website romanizes it Gendoh, and some fansites romanize his name as \""Gendou\"". During Takaaki Mitsuhashi's 2010 [[campaign]] for the House of Councillors, he cosplayed as Gendo Ikari.","Gendo Ikari (碇 ゲンドウ Ikari Gendō) is a [[fictitious]] [[feature]] in the [[Crimson]] [[Originated]] [[Anime]] franchise. [[It]] is the [[commanders]] of NERV. [[Although]] all of the [[Britannica]] [[copies]] romanize his [[gave]] [[title]] as Gendo, Gainax's website romanizes it Gendoh, and some fansites romanize his name as \""Gendou\"". During Takaaki Mitsuhashi's 2010 [[campaigning]] for the House of Councillors, he cosplayed as Gendo Ikari.",0
[[The]] [[Roman]] Catholic [[Archdiocese]] of Mansa ([[Latin]]: Mansaën(sis)) is a suffragan [[diocese]] in the [[city]] of Mansa in the [[ecclesiastical]] [[province]] of Kasama in [[Zambia]].,[[Both]] [[Romana]] Catholic [[Synod]] of Mansa ([[Americana]]: Mansaën(sis)) is a suffragan [[bishop]] in the [[township]] of Mansa in the [[pentecostal]] [[arrondissement]] of Kasama in [[Cameroon]].,2
"Stadion Feijenoord (pronounced [ˌstaːdijɔn ˈfɛiənoːrt]), more commonly known by its nickname De Kuip (pronounced [də ˈkœyp]; the Tub), is a [[stadium]] in [[Rotterdam]], [[Netherlands]] that was [[completed]] in 1937. The name is derived from the area \""Feijenoord\"" in Rotterdam, and from the club with the same [[name]] (although the club's [[name]] was internationalised to Feyenoord in 1973). The stadium's [[original]] [[capacity]] was 64,000. [[In]] 1949 it was [[expanded]] to 69,000, and in 1994 it was [[renovated]] again for a [[capacity]] of 51,117. [[In]] 1999, a [[significant]] [[amount]] of [[restoration]] and [[interior]] [[work]] took [[place]] at the [[stadium]] [[prior]] to its use as a venue in the [[Euro]] 2000 [[tournament]], although capacity was largely unaffected.","Stadion Feijenoord (pronounced [ˌstaːdijɔn ˈfɛiənoːrt]), more commonly known by its nickname De Kuip (pronounced [də ˈkœyp]; the Tub), is a [[gymnasium]] in [[Dutch]], [[Dutch]] that was [[complement]] in 1937. The name is derived from the area \""Feijenoord\"" in Rotterdam, and from the club with the same [[surname]] (although the club's [[surname]] was internationalised to Feyenoord in 1973). The stadium's [[native]] [[roles]] was 64,000. [[With]] 1949 it was [[increased]] to 69,000, and in 1994 it was [[reconfigured]] again for a [[knowledge]] of 51,117. [[With]] 1999, a [[conspicuous]] [[amounts]] of [[reverted]] and [[internal]] [[operandi]] took [[pleasure]] at the [[stage]] [[initially]] to its use as a venue in the [[Europe]] 2000 [[competitiveness]], although capacity was largely unaffected.",2
