original_text,perturbed_text,label
"The Canal Latéral [[à]] la Loire was constructed between 1827 and 1838 to connect the Canal de Briare at Briare and the Canal du [[Centre]] at Digoin, a distance of 196 km. It replaced the use of the [[River]] Loire which [[had]] [[reliability]] [[problems]] arising from winter floods and summer [[droughts]]. [[Aqueducts]] were used to cross the River Allier at Le Guétin (in the commune of Cuffy) and the River Loire at Digoin, but because of the extreme length required, one was not built to cross the Loire River at Briare until 1896 when the Briare [[aqueduct]] was constructed.","The Canal Latéral [[où]] la Loire was constructed between 1827 and 1838 to connect the Canal de Briare at Briare and the Canal du [[Amid]] at Digoin, a distance of 196 km. It replaced the use of the [[Estuary]] Loire which [[get]] [[trusting]] [[subjects]] arising from winter floods and summer [[drought]]. [[Roads]] were used to cross the River Allier at Le Guétin (in the commune of Cuffy) and the River Loire at Digoin, but because of the extreme length required, one was not built to cross the Loire River at Briare until 1896 when the Briare [[rivers]] was constructed.",2
"Les Disques du Crépuscule is an independent [[record]] [[label]] founded in Belgium. The label was founded in 1980 by Michel Duval and Annik Honoré. It also had a prominent associated sublabel, Factory Benelux. Both are now run by former employee James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the label's catalogue numbers being prefixed by the letters TWI.","Les Disques du Crépuscule is an independent [[inscription]] [[labelled]] founded in Belgium. The label was founded in 1980 by Michel Duval and Annik Honoré. It also had a prominent associated sublabel, Factory Benelux. Both are now run by former employee James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the label's catalogue numbers being prefixed by the letters TWI.",0
"The 2003 All-Ireland Under-21 Hurling Championship [[final]] was a hurling [[match]] that was [[played]] at [[Semple]] [[Stadium]], Thurles on 21 [[September]] 2003 to [[determine]] the [[winners]] of the 2003 All-Ireland Under-21 [[Hurling]] [[Championship]], the 40th season of the All-Ireland Under-21 Hurling Championship, a tournament [[organised]] by the Gaelic [[Athletic]] Association for the [[champion]] [[teams]] of the four [[provinces]] of Ireland. The final was contested by Kilkenny of Leinster and Galway of Connacht, with Kilkenny winning by 2-13 to 0-12.","The 2003 All-Ireland Under-21 Hurling Championship [[recent]] was a hurling [[pairing]] that was [[reacted]] at [[Mcpherson]] [[Stages]], Thurles on 21 [[November]] 2003 to [[defines]] the [[finalist]] of the 2003 All-Ireland Under-21 [[Tossing]] [[Championships]], the 40th season of the All-Ireland Under-21 Hurling Championship, a tournament [[arranged]] by the Gaelic [[Athletics]] Association for the [[champions]] [[factions]] of the four [[arrondissement]] of Ireland. The final was contested by Kilkenny of Leinster and Galway of Connacht, with Kilkenny winning by 2-13 to 0-12.",5
"The Brockville Football Club was a [[team]] that played in the QRFU at the turn of the century. They had great success early on in their history. In 1899, they finished in first place in the QRFU but lost to Ottawa College in the Quebec finals. They won the QRFU Championship in 1900 but lost in the Dominion Final to the Ottawa Rough Riders.","The Brockville Football Club was a [[teams]] that played in the QRFU at the turn of the century. They had great success early on in their history. In 1899, they finished in first place in the QRFU but lost to Ottawa College in the Quebec finals. They won the QRFU Championship in 1900 but lost in the Dominion Final to the Ottawa Rough Riders.",0
"Sebastian Piersig ([[born]] May 28, 1984 in Spremberg, [[Brandenburg]]) is a [[German]] [[slalom]] canoer who [[competed]] in the 2000s in the C-2 category [[together]] with [[Felix]] [[Michel]]. He won a [[silver]] [[medal]] in the C-2 [[team]] [[event]] at the 2006 ICF [[Canoe]] Slalom [[World]] Championships in [[Prague]]. [[He]] also won [[two]] [[gold]] [[medals]] in the same [[event]] at the European [[Championships]]. Piersig [[finished]] [[sixth]] in the C-2 [[event]] at the 2008 [[Summer]] [[Olympics]] in Beijing.","Sebastian Piersig ([[births]] May 28, 1984 in Spremberg, [[Schwerin]]) is a [[Hessian]] [[skiing]] canoer who [[embroiled]] in the 2000s in the C-2 category [[collectively]] with [[Martinez]] [[Micheal]]. He won a [[plata]] [[trophies]] in the C-2 [[pc]] [[manifestations]] at the 2006 ICF [[Sailing]] Slalom [[Globo]] Championships in [[Bragg]]. [[It]] also won [[three]] [[kim]] [[medalist]] in the same [[episodes]] at the European [[Tournaments]]. Piersig [[finalizing]] [[fifth]] in the C-2 [[expression]] at the 2008 [[Ronald]] [[Medalist]] in Beijing.",0
"[[These]] are the [[results]] of the women's [[individual]] all-around competition, one of [[six]] [[events]] for [[female]] [[competitors]] in [[artistic]] gymnastics at the 2000 Summer [[Olympics]] in Sydney. The qualification and [[final]] [[rounds]] took [[place]] on September 17 and 21 at the Sydney SuperDome. The all-around competition in the discipline of women's artistic gymnastics ([[WAG]]) was [[marred]] by three [[separate]] [[scandals]]. [[The]] vault [[apparatus]] was [[set]] [[incorrectly]] for more than [[half]] of the [[meet]]; [[consequently]] [[many]] [[gymnasts]] [[fell]] or were [[injured]] on the event. The [[apparatus]] was [[adjusted]] during the [[third]] [[rotation]] and those [[gymnasts]] who [[had]] [[vaulted]] on the [[incorrectly]] [[set]] [[equipment]] were [[invited]] to re-do the [[event]] at the [[end]] of the [[competition]]. Notably, [[Svetlana]] Khorkina, who [[led]] [[champion]] Andreea Răducan by [[nearly]] 0.3 in [[qualifications]], was thrown out of [[medal]] [[contention]] due to the [[wrongly]] [[measured]] vault. Additionally, [[world]] all-around silver medalist Viktoria Karpenko, who [[led]] the [[competition]] until the [[last]] rotation, was thrown from first [[place]] after she stubbed her toe, [[tripped]], and [[fell]] out of [[bounds]] on her [[floor]] [[exercise]]. [[These]] are testaments to the [[upset]] of the entire [[competition]]. Finally, though not [[necessarily]] a [[favorite]] for an all-around [[medal]], Dong Fangxiao was found in 2010 to [[have]] been underaged at the Sydney [[Olympics]]. [[Consequently]], all of her [[results]] from the [[competition]] - including her all-around [[results]] - were [[cancelled]].","[[This]] are the [[output]] of the women's [[peculiar]] all-around competition, one of [[eight]] [[protesting]] for [[nana]] [[competes]] in [[artist]] gymnastics at the 2000 Summer [[Olympic]] in Sydney. The qualification and [[finalized]] [[ronda]] took [[pleasure]] on September 17 and 21 at the Sydney SuperDome. The all-around competition in the discipline of women's artistic gymnastics ([[WIGGLE]]) was [[tainted]] by three [[sporadic]] [[scandal]]. [[Both]] vault [[aircraft]] was [[defining]] [[poorly]] for more than [[medium]] of the [[serve]]; [[then]] [[plenty]] [[gymnast]] [[decreased]] or were [[others]] on the event. The [[mechanically]] was [[wrapping]] during the [[fourth]] [[spins]] and those [[gymnast]] who [[gets]] [[blew]] on the [[illegally]] [[games]] [[pc]] were [[calling]] to re-do the [[cas]] at the [[fin]] of the [[contestant]]. Notably, [[Oleg]] Khorkina, who [[culminating]] [[championship]] Andreea Răducan by [[literally]] 0.3 in [[degree]], was thrown out of [[adorned]] [[claim]] due to the [[overly]] [[weights]] vault. Additionally, [[mundo]] all-around silver medalist Viktoria Karpenko, who [[resulted]] the [[rivals]] until the [[eventual]] rotation, was thrown from first [[venue]] after she stubbed her toe, [[drenched]], and [[declining]] out of [[bordering]] on her [[soil]] [[drills]]. [[Those]] are testaments to the [[irritated]] of the entire [[competitor]]. Finally, though not [[increasingly]] a [[preference]] for an all-around [[medals]], Dong Fangxiao was found in 2010 to [[recieve]] been underaged at the Sydney [[Medalist]]. [[Tad]], all of her [[effects]] from the [[tournament]] - including her all-around [[culmination]] - were [[revoke]].",5
"Taufik Hidayat ([[born]] 10 August 1981 in Bandung, West Java) is a [[retired]] [[Indonesian]] [[badminton]] [[player]]. He is a former World and Olympic champion in men's [[singles]]. He has also won the Indonesian Open six times (1999, 2000, 2002, 2003, 2004 and 2006). [[When]] he was [[young]], he [[joined]] the SGS Club, a badminton club in Bandung, where he [[trained]] under [[Iie]] Sumirat. Hidayat won the men's singles [[competition]] in badminton at the 2004 Summer Olympics. [[In]] August 2005, he won the men's singles [[competition]] at the IBF World Championships. He also won the gold medal at the Asian Games twice, at [[Busan]] in 2002 and Doha in 2006. Popular media has at times focused on the perceived rivalry between Hidayat and Chinese player Lin Dan, referring to the two as \""arch [[rivals]]\"". In November 2012, Hidayat built a badminton training center named Taufik Hidayat Arena (THA), located at Ciracas, East Jakarta. The Center is owned and named after himself.","Taufik Hidayat ([[nee]] 10 August 1981 in Bandung, West Java) is a [[withdraw]] [[Malaysian]] [[birds]] [[agent]]. He is a former World and Olympic champion in men's [[mere]]. He has also won the Indonesian Open six times (1999, 2000, 2002, 2003, 2004 and 2006). [[Where]] he was [[teen]], he [[joints]] the SGS Club, a badminton club in Bandung, where he [[adept]] under [[Lies]] Sumirat. Hidayat won the men's singles [[competing]] in badminton at the 2004 Summer Olympics. [[Of]] August 2005, he won the men's singles [[competes]] at the IBF World Championships. He also won the gold medal at the Asian Games twice, at [[Seoul]] in 2002 and Doha in 2006. Popular media has at times focused on the perceived rivalry between Hidayat and Chinese player Lin Dan, referring to the two as \""arch [[contest]]\"". In November 2012, Hidayat built a badminton training center named Taufik Hidayat Arena (THA), located at Ciracas, East Jakarta. The Center is owned and named after himself.",0
"Hong Kong Tramways (Chinese: 香港電車) is a tram [[system]] in Hong Kong and one of the earliest forms of public transport in the metropolis. Owned and operated by Veolia Transport RATP Asia, the tramway runs on Hong Kong Island between Shau Kei Wan and Kennedy Town, with a branch circulating through Happy Valley. Trams in Hong Kong have not only been a form of commuter transport for over 110 years, but also a major tourist attraction and one of the most environmentally friendly ways of travelling in Hong Kong. The tram system is the only one in the world operated exclusively with double-decker trams, and is one of only three non-heritage tram systems in the world that use double-deck cars. The tram is the cheapest mode of public transport on the island. The comparatively affordable fare is highlighted by Hong Kong Tramways' advertising slogan: \""Hop on 1. $2.3. Tram so easy!\""","Hong Kong Tramways (Chinese: 香港電車) is a tram [[systems]] in Hong Kong and one of the earliest forms of public transport in the metropolis. Owned and operated by Veolia Transport RATP Asia, the tramway runs on Hong Kong Island between Shau Kei Wan and Kennedy Town, with a branch circulating through Happy Valley. Trams in Hong Kong have not only been a form of commuter transport for over 110 years, but also a major tourist attraction and one of the most environmentally friendly ways of travelling in Hong Kong. The tram system is the only one in the world operated exclusively with double-decker trams, and is one of only three non-heritage tram systems in the world that use double-deck cars. The tram is the cheapest mode of public transport on the island. The comparatively affordable fare is highlighted by Hong Kong Tramways' advertising slogan: \""Hop on 1. $2.3. Tram so easy!\""",0
"The 1936 [[Marquette]] Golden Avalanche [[football]] team represented Marquette University in the 1936 college football [[season]]. [[Marquette]] was led by long-time [[head]] [[coach]] [[Frank]] Murray. The team competed as a football [[independent]] and [[played]] their [[home]] [[games]] at [[Marquette]] [[Stadium]] in [[Milwaukee]], [[Wisconsin]]. The [[squad]] [[finished]] the season with a 7–2 [[record]] after [[losing]] to TCU in the inaugural [[Cotton]] [[Bowl]] [[Classic]].","The 1936 [[Seton]] Golden Avalanche [[flask]] team represented Marquette University in the 1936 college football [[seasons]]. [[Wolverines]] was led by long-time [[chiefs]] [[trainer]] [[Frankie]] Murray. The team competed as a football [[unconnected]] and [[walked]] their [[lodgings]] [[plays]] at [[Vanderbilt]] [[Ballpark]] in [[Denver]], [[Wl]]. The [[brigades]] [[fulfilled]] the season with a 7–2 [[dossiers]] after [[outof]] to TCU in the inaugural [[Flannel]] [[Cups]] [[Classical]].",6
"[[Front]] [[Royal]]–[[Warren]] [[County]] Airport (IATA: FRR, ICAO: KFRR, FAA [[LID]]: FRR) is a county [[owned]], public [[use]] airport [[located]] [[three]] nautical [[miles]] (6 km) [[west]] of the central business [[district]] of Front [[Royal]], a town in [[Warren]] County, Virginia, [[United]] [[States]]. [[It]] is [[included]] in the [[National]] [[Plan]] of [[Integrated]] Airport [[Systems]] for 2011–2015, which categorized it as a general aviation [[facility]].","[[Brow]] [[Property]]–[[Richardson]] [[Divisional]] Airport (IATA: FRR, ICAO: KFRR, FAA [[COVERED]]: FRR) is a county [[possess]], public [[consuming]] airport [[situated]] [[two]] nautical [[thousands]] (6 km) [[northwestern]] of the central business [[zone]] of Front [[Property]], a town in [[Richardson]] County, Virginia, [[Uniform]] [[Staten]]. [[His]] is [[inscription]] in the [[Nationalist]] [[Arrangements]] of [[Embedded]] Airport [[Intends]] for 2011–2015, which categorized it as a general aviation [[facilities]].",2
"[[Mumtaz]] Mahal (1921 – 1945) was a British Thoroughbred [[racehorse]] who the [[National]] [[Sporting]] Library's Thoroughbred Heritage website says was \""one of the most [[important]] broodmares of the 20th Century\"". She was named for empress [[Mumtaz]] [[Mahal]], wife of Mughal Empire ruler Shah [[Jahan]] of Taj Mahal fame. Bred by Lady Sykes at her Sledmere Stud in Driffield, East Riding of Yorkshire, [[Mumtaz]] Mahal was out of the mare Lady Josephine. Her [[sire]] was The [[Tetrarch]], whom the Thoroughbred Heritage website also said was \""probably the greatest two-year-old of all time\"", and that he was \""possibly the greatest [[runner]] ever.\""","[[Begum]] Mahal (1921 – 1945) was a British Thoroughbred [[equestrian]] who the [[Nationalities]] [[Leisure]] Library's Thoroughbred Heritage website says was \""one of the most [[significance]] broodmares of the 20th Century\"". She was named for empress [[Mahal]] [[Jaipur]], wife of Mughal Empire ruler Shah [[Begum]] of Taj Mahal fame. Bred by Lady Sykes at her Sledmere Stud in Driffield, East Riding of Yorkshire, [[Mahal]] Mahal was out of the mare Lady Josephine. Her [[deities]] was The [[Herod]], whom the Thoroughbred Heritage website also said was \""probably the greatest two-year-old of all time\"", and that he was \""possibly the greatest [[racers]] ever.\""",3
"Christina Alessi ([[previously]] Robinson) is a [[fictional]] [[character]] from the Australian [[soap]] opera Neighbours, played by Gayle Blakeney. She made her first on-screen [[appearance]] on 18 January 1990, when she moved into [[Ramsay]] [[Street]] with her twin sister, Caroline. [[Christina]] [[marries]] Paul Robinson and gives birth to their [[son]], Andrew. [[Christina]] [[departed]] on 5 [[August]] 1992 with Paul and [[Andrew]], following Paul's relocation to [[Hawaii]]. Caroline, Christina's twin sister, was played by Gayle's real-life twin, Gillian Blakeney.","Christina Alessi ([[thereafter]] Robinson) is a [[imaginary]] [[characters]] from the Australian [[scrub]] opera Neighbours, played by Gayle Blakeney. She made her first on-screen [[phantom]] on 18 January 1990, when she moved into [[Ramsey]] [[Sidewalk]] with her twin sister, Caroline. [[Katy]] [[married]] Paul Robinson and gives birth to their [[guy]], Andrew. [[Lilia]] [[afternoon]] on 5 [[Augustus]] 1992 with Paul and [[Reginald]], following Paul's relocation to [[Waikiki]]. Caroline, Christina's twin sister, was played by Gayle's real-life twin, Gillian Blakeney.",0
