original_text,perturbed_text,label
"Les Disques du Crépuscule is an independent record [[label]] founded in Belgium. The [[label]] was founded in 1980 by Michel Duval and Annik Honoré. It also had a prominent associated sublabel, Factory Benelux. Both are now run by former employee James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the label's catalogue numbers being prefixed by the letters TWI.","Les Disques du Crépuscule is an independent record [[badge]] founded in Belgium. The [[insignia]] was founded in 1980 by Michel Duval and Annik Honoré. It also had a prominent associated sublabel, Factory Benelux. Both are now run by former employee James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the label's catalogue numbers being prefixed by the letters TWI.",0
"[[The]] 2003 All-Ireland Under-21 Hurling Championship final was a hurling [[match]] that was [[played]] at Semple [[Stadium]], Thurles on 21 [[September]] 2003 to [[determine]] the [[winners]] of the 2003 All-Ireland Under-21 [[Hurling]] [[Championship]], the 40th season of the All-Ireland Under-21 [[Hurling]] [[Championship]], a [[tournament]] [[organised]] by the [[Gaelic]] [[Athletic]] [[Association]] for the champion [[teams]] of the four [[provinces]] of [[Ireland]]. The final was [[contested]] by Kilkenny of Leinster and [[Galway]] of Connacht, with Kilkenny [[winning]] by 2-13 to 0-12.","[[Both]] 2003 All-Ireland Under-21 Hurling Championship final was a hurling [[ballgame]] that was [[exerted]] at Semple [[Arena]], Thurles on 21 [[January]] 2003 to [[establish]] the [[winner]] of the 2003 All-Ireland Under-21 [[Flung]] [[Featuring]], the 40th season of the All-Ireland Under-21 [[Flung]] [[Trophy]], a [[compete]] [[hosts]] by the [[Scottish]] [[Gym]] [[League]] for the champion [[devices]] of the four [[prov]] of [[Irish]]. The final was [[competitions]] by Kilkenny of Leinster and [[Wicklow]] of Connacht, with Kilkenny [[prevail]] by 2-13 to 0-12.",5
"Giulia Sergas (born 26 December 1979) is an Italian professional [[golfer]], [[currently]] [[playing]] on both the LPGA Tour and the [[Ladies]] [[European]] [[Tour]].","Giulia Sergas (born 26 December 1979) is an Italian professional [[golf]], [[presently]] [[procreation]] on both the LPGA Tour and the [[Nana]] [[Ue]] [[Voyages]].",0
"The Brockville Football [[Club]] was a [[team]] that [[played]] in the QRFU at the [[turn]] of the century. They [[had]] great success [[early]] on in their [[history]]. [[In]] 1899, they [[finished]] in first [[place]] in the QRFU but [[lost]] to [[Ottawa]] College in the [[Quebec]] [[finals]]. They won the QRFU [[Championship]] in 1900 but [[lost]] in the Dominion [[Final]] to the [[Ottawa]] [[Rough]] [[Riders]].","The Brockville Football [[Disco]] was a [[accoutrements]] that [[walked]] in the QRFU at the [[rotating]] of the century. They [[grabbed]] great success [[quickly]] on in their [[narrative]]. [[Toward]] 1899, they [[concluded]] in first [[scene]] in the QRFU but [[missed]] to [[Canadiens]] College in the [[Francaise]] [[preliminaries]]. They won the QRFU [[Champion]] in 1900 but [[fainted]] in the Dominion [[Ultimate]] to the [[Winnipeg]] [[Stark]] [[Chauffeurs]].",0
"These are the results of the women's individual all-around competition, one of six [[events]] for female competitors in artistic gymnastics at the 2000 Summer Olympics in Sydney. The qualification and final rounds [[took]] place on September 17 and 21 at the Sydney SuperDome. The all-around competition in the discipline of women's artistic gymnastics (WAG) was marred by three separate scandals. The vault [[apparatus]] was set incorrectly for more than [[half]] of the meet; [[consequently]] [[many]] gymnasts fell or were injured on the event. The [[apparatus]] was [[adjusted]] during the [[third]] [[rotation]] and those gymnasts who [[had]] [[vaulted]] on the [[incorrectly]] [[set]] [[equipment]] were [[invited]] to re-do the [[event]] at the [[end]] of the [[competition]]. Notably, Svetlana Khorkina, who [[led]] [[champion]] Andreea Răducan by [[nearly]] 0.3 in [[qualifications]], was [[thrown]] out of [[medal]] [[contention]] due to the [[wrongly]] [[measured]] [[vault]]. Additionally, world all-around silver [[medalist]] Viktoria Karpenko, who [[led]] the [[competition]] until the [[last]] [[rotation]], was [[thrown]] from first [[place]] after she stubbed her [[toe]], [[tripped]], and [[fell]] out of [[bounds]] on her [[floor]] [[exercise]]. These are testaments to the [[upset]] of the [[entire]] [[competition]]. [[Finally]], [[though]] not [[necessarily]] a [[favorite]] for an all-around [[medal]], Dong Fangxiao was [[found]] in 2010 to have been underaged at the [[Sydney]] [[Olympics]]. Consequently, all of her results from the competition - [[including]] her all-around results - were [[cancelled]].","These are the results of the women's individual all-around competition, one of six [[manifestation]] for female competitors in artistic gymnastics at the 2000 Summer Olympics in Sydney. The qualification and final rounds [[having]] place on September 17 and 21 at the Sydney SuperDome. The all-around competition in the discipline of women's artistic gymnastics (WAG) was marred by three separate scandals. The vault [[systems]] was set incorrectly for more than [[average]] of the meet; [[likewise]] [[vast]] gymnasts fell or were injured on the event. The [[mechanism]] was [[adaptation]] during the [[iii]] [[revolves]] and those gymnasts who [[enjoys]] [[slipped]] on the [[maliciously]] [[establishes]] [[pcs]] were [[asked]] to re-do the [[instance]] at the [[fin]] of the [[pageant]]. Notably, Svetlana Khorkina, who [[translated]] [[proponent]] Andreea Răducan by [[practically]] 0.3 in [[certification]], was [[casting]] out of [[adorned]] [[thesis]] due to the [[inadvertently]] [[calibrated]] [[crypt]]. Additionally, world all-around silver [[gymnast]] Viktoria Karpenko, who [[produced]] the [[pageant]] until the [[former]] [[rotated]], was [[casting]] from first [[situ]] after she stubbed her [[ft]], [[faltered]], and [[leaped]] out of [[constraints]] on her [[sol]] [[fulfilling]]. These are testaments to the [[outraged]] of the [[wholly]] [[contestant]]. [[Lastly]], [[after]] not [[periodically]] a [[predilection]] for an all-around [[medals]], Dong Fangxiao was [[wintergreen]] in 2010 to have been underaged at the [[Sidney]] [[Olympiad]]. Consequently, all of her results from the competition - [[include]] her all-around results - were [[withdrawn]].",5
"The [[Texas]] [[river]] cooter (Pseudemys texana) is a [[species]] of [[freshwater]] [[turtle]] [[native]] to [[creeks]], [[rivers]], and [[lakes]] of the [[US]] [[state]] of [[Texas]]. It is [[found]] in the [[river]] [[basins]] of the [[Colorado]], Brazos, Guadalupe, and [[San]] [[Antonio]] [[Rivers]]. It is one of [[two]] [[species]] of cooter [[native]] to the [[state]], the other being the [[Eastern]] [[River]] Cooter.","The [[Houston]] [[tributaries]] cooter (Pseudemys texana) is a [[kinds]] of [[fraiche]] [[tortoises]] [[indigenous]] to [[tributaries]], [[tributaries]], and [[lagos]] of the [[OURSELVES]] [[countries]] of [[Texarkana]]. It is [[observed]] in the [[tributaries]] [[pits]] of the [[Denver]], Brazos, Guadalupe, and [[Saint]] [[Fabio]] [[Tok]]. It is one of [[three]] [[kinds]] of cooter [[aborigines]] to the [[states]], the other being the [[Timorese]] [[Waterways]] Cooter.",3
"[[Yisrael]] Beiteinu ([[Hebrew]]: יִשְׂרָאֵל בֵּיתֵנוּ‎‎, [[lit]]. [[Israel]] is Our [[Home]]) is a secularist and right-wing [[nationalist]] [[political]] [[party]] in Israel. The party's [[base]] [[has]] [[traditionally]] been secular, Russian-speaking [[Israelis]]. The [[party]] [[describes]] itself as \""a national [[movement]] with the clear vision to follow in the bold path of Zev Jabotinsky\"", the founder of Revisionist Zionism. It primarily represents [[immigrants]] from the former Soviet Union. [[Although]] it [[has]] attempted to [[expand]] its [[appeal]] to more [[established]] Israelis, it [[has]] not been successful, and most of its voters are Russian-speaking. It takes a strong line towards the [[peace]] [[process]] and the [[integration]] of Israeli Arabs, characterized by its 2009 [[election]] [[slogan]] \""No [[loyalty]], no [[citizenship]]\"". Its [[main]] [[platform]] [[includes]] a [[recognition]] of the two-state [[solution]], the [[creation]] of a [[Palestinian]] [[state]] that would [[include]] an exchange of some largely Arab-inhabited parts of Israel for [[largely]] Jewish-inhabited [[parts]] of the West Bank. The [[party]] [[maintains]] an anti-clerical mantle and encourages socio-economic opportunities for new immigrants, in conjunction with efforts to increase Jewish immigration. [[In]] the 2009 [[election]] the party won 15 [[seats]], its most to date, making it the third largest party in the previous Knesset. In the 2015 election, the party won six seats.","[[Torah]] Beiteinu ([[Yiddish]]: יִשְׂרָאֵל בֵּיתֵנוּ‎‎, [[activated]]. [[Israelis]] is Our [[Bedrooms]]) is a secularist and right-wing [[nationale]] [[strategic]] [[part]] in Israel. The party's [[basal]] [[had]] [[automatically]] been secular, Russian-speaking [[Jews]]. The [[faction]] [[indicated]] itself as \""a national [[gestures]] with the clear vision to follow in the bold path of Zev Jabotinsky\"", the founder of Revisionist Zionism. It primarily represents [[settlers]] from the former Soviet Union. [[Except]] it [[was]] attempted to [[increased]] its [[requesting]] to more [[made]] Israelis, it [[was]] not been successful, and most of its voters are Russian-speaking. It takes a strong line towards the [[dispassionate]] [[procedure]] and the [[insertion]] of Israeli Arabs, characterized by its 2009 [[ballot]] [[motorcycle]] \""No [[sincerity]], no [[populace]]\"". Its [[decisive]] [[wharf]] [[contained]] a [[appreciate]] of the two-state [[responses]], the [[constructed]] of a [[Israeli]] [[stat]] that would [[contained]] an exchange of some largely Arab-inhabited parts of Israel for [[sharply]] Jewish-inhabited [[corners]] of the West Bank. The [[portion]] [[remained]] an anti-clerical mantle and encourages socio-economic opportunities for new immigrants, in conjunction with efforts to increase Jewish immigration. [[En]] the 2009 [[ballot]] the party won 15 [[seating]], its most to date, making it the third largest party in the previous Knesset. In the 2015 election, the party won six seats.",0
"Hong Kong Tramways (Chinese: 香港電車) is a [[tram]] [[system]] in Hong Kong and one of the [[earliest]] [[forms]] of public [[transport]] in the [[metropolis]]. Owned and operated by Veolia [[Transport]] RATP Asia, the tramway runs on [[Hong]] Kong Island between Shau [[Kei]] [[Wan]] and Kennedy Town, with a [[branch]] [[circulating]] through Happy Valley. [[Trams]] in Hong [[Kong]] [[have]] not only been a [[form]] of [[commuter]] [[transport]] for over 110 [[years]], but also a [[major]] [[tourist]] [[attraction]] and one of the most environmentally [[friendly]] [[ways]] of [[travelling]] in Hong Kong. The [[tram]] [[system]] is the only one in the [[world]] [[operated]] [[exclusively]] with double-decker [[trams]], and is one of only [[three]] non-heritage [[tram]] [[systems]] in the [[world]] that [[use]] double-deck [[cars]]. The [[tram]] is the cheapest [[mode]] of public [[transport]] on the [[island]]. The [[comparatively]] [[affordable]] [[fare]] is [[highlighted]] by Hong Kong Tramways' [[advertising]] [[slogan]]: \""[[Hop]] on 1. $2.3. [[Tram]] [[so]] [[easy]]!\""","Hong Kong Tramways (Chinese: 香港電車) is a [[railway]] [[regimen]] in Hong Kong and one of the [[near]] [[formulas]] of public [[transported]] in the [[town]]. Owned and operated by Veolia [[Transporting]] RATP Asia, the tramway runs on [[Hanged]] Kong Island between Shau [[Qaeda]] [[Seaside]] and Kennedy Town, with a [[branching]] [[spreading]] through Happy Valley. [[Chariot]] in Hong [[Hong]] [[enjoys]] not only been a [[formulas]] of [[passenger]] [[expedition]] for over 110 [[centuries]], but also a [[important]] [[tourism]] [[attractions]] and one of the most environmentally [[friendship]] [[tracks]] of [[excursion]] in Hong Kong. The [[carriage]] [[scheme]] is the only one in the [[planet]] [[exploitation]] [[precisely]] with double-decker [[railway]], and is one of only [[two]] non-heritage [[streetcar]] [[designs]] in the [[planet]] that [[exploitation]] double-deck [[wagon]]. The [[railway]] is the cheapest [[shaping]] of public [[freight]] on the [[islander]]. The [[sufficiently]] [[lucrative]] [[cost]] is [[showcases]] by Hong Kong Tramways' [[ad]] [[chants]]: \""[[Hopping]] on 1. $2.3. [[Railway]] [[also]] [[simple]]!\""",0
"Mumtaz Mahal (1921 – 1945) was a British [[Thoroughbred]] [[racehorse]] who the National Sporting Library's Thoroughbred Heritage website says was \""one of the most important broodmares of the 20th Century\"". She was named for empress Mumtaz [[Mahal]], wife of Mughal Empire [[ruler]] Shah [[Jahan]] of [[Taj]] Mahal fame. [[Bred]] by [[Lady]] [[Sykes]] at her Sledmere [[Stud]] in Driffield, [[East]] Riding of [[Yorkshire]], Mumtaz [[Mahal]] was out of the [[mare]] [[Lady]] [[Josephine]]. Her sire was The Tetrarch, whom the [[Thoroughbred]] [[Heritage]] [[website]] also [[said]] was \""[[probably]] the [[greatest]] two-year-old of all [[time]]\"", and that he was \""[[possibly]] the [[greatest]] [[runner]] ever.\""","Mumtaz Mahal (1921 – 1945) was a British [[Jockey]] [[thoroughbred]] who the National Sporting Library's Thoroughbred Heritage website says was \""one of the most important broodmares of the 20th Century\"". She was named for empress Mumtaz [[Jaipur]], wife of Mughal Empire [[chef]] Shah [[Jehan]] of [[Sticker]] Mahal fame. [[Gao]] by [[Wife]] [[Mcbride]] at her Sledmere [[Stallion]] in Driffield, [[Northward]] Riding of [[Croydon]], Mumtaz [[Jaipur]] was out of the [[horse]] [[Femme]] [[Buchanan]]. Her sire was The Tetrarch, whom the [[Jockey]] [[Legacy]] [[blogger]] also [[affirmed]] was \""[[naturally]] the [[noblest]] two-year-old of all [[lengths]]\"", and that he was \""[[ultimately]] the [[largest]] [[sprinter]] ever.\""",3
"[[Ellison]] [[DuRant]] \""Cotton [[Ed]]\"" Smith ([[August]] 1, 1864 – November 17, 1944) was a Democratic [[Party]] [[politician]] from the [[U]].S. state of [[South]] [[Carolina]] [[widely]] [[known]] for his virulently [[racist]] and segregationist [[views]] and his [[advocacy]] of [[white]] [[supremacy]]. [[He]] represented [[South]] [[Carolina]] in the United [[States]] Senate from 1909 until 1944.","[[Becky]] [[durante]] \""Cotton [[Edit]]\"" Smith ([[Jul]] 1, 1864 – November 17, 1944) was a Democratic [[Partly]] [[statesmen]] from the [[xin]].S. state of [[Southern]] [[Nashville]] [[extensively]] [[celebrated]] for his virulently [[apartheid]] and segregationist [[sightings]] and his [[promotional]] of [[polar]] [[superiority]]. [[His]] represented [[Southward]] [[Nashville]] in the United [[Says]] Senate from 1909 until 1944.",0
