original_text,perturbed_text,label
"[[The]] [[Canal]] Latéral à la Loire was [[constructed]] between 1827 and 1838 to connect the Canal de Briare at Briare and the Canal du Centre at Digoin, a distance of 196 km. It replaced the use of the [[River]] Loire which had reliability problems arising from winter floods and summer [[droughts]]. [[Aqueducts]] were used to [[cross]] the River Allier at Le Guétin (in the commune of Cuffy) and the River Loire at Digoin, but [[because]] of the [[extreme]] [[length]] [[required]], one was not built to [[cross]] the Loire River at Briare until 1896 when the Briare aqueduct was constructed.","[[Both]] [[Duct]] Latéral à la Loire was [[founded]] between 1827 and 1838 to connect the Canal de Briare at Briare and the Canal du Centre at Digoin, a distance of 196 km. It replaced the use of the [[Aqueduct]] Loire which had reliability problems arising from winter floods and summer [[rains]]. [[Aqueduct]] were used to [[crossings]] the River Allier at Le Guétin (in the commune of Cuffy) and the River Loire at Digoin, but [[for]] of the [[monumental]] [[times]] [[obligatory]], one was not built to [[crossings]] the Loire River at Briare until 1896 when the Briare aqueduct was constructed.",2
"[[These]] are the [[results]] of the women's individual all-around [[competition]], one of six events for female competitors in artistic gymnastics at the 2000 Summer [[Olympics]] in [[Sydney]]. The qualification and [[final]] [[rounds]] [[took]] place on [[September]] 17 and 21 at the Sydney SuperDome. The all-around competition in the discipline of women's [[artistic]] gymnastics (WAG) was [[marred]] by three separate scandals. The vault apparatus was set incorrectly for more than half of the meet; consequently many gymnasts fell or were injured on the event. The apparatus was adjusted during the third rotation and those gymnasts who had vaulted on the incorrectly set equipment were invited to re-do the event at the end of the [[competition]]. Notably, [[Svetlana]] Khorkina, who led champion Andreea Răducan by nearly 0.3 in qualifications, was thrown out of medal contention due to the wrongly measured vault. Additionally, world all-around silver medalist Viktoria Karpenko, who led the competition until the last rotation, was [[thrown]] from first place after she stubbed her [[toe]], tripped, and fell out of bounds on her floor exercise. These are testaments to the upset of the [[entire]] [[competition]]. [[Finally]], though not [[necessarily]] a favorite for an all-around medal, Dong Fangxiao was [[found]] in 2010 to [[have]] been underaged at the [[Sydney]] [[Olympics]]. Consequently, all of her results from the [[competition]] - including her all-around results - were cancelled.","[[Those]] are the [[performance]] of the women's individual all-around [[competitor]], one of six events for female competitors in artistic gymnastics at the 2000 Summer [[Medalist]] in [[Li]]. The qualification and [[recent]] [[cycling]] [[had]] place on [[Augusto]] 17 and 21 at the Sydney SuperDome. The all-around competition in the discipline of women's [[technical]] gymnastics (WAG) was [[eroded]] by three separate scandals. The vault apparatus was set incorrectly for more than half of the meet; consequently many gymnasts fell or were injured on the event. The apparatus was adjusted during the third rotation and those gymnasts who had vaulted on the incorrectly set equipment were invited to re-do the event at the end of the [[rivals]]. Notably, [[Tatyana]] Khorkina, who led champion Andreea Răducan by nearly 0.3 in qualifications, was thrown out of medal contention due to the wrongly measured vault. Additionally, world all-around silver medalist Viktoria Karpenko, who led the competition until the last rotation, was [[throw]] from first place after she stubbed her [[foot]], tripped, and fell out of bounds on her floor exercise. These are testaments to the upset of the [[general]] [[competing]]. [[Then]], though not [[increasingly]] a favorite for an all-around medal, Dong Fangxiao was [[deems]] in 2010 to [[recieve]] been underaged at the [[Sidney]] [[Olympiad]]. Consequently, all of her results from the [[rivals]] - including her all-around results - were cancelled.",5
"Hong Kong Tramways (Chinese: 香港電車) is a tram [[system]] in Hong Kong and one of the earliest forms of public transport in the metropolis. Owned and operated by Veolia Transport RATP Asia, the tramway runs on Hong Kong [[Island]] between Shau Kei Wan and Kennedy Town, with a [[branch]] circulating through Happy Valley. Trams in Hong Kong have not only been a [[form]] of commuter transport for over 110 years, but also a major tourist attraction and one of the most environmentally friendly ways of [[travelling]] in [[Hong]] Kong. The [[tram]] [[system]] is the only one in the world operated exclusively with double-decker trams, and is one of only [[three]] non-heritage tram systems in the world that use double-deck cars. The tram is the cheapest mode of [[public]] [[transport]] on the [[island]]. The comparatively affordable fare is highlighted by Hong Kong Tramways' advertising slogan: \""Hop on 1. $2.3. Tram so easy!\""","Hong Kong Tramways (Chinese: 香港電車) is a tram [[device]] in Hong Kong and one of the earliest forms of public transport in the metropolis. Owned and operated by Veolia Transport RATP Asia, the tramway runs on Hong Kong [[Islanders]] between Shau Kei Wan and Kennedy Town, with a [[wing]] circulating through Happy Valley. Trams in Hong Kong have not only been a [[lineup]] of commuter transport for over 110 years, but also a major tourist attraction and one of the most environmentally friendly ways of [[tours]] in [[Hk]] Kong. The [[streetcar]] [[systemic]] is the only one in the world operated exclusively with double-decker trams, and is one of only [[five]] non-heritage tram systems in the world that use double-deck cars. The tram is the cheapest mode of [[demographic]] [[consignment]] on the [[islander]]. The comparatively affordable fare is highlighted by Hong Kong Tramways' advertising slogan: \""Hop on 1. $2.3. Tram so easy!\""",0
"Taufik Hidayat ([[born]] 10 [[August]] 1981 in Bandung, [[West]] Java) is a retired [[Indonesian]] [[badminton]] player. [[He]] is a former [[World]] and [[Olympic]] [[champion]] in men's [[singles]]. [[He]] has also won the [[Indonesian]] [[Open]] [[six]] [[times]] (1999, 2000, 2002, 2003, 2004 and 2006). [[When]] he was [[young]], he [[joined]] the SGS [[Club]], a badminton club in Bandung, where he [[trained]] under [[Iie]] Sumirat. Hidayat won the men's singles [[competition]] in [[badminton]] at the 2004 Summer [[Olympics]]. [[In]] [[August]] 2005, he won the men's singles [[competition]] at the IBF World Championships. He also won the gold [[medal]] at the Asian Games twice, at [[Busan]] in 2002 and Doha in 2006. [[Popular]] [[media]] has at times focused on the perceived rivalry between Hidayat and [[Chinese]] [[player]] [[Lin]] Dan, [[referring]] to the [[two]] as \""[[arch]] [[rivals]]\"". [[In]] [[November]] 2012, Hidayat [[built]] a badminton [[training]] center named Taufik Hidayat [[Arena]] ([[THA]]), [[located]] at Ciracas, [[East]] [[Jakarta]]. The [[Center]] is owned and [[named]] after himself.","Taufik Hidayat ([[nee]] 10 [[Nov]] 1981 in Bandung, [[Southwestern]] Java) is a retired [[Malaysian]] [[pens]] player. [[His]] is a former [[Orb]] and [[Medalist]] [[champions]] in men's [[singleton]]. [[His]] has also won the [[Malaysian]] [[Opens]] [[eight]] [[hours]] (1999, 2000, 2002, 2003, 2004 and 2006). [[Where]] he was [[childish]], he [[participating]] the SGS [[Clubs]], a badminton club in Bandung, where he [[qualified]] under [[Lurks]] Sumirat. Hidayat won the men's singles [[squabbles]] in [[pens]] at the 2004 Summer [[Medalist]]. [[Under]] [[Sept]] 2005, he won the men's singles [[tournaments]] at the IBF World Championships. He also won the gold [[adorned]] at the Asian Games twice, at [[Incheon]] in 2002 and Doha in 2006. [[Fashionable]] [[medium]] has at times focused on the perceived rivalry between Hidayat and [[Cantonese]] [[players]] [[Linen]] Dan, [[relate]] to the [[three]] as \""[[vault]] [[concurrent]]\"". [[Through]] [[Elf]] 2012, Hidayat [[capitalize]] a badminton [[learning]] center named Taufik Hidayat [[Stadium]] ([[NOTHIN]]), [[locating]] at Ciracas, [[Southeast]] [[Indonesia]]. The [[Hub]] is owned and [[designated]] after himself.",0
"Mumtaz [[Mahal]] (1921 – 1945) was a British [[Thoroughbred]] [[racehorse]] who the [[National]] [[Sporting]] Library's [[Thoroughbred]] Heritage [[website]] [[says]] was \""one of the most [[important]] broodmares of the 20th [[Century]]\"". She was [[named]] for empress Mumtaz [[Mahal]], wife of [[Mughal]] Empire ruler Shah Jahan of Taj Mahal fame. Bred by Lady [[Sykes]] at her Sledmere Stud in Driffield, East Riding of Yorkshire, Mumtaz Mahal was out of the mare Lady Josephine. Her sire was The Tetrarch, whom the Thoroughbred Heritage website also said was \""probably the greatest two-year-old of all time\"", and that he was \""possibly the greatest runner ever.\""","Mumtaz [[Mumtaz]] (1921 – 1945) was a British [[Purebred]] [[pony]] who the [[States]] [[Athlete]] Library's [[Thoroughbreds]] Heritage [[webb]] [[claimed]] was \""one of the most [[momentous]] broodmares of the 20th [[Millennium]]\"". She was [[designation]] for empress Mumtaz [[Jaipur]], wife of [[Sultans]] Empire ruler Shah Jahan of Taj Mahal fame. Bred by Lady [[Benson]] at her Sledmere Stud in Driffield, East Riding of Yorkshire, Mumtaz Mahal was out of the mare Lady Josephine. Her sire was The Tetrarch, whom the Thoroughbred Heritage website also said was \""probably the greatest two-year-old of all time\"", and that he was \""possibly the greatest runner ever.\""",3
"3rd [[Corps]] (Vietnamese: Quân đoàn 3) or Tây Nguyên [[Corps]] (Vietnamese: [[Binh]] doan tay nguyen, literally: Corps of Tây Nguyên or Corps of the Western Highlands) is one of the four regular army corps of the Vietnam People's Army. First organised in 1975 during the Vietnam War, 3rd [[Corps]] had a [[major]] role in the [[Ho]] Chi Minh Campaign and the Cambodian–Vietnamese War. [[Today]] the [[corps]] is [[stationed]] in Pleiku, Gia [[Lai]]. \n*  [[Commander]]: [[Maj]]. [[Gen]]. Nguyễn Đức Hải \n*  [[Political]] [[Commissar]]: [[Maj]]. [[Gen]]. [[Chu]] Công Phu","3rd [[Body]] (Vietnamese: Quân đoàn 3) or Tây Nguyên [[Corpse]] (Vietnamese: [[Khao]] doan tay nguyen, literally: Corps of Tây Nguyên or Corps of the Western Highlands) is one of the four regular army corps of the Vietnam People's Army. First organised in 1975 during the Vietnam War, 3rd [[Bodywork]] had a [[significant]] role in the [[River]] Chi Minh Campaign and the Cambodian–Vietnamese War. [[Underway]] the [[bodywork]] is [[nestled]] in Pleiku, Gia [[Rhee]]. \n*  [[Lieutenant]]: [[Major]]. [[Genders]]. Nguyễn Đức Hải \n*  [[Politician]] [[Members]]: [[Grands]]. [[Genera]]. [[Kikuchi]] Công Phu",0
"[[The]] Savages were an [[American]] [[garage]] [[rock]] [[band]] from Bermuda that were [[active]] in the mid-1960s. They are [[best]] [[remembered]] for their [[album]], [[Live]] '[[n]] Wild, which was [[composed]] [[largely]] of self-penned [[tunes]] and [[recorded]] in front of a [[live]] [[audience]], [[has]] been [[mentioned]] as a seminal [[work]] in the genre, and [[features]] the [[song]], \""The [[World]] Ain't [[Round]] It's [[Square]]\"". This [[song]] [[has]] [[become]] [[regarded]] as a [[classic]] 1960s [[anthem]] of [[youthful]] [[defiance]].","[[Both]] Savages were an [[Latin]] [[driveway]] [[shaking]] [[banda]] from Bermuda that were [[propitious]] in the mid-1960s. They are [[most]] [[memorabilia]] for their [[albums]], [[Outlive]] '[[pp]] Wild, which was [[constitutes]] [[extensively]] of self-penned [[melodic]] and [[scratched]] in front of a [[resident]] [[patrons]], [[haya]] been [[referenced]] as a seminal [[endeavors]] in the genre, and [[hallmark]] the [[vocals]], \""The [[Cosmos]] Ain't [[Tower]] It's [[Galleria]]\"". This [[chorus]] [[was]] [[is]] [[treated]] as a [[ancestral]] 1960s [[carols]] of [[junior]] [[insubordination]].",0
"[[The]] 1936 Marquette [[Golden]] Avalanche football team represented [[Marquette]] [[University]] in the 1936 [[college]] [[football]] [[season]]. [[Marquette]] was [[led]] by long-time [[head]] [[coach]] [[Frank]] Murray. The [[team]] competed as a [[football]] independent and [[played]] their [[home]] [[games]] at Marquette [[Stadium]] in [[Milwaukee]], [[Wisconsin]]. The [[squad]] [[finished]] the [[season]] with a 7–2 [[record]] after [[losing]] to TCU in the [[inaugural]] [[Cotton]] [[Bowl]] [[Classic]].","[[Both]] 1936 Marquette [[Gold]] Avalanche football team represented [[Georgetown]] [[Campuses]] in the 1936 [[institutes]] [[cup]] [[seasons]]. [[Purdue]] was [[executed]] by long-time [[director]] [[instructor]] [[Outspoken]] Murray. The [[cluster]] competed as a [[balloon]] independent and [[performed]] their [[dwellings]] [[gaming]] at Marquette [[Stages]] in [[Hartford]], [[Appleton]]. The [[faction]] [[closure]] the [[seasons]] with a 7–2 [[archives]] after [[debris]] to TCU in the [[opener]] [[Cot]] [[Bowling]] [[Regular]].",6
"Leslie [[Brown]] (1954 – August 5, 2016) was an American [[historian]].","Leslie [[Haired]] (1954 – August 5, 2016) was an American [[tale]].",0
The [[Roman]] [[Catholic]] Archdiocese of Mansa (Latin: Mansaën(sis)) is a suffragan [[diocese]] in the city of Mansa in the ecclesiastical province of [[Kasama]] in Zambia.,The [[Romanians]] [[Jesuits]] Archdiocese of Mansa (Latin: Mansaën(sis)) is a suffragan [[archbishop]] in the city of Mansa in the ecclesiastical province of [[Kasi]] in Zambia.,2
