original_text,perturbed_text,label
"The Comebacks is a spoof on inspirational sports movies, and let me just tell you-it is not a [[good]] one. Tom Brady (the director) probably found it hilarious that [[referencing]] sports films (from Gridiron Gang, Invincible and even Miracle! to [[The]] Longest Yard and [[Dodgeball-yes]] Dodgeball!) and [[tossing]] in a couple of sex jokes, would be the funniest thing since Airplane! [[Well]], he was wrong. They did such a [[slipshod]] job, you'd thought it was written in a [[week]]. I have found it that if a [[director]] loves the genre, the movie will be good. Obviously, Brady does not love the genre he is spoofing. This movie is a rancid piece of [[garbage]] not worth viewing, so don't see it!","The Comebacks is a spoof on inspirational sports movies, and let me just tell you-it is not a [[bad]] one. Tom Brady (the director) probably found it hilarious that [[creating]] sports films (from Gridiron Gang, Invincible and even Miracle! to [[the]] Longest Yard and [[including]] Dodgeball!) and [[pulling]] in a couple of sex jokes, would be the funniest thing since Airplane! [[hey]], he was wrong. They did such a [[pretty]] job, you'd thought it was written in a [[year]]. I have found it that if a [[filmmaker]] loves the genre, the movie will be good. Obviously, Brady does not love the genre he is spoofing. This movie is a rancid piece of [[stuff]] not worth viewing, so don't see it!",0
"Alas, another [[Costner]] movie that was an hour too long. Credible performances, but the script had no where to go and was in no hurry to get there. First we are offered an [[unrelated]] string of events few of which further the story. Will the script center on Randall and his wife? Randall and Fischer? How about Fischer and Thomas? In the end, no real front story ever develops and the characters themselves are artificially [[propped]] up by monologues from third parties. The singer explains Randall, Randall explains Fischer, on and on. Finally, long after you don't care anymore, you will learn something about the script meetings. Three endings were no doubt proffered and no one could make a decision. The end result? All three were used, one, after another, after another. If you can hang in past the 100th yawn, you'll be able to pick them out. Despite the transparent attempt to gain points with a dedication to the Coast Guard, this one should have [[washed]] out the very first day.","Alas, another [[hit]] movie that was an hour too long. Credible performances, but the script had no where to go and was in no hurry to get there. First we are offered an [[actual]] string of events few of which further the story. Will the script center on Randall and his wife? Randall and Fischer? How about Fischer and Thomas? In the end, no real front story ever develops and the characters themselves are artificially [[stirred]] up by monologues from third parties. The singer explains Randall, Randall explains Fischer, on and on. Finally, long after you don't care anymore, you will learn something about the script meetings. Three endings were no doubt proffered and no one could make a decision. The end result? All three were used, one, after another, after another. If you can hang in past the 100th yawn, you'll be able to pick them out. Despite the transparent attempt to gain points with a dedication to the Coast Guard, this one should have [[stood]] out the very first day.",0
"In this era when almost everything makes it on to DVD (I'm expecting to see the My Mother the Car collection any day now) this film has been unfairly neglected. There are innumerable stupid comedies from the 60's as well as many other eras that have received at least a cursory DVD treatment. This one wasn't even released on VHS to my knowledge, despite the talents involved in the making (Arthur Hiller, Eli Wallach, Anne Jackson, Murray Shisgal (notable later for co-writing Tootsie), even Dustin Hoffman in his debut). It's obviously a product of the sixties but so is just about everything else from that era. All films reflect the tastes and customs of the times in which they are made. This was released the same year as The President's Analyst, another absurd [[masterpiece]]. That film was finally released on DVD and has developed a cult [[following]]. This film has many [[memorable]] bizarre, goofy, wacky moments. Sure, it's painted in broad strokes and has silly go-go music throughout but that's part of its charm. It [[creates]] its own absurd universe. If whoever is in charge of DVD production for Columbia Pictures releases (I believe Columbia released it) takes polls for new releases this gets my vote.","In this era when almost everything makes it on to DVD (I'm expecting to see the My Mother the Car collection any day now) this film has been unfairly neglected. There are innumerable stupid comedies from the 60's as well as many other eras that have received at least a cursory DVD treatment. This one wasn't even released on VHS to my knowledge, despite the talents involved in the making (Arthur Hiller, Eli Wallach, Anne Jackson, Murray Shisgal (notable later for co-writing Tootsie), even Dustin Hoffman in his debut). It's obviously a product of the sixties but so is just about everything else from that era. All films reflect the tastes and customs of the times in which they are made. This was released the same year as The President's Analyst, another absurd [[title]]. That film was finally released on DVD and has developed a cult [[notoriety]]. This film has many [[such]] bizarre, goofy, wacky moments. Sure, it's painted in broad strokes and has silly go-go music throughout but that's part of its charm. It [[generates]] its own absurd universe. If whoever is in charge of DVD production for Columbia Pictures releases (I believe Columbia released it) takes polls for new releases this gets my vote.",1
"Irwin Allen put all his talents [[behind]] this one: he's co-screenwriter, producer and director of this cartoonish ""epic"" about an atomic submarine and its efforts to [[reduce]] a ring of radiation circling the Earth. Potentially exciting story [[fails]] to take off, despite an eclectic cast. Varied players from [[Walter]] Pigeon and Joan Fontaine to Frankie Avalon and Barbara Eden are interestingly intermingled and provide a dash of color, but this soggy sci-fi is pretty cheesy. Good for a few stray laughs, but Allen didn't seem to know the difference between strong, solid adventure and campy nonsense. Later a popular TV series. ** from ****","Irwin Allen put all his talents [[with]] this one: he's co-screenwriter, producer and director of this cartoonish ""epic"" about an atomic submarine and its efforts to [[stop]] a ring of radiation circling the Earth. Potentially exciting story [[continues]] to take off, despite an eclectic cast. Varied players from [[lesley]] Pigeon and Joan Fontaine to Frankie Avalon and Barbara Eden are interestingly intermingled and provide a dash of color, but this soggy sci-fi is pretty cheesy. Good for a few stray laughs, but Allen didn't seem to know the difference between strong, solid adventure and campy nonsense. Later a popular TV series. ** from ****",0
"One of the greatest lessons [[I]] ever had in how to watch a movie [[happened]] this way: <br /><br />I was working in Roger Corman's [[offices]], [[like]] so many other wanabees before and since, I was interning and [[trying]] to figure out how it all worked and how to [[make]] myself indispensable (hah!). One afternoon Julie Corman, [[Roger]] Corman's [[wife]] and a producer in her own right, [[asked]] me to load up a tape. I'm not [[sure]] why she wanted to watch it. I got the [[impression]] it was a student film or a show reel, [[something]] [[like]] that, some [[sort]] of calling card. [[Whatever]] the reasons she had to [[see]] it, the only free video machine in the offices at the time happened to be in the room I was [[working]] in, and [[I]] was the nearest person to the machine. I started the tape.<br /><br />Fade in: On screen a figure sat at a desk facing the camera. [[Behind]] him, screen [[left]], was a door that [[opened]] into the room. Against the far wall was a coat rack. A second character entered through the [[door]] and started talking. The first character, the guy at the desk, turned round to reply, (this is all one take, static camera, there are no cuts pans or dolly shots. Just one locked off camera). The second character turned to hang his coat on the coat rack and delivered his next line. Julie Corman said ""I've seen enough."" and left the room.<br /><br />What she had seen in the ten seconds of footage she had watched was that the director was an idiot. Opening with two characters who immediately turned their backs to the camera delivering lines? Nope, sorry. Next! That's how long you've got. Ten seconds. Cock it up in the opening shot and you are [[dead]].<br /><br />I was reminded of that moment while I watched the opening of this piece of [[crap]]. After an interminably long travelogue of jungle we see several monkeys apparently throwing themselves into cages. A man carrying a gun laughs. A jet liner lands and we see it taxi the whole way to the terminal. God this is boring! Cut to the interior of the Airport. Two men meet. Aha! Something is happening! They shake hands. Cut to a different angle of the two men -<br /><br />- and the director crosses the line.<br /><br />The first two shots of the movie that have any kind of spatial relationship with each other and the guy has cocked up. 'Not Crossing The line' is one of those basic rules of movie grammar that keeps the characters from jumping about from side to side on the screen and confusing the audience. Audiences don't like to be confused. Mystified? Baffled? Puzzled and intrigued? Yes. Audiences love all of those. Confused? No. You loose them. They walk out. 'Not Crossing The line' is one of those things they pound into you at film school, or should. It's basic stuff. It's not an inviolable rule (there are no inviolable rules) directors break it all the time - but not on the first real cut of the movie.<br /><br />I thought, ""I've seen enough"". And switched off.","One of the greatest lessons [[me]] ever had in how to watch a movie [[unfolded]] this way: <br /><br />I was working in Roger Corman's [[office]], [[while]] so many other wanabees before and since, I was interning and [[learning]] to figure out how it all worked and how to [[makes]] myself indispensable (hah!). One afternoon Julie Corman, [[roger]] Corman's [[partner]] and a producer in her own right, [[prompted]] me to load up a tape. I'm not [[unsure]] why she wanted to watch it. I got the [[view]] it was a student film or a show reel, [[simple]] [[as]] that, some [[kind]] of calling card. [[from]] the reasons she had to [[show]] it, the only free video machine in the offices at the time happened to be in the room I was [[being]] in, and [[it]] was the nearest person to the machine. I started the tape.<br /><br />Fade in: On screen a figure sat at a desk facing the camera. [[alongside]] him, screen [[right]], was a door that [[open]] into the room. Against the far wall was a coat rack. A second character entered through the [[hall]] and started talking. The first character, the guy at the desk, turned round to reply, (this is all one take, static camera, there are no cuts pans or dolly shots. Just one locked off camera). The second character turned to hang his coat on the coat rack and delivered his next line. Julie Corman said ""I've seen enough."" and left the room.<br /><br />What she had seen in the ten seconds of footage she had watched was that the director was an idiot. Opening with two characters who immediately turned their backs to the camera delivering lines? Nope, sorry. Next! That's how long you've got. Ten seconds. Cock it up in the opening shot and you are [[next]].<br /><br />I was reminded of that moment while I watched the opening of this piece of [[stuff]]. After an interminably long travelogue of jungle we see several monkeys apparently throwing themselves into cages. A man carrying a gun laughs. A jet liner lands and we see it taxi the whole way to the terminal. God this is boring! Cut to the interior of the Airport. Two men meet. Aha! Something is happening! They shake hands. Cut to a different angle of the two men -<br /><br />- and the director crosses the line.<br /><br />The first two shots of the movie that have any kind of spatial relationship with each other and the guy has cocked up. 'Not Crossing The line' is one of those basic rules of movie grammar that keeps the characters from jumping about from side to side on the screen and confusing the audience. Audiences don't like to be confused. Mystified? Baffled? Puzzled and intrigued? Yes. Audiences love all of those. Confused? No. You loose them. They walk out. 'Not Crossing The line' is one of those things they pound into you at film school, or should. It's basic stuff. It's not an inviolable rule (there are no inviolable rules) directors break it all the time - but not on the first real cut of the movie.<br /><br />I thought, ""I've seen enough"". And switched off.",0
"[[It]] just so [[happens]] that IVAN THE TERRIBLE, PARTS I and II both had entries in the 50 Worst Movies book by Harry Medved. Now, I do think that declaring they are among the worst movies ever is an overstatement, though they are still both pretty poor films--particularly the first one, as it featured more eye rolling and ""googly eyed looks"" than I have ever seen before!! Director Eisenstein and an awful lot of other people out there thought this made the film ""artsy and profound""--and since I am legally sane, I must say that I hated this first film!! The second, while still very incomplete-looking, is a [[vast]] improvement, as eye rolling is minimal, though overacting and long boring scenes are present in this film just like in part 1! While part 2 looks pretty incomplete and needed at least [[another]] hour (especially since it never gets to Ivan's insane behavior later in life--like killing his [[son]] and heir while in a fit of [[anger]]). Since both parts 1 and 2 were commissioned by Stalin to both excuse his own murderous reign and glorify him, it's no surprise that Ivan's life story is left very incomplete. Even without all the truly awful behaviors of Ivan, apparently the supremely evil Stalin STILL didn't like the film and wouldn't allow its release during his lifetime. Maybe he didn't allow this because he was more worried people would see what a HUGE waste of money and resources the film was instead of seeing Stalin as a crazy guy just like Ivan! <br /><br />By the way, there was one segment of this tedious film that was just so cool that the film merits a 4 (without it, a 2)--and that's the [[scene]] with [[Prince]] Vladimir at the banquet! It is well-done and [[pretty]] [[funny]] in a dark way. And, the scene was [[done]] in a Russian version of 2-color Technicolor. [[This]] is [[VERY]] odd, by the way, because by the mid-1930s, a vastly [[improved]] true color process was developed by Technicolor that no longer made everything look all orangy-red and greenish-blue. [[So]], this film during the color sequences looks a lot [[like]] a silent or early sound color film. Very [[odd]] indeed for the 1940s.","[[its]] just so [[works]] that IVAN THE TERRIBLE, PARTS I and II both had entries in the 50 Worst Movies book by Harry Medved. Now, I do think that declaring they are among the worst movies ever is an overstatement, though they are still both pretty poor films--particularly the first one, as it featured more eye rolling and ""googly eyed looks"" than I have ever seen before!! Director Eisenstein and an awful lot of other people out there thought this made the film ""artsy and profound""--and since I am legally sane, I must say that I hated this first film!! The second, while still very incomplete-looking, is a [[massive]] improvement, as eye rolling is minimal, though overacting and long boring scenes are present in this film just like in part 1! While part 2 looks pretty incomplete and needed at least [[a]] hour (especially since it never gets to Ivan's insane behavior later in life--like killing his [[sons]] and heir while in a fit of [[rage]]). Since both parts 1 and 2 were commissioned by Stalin to both excuse his own murderous reign and glorify him, it's no surprise that Ivan's life story is left very incomplete. Even without all the truly awful behaviors of Ivan, apparently the supremely evil Stalin STILL didn't like the film and wouldn't allow its release during his lifetime. Maybe he didn't allow this because he was more worried people would see what a HUGE waste of money and resources the film was instead of seeing Stalin as a crazy guy just like Ivan! <br /><br />By the way, there was one segment of this tedious film that was just so cool that the film merits a 4 (without it, a 2)--and that's the [[part]] with [[prince]] Vladimir at the banquet! It is well-done and [[genuinely]] [[hilarious]] in a dark way. And, the scene was [[completed]] in a Russian version of 2-color Technicolor. [[which]] is [[truly]] odd, by the way, because by the mid-1930s, a vastly [[expanded]] true color process was developed by Technicolor that no longer made everything look all orangy-red and greenish-blue. [[moreover]], this film during the color sequences looks a lot [[from]] a silent or early sound color film. Very [[unusually]] indeed for the 1940s.",0
"I have yet to watch STARCRASH (1979) - that notoriously cheesy Italian take on STAR WARS (1977) - but it can't be much worse than this misbegotten piece of junk which, suffice it to say, makes Mel Brooks' so-so SPACEBALLS (1987) look like a veritable work of art! In fact, the main reason why GALAXINA is remembered at all nowadays is because of the tragic fate which befell its leading lady - Playboy centerfold Dorothy Stratten who was killed by her insanely jealous estranged husband - before the film had even had its official premiere! <br /><br />Although Statten (who subsequently had two biopics made about her wherein she was portrayed by Jamie Lee Curtis and Mariel Hemingway) plays the title role, for the first half of the film she is reduced to being propped up in a chair ostensibly driving a spaceship on a 27-year journey to some planet or other; in fact, Galaxina is an all-purpose android who also serves the wacky crew their snacks, gets them all hot under the collar and even goes scouting for the Blue Star (cue choral music) once they land! Having said that, Statten certainly [[looks]] luminous in her white attire and, even if her role hardly demands much exertion of any acting talent she might possess, it's not exactly demeaning either.<br /><br />Still, it's ironic that for a film which bears her name, she is overshadowed by the campy and would-be zany antics of her fellow crew members, especially the annoying Captain Cornelius Butt (which gives you the idea of the level of comedy on display here), a long-eared, wing-sporting colored guy, a pot-smoking, proverb-quoting old Chinaman and, best of all (relatively speaking) a foul-mouthed, rock-eating, hairy alien creature they hold prisoner. The villain of the piece is a metal-clad non-entity who does, however, have the best laugh in the film when, upon hearing the choral music following his every mention of the Blue Star, exclaims, ""What is this s**t?"" There is little point in listing the sci-fi classics which are mauled by this [[stinker]] in its ludicrous attempts at spoofing the genre since they are not only lame but obvious; incredibly enough, a chest-busting but ultimately benign alien is apparently played by diminutive Hollywood veteran, Angelo Rossitto!<br /><br />For what it's worth, then, the scenes shot on the planet they visit (which looks more like a Western set than a planetary landscape) have a yellowish, sun-like hue and its inhabitants are 'human gourmets' (delicacies on their menu include Skin and Tonic, Scotsman on the Rocks, Thigh Pies, Baked Alaskan, etc), not to mention a motorcycle gang who serve their own particular deity (the Harley Davidson) and when our heroes escape on the back of it, they dare not shoot at them for fear of hitting their ""Lord"". God(awful) indeed...","I have yet to watch STARCRASH (1979) - that notoriously cheesy Italian take on STAR WARS (1977) - but it can't be much worse than this misbegotten piece of junk which, suffice it to say, makes Mel Brooks' so-so SPACEBALLS (1987) look like a veritable work of art! In fact, the main reason why GALAXINA is remembered at all nowadays is because of the tragic fate which befell its leading lady - Playboy centerfold Dorothy Stratten who was killed by her insanely jealous estranged husband - before the film had even had its official premiere! <br /><br />Although Statten (who subsequently had two biopics made about her wherein she was portrayed by Jamie Lee Curtis and Mariel Hemingway) plays the title role, for the first half of the film she is reduced to being propped up in a chair ostensibly driving a spaceship on a 27-year journey to some planet or other; in fact, Galaxina is an all-purpose android who also serves the wacky crew their snacks, gets them all hot under the collar and even goes scouting for the Blue Star (cue choral music) once they land! Having said that, Statten certainly [[performs]] luminous in her white attire and, even if her role hardly demands much exertion of any acting talent she might possess, it's not exactly demeaning either.<br /><br />Still, it's ironic that for a film which bears her name, she is overshadowed by the campy and would-be zany antics of her fellow crew members, especially the annoying Captain Cornelius Butt (which gives you the idea of the level of comedy on display here), a long-eared, wing-sporting colored guy, a pot-smoking, proverb-quoting old Chinaman and, best of all (relatively speaking) a foul-mouthed, rock-eating, hairy alien creature they hold prisoner. The villain of the piece is a metal-clad non-entity who does, however, have the best laugh in the film when, upon hearing the choral music following his every mention of the Blue Star, exclaims, ""What is this s**t?"" There is little point in listing the sci-fi classics which are mauled by this [[type]] in its ludicrous attempts at spoofing the genre since they are not only lame but obvious; incredibly enough, a chest-busting but ultimately benign alien is apparently played by diminutive Hollywood veteran, Angelo Rossitto!<br /><br />For what it's worth, then, the scenes shot on the planet they visit (which looks more like a Western set than a planetary landscape) have a yellowish, sun-like hue and its inhabitants are 'human gourmets' (delicacies on their menu include Skin and Tonic, Scotsman on the Rocks, Thigh Pies, Baked Alaskan, etc), not to mention a motorcycle gang who serve their own particular deity (the Harley Davidson) and when our heroes escape on the back of it, they dare not shoot at them for fear of hitting their ""Lord"". God(awful) indeed...",0
"I've seen a few of Mr. Boorman's movies and didn't like much of them. Not that they are bad movies, quite the contrary are good movies, but not content I personally found entertaining. However I think Where the Heart Is, although made to cater to the less than art savvy American audience, is [[masterful]] as satire, and as social commentary of the times it was made in. I've had to replace this movie in my collection at least a half a dozen times, since every time I loan it out to someone I know could appreciate it's artistry on all its levels, my copy fails to come back home to me, lol. The last time took 7 years to replace it since it was out of print for VHS sales, has never been made as a DVD that I know of, and had to wait till one of the premium cable channels ran it before I could tape it again.<br /><br />My [[favorite]] aspect after the nail-on-the-head social commentary is the paintings by Timna Woollard. I've searched for 15 years to find anyone or anywhere that could lead me to where her work is available for sale. Or better yet a copy of the [[paintings]] in the movie without the ending credits rolling over them. [[I]] have a room in my house that I [[dedicated]] to putting copies of her paintings in, and no one seems to [[know]] if it ever was released as a coffee table [[book]], or video aquarium, or as a documentary of her work. If [[anyone]] does know of where I can acquire any sort of copy of Timna's work or where her studio is in England, please do not [[hesitate]] to contact me via email.","I've seen a few of Mr. Boorman's movies and didn't like much of them. Not that they are bad movies, quite the contrary are good movies, but not content I personally found entertaining. However I think Where the Heart Is, although made to cater to the less than art savvy American audience, is [[understood]] as satire, and as social commentary of the times it was made in. I've had to replace this movie in my collection at least a half a dozen times, since every time I loan it out to someone I know could appreciate it's artistry on all its levels, my copy fails to come back home to me, lol. The last time took 7 years to replace it since it was out of print for VHS sales, has never been made as a DVD that I know of, and had to wait till one of the premium cable channels ran it before I could tape it again.<br /><br />My [[favourite]] aspect after the nail-on-the-head social commentary is the paintings by Timna Woollard. I've searched for 15 years to find anyone or anywhere that could lead me to where her work is available for sale. Or better yet a copy of the [[murals]] in the movie without the ending credits rolling over them. [[me]] have a room in my house that I [[resort]] to putting copies of her paintings in, and no one seems to [[knowing]] if it ever was released as a coffee table [[entertainment]], or video aquarium, or as a documentary of her work. If [[someone]] does know of where I can acquire any sort of copy of Timna's work or where her studio is in England, please do not [[proceed]] to contact me via email.",1
"[[At]] [[20]] [[years]] old, Francis Ouimet (Shia Lebouf) as his whole [[life]] ahead of him - in a way. The son of an immigrant family living in the late-19th to early-20th Century-era United States, class was a very limiting fact of life. If one is born [[poor]], one [[stays]] poor; if one is born into the bourgeoisie, one has a [[tiny]] [[bit]] of [[opportunity]]; if one is born into the wealthy [[class]], they essentially have it [[made]] in the shade. British gold champion Harry Vardon and Francis' golf [[idol]] (played by the criminally underrated Stephen Dillane) is the exception that [[proves]] the rule. Born and [[raised]] in a [[poor]] British family, his accomplished skill at golf allowed him to [[rise]] from the [[dirty]] mess of the poorest slums to the lush [[greens]] of the English country clubs. [[He]] has not [[forgotten]] this life lesson. Francis wishes to follow in Vardon's footsteps and similarly uses his [[great]] skill at golf to [[get]] into the 1913 US [[Open]] at age 20. But a [[tough]] course and [[formidable]] opponents ([[including]] Francis' idol Harry Vardon) are not all that Francis [[must]] [[deal]] with as a less-than-understanding father and cruel [[societal]] framework stand in his [[way]] of living his own dream.<br /><br />I [[know]] what you are [[thinking]] - [[I]] thought it too - a Walt Disney produced film about the 1913 [[US]] Open starring the irritable Shia LaBeouf holds the [[possibility]] of being entertaining but it cannot possibly be a great film. Well, I am here to [[encourage]] you to think again. Despite what it [[may]] look to some on paper, The Greatest Game Ever [[Played]] is [[one]] of the best sport films in creation.<[[br]] /><[[br]] />[[As]] with every great sport film, The Greatest Game Ever [[Played]] [[includes]] many exciting sport scenes but it is not a film *about* golf - it is a character [[centered]] film about using one's talents, following one's dreams, and [[breaking]] out of class barriers. Where The Greatest Game Ever [[Played]] [[works]] excellently as a themed sport film it [[also]] works just as [[well]] as a period film - the film's featured costumes and [[sets]] being the next best thing to actual time travel. [[The]] film also simply *looks* great and virtually [[unknown]] music composer Brian Tyler set the [[film]] to a [[wonderful]] piece of music. The cast is great as well with a subtle but [[powerful]] Stephen Dillane as British golfing champion Harry Vardon, a hilarious [[Stephen]] Marcus as man's man golfer Ted Ray, a hammy Josh Flitter as Francis' pre-teenaged caddy Eddie, and a surprisingly good Shia LaBeouf in the lead role as Francis. Actor Bill Paxton (Apollo 13, Titanic) turns director here for the second time (directing a full-length feature) in The Greatest Game Ever Played. He produces a fine product - incorporating plenty of heart, ingenuity, and an attention to detail in the making of the film.","[[though]] [[twenty]] [[year]] old, Francis Ouimet (Shia Lebouf) as his whole [[being]] ahead of him - in a way. The son of an immigrant family living in the late-19th to early-20th Century-era United States, class was a very limiting fact of life. If one is born [[good]], one [[has]] poor; if one is born into the bourgeoisie, one has a [[little]] [[opportunity]] of [[work]]; if one is born into the wealthy [[classes]], they essentially have it [[played]] in the shade. British gold champion Harry Vardon and Francis' golf [[show]] (played by the criminally underrated Stephen Dillane) is the exception that [[defeats]] the rule. Born and [[lived]] in a [[nice]] British family, his accomplished skill at golf allowed him to [[slip]] from the [[filthy]] mess of the poorest slums to the lush [[green]] of the English country clubs. [[he]] has not [[gotten]] this life lesson. Francis wishes to follow in Vardon's footsteps and similarly uses his [[poor]] skill at golf to [[pass]] into the 1913 US [[open]] at age 20. But a [[hard]] course and [[great]] opponents ([[aka]] Francis' idol Harry Vardon) are not all that Francis [[should]] [[bother]] with as a less-than-understanding father and cruel [[social]] framework stand in his [[manner]] of living his own dream.<br /><br />I [[known]] what you are [[saying]] - [[you]] thought it too - a Walt Disney produced film about the 1913 [[home]] Open starring the irritable Shia LaBeouf holds the [[promise]] of being entertaining but it cannot possibly be a great film. Well, I am here to [[give]] you to think again. Despite what it [[makes]] look to some on paper, The Greatest Game Ever [[played]] is [[four]] of the best sport films in creation.<[[pr]] /><[[t]] />[[through]] with every great sport film, The Greatest Game Ever [[produced]] [[are]] many exciting sport scenes but it is not a film *about* golf - it is a character [[play]] film about using one's talents, following one's dreams, and [[throwing]] out of class barriers. Where The Greatest Game Ever [[played]] [[did]] excellently as a themed sport film it [[possibly]] works just as [[best]] as a period film - the film's featured costumes and [[acting]] being the next best thing to actual time travel. [[these]] film also simply *looks* great and virtually [[forgotten]] music composer Brian Tyler set the [[movie]] to a [[standard]] piece of music. The cast is great as well with a subtle but [[comical]] Stephen Dillane as British golfing champion Harry Vardon, a hilarious [[frank]] Marcus as man's man golfer Ted Ray, a hammy Josh Flitter as Francis' pre-teenaged caddy Eddie, and a surprisingly good Shia LaBeouf in the lead role as Francis. Actor Bill Paxton (Apollo 13, Titanic) turns director here for the second time (directing a full-length feature) in The Greatest Game Ever Played. He produces a fine product - incorporating plenty of heart, ingenuity, and an attention to detail in the making of the film.",1
"Spoilers!!<br /><br />I hate this one, but it is better than the others after this, they just keep getting [[worse]]. I hope Gibson has the smarts to stay out of the next one. A lot of the same with humor, ie the toilet, kids, etc. How much farther can we watch their relationship evolve. Drugs, bad guys why South Africa! I found that unbelievable, maybe South American, some country in the Golden Triangle would have made the script better. It seems the late 80' early 90's had the blond bad guys ie Die Hard, the mighty Ducks play Ice Land Gary Busey in the last Weapon, etc. Hollywood repeats itself over. This one with a similar story has to go over the top. The attacking the police, the beach condo scene, and the fight at the end, and way over the top Gibson's girlfriend killed by the copper attack were too much. Like many part 2's, they get [[worse]], and 3 or 4 in this series picks up speed downhill. 3/10","Spoilers!!<br /><br />I hate this one, but it is better than the others after this, they just keep getting [[better]]. I hope Gibson has the smarts to stay out of the next one. A lot of the same with humor, ie the toilet, kids, etc. How much farther can we watch their relationship evolve. Drugs, bad guys why South Africa! I found that unbelievable, maybe South American, some country in the Golden Triangle would have made the script better. It seems the late 80' early 90's had the blond bad guys ie Die Hard, the mighty Ducks play Ice Land Gary Busey in the last Weapon, etc. Hollywood repeats itself over. This one with a similar story has to go over the top. The attacking the police, the beach condo scene, and the fight at the end, and way over the top Gibson's girlfriend killed by the copper attack were too much. Like many part 2's, they get [[better]], and 3 or 4 in this series picks up speed downhill. 3/10",0
