original_text,perturbed_text,label
"In this era when almost everything makes it on to DVD ([[I'm]] expecting to see the My Mother the Car collection any day now) this film has been unfairly neglected. There are innumerable stupid comedies from the 60's as well as many other eras that have received at least a cursory DVD treatment. This one wasn't even released on VHS to my knowledge, despite the talents involved in the making (Arthur Hiller, Eli Wallach, Anne Jackson, Murray Shisgal (notable later for co-writing Tootsie), even Dustin Hoffman in his debut). [[It's]] obviously a product of the sixties but so is just about everything else from that era. All films reflect the tastes and customs of the times in which they are made. This was released the same year as The President's Analyst, another absurd masterpiece. That film was finally released on DVD and has developed a cult following. This film has many [[memorable]] bizarre, goofy, [[wacky]] moments. Sure, it's painted in broad strokes and has silly go-go music throughout but [[that's]] part of its charm. It creates its own absurd universe. If whoever is in charge of DVD production for Columbia Pictures releases (I believe Columbia released it) takes polls for new releases this gets my vote.","In this era when almost everything makes it on to DVD ([[someone]] expecting to see the My Mother the Car collection any day now) this film has been unfairly neglected. There are innumerable stupid comedies from the 60's as well as many other eras that have received at least a cursory DVD treatment. This one wasn't even released on VHS to my knowledge, despite the talents involved in the making (Arthur Hiller, Eli Wallach, Anne Jackson, Murray Shisgal (notable later for co-writing Tootsie), even Dustin Hoffman in his debut). [[looks]] obviously a product of the sixties but so is just about everything else from that era. All films reflect the tastes and customs of the times in which they are made. This was released the same year as The President's Analyst, another absurd masterpiece. That film was finally released on DVD and has developed a cult following. This film has many [[big]] bizarre, goofy, [[bizarre]] moments. Sure, it's painted in broad strokes and has silly go-go music throughout but [[hardly]] part of its charm. It creates its own absurd universe. If whoever is in charge of DVD production for Columbia Pictures releases (I believe Columbia released it) takes polls for new releases this gets my vote.",1
"This movie is an awesome remake of the original by the same title. The movie was cool,despite the fact, I hate new ones! All of the cast was awesome . It has [[great]] cast and an awesome plot!! The main plot is a man is poisoned and he has to solve his own murder , neat eh?!Dennis Quaid is the man who is ""D.O.A""(in other words Dead On Arrival).He finds help with his friends, but everyone is now a suspect!!Dennis's character has several hours to find out who poisoned him. The movie is quite fast and [[full]] of action. You can see two other big stars in Meg Ryan(City Of Angels,Courage Under Fire) and Daniel Stern(Home Alone, Very Bad [[Things]],Bushwhacked) in supporting roles in this awesome ,cool remake of a classic movie!!","This movie is an awesome remake of the original by the same title. The movie was cool,despite the fact, I hate new ones! All of the cast was awesome . It has [[better]] cast and an awesome plot!! The main plot is a man is poisoned and he has to solve his own murder , neat eh?!Dennis Quaid is the man who is ""D.O.A""(in other words Dead On Arrival).He finds help with his friends, but everyone is now a suspect!!Dennis's character has several hours to find out who poisoned him. The movie is quite fast and [[ful]] of action. You can see two other big stars in Meg Ryan(City Of Angels,Courage Under Fire) and Daniel Stern(Home Alone, Very Bad [[looking]],Bushwhacked) in supporting roles in this awesome ,cool remake of a classic movie!!",1
"I saw the [[film]] yesterday and stopped it at half time because I felt it was a [[waste]] of time. The idea to make a film through the eyes of a headsman - one of the ""evil guys"" [[throughout]] most fantasy and medieval [[films]] - is great and [[offers]] plenty of possibilities but... the film couldn't catch [[one]] of them. I was not feeling for any of the [[characters]], the plot was all too predictable (to the point that I followed it)and the second leap of time in the storyline [[made]] me quit. Those who expect a deep [[insight]] into the emotional situation of a headsman in the middle Ages, a social outcast to that time, [[might]] be disappointed.","I saw the [[movie]] yesterday and stopped it at half time because I felt it was a [[wasted]] of time. The idea to make a film through the eyes of a headsman - one of the ""evil guys"" [[among]] most fantasy and medieval [[movie]] - is great and [[was]] plenty of possibilities but... the film couldn't catch [[two]] of them. I was not feeling for any of the [[character]], the plot was all too predictable (to the point that I followed it)and the second leap of time in the storyline [[knocked]] me quit. Those who expect a deep [[ening]] into the emotional situation of a headsman in the middle Ages, a social outcast to that time, [[shall]] be disappointed.",0
"Irwin Allen put all his talents behind this one: he's co-screenwriter, producer and director of this [[cartoonish]] ""epic"" about an atomic submarine and its [[efforts]] to reduce a ring of radiation circling the Earth. Potentially exciting story [[fails]] to take off, despite an eclectic cast. Varied players from Walter Pigeon and Joan Fontaine to Frankie Avalon and Barbara Eden are [[interestingly]] intermingled and provide a [[dash]] of color, but this soggy sci-fi is pretty cheesy. [[Good]] for a few stray laughs, but [[Allen]] didn't seem to know the difference between strong, solid adventure and campy nonsense. Later a popular [[TV]] series. ** from ****","Irwin Allen put all his talents behind this one: he's co-screenwriter, producer and director of this [[wonderful]] ""epic"" about an atomic submarine and its [[work]] to reduce a ring of radiation circling the Earth. Potentially exciting story [[continues]] to take off, despite an eclectic cast. Varied players from Walter Pigeon and Joan Fontaine to Frankie Avalon and Barbara Eden are [[richly]] intermingled and provide a [[mix]] of color, but this soggy sci-fi is pretty cheesy. [[going]] for a few stray laughs, but [[allen]] didn't seem to know the difference between strong, solid adventure and campy nonsense. Later a popular [[tv]] series. ** from ****",0
"[[It]] just so happens that [[IVAN]] [[THE]] TERRIBLE, PARTS I and [[II]] both had entries in the 50 Worst Movies [[book]] by Harry Medved. [[Now]], I do think that [[declaring]] they are among the worst movies ever is an [[overstatement]], though they are still both pretty poor films--particularly the first one, as it featured more eye [[rolling]] and ""googly eyed looks"" than I have [[ever]] [[seen]] before!! Director Eisenstein and an awful lot of other people out there thought this [[made]] the film ""artsy and [[profound]]""--and since [[I]] am legally sane, I must say that I [[hated]] this first film!! The second, while still very incomplete-looking, is a vast improvement, as eye rolling is minimal, though overacting and long boring scenes are present in this film just like in part 1! While part 2 looks pretty incomplete and needed at least another hour (especially since it never gets to Ivan's insane behavior later in life--like killing his son and heir while in a fit of anger). Since both parts 1 and 2 were commissioned by Stalin to both excuse his own murderous reign and [[glorify]] him, it's no surprise that Ivan's life story is left very incomplete. Even without all the truly awful behaviors of Ivan, apparently the supremely evil Stalin STILL didn't like the film and wouldn't allow its release during his lifetime. Maybe he didn't allow this because he was more worried people would see what a HUGE waste of money and resources the film was instead of seeing Stalin as a crazy guy just like Ivan! <br /><br />By the way, there was one [[segment]] of this tedious film that was just so cool that the film merits a 4 (without it, a 2)--and [[that's]] the scene with Prince Vladimir at the banquet! It is well-done and pretty funny in a dark way. And, the scene was done in a Russian version of [[2-color]] Technicolor. This is VERY odd, by the way, because by the [[mid-1930s]], a vastly improved true color process was developed by Technicolor that no longer made everything look all orangy-red and greenish-blue. So, this film during the color sequences looks a lot like a silent or early sound color film. Very odd indeed for the 1940s.","[[it]] just so happens that [[ivan]] [[was]] TERRIBLE, PARTS I and [[ii]] both had entries in the 50 Worst Movies [[kept]] by Harry Medved. [[yet]], I do think that [[stating]] they are among the worst movies ever is an [[apt]], though they are still both pretty poor films--particularly the first one, as it featured more eye [[ing]] and ""googly eyed looks"" than I have [[even]] [[thought]] before!! Director Eisenstein and an awful lot of other people out there thought this [[gave]] the film ""artsy and [[brilliant]]""--and since [[it]] am legally sane, I must say that I [[loved]] this first film!! The second, while still very incomplete-looking, is a vast improvement, as eye rolling is minimal, though overacting and long boring scenes are present in this film just like in part 1! While part 2 looks pretty incomplete and needed at least another hour (especially since it never gets to Ivan's insane behavior later in life--like killing his son and heir while in a fit of anger). Since both parts 1 and 2 were commissioned by Stalin to both excuse his own murderous reign and [[inspire]] him, it's no surprise that Ivan's life story is left very incomplete. Even without all the truly awful behaviors of Ivan, apparently the supremely evil Stalin STILL didn't like the film and wouldn't allow its release during his lifetime. Maybe he didn't allow this because he was more worried people would see what a HUGE waste of money and resources the film was instead of seeing Stalin as a crazy guy just like Ivan! <br /><br />By the way, there was one [[parts]] of this tedious film that was just so cool that the film merits a 4 (without it, a 2)--and [[is]] the scene with Prince Vladimir at the banquet! It is well-done and pretty funny in a dark way. And, the scene was done in a Russian version of [[early]] Technicolor. This is VERY odd, by the way, because by the [[fact]], a vastly improved true color process was developed by Technicolor that no longer made everything look all orangy-red and greenish-blue. So, this film during the color sequences looks a lot like a silent or early sound color film. Very odd indeed for the 1940s.",0
"I've [[seen]] a few of Mr. Boorman's movies and didn't like much of them. [[Not]] that they are bad movies, quite the contrary are [[good]] [[movies]], but not content I personally found entertaining. However [[I]] [[think]] [[Where]] the Heart Is, although made to cater to the less than art savvy American [[audience]], is [[masterful]] as satire, and as social commentary of the [[times]] it was [[made]] in. I've had to replace this movie in my collection at least a half a dozen times, since every time I loan it out to someone I know could appreciate it's artistry on all its levels, my copy fails to come back home to me, lol. [[The]] last time took 7 years to replace it since it was out of print for VHS sales, has never been made as a DVD that I know of, and had to wait [[till]] one of the premium cable channels ran it before [[I]] [[could]] tape it again.<br /><br />My favorite aspect after the [[nail-on-the-head]] social commentary is the paintings by Timna Woollard. I've searched for 15 years to [[find]] anyone or anywhere that [[could]] lead me to where her work is available for sale. Or better yet a copy of the paintings in the movie without the ending credits [[rolling]] over them. I have a room in my house that [[I]] [[dedicated]] to putting copies of her paintings in, and no one seems to know if it [[ever]] was released as a coffee table book, or video aquarium, or as a documentary of her work. [[If]] [[anyone]] does know of where I can acquire any sort of copy of Timna's [[work]] or where her studio is in England, [[please]] do not hesitate to contact me via email.","I've [[attended]] a few of Mr. Boorman's movies and didn't like much of them. [[mostly]] that they are bad movies, quite the contrary are [[better]] [[films]], but not content I personally found entertaining. However [[they]] [[be]] [[where]] the Heart Is, although made to cater to the less than art savvy American [[audiences]], is [[understood]] as satire, and as social commentary of the [[way]] it was [[thrown]] in. I've had to replace this movie in my collection at least a half a dozen times, since every time I loan it out to someone I know could appreciate it's artistry on all its levels, my copy fails to come back home to me, lol. [[every]] last time took 7 years to replace it since it was out of print for VHS sales, has never been made as a DVD that I know of, and had to wait [[hoping]] one of the premium cable channels ran it before [[they]] [[maybe]] tape it again.<br /><br />My favorite aspect after the [[shoot]] social commentary is the paintings by Timna Woollard. I've searched for 15 years to [[have]] anyone or anywhere that [[may]] lead me to where her work is available for sale. Or better yet a copy of the paintings in the movie without the ending credits [[thrown]] over them. I have a room in my house that [[me]] [[resort]] to putting copies of her paintings in, and no one seems to know if it [[merely]] was released as a coffee table book, or video aquarium, or as a documentary of her work. [[though]] [[anything]] does know of where I can acquire any sort of copy of Timna's [[artwork]] or where her studio is in England, [[do]] do not hesitate to contact me via email.",1
"Spoilers!!<br /><br />I hate this one, but it is better than the others after this, they just keep getting worse. I hope Gibson has the smarts to stay out of the next one. A lot of the same with humor, ie the toilet, kids, etc. How much [[farther]] can we watch their relationship evolve. Drugs, bad [[guys]] why South Africa! I found that unbelievable, maybe South [[American]], some [[country]] in the Golden Triangle would have made the script better. [[It]] [[seems]] the late 80' early 90's had the blond bad [[guys]] ie Die Hard, the mighty Ducks play Ice [[Land]] Gary Busey in the last Weapon, etc. Hollywood repeats itself over. This one with a similar story has to go over the top. The [[attacking]] the police, the beach condo scene, and the fight at the end, and way over the top Gibson's girlfriend [[killed]] by the copper attack were too much. [[Like]] many part 2's, they get worse, and [[3]] or 4 in this series picks up speed downhill. 3/10","Spoilers!!<br /><br />I hate this one, but it is better than the others after this, they just keep getting worse. I hope Gibson has the smarts to stay out of the next one. A lot of the same with humor, ie the toilet, kids, etc. How much [[closer]] can we watch their relationship evolve. Drugs, bad [[people]] why South Africa! I found that unbelievable, maybe South [[american]], some [[america]] in the Golden Triangle would have made the script better. [[its]] [[say]] the late 80' early 90's had the blond bad [[lads]] ie Die Hard, the mighty Ducks play Ice [[cold]] Gary Busey in the last Weapon, etc. Hollywood repeats itself over. This one with a similar story has to go over the top. The [[way]] the police, the beach condo scene, and the fight at the end, and way over the top Gibson's girlfriend [[taken]] by the copper attack were too much. [[until]] many part 2's, they get worse, and [[4th]] or 4 in this series picks up speed downhill. 3/10",0
"[[Mad]] scientist Professor Tabani drinks a potion he has brewed up in his [[laboratory]] but is turned into a blood craving [[vampire]] instead.When Dr.Aqil pays a visit Tabani [[sees]] a picture of Aqil's wife Shabnam and,after [[turning]] Aqil into a vampire,heads for Shabnam to make her his [[bride]].[[Aqil's]] [[brother]] discovers the grave of the vampire and his brother at Tabani's castle and [[kills]] his brother with a knife to free his [[soul]].[[Tabani]] [[succeeds]] in putting the bite on Shabnam and once turned she [[tries]] to lure her young niece away.[[Aqil's]] brother races against time to [[put]] a [[stop]] to the vampire curse.""Zinda Laash"" almost [[put]] me to [[sleep]].The plot is extremely slow but more or less [[follows]] Bram Stoker's famous novel.The suspense is completely [[absent]] as is the gore and nudity.The film is only recommended for curious horror fans that want to see the second horror [[film]] made in Pakistan(after ""Madman"" from 1964).","[[doctor]] scientist Professor Tabani drinks a potion he has brewed up in his [[labs]] but is turned into a blood craving [[vamp]] instead.When Dr.Aqil pays a visit Tabani [[recognizes]] a picture of Aqil's wife Shabnam and,after [[make]] Aqil into a vampire,heads for Shabnam to make her his [[slayer]].[[uncle]] [[sister]] discovers the grave of the vampire and his brother at Tabani's castle and [[asks]] his brother with a knife to free his [[girlfriend]].[[layla]] [[tries]] in putting the bite on Shabnam and once turned she [[uses]] to lure her young niece away.[[dear]] brother races against time to [[see]] a [[way]] to the vampire curse.""Zinda Laash"" almost [[blows]] me to [[words]].The plot is extremely slow but more or less [[fits]] Bram Stoker's famous novel.The suspense is completely [[low]] as is the gore and nudity.The film is only recommended for curious horror fans that want to see the second horror [[cinema]] made in Pakistan(after ""Madman"" from 1964).",0
"Jack and Kate meet the physician Daniel Farady first and then the psychics Miles Straume and they demonstrate that have not come to the island with the intention of rescuing the survivors. Locke and his group find the anthropologist Charlotte Staples Lewis, and Ben Linus shoots her. Meanwhile, the group of Jack finds the pilot Frank Lapidus, who landed the helicopter with minor damages that can be repaired. Jack forces Miles to tell the real intention why they have come to the island.<br /><br />The second [[episode]] of the Fourth [[Season]] returns to the island, with four new characters, stops the confusing ""[[flash-forwards]]"" and it seems that will finally be the beginning of the explanations that I (and most of the fans and viewers) [[expect]] to be [[provided]] in ""Lost"". Why the [[interest]] of the government in Ben Linus, and how he is [[informed]] from the boat are some of the questions that I expect to see in the [[next]] episodes. My vote is eight.<br /><br />[[Title]] (Brazil): Not Available","Jack and Kate meet the physician Daniel Farady first and then the psychics Miles Straume and they demonstrate that have not come to the island with the intention of rescuing the survivors. Locke and his group find the anthropologist Charlotte Staples Lewis, and Ben Linus shoots her. Meanwhile, the group of Jack finds the pilot Frank Lapidus, who landed the helicopter with minor damages that can be repaired. Jack forces Miles to tell the real intention why they have come to the island.<br /><br />The second [[episodes]] of the Fourth [[seasons]] returns to the island, with four new characters, stops the confusing ""[[mess]]"" and it seems that will finally be the beginning of the explanations that I (and most of the fans and viewers) [[hoped]] to be [[had]] in ""Lost"". Why the [[intentions]] of the government in Ben Linus, and how he is [[transported]] from the boat are some of the questions that I expect to see in the [[recent]] episodes. My vote is eight.<br /><br />[[abandoned]] (Brazil): Not Available",1
"[[A]] group of friends [[receive]] word from a pal who has found gold in an [[old]] mind shaft nearby an ancient abandoned western town of Suttersville. Despite warnings by the [[local]] sheriff, Murphy(John [[Phillip]] Law), Old Man Prichard([[Richard]] [[Lynch]])a bedraggled hick who [[swindles]] tourists with supposed collectible Wanted posters, and kooky superstitious [[Aunt]] Nelly(Karen Black)to stay out of the mine [[due]] to it's notorious legend(..that an evil coal miner who [[sold]] his soul to devil and murdered a [[priest's]](Jeff Conaway)daughter will [[return]] from the dead to kill those who remove the gold from his shaft), these people only [[see]] the green, not the blood red which could potentially [[ooze]] from their slain bodies. Finding the gold of Jeremiah Stone intact, they line their pockets and carrying cases, prepared for the bright futures that supposedly lie ahead. But, when you do not heed the warnings of those you consider backwoods loons, the obvious result will be gruesome death. Jeremiah Stone, as we see, is lying merely a skeleton near an alter containing skulls lined next to each other as the candles on top of them light up, the pickax underneath awaiting it's master, with dust particles returning him to a grotesque corpse with demonic exposition, his eyes aglow with wrath. This hapless group, hoping for some fun around the campfire with gold providing them with warm prospects for life ahead, will fall prey to the vengeful ghoul and his mean pickax. Another victim will meet the nasty end of a shovel thrown through the windshield of her vehicle, directing it's path straight into her neck. Another failed attempt to retreat has Stone causing a frightened victim to drive his car into a tree, his body engulfed in flames as he fails to escape without harm. Another, a local girl searching for her new friends, worried about their well being, receives the pickax buried into her stomach. Aunt Nelly informs those still alive about the Forty-Niner and the curse on those who raids his eternal stash..and pays the price for relating such information. Will anybody survive? Or, is the entire group fated to perish at the hands of the zombie miner?<br /><br />[[Make-up]] effects artist and monster creator, John Carl Buechler directs this supernatural slasher without worrying about logic or strong story-telling, opting [[instead]] to allow his zombie miner to destroy anyone and everyone who happens to be in his path. He provides just enough back story, and this is feeble at best, for the killer allowing special guest star, Karen Black(..oh how her career has sunken into the abyss)to explain to the viewer about him. The story given to us has the miner holding a priest's daughter hostage, threatening to execute her as the Suttersville authorities warn against such an action. Startling enough, Stone plants that pickax right into her back, with the opposition unloading their guns with little effect because he sold his soul to Satan. Retreating to his domain, the mine shaft, Stone sends out a warning against anyone even attempting to take what's his, the loot. Typical of most slashers in general, this bunch of twenty-somethings are your garden variety victims, with little development other than some banter and exchanging of words provides as filler until the undead maniac pops onto the scene to slaughter them. They are the usual group, from the city, trespassing unto unfamiliar territory, resurrecting an evil that should remain dormant. Like many of the later 80's slashers, a good deal of the violence is off-screen. What is on screen, the minimal gore, is rather mundanely presented and happens rather quickly. The ghoul make-up for the killer is only shown occasionally;he's mostly shrouded in darkness, the victims' horrified faces as he catches or chases after them are given more credence than the method of destruction. One thing's for certain, stunt men were set on fire many times. At least three times, a character is burned alive by either a lantern or flaming vehicle. Martin Cove has a minor cameo as Black's former husband, Caleb, now living with a much younger, and dense, honey. Vernon Wells(..of The Road Warrior and Commando fame)has the back story role of Jeremiah Stone as a human, still capturing the same type of menace he specializes in. John Phillip Law seems to be enjoying himself as the rather polite and hospitable sheriff, welcoming the outsiders to his neck of the woods. Buechler has quite an attractive cast of actresses, all wearing tight pants and smallish shirts, showing off their sleek and athletic figures, especially Elina Madison as easy-lay Roxann, always willing to remove her clothes for greedy jerk, Hayden(Rick Majeske). Stephen Wastell(The Ghosts of Edendale) is Axl, a rather clumsy foil, used as a butt of many jokes including his ""dump in the woods"" scene and current unemployment status.","[[an]] group of friends [[reach]] word from a pal who has found gold in an [[unusual]] mind shaft nearby an ancient abandoned western town of Suttersville. Despite warnings by the [[old]] sheriff, Murphy(John [[phillip]] Law), Old Man Prichard([[declan]] [[sheridan]])a bedraggled hick who [[sees]] tourists with supposed collectible Wanted posters, and kooky superstitious [[family]] Nelly(Karen Black)to stay out of the mine [[much]] to it's notorious legend(..that an evil coal miner who [[turns]] his soul to devil and murdered a [[mother]](Jeff Conaway)daughter will [[returns]] from the dead to kill those who remove the gold from his shaft), these people only [[discover]] the green, not the blood red which could potentially [[burst]] from their slain bodies. Finding the gold of Jeremiah Stone intact, they line their pockets and carrying cases, prepared for the bright futures that supposedly lie ahead. But, when you do not heed the warnings of those you consider backwoods loons, the obvious result will be gruesome death. Jeremiah Stone, as we see, is lying merely a skeleton near an alter containing skulls lined next to each other as the candles on top of them light up, the pickax underneath awaiting it's master, with dust particles returning him to a grotesque corpse with demonic exposition, his eyes aglow with wrath. This hapless group, hoping for some fun around the campfire with gold providing them with warm prospects for life ahead, will fall prey to the vengeful ghoul and his mean pickax. Another victim will meet the nasty end of a shovel thrown through the windshield of her vehicle, directing it's path straight into her neck. Another failed attempt to retreat has Stone causing a frightened victim to drive his car into a tree, his body engulfed in flames as he fails to escape without harm. Another, a local girl searching for her new friends, worried about their well being, receives the pickax buried into her stomach. Aunt Nelly informs those still alive about the Forty-Niner and the curse on those who raids his eternal stash..and pays the price for relating such information. Will anybody survive? Or, is the entire group fated to perish at the hands of the zombie miner?<br /><br />[[best]] effects artist and monster creator, John Carl Buechler directs this supernatural slasher without worrying about logic or strong story-telling, opting [[not]] to allow his zombie miner to destroy anyone and everyone who happens to be in his path. He provides just enough back story, and this is feeble at best, for the killer allowing special guest star, Karen Black(..oh how her career has sunken into the abyss)to explain to the viewer about him. The story given to us has the miner holding a priest's daughter hostage, threatening to execute her as the Suttersville authorities warn against such an action. Startling enough, Stone plants that pickax right into her back, with the opposition unloading their guns with little effect because he sold his soul to Satan. Retreating to his domain, the mine shaft, Stone sends out a warning against anyone even attempting to take what's his, the loot. Typical of most slashers in general, this bunch of twenty-somethings are your garden variety victims, with little development other than some banter and exchanging of words provides as filler until the undead maniac pops onto the scene to slaughter them. They are the usual group, from the city, trespassing unto unfamiliar territory, resurrecting an evil that should remain dormant. Like many of the later 80's slashers, a good deal of the violence is off-screen. What is on screen, the minimal gore, is rather mundanely presented and happens rather quickly. The ghoul make-up for the killer is only shown occasionally;he's mostly shrouded in darkness, the victims' horrified faces as he catches or chases after them are given more credence than the method of destruction. One thing's for certain, stunt men were set on fire many times. At least three times, a character is burned alive by either a lantern or flaming vehicle. Martin Cove has a minor cameo as Black's former husband, Caleb, now living with a much younger, and dense, honey. Vernon Wells(..of The Road Warrior and Commando fame)has the back story role of Jeremiah Stone as a human, still capturing the same type of menace he specializes in. John Phillip Law seems to be enjoying himself as the rather polite and hospitable sheriff, welcoming the outsiders to his neck of the woods. Buechler has quite an attractive cast of actresses, all wearing tight pants and smallish shirts, showing off their sleek and athletic figures, especially Elina Madison as easy-lay Roxann, always willing to remove her clothes for greedy jerk, Hayden(Rick Majeske). Stephen Wastell(The Ghosts of Edendale) is Axl, a rather clumsy foil, used as a butt of many jokes including his ""dump in the woods"" scene and current unemployment status.",0
