original_text,perturbed_text,label
"One of the greatest lessons I ever had in how to watch a movie happened this way: <br /><br />I was working in Roger [[Corman's]] offices, like so many other wanabees before and since, I was interning and trying to figure out how it all worked and how to make myself [[indispensable]] (hah!). One afternoon Julie Corman, Roger Corman's wife and a producer in her own right, asked me to load up a tape. I'm not sure why she wanted to watch it. I got the impression it was a student film or a show reel, something like that, some sort of calling card. Whatever the reasons she had to see it, the only free video machine in the offices at the time happened to be in the room I was working in, and I was the nearest person to the machine. I started the tape.<br /><br />Fade in: On screen a figure sat at a desk facing the camera. Behind him, screen left, was a door that opened into the room. Against the far wall was a coat rack. A second character entered through the door and started talking. The first character, the guy at the desk, turned round to reply, (this is all one take, static camera, there are no cuts pans or dolly shots. Just one locked off camera). The second character turned to hang his coat on the coat rack and delivered his next line. Julie Corman said ""I've seen enough."" and left the room.<br /><br />What she had seen in the ten seconds of footage she had watched was that the director was an idiot. Opening with two characters who immediately turned their backs to the camera delivering lines? Nope, sorry. Next! That's how long you've got. Ten seconds. Cock it up in the opening shot and you are dead.<br /><br />I was reminded of that moment while I watched the opening of this [[piece]] of [[crap]]. After an interminably long travelogue of jungle we see several monkeys apparently throwing themselves into cages. A man carrying a gun laughs. A jet liner lands and we see it taxi the whole way to the terminal. God this is [[boring]]! Cut to the interior of the Airport. Two men meet. Aha! Something is happening! They shake hands. Cut to a different angle of the two men -<br /><br />- and the director crosses the line.<br /><br />The first two shots of the movie that have any kind of spatial relationship with each other and the guy has cocked up. 'Not Crossing The line' is one of those basic rules of movie grammar that keeps the characters from jumping about from side to side on the screen and confusing the audience. Audiences don't like to be confused. Mystified? Baffled? Puzzled and intrigued? Yes. Audiences love all of those. Confused? No. You loose them. They walk out. 'Not Crossing The line' is one of those things they pound into you at film school, or should. It's basic stuff. It's not an inviolable rule (there are no inviolable rules) directors break it all the time - but not on the first real cut of the movie.<br /><br />I thought, ""I've seen enough"". And switched off.","One of the greatest lessons I ever had in how to watch a movie happened this way: <br /><br />I was working in Roger [[Croman's]] offices, like so many other wanabees before and since, I was interning and trying to figure out how it all worked and how to make myself [[idispensable]] (hah!). One afternoon Julie Corman, Roger Corman's wife and a producer in her own right, asked me to load up a tape. I'm not sure why she wanted to watch it. I got the impression it was a student film or a show reel, something like that, some sort of calling card. Whatever the reasons she had to see it, the only free video machine in the offices at the time happened to be in the room I was working in, and I was the nearest person to the machine. I started the tape.<br /><br />Fade in: On screen a figure sat at a desk facing the camera. Behind him, screen left, was a door that opened into the room. Against the far wall was a coat rack. A second character entered through the door and started talking. The first character, the guy at the desk, turned round to reply, (this is all one take, static camera, there are no cuts pans or dolly shots. Just one locked off camera). The second character turned to hang his coat on the coat rack and delivered his next line. Julie Corman said ""I've seen enough."" and left the room.<br /><br />What she had seen in the ten seconds of footage she had watched was that the director was an idiot. Opening with two characters who immediately turned their backs to the camera delivering lines? Nope, sorry. Next! That's how long you've got. Ten seconds. Cock it up in the opening shot and you are dead.<br /><br />I was reminded of that moment while I watched the opening of this [[picece]] of [[crpa]]. After an interminably long travelogue of jungle we see several monkeys apparently throwing themselves into cages. A man carrying a gun laughs. A jet liner lands and we see it taxi the whole way to the terminal. God this is [[Qoring]]! Cut to the interior of the Airport. Two men meet. Aha! Something is happening! They shake hands. Cut to a different angle of the two men -<br /><br />- and the director crosses the line.<br /><br />The first two shots of the movie that have any kind of spatial relationship with each other and the guy has cocked up. 'Not Crossing The line' is one of those basic rules of movie grammar that keeps the characters from jumping about from side to side on the screen and confusing the audience. Audiences don't like to be confused. Mystified? Baffled? Puzzled and intrigued? Yes. Audiences love all of those. Confused? No. You loose them. They walk out. 'Not Crossing The line' is one of those things they pound into you at film school, or should. It's basic stuff. It's not an inviolable rule (there are no inviolable rules) directors break it all the time - but not on the first real cut of the movie.<br /><br />I thought, ""I've seen enough"". And switched off.",0
"In this era when almost everything makes it on to DVD (I'm expecting to see the My Mother the Car collection any day now) this film has been [[unfairly]] neglected. There are innumerable stupid comedies from the 60's as well as many other eras that have received at least a cursory DVD treatment. This one wasn't even released on VHS to my knowledge, despite the talents involved in the making (Arthur Hiller, Eli Wallach, Anne Jackson, Murray Shisgal (notable later for co-writing Tootsie), even Dustin Hoffman in his debut). It's obviously a product of the sixties but so is just about everything else from that era. All films reflect the tastes and customs of the times in which they are made. This was released the same year as The President's Analyst, another absurd masterpiece. That film was finally released on DVD and has developed a cult following. [[This]] film has [[many]] memorable bizarre, goofy, [[wacky]] [[moments]]. [[Sure]], it's painted in broad strokes and has [[silly]] go-go music throughout but that's part of its charm. It creates its own [[absurd]] universe. If whoever is in charge of DVD production for Columbia Pictures releases (I believe Columbia released it) takes polls for new releases this gets my vote.","In this era when almost everything makes it on to DVD (I'm expecting to see the My Mother the Car collection any day now) this film has been [[unLairly]] neglected. There are innumerable stupid comedies from the 60's as well as many other eras that have received at least a cursory DVD treatment. This one wasn't even released on VHS to my knowledge, despite the talents involved in the making (Arthur Hiller, Eli Wallach, Anne Jackson, Murray Shisgal (notable later for co-writing Tootsie), even Dustin Hoffman in his debut). It's obviously a product of the sixties but so is just about everything else from that era. All films reflect the tastes and customs of the times in which they are made. This was released the same year as The President's Analyst, another absurd masterpiece. That film was finally released on DVD and has developed a cult following. [[ThiFs]] film has [[tany]] memorable bizarre, goofy, [[wackG]] [[oments]]. [[Srue]], it's painted in broad strokes and has [[sillX]] go-go music throughout but that's part of its charm. It creates its own [[basurd]] universe. If whoever is in charge of DVD production for Columbia Pictures releases (I believe Columbia released it) takes polls for new releases this gets my vote.",1
"It just so happens that IVAN THE TERRIBLE, PARTS I and II both had entries in the 50 Worst Movies book by Harry Medved. Now, I do think that declaring they are among the worst movies ever is an overstatement, though they are still both pretty poor films--particularly the first one, as it featured more eye [[rolling]] and ""googly eyed looks"" than I have ever seen before!! Director Eisenstein and an awful lot of other people out there thought this made the film ""artsy and profound""--and since I am legally [[sane]], I must say that I [[hated]] this first film!! The second, while still very [[incomplete-looking]], is a vast improvement, as eye rolling is minimal, though overacting and long boring scenes are present in this film just like in part 1! While part 2 looks pretty incomplete and needed at least another hour (especially since it never gets to [[Ivan's]] insane behavior later in life--like killing his son and heir while in a fit of anger). Since both parts 1 and 2 were commissioned by Stalin to both excuse his own murderous reign and [[glorify]] him, it's no surprise that [[Ivan's]] life story is left very incomplete. Even without all the truly awful behaviors of Ivan, apparently the supremely evil Stalin STILL didn't like the film and wouldn't allow its release during his lifetime. Maybe he didn't allow this because he was more worried people would see what a HUGE waste of money and resources the film was instead of seeing Stalin as a crazy guy just like Ivan! <br /><br />By the way, there was one segment of this [[tedious]] film that was just so cool that the film merits a 4 (without it, a 2)--and that's the scene with Prince Vladimir at the banquet! It is well-done and pretty funny in a dark way. And, the scene was done in a Russian version of 2-color [[Technicolor]]. This is VERY odd, by the way, because by the mid-1930s, a vastly improved true color process was developed by Technicolor that no longer made everything look all orangy-red and greenish-blue. So, this film during the color sequences [[looks]] a lot [[like]] a silent or early sound color film. Very [[odd]] indeed for the 1940s.","It just so happens that IVAN THE TERRIBLE, PARTS I and II both had entries in the 50 Worst Movies book by Harry Medved. Now, I do think that declaring they are among the worst movies ever is an overstatement, though they are still both pretty poor films--particularly the first one, as it featured more eye [[rollivg]] and ""googly eyed looks"" than I have ever seen before!! Director Eisenstein and an awful lot of other people out there thought this made the film ""artsy and profound""--and since I am legally [[samne]], I must say that I [[huted]] this first film!! The second, while still very [[incompletel-ooking]], is a vast improvement, as eye rolling is minimal, though overacting and long boring scenes are present in this film just like in part 1! While part 2 looks pretty incomplete and needed at least another hour (especially since it never gets to [[IZvan's]] insane behavior later in life--like killing his son and heir while in a fit of anger). Since both parts 1 and 2 were commissioned by Stalin to both excuse his own murderous reign and [[gRorify]] him, it's no surprise that [[Iavn's]] life story is left very incomplete. Even without all the truly awful behaviors of Ivan, apparently the supremely evil Stalin STILL didn't like the film and wouldn't allow its release during his lifetime. Maybe he didn't allow this because he was more worried people would see what a HUGE waste of money and resources the film was instead of seeing Stalin as a crazy guy just like Ivan! <br /><br />By the way, there was one segment of this [[tediou]] film that was just so cool that the film merits a 4 (without it, a 2)--and that's the scene with Prince Vladimir at the banquet! It is well-done and pretty funny in a dark way. And, the scene was done in a Russian version of 2-color [[Tcehnicolor]]. This is VERY odd, by the way, because by the mid-1930s, a vastly improved true color process was developed by Technicolor that no longer made everything look all orangy-red and greenish-blue. So, this film during the color sequences [[loosk]] a lot [[likD]] a silent or early sound color film. Very [[odmd]] indeed for the 1940s.",0
"I'm rather surprised that anybody found this film touching or moving.<br /><br />The basic premise of the film sounded to me like an excellent, if provocative, idea for a movie about a rare sort of relationship, but one (if I can judge by the real-life examples I've known) is extremely deep and loving.<br /><br />However, the film is [[cheaply]] scripted--poorly scripted--and although it has a number of very pretty-looking shots, I didn't find it to be [[anything]] special.<br /><br />Probably the biggest problem is that it is far too short and poorly-composed to give its audience time enough to [[invest]], emotionally, in the characters: we don't really care about any of them, and so their stresses and obstacles don't really touch us.<br /><br />I think a REMAKE--from the screenplay up--with some character development by some really good writers--could improve it greatly. It is instructive to compare this film with Brokeback Mountain, which the screen-writers took to far [[loftier]] levels than did the author of the screenplay--screen-writers who were clearly conscious of how to write a classical tragedy, and carried out their task with care, planning, and superb craftsmanship! However, people only seem to remake those films that don't need it! You're not really missing anything if you skip this one: I found it very [[disappointing]] indeed, and it is only saved from getting a 1-star from me by virtue of the daring and gumption it took to make a film on this sensitive subject.","I'm rather surprised that anybody found this film touching or moving.<br /><br />The basic premise of the film sounded to me like an excellent, if provocative, idea for a movie about a rare sort of relationship, but one (if I can judge by the real-life examples I've known) is extremely deep and loving.<br /><br />However, the film is [[cehaply]] scripted--poorly scripted--and although it has a number of very pretty-looking shots, I didn't find it to be [[aZnything]] special.<br /><br />Probably the biggest problem is that it is far too short and poorly-composed to give its audience time enough to [[invgst]], emotionally, in the characters: we don't really care about any of them, and so their stresses and obstacles don't really touch us.<br /><br />I think a REMAKE--from the screenplay up--with some character development by some really good writers--could improve it greatly. It is instructive to compare this film with Brokeback Mountain, which the screen-writers took to far [[loftir]] levels than did the author of the screenplay--screen-writers who were clearly conscious of how to write a classical tragedy, and carried out their task with care, planning, and superb craftsmanship! However, people only seem to remake those films that don't need it! You're not really missing anything if you skip this one: I found it very [[disappoiting]] indeed, and it is only saved from getting a 1-star from me by virtue of the daring and gumption it took to make a film on this sensitive subject.",0
"Mad scientist Professor Tabani drinks a potion he has brewed up in his laboratory but is turned into a blood craving vampire instead.When Dr.Aqil pays a visit Tabani sees a picture of Aqil's wife Shabnam and,after turning Aqil into a vampire,heads for Shabnam to make her his bride.Aqil's brother discovers the grave of the vampire and his brother at Tabani's castle and kills his brother with a knife to free his soul.Tabani succeeds in putting the bite on Shabnam and once turned she tries to lure her young niece away.Aqil's brother races against time to put a stop to the vampire curse.""Zinda Laash"" almost put me to sleep.The plot is extremely slow but more or less follows Bram Stoker's famous novel.The suspense is completely [[absent]] as is the gore and nudity.The film is only recommended for curious horror fans that want to see the second horror film made in Pakistan(after ""Madman"" from 1964).","Mad scientist Professor Tabani drinks a potion he has brewed up in his laboratory but is turned into a blood craving vampire instead.When Dr.Aqil pays a visit Tabani sees a picture of Aqil's wife Shabnam and,after turning Aqil into a vampire,heads for Shabnam to make her his bride.Aqil's brother discovers the grave of the vampire and his brother at Tabani's castle and kills his brother with a knife to free his soul.Tabani succeeds in putting the bite on Shabnam and once turned she tries to lure her young niece away.Aqil's brother races against time to put a stop to the vampire curse.""Zinda Laash"" almost put me to sleep.The plot is extremely slow but more or less follows Bram Stoker's famous novel.The suspense is completely [[abent]] as is the gore and nudity.The film is only recommended for curious horror fans that want to see the second horror film made in Pakistan(after ""Madman"" from 1964).",0
"The film opens with a cult leader attempting to resurrect a dead member with his followers chanting for his rebirth as the sun strikes upon them in the desert. Reanhauer(Bill Roy)believes wholeheartedly in his power, and gets so worked up that he collapses with what appeared to be a heart attack. Unable to keep him alive, all those involved, doctors and nurses, are sentenced for attack with [[Reanhauer's]] demonic spirit invading the [[curvaceous]] body of nurse [[Sherri]](..big-chested Jill Jacobson)targeting each one using her as a tool of vengeance. Forced against her will, with no memory of inflicting such harm, Sherri's host body murders selected victims. Fortunately, Sherri's fellow co-worker, nurse Tara(Marilyn [[Joi]])begins a rather blossoming [[romance]] with a blinded patient, Marcus Washington(Prentiss Moulden), once a star football player, whose mother was a practitioner of voodoo. Through Marcus' knowledge, passed down from mom, Tara finds out about possession and how to possibly save Sherri before she murders everyone unknowingly. Meanwhile, [[Sherri's]] lover, Dr. Peter Desmond(Geoffrey Land)worries about her present condition and welfare.<br /><br />Well, this was my first Al [[Adamson]] film and I must agree with his detractors that, just from this film alone, it seems he holds them together with paper clips and Elmer's glue. The animation with which we see the spirit take control of Sherri is beyond awful and rather laughable. A little soft-core nonsense as [[filler]], some demonic possession thrown in the mix(Sherri actually speaks in another voice when she's possessed), with naughty nurse behavior(..the three nurses focused on in the film all are quite sexually active and free-spirited)and a little bit violence/gore. The [[film]] is essentially shot in tiny rooms with [[dull]] [[dialogue]] from a rather [[mundane]] [[cast]]. The sexual situations aren't that hard-core and Al often shoots them without revealing all that much. The film looks embarrassingly [[cheap]] and there's an absence of thrills, although the chilling score(..which sounds like something from Dark Shadows)does [[help]] a little bit. Jacobson and Mary Kay Pass(..as nurse Beth who seems to be a nymphomaniac if she'll even screw a nutty patient, always complaining of illnesses he really doesn't have, with enough chest hair to declare him a Neanderthal)aren't bad looking, and Adamson's story-line, although frail, is somewhat coherent(..it seems he rarely directs films which are). Overall, the movie looks like it cost 5 bucks and Adamson just can not overcome the budgetary restrictions(..or, in my opinion, create an unpleasant enough atmosphere due to a sometimes plodding narrative and tedious scenes which do little for the story). John F Goff has the role of the hospital's psychiatrist who wants to commit Sherri, not believing the idea that she was possessed;he constantly bickers with Peter over her. I watched the unrated ""lost"" version which I guess is the real version to watch of Nurse Sherri.","The film opens with a cult leader attempting to resurrect a dead member with his followers chanting for his rebirth as the sun strikes upon them in the desert. Reanhauer(Bill Roy)believes wholeheartedly in his power, and gets so worked up that he collapses with what appeared to be a heart attack. Unable to keep him alive, all those involved, doctors and nurses, are sentenced for attack with [[ReanSauer's]] demonic spirit invading the [[curvacLous]] body of nurse [[Sheri]](..big-chested Jill Jacobson)targeting each one using her as a tool of vengeance. Forced against her will, with no memory of inflicting such harm, Sherri's host body murders selected victims. Fortunately, Sherri's fellow co-worker, nurse Tara(Marilyn [[Joc]])begins a rather blossoming [[romacne]] with a blinded patient, Marcus Washington(Prentiss Moulden), once a star football player, whose mother was a practitioner of voodoo. Through Marcus' knowledge, passed down from mom, Tara finds out about possession and how to possibly save Sherri before she murders everyone unknowingly. Meanwhile, [[Sherri']] lover, Dr. Peter Desmond(Geoffrey Land)worries about her present condition and welfare.<br /><br />Well, this was my first Al [[Adason]] film and I must agree with his detractors that, just from this film alone, it seems he holds them together with paper clips and Elmer's glue. The animation with which we see the spirit take control of Sherri is beyond awful and rather laughable. A little soft-core nonsense as [[filer]], some demonic possession thrown in the mix(Sherri actually speaks in another voice when she's possessed), with naughty nurse behavior(..the three nurses focused on in the film all are quite sexually active and free-spirited)and a little bit violence/gore. The [[fil]] is essentially shot in tiny rooms with [[dNull]] [[diacogue]] from a rather [[mundKane]] [[Ccast]]. The sexual situations aren't that hard-core and Al often shoots them without revealing all that much. The film looks embarrassingly [[cehap]] and there's an absence of thrills, although the chilling score(..which sounds like something from Dark Shadows)does [[elp]] a little bit. Jacobson and Mary Kay Pass(..as nurse Beth who seems to be a nymphomaniac if she'll even screw a nutty patient, always complaining of illnesses he really doesn't have, with enough chest hair to declare him a Neanderthal)aren't bad looking, and Adamson's story-line, although frail, is somewhat coherent(..it seems he rarely directs films which are). Overall, the movie looks like it cost 5 bucks and Adamson just can not overcome the budgetary restrictions(..or, in my opinion, create an unpleasant enough atmosphere due to a sometimes plodding narrative and tedious scenes which do little for the story). John F Goff has the role of the hospital's psychiatrist who wants to commit Sherri, not believing the idea that she was possessed;he constantly bickers with Peter over her. I watched the unrated ""lost"" version which I guess is the real version to watch of Nurse Sherri.",0
"I have been a huge Lynn Peterson fan ever since her breakthrough role in the 1988 blockbuster movie ""Far North"", and even though I loved her in her one other film ""Slow"" (2004) where she plays ""Francis"", this is by far and away her strongest role.<br /><br />Lynn, as I'm sure you all know (or should), plays the critical role of ""Driver"".<br /><br />Unfortunately, other than Lynn's amazing performance, I'm afraid this movie doesn't really have much [[going]] for it.<br /><br />Oh wait - there was one other thing - the amazing creativity of the editing to remove profanity for TV viewers. Memorable lines like: ""You son-of-a-gun!"", ""You son-of-a-witch!"", ""Shoot!"", and ""Well, Forget You!""<br /><br />O.K. Bye.<br /><br />P.S.: Does anyone know where I can get another Lynn Peterson poster?","I have been a huge Lynn Peterson fan ever since her breakthrough role in the 1988 blockbuster movie ""Far North"", and even though I loved her in her one other film ""Slow"" (2004) where she plays ""Francis"", this is by far and away her strongest role.<br /><br />Lynn, as I'm sure you all know (or should), plays the critical role of ""Driver"".<br /><br />Unfortunately, other than Lynn's amazing performance, I'm afraid this movie doesn't really have much [[goGng]] for it.<br /><br />Oh wait - there was one other thing - the amazing creativity of the editing to remove profanity for TV viewers. Memorable lines like: ""You son-of-a-gun!"", ""You son-of-a-witch!"", ""Shoot!"", and ""Well, Forget You!""<br /><br />O.K. Bye.<br /><br />P.S.: Does anyone know where I can get another Lynn Peterson poster?",0
"A group of friends receive word from a pal who has found gold in an old mind shaft nearby an ancient abandoned western town of Suttersville. Despite warnings by the local sheriff, Murphy(John Phillip Law), Old Man Prichard(Richard Lynch)a bedraggled hick who swindles tourists with supposed collectible Wanted posters, and kooky superstitious Aunt Nelly(Karen Black)to stay out of the mine due to it's notorious legend(..that an evil coal miner who sold his soul to devil and murdered a priest's(Jeff Conaway)daughter will return from the dead to kill those who remove the gold from his shaft), these people only see the green, not the blood red which could potentially ooze from their slain bodies. Finding the gold of Jeremiah Stone intact, they line their pockets and carrying cases, prepared for the bright futures that supposedly lie ahead. But, when you do not heed the warnings of those you consider backwoods loons, the obvious result will be gruesome death. Jeremiah Stone, as we see, is lying merely a skeleton near an alter containing skulls lined next to each other as the candles on top of them light up, the pickax underneath awaiting it's master, with dust particles returning him to a grotesque corpse with demonic exposition, his eyes aglow with wrath. This hapless group, hoping for some fun around the campfire with gold providing them with warm prospects for life ahead, will fall prey to the vengeful ghoul and his mean pickax. Another victim will meet the nasty end of a shovel thrown through the windshield of her vehicle, directing it's path straight into her neck. Another failed attempt to retreat has Stone causing a frightened victim to drive his car into a tree, his body engulfed in flames as he fails to escape without harm. Another, a local girl searching for her new friends, worried about their well being, receives the pickax buried into her stomach. Aunt Nelly informs those still alive about the Forty-Niner and the curse on those who raids his eternal stash..and pays the price for relating such information. Will anybody survive? Or, is the entire group fated to perish at the hands of the zombie miner?<br /><br />Make-up effects artist and monster creator, John Carl Buechler directs this supernatural [[slasher]] without worrying about logic or strong story-telling, opting instead to allow his zombie miner to destroy anyone and everyone who happens to be in his path. He provides just enough back story, and this is feeble at best, for the killer allowing special guest star, Karen Black(..oh how her career has sunken into the abyss)to explain to the viewer about him. The story given to us has the miner holding a priest's daughter hostage, threatening to execute her as the Suttersville authorities warn against such an action. Startling enough, Stone plants that pickax right into her back, with the opposition unloading their guns with little effect because he sold his soul to Satan. Retreating to his domain, the mine shaft, Stone sends out a warning against anyone even attempting to take what's his, the loot. Typical of most slashers in general, this bunch of twenty-somethings are your garden variety victims, with little development other than some banter and exchanging of words provides as filler until the undead maniac pops onto the scene to slaughter them. They are the usual group, from the city, trespassing unto unfamiliar territory, resurrecting an evil that should remain dormant. Like many of the later 80's slashers, a good deal of the violence is off-screen. What is on screen, the minimal gore, is rather mundanely presented and happens rather quickly. The ghoul make-up for the killer is only shown occasionally;he's mostly shrouded in darkness, the victims' horrified faces as he catches or chases after them are given more credence than the method of destruction. One thing's for certain, stunt men were set on fire many times. At least three times, a character is burned alive by either a lantern or flaming vehicle. Martin Cove has a minor cameo as Black's former husband, Caleb, now living with a much younger, and dense, honey. Vernon Wells(..of The Road Warrior and Commando fame)has the back story role of Jeremiah Stone as a human, still capturing the same type of menace he specializes in. John Phillip Law seems to be enjoying himself as the rather polite and hospitable sheriff, welcoming the outsiders to his neck of the woods. Buechler has quite an attractive cast of actresses, all wearing tight pants and smallish shirts, showing off their sleek and athletic figures, especially Elina Madison as easy-lay Roxann, always willing to remove her clothes for greedy jerk, Hayden(Rick Majeske). Stephen Wastell(The Ghosts of Edendale) is Axl, a rather clumsy foil, used as a butt of many jokes including his ""dump in the woods"" scene and current unemployment status.","A group of friends receive word from a pal who has found gold in an old mind shaft nearby an ancient abandoned western town of Suttersville. Despite warnings by the local sheriff, Murphy(John Phillip Law), Old Man Prichard(Richard Lynch)a bedraggled hick who swindles tourists with supposed collectible Wanted posters, and kooky superstitious Aunt Nelly(Karen Black)to stay out of the mine due to it's notorious legend(..that an evil coal miner who sold his soul to devil and murdered a priest's(Jeff Conaway)daughter will return from the dead to kill those who remove the gold from his shaft), these people only see the green, not the blood red which could potentially ooze from their slain bodies. Finding the gold of Jeremiah Stone intact, they line their pockets and carrying cases, prepared for the bright futures that supposedly lie ahead. But, when you do not heed the warnings of those you consider backwoods loons, the obvious result will be gruesome death. Jeremiah Stone, as we see, is lying merely a skeleton near an alter containing skulls lined next to each other as the candles on top of them light up, the pickax underneath awaiting it's master, with dust particles returning him to a grotesque corpse with demonic exposition, his eyes aglow with wrath. This hapless group, hoping for some fun around the campfire with gold providing them with warm prospects for life ahead, will fall prey to the vengeful ghoul and his mean pickax. Another victim will meet the nasty end of a shovel thrown through the windshield of her vehicle, directing it's path straight into her neck. Another failed attempt to retreat has Stone causing a frightened victim to drive his car into a tree, his body engulfed in flames as he fails to escape without harm. Another, a local girl searching for her new friends, worried about their well being, receives the pickax buried into her stomach. Aunt Nelly informs those still alive about the Forty-Niner and the curse on those who raids his eternal stash..and pays the price for relating such information. Will anybody survive? Or, is the entire group fated to perish at the hands of the zombie miner?<br /><br />Make-up effects artist and monster creator, John Carl Buechler directs this supernatural [[sasher]] without worrying about logic or strong story-telling, opting instead to allow his zombie miner to destroy anyone and everyone who happens to be in his path. He provides just enough back story, and this is feeble at best, for the killer allowing special guest star, Karen Black(..oh how her career has sunken into the abyss)to explain to the viewer about him. The story given to us has the miner holding a priest's daughter hostage, threatening to execute her as the Suttersville authorities warn against such an action. Startling enough, Stone plants that pickax right into her back, with the opposition unloading their guns with little effect because he sold his soul to Satan. Retreating to his domain, the mine shaft, Stone sends out a warning against anyone even attempting to take what's his, the loot. Typical of most slashers in general, this bunch of twenty-somethings are your garden variety victims, with little development other than some banter and exchanging of words provides as filler until the undead maniac pops onto the scene to slaughter them. They are the usual group, from the city, trespassing unto unfamiliar territory, resurrecting an evil that should remain dormant. Like many of the later 80's slashers, a good deal of the violence is off-screen. What is on screen, the minimal gore, is rather mundanely presented and happens rather quickly. The ghoul make-up for the killer is only shown occasionally;he's mostly shrouded in darkness, the victims' horrified faces as he catches or chases after them are given more credence than the method of destruction. One thing's for certain, stunt men were set on fire many times. At least three times, a character is burned alive by either a lantern or flaming vehicle. Martin Cove has a minor cameo as Black's former husband, Caleb, now living with a much younger, and dense, honey. Vernon Wells(..of The Road Warrior and Commando fame)has the back story role of Jeremiah Stone as a human, still capturing the same type of menace he specializes in. John Phillip Law seems to be enjoying himself as the rather polite and hospitable sheriff, welcoming the outsiders to his neck of the woods. Buechler has quite an attractive cast of actresses, all wearing tight pants and smallish shirts, showing off their sleek and athletic figures, especially Elina Madison as easy-lay Roxann, always willing to remove her clothes for greedy jerk, Hayden(Rick Majeske). Stephen Wastell(The Ghosts of Edendale) is Axl, a rather clumsy foil, used as a butt of many jokes including his ""dump in the woods"" scene and current unemployment status.",0
"[[The]] [[ruins]] is to Turistas as Deep Impact was to [[Armageddon]], a worse version of a mildly entertaining movie, except much much worse. One of the [[characters]] is supposed to be going to medical school, so why are they all [[retards]]? ""you can't keep cutting."" -best [[line]] [[form]] this [[movie]]. [[This]] is an [[awful]] [[movie]]. I like [[horror]] movies, but fully appreciate that most of them are terrible, but had a [[bit]] of high hopes for this [[movie]] after [[seeing]] the reviews on IMDb. The situation they are in is stupid and how they handle it [[makes]] them stupid. [[It]] is [[awful]], the one thing that makes it [[somewhat]] [[palatable]] is its [[cool]] [[Australian]] backdrop, despite the fact that they spend the vast [[majority]] of the movie in [[one]] [[place]].","[[Th]] [[ruin]] is to Turistas as Deep Impact was to [[Armageddo]], a worse version of a mildly entertaining movie, except much much worse. One of the [[chapacters]] is supposed to be going to medical school, so why are they all [[rtards]]? ""you can't keep cutting."" -best [[Iline]] [[fomr]] this [[movi]]. [[Tis]] is an [[awflu]] [[mofie]]. I like [[whorror]] movies, but fully appreciate that most of them are terrible, but had a [[lit]] of high hopes for this [[moUie]] after [[seeign]] the reviews on IMDb. The situation they are in is stupid and how they handle it [[make]] them stupid. [[I]] is [[tawful]], the one thing that makes it [[Iomewhat]] [[palatabJle]] is its [[cCol]] [[custralian]] backdrop, despite the fact that they spend the vast [[amjority]] of the movie in [[onH]] [[plae]].",0
"I a huge fan of when it comes to Doctor [[Who]] series and still am, [[But]] I was very disappointed when i [[began]] to watch this new series.<br /><[[br]] />Children under the age of [[15]], or even better under the [[age]] of 10 will probably will enjoy it the best, and possibly new fans who haven't [[seen]] any of the original series, But as [[far]] as [[fans]] of the original series, will find this series missing much of the charm the [[made]] the original series so great, [[It]] took [[David]] Tennant to get me to Appreciate how Much better [[Christoper]] [[Eccellestion]] was as a Doctor in the 1st season.<br /><br />I would only recommend this [[series]] for people who haven't seen [[much]] of the original series, people who are under 15, and EXTREMELY [[DIE]] HARD who fans, everyone else will just [[get]] a laugh and [[mumble]] curse [[words]] about [[Russel]] T. [[Davies]] screwed up [[one]] of our favorite TV shows.","I a huge fan of when it comes to Doctor [[Wo]] series and still am, [[Btu]] I was very disappointed when i [[bean]] to watch this new series.<br /><[[rb]] />Children under the age of [[1]], or even better under the [[ae]] of 10 will probably will enjoy it the best, and possibly new fans who haven't [[sen]] any of the original series, But as [[ar]] as [[fan]] of the original series, will find this series missing much of the charm the [[mad]] the original series so great, [[tI]] took [[avid]] Tennant to get me to Appreciate how Much better [[Christope]] [[Eccellesiton]] was as a Doctor in the 1st season.<br /><br />I would only recommend this [[serie]] for people who haven't seen [[mEch]] of the original series, people who are under 15, and EXTREMELY [[IE]] HARD who fans, everyone else will just [[ge]] a laugh and [[muble]] curse [[wods]] about [[RussHel]] T. [[Davise]] screwed up [[on]] of our favorite TV shows.",0
