original_text,perturbed_text,label
"One of the greatest lessons I ever had in how to watch a movie happened this way: <br /><br />I was working in Roger Corman's offices, like so many other wanabees before and since, I was interning and trying to figure out how it all worked and how to make myself indispensable ([[hah]]!). One afternoon Julie Corman, Roger Corman's wife and a producer in her own right, asked me to load up a tape. I'm not sure why she wanted to watch it. I got the impression it was a student film or a show reel, something like that, some sort of calling card. Whatever the reasons she had to see it, the only free video machine in the offices at the time happened to be in the room I was working in, and I was the nearest person to the machine. I started the tape.<br /><br />Fade in: On screen a figure sat at a desk facing the camera. Behind him, screen left, was a door that opened into the room. Against the far wall was a coat rack. A second character entered through the door and started talking. The first character, the guy at the desk, turned round to reply, (this is all one take, static camera, there are no cuts [[pans]] or dolly shots. Just one locked off camera). The second character turned to hang his coat on the coat rack and delivered his next line. Julie Corman said ""I've seen enough."" and left the room.<br /><br />What she had seen in the ten seconds of footage she had watched was that the director was an idiot. Opening with two characters who immediately turned their backs to the camera delivering lines? Nope, sorry. Next! That's how long you've got. Ten seconds. Cock it up in the opening shot and you are dead.<br /><br />I was reminded of that moment while I watched the opening of this piece of crap. After an interminably long [[travelogue]] of jungle we see several monkeys apparently throwing themselves into cages. A man carrying a gun laughs. A jet liner lands and we see it taxi the whole way to the terminal. God this is [[boring]]! [[Cut]] to the [[interior]] of the [[Airport]]. Two [[men]] [[meet]]. [[Aha]]! [[Something]] is happening! They shake hands. Cut to a [[different]] [[angle]] of the two [[men]] -<[[br]] /><br />- and the director crosses the line.<br /><br />The first two shots of the movie that have any kind of spatial relationship with each other and the guy has cocked up. 'Not Crossing The line' is one of those basic [[rules]] of movie grammar that keeps the characters from jumping about from side to side on the screen and confusing the audience. Audiences don't like to be confused. Mystified? Baffled? Puzzled and intrigued? Yes. Audiences love all of those. Confused? No. You loose them. They walk out. 'Not Crossing The line' is one of those things they pound into you at film school, or should. It's basic stuff. It's not an inviolable rule (there are no inviolable rules) directors break it all the time - but not on the first real cut of the movie.<br /><br />I thought, ""I've seen enough"". And switched off.","One of the greatest lessons I ever had in how to watch a movie happened this way: <br /><br />I was working in Roger Corman's offices, like so many other wanabees before and since, I was interning and trying to figure out how it all worked and how to make myself indispensable ([[hmmm]]!). One afternoon Julie Corman, Roger Corman's wife and a producer in her own right, asked me to load up a tape. I'm not sure why she wanted to watch it. I got the impression it was a student film or a show reel, something like that, some sort of calling card. Whatever the reasons she had to see it, the only free video machine in the offices at the time happened to be in the room I was working in, and I was the nearest person to the machine. I started the tape.<br /><br />Fade in: On screen a figure sat at a desk facing the camera. Behind him, screen left, was a door that opened into the room. Against the far wall was a coat rack. A second character entered through the door and started talking. The first character, the guy at the desk, turned round to reply, (this is all one take, static camera, there are no cuts [[trays]] or dolly shots. Just one locked off camera). The second character turned to hang his coat on the coat rack and delivered his next line. Julie Corman said ""I've seen enough."" and left the room.<br /><br />What she had seen in the ten seconds of footage she had watched was that the director was an idiot. Opening with two characters who immediately turned their backs to the camera delivering lines? Nope, sorry. Next! That's how long you've got. Ten seconds. Cock it up in the opening shot and you are dead.<br /><br />I was reminded of that moment while I watched the opening of this piece of crap. After an interminably long [[journey]] of jungle we see several monkeys apparently throwing themselves into cages. A man carrying a gun laughs. A jet liner lands and we see it taxi the whole way to the terminal. God this is [[dismal]]! [[Coupe]] to the [[inland]] of the [[Aerodrome]]. Two [[lads]] [[satisfy]]. [[Argh]]! [[Stuff]] is happening! They shake hands. Cut to a [[diverse]] [[perspectives]] of the two [[virile]] -<[[ab]] /><br />- and the director crosses the line.<br /><br />The first two shots of the movie that have any kind of spatial relationship with each other and the guy has cocked up. 'Not Crossing The line' is one of those basic [[stipulations]] of movie grammar that keeps the characters from jumping about from side to side on the screen and confusing the audience. Audiences don't like to be confused. Mystified? Baffled? Puzzled and intrigued? Yes. Audiences love all of those. Confused? No. You loose them. They walk out. 'Not Crossing The line' is one of those things they pound into you at film school, or should. It's basic stuff. It's not an inviolable rule (there are no inviolable rules) directors break it all the time - but not on the first real cut of the movie.<br /><br />I thought, ""I've seen enough"". And switched off.",0
"Alas, another Costner movie that was an hour too long. Credible performances, but the script had no where to go and was in no hurry to get there. First we are offered an unrelated string of events few of which further the story. Will the script center on Randall and his wife? Randall and Fischer? How about Fischer and Thomas? In the end, no real front story ever develops and the characters themselves are artificially propped up by monologues from third parties. The singer explains Randall, Randall explains Fischer, on and on. Finally, long after you don't care anymore, you will learn something about the script meetings. Three endings were no doubt proffered and no one could make a decision. The end result? All three were used, one, after another, after another. If you can hang in past the 100th yawn, you'll be able to pick them out. Despite the transparent attempt to gain points with a dedication to the Coast Guard, this one [[should]] have washed out the very first day.","Alas, another Costner movie that was an hour too long. Credible performances, but the script had no where to go and was in no hurry to get there. First we are offered an unrelated string of events few of which further the story. Will the script center on Randall and his wife? Randall and Fischer? How about Fischer and Thomas? In the end, no real front story ever develops and the characters themselves are artificially propped up by monologues from third parties. The singer explains Randall, Randall explains Fischer, on and on. Finally, long after you don't care anymore, you will learn something about the script meetings. Three endings were no doubt proffered and no one could make a decision. The end result? All three were used, one, after another, after another. If you can hang in past the 100th yawn, you'll be able to pick them out. Despite the transparent attempt to gain points with a dedication to the Coast Guard, this one [[planned]] have washed out the very first day.",0
"In this era when almost everything makes it on to DVD (I'm expecting to see the My Mother the Car collection any day now) this film has been unfairly neglected. There are innumerable stupid comedies from the 60's as well as many other eras that have received at least a cursory DVD treatment. This one wasn't even released on VHS to my knowledge, despite the talents involved in the making (Arthur Hiller, Eli Wallach, Anne Jackson, Murray Shisgal (notable later for co-writing Tootsie), even Dustin Hoffman in his debut). It's obviously a product of the sixties but so is just about everything else from that era. All films reflect the tastes and customs of the times in which they are made. This was released the same year as The President's Analyst, another absurd [[masterpiece]]. That film was finally released on DVD and has developed a cult following. This film has many memorable bizarre, goofy, wacky moments. Sure, it's painted in broad strokes and has silly go-go music throughout but that's part of its charm. It creates its own absurd universe. If whoever is in charge of DVD production for Columbia Pictures releases (I believe Columbia released it) takes polls for new releases this gets my vote.","In this era when almost everything makes it on to DVD (I'm expecting to see the My Mother the Car collection any day now) this film has been unfairly neglected. There are innumerable stupid comedies from the 60's as well as many other eras that have received at least a cursory DVD treatment. This one wasn't even released on VHS to my knowledge, despite the talents involved in the making (Arthur Hiller, Eli Wallach, Anne Jackson, Murray Shisgal (notable later for co-writing Tootsie), even Dustin Hoffman in his debut). It's obviously a product of the sixties but so is just about everything else from that era. All films reflect the tastes and customs of the times in which they are made. This was released the same year as The President's Analyst, another absurd [[linchpin]]. That film was finally released on DVD and has developed a cult following. This film has many memorable bizarre, goofy, wacky moments. Sure, it's painted in broad strokes and has silly go-go music throughout but that's part of its charm. It creates its own absurd universe. If whoever is in charge of DVD production for Columbia Pictures releases (I believe Columbia released it) takes polls for new releases this gets my vote.",1
"I have a strong feeling that what you think of this film will strongly depend on your frame of reference. If you've never seen a Miyazaki film before, then it will probably confuse the heck out of you. If you have seen a Miyazaki film before, then it will still probably confuse the heck out of you....but you won't really care! That's because I found that the first time I saw one of his animated films, I tried too hard to figure out what was happening and why--and it impacted my enjoyment of the film. Now that I have seen just about every Miyazaki film, I see the bizarreness and just take it all in--enjoying the beauty of it all. In many ways, these films (at least to Western audiences) is like drugs--lots of strange and beautiful images that don't always initially make sense but sure feel great to see!! Of all the [[Miyazaki]] films, this might have the most unusual and [[incomprehensible]] story line--even more so than SPIRITED AWAY and PRINCESS MONONOKE or MY NEIGHBOR TOTORO. But, like these and many other Studio Gibli films, if you just sit back and watch you are rewarded with a fabulous tale. But, because it is so hard to describe (and others have already done so), I won't even go there.<br /><br />As for the artwork, it's very typical of one of these Japanese films, though there was one noticeable change. There was a very extensive use of what looked like colored [[pencils]] for the backgrounds. This was NOT a bad thing at all--the lovely pastel-like look was very pleasing and unique. In some ways it looked like a tiny bit of Bill Plympton's art style was infused into a typical Miyazaki film. With a high frame-rate, exceptional character animation (which [[imbued]] them with tons of personality) and a great ""wow-factor"", this is an exceptional [[film]] for all [[ages]]. Though [[clearly]] designed more for younger [[audiences]] (the TOTORO [[fans]] [[especially]]), it is a [[bit]] [[scary]] here and there (during the storm segments) but there is plenty of great [[stuff]] for adults. [[As]] an [[adult]] (at least [[chronologically]] [[so]]), I [[loved]] the [[cute]] [[stuff]] and [[applaud]] the other-worldliness of the [[film]].<[[br]] /><[[br]] />A [[great]] film--among Miyazaki's best. I don't give it a 10 because I am hesitant to ever do that--plus I did like a [[few]] of the studio's other films a bit more ([[particularly]] TOTORO). But that DOESN'T [[mean]] you shouldn't rush out now and see it--do it and [[do]] yourself a favor.","I have a strong feeling that what you think of this film will strongly depend on your frame of reference. If you've never seen a Miyazaki film before, then it will probably confuse the heck out of you. If you have seen a Miyazaki film before, then it will still probably confuse the heck out of you....but you won't really care! That's because I found that the first time I saw one of his animated films, I tried too hard to figure out what was happening and why--and it impacted my enjoyment of the film. Now that I have seen just about every Miyazaki film, I see the bizarreness and just take it all in--enjoying the beauty of it all. In many ways, these films (at least to Western audiences) is like drugs--lots of strange and beautiful images that don't always initially make sense but sure feel great to see!! Of all the [[Watanabe]] films, this might have the most unusual and [[bottomless]] story line--even more so than SPIRITED AWAY and PRINCESS MONONOKE or MY NEIGHBOR TOTORO. But, like these and many other Studio Gibli films, if you just sit back and watch you are rewarded with a fabulous tale. But, because it is so hard to describe (and others have already done so), I won't even go there.<br /><br />As for the artwork, it's very typical of one of these Japanese films, though there was one noticeable change. There was a very extensive use of what looked like colored [[crayons]] for the backgrounds. This was NOT a bad thing at all--the lovely pastel-like look was very pleasing and unique. In some ways it looked like a tiny bit of Bill Plympton's art style was infused into a typical Miyazaki film. With a high frame-rate, exceptional character animation (which [[imbibed]] them with tons of personality) and a great ""wow-factor"", this is an exceptional [[films]] for all [[centuries]]. Though [[evidently]] designed more for younger [[audience]] (the TOTORO [[gamer]] [[overwhelmingly]]), it is a [[bites]] [[awful]] here and there (during the storm segments) but there is plenty of great [[contraption]] for adults. [[Because]] an [[adulthood]] (at least [[sequentially]] [[accordingly]]), I [[dear]] the [[belle]] [[anything]] and [[congratulation]] the other-worldliness of the [[cinematography]].<[[ab]] /><[[ab]] />A [[prodigious]] film--among Miyazaki's best. I don't give it a 10 because I am hesitant to ever do that--plus I did like a [[limited]] of the studio's other films a bit more ([[supremely]] TOTORO). But that DOESN'T [[average]] you shouldn't rush out now and see it--do it and [[achieve]] yourself a favor.",1
"This movie is an awesome remake of the original by the same [[title]]. The [[movie]] was [[cool]],[[despite]] the [[fact]], I hate [[new]] [[ones]]! All of the [[cast]] was [[awesome]] . It [[has]] [[great]] [[cast]] and an [[awesome]] [[plot]]!! The main [[plot]] is a [[man]] is poisoned and he [[has]] to [[solve]] his [[own]] [[murder]] , [[neat]] [[eh]]?![[Dennis]] Quaid is the [[man]] who is ""D.[[O]].[[A]]""(in other words [[Dead]] [[On]] [[Arrival]]).[[He]] [[finds]] [[help]] with his [[friends]], but everyone is now a [[suspect]]!!Dennis's [[character]] [[has]] [[several]] [[hours]] to [[find]] out who poisoned him. [[The]] movie is [[quite]] fast and [[full]] of [[action]]. You can [[see]] two other big stars in Meg Ryan(City Of Angels,Courage Under [[Fire]]) and [[Daniel]] [[Stern]](Home [[Alone]], Very Bad Things,Bushwhacked) in [[supporting]] [[roles]] in this awesome ,cool remake of a [[classic]] [[movie]]!!","This movie is an awesome remake of the original by the same [[entitled]]. The [[filmmaking]] was [[chill]],[[although]] the [[does]], I hate [[recent]] [[individuals]]! All of the [[casting]] was [[funky]] . It [[maintains]] [[big]] [[audition]] and an [[striking]] [[parcels]]!! The main [[parcels]] is a [[boyfriend]] is poisoned and he [[possessed]] to [[overcome]] his [[unique]] [[deaths]] , [[splendid]] [[right]]?![[Denny]] Quaid is the [[boy]] who is ""D.[[f]].[[une]]""(in other words [[Mort]] [[About]] [[Newcomers]]).[[It]] [[detected]] [[substantiate]] with his [[friend]], but everyone is now a [[alleged]]!!Dennis's [[characters]] [[maintains]] [[innumerable]] [[dated]] to [[found]] out who poisoned him. [[Both]] movie is [[awfully]] fast and [[utterly]] of [[work]]. You can [[seeing]] two other big stars in Meg Ryan(City Of Angels,Courage Under [[Burnt]]) and [[Daniele]] [[Lineman]](Home [[Lone]], Very Bad Things,Bushwhacked) in [[helping]] [[duties]] in this awesome ,cool remake of a [[atypical]] [[photographed]]!!",1
"[[This]] [[movie]] is one of the only [[historical]] [[documents]] [[displaying]] the [[talents]] of [[so]] [[many]] [[black]] [[singers]], [[actors]], [[actresses]], and [[dancers]]. [[Many]] who are no [[longer]] with [[us]]. Those which we are [[blessed]] to [[be]] [[able]] to [[enjoy]] [[today]] in 1999, through this [[film]] [[lets]] [[us]] [[recognize]] the [[talents]] that [[existed]] then. [[This]] is why those [[individuals]] [[still]] [[living]] today as [[well]] those who are [[deceased]] are [[super]] [[star]] icons. [[Due]] to the [[educational]] [[history]] in [[music]], [[drama]], [[filming]], [[design]], [[singing]], etc., this [[movie]] alone [[belongs]] to the [[people]] of this [[country]].<[[br]] /><[[br]] />I [[viewed]] this [[movie]] [[recently]]. The [[sound]] was excellent! The [[movie]] [[appeared]] to [[be]] [[complete]], [[color]] and [[clarity]] was fare, but [[good]] [[considering]] how [[old]] this [[movie]] is without any [[repairs]] on [[frames]]. I [[agree]] with all prior [[positive]] [[reviews]]. I [[do]] not [[have]] any [[negative]] views.<[[br]] /><br />I only would [[like]] to [[make]] one [[request]]. [[Please]] to whom it my [[concern]], please [[make]] this [[movie]] available [[so]] all can [[have]] this historical experience.","[[These]] [[filming]] is one of the only [[historic]] [[docket]] [[exposure]] the [[staffing]] of [[subsequently]] [[incalculable]] [[noir]] [[crooner]], [[staffers]], [[actor]], and [[acrobats]]. [[Incalculable]] who are no [[additionally]] with [[our]]. Those which we are [[consecrated]] to [[represent]] [[proficient]] to [[like]] [[dated]] in 1999, through this [[cinematographer]] [[permitting]] [[ourselves]] [[admitted]] the [[gifted]] that [[dominates]] then. [[These]] is why those [[personnel]] [[subsequently]] [[vivid]] today as [[perfectly]] those who are [[fatalities]] are [[splendid]] [[sing]] icons. [[Duly]] to the [[upbringing]] [[historical]] in [[saxophone]], [[tragic]], [[pictured]], [[developing]], [[vocals]], etc., this [[movies]] alone [[pertains]] to the [[pueblo]] of this [[territory]].<[[brit]] /><[[brit]] />I [[judged]] this [[filming]] [[formerly]]. The [[wise]] was excellent! The [[photographed]] [[arisen]] to [[represent]] [[finite]], [[tinted]] and [[clarified]] was fare, but [[alright]] [[revisited]] how [[dilapidated]] this [[theaters]] is without any [[repaired]] on [[cadre]]. I [[alright]] with all prior [[helpful]] [[scrutinize]]. I [[could]] not [[am]] any [[counterproductive]] views.<[[ab]] /><br />I only would [[analogous]] to [[pose]] one [[requisitioning]]. [[Requesting]] to whom it my [[trouble]], please [[lend]] this [[scene]] available [[tad]] all can [[am]] this historical experience.",1
"I have seen many - possibly too many straight-to-video, no budget slasher films and [[have]] [[developed]] a [[taste]] for the ""[[good]] ones"", or the ones that are less sucky, as [[ridiculous]] as that [[sounds]], hahaha. [[DR]]. [[CHOPPER]], is what I [[kindly]] like to [[refer]] to as... [[absolute]] [[crap]]. [[Nothing]] about it is [[enjoyable]] - the acting [[sucks]], the [[characters]] [[suck]], the [[killer]] [[sucks]], the gore is [[minimal]]... and sucks. It is about a group of [[college]] [[friends]] who [[drive]] out to a [[newly]] [[discovered]] family [[cabin]], [[owned]] by the [[parents]] of one of the [[kids]]. [[It]] is [[meant]] to [[be]] a [[relaxing]] [[retreat]], but [[little]] [[do]] they [[know]] that a deathly [[ill]] former [[plastic]] surgeon-gone [[bad]], along with his [[two]] [[female]] [[assistants]], [[search]] for usable [[tissue]] to [[save]] the [[doctor]]. [[His]] [[name]] is [[Dr]]. [[Chopper]] [[since]] he [[rides]] around on a [[motorcycle]] and of [[course]], chops. This is just a terrible [[movie]], not worthy of anyone's [[time]]. [[Enough]] said.","I have seen many - possibly too many straight-to-video, no budget slasher films and [[ai]] [[created]] a [[deliciousness]] for the ""[[dignified]] ones"", or the ones that are less sucky, as [[irrational]] as that [[seems]], hahaha. [[PRACTITIONER]]. [[HELICOPTER]], is what I [[pray]] like to [[mentioning]] to as... [[extreme]] [[shitty]]. [[Nope]] about it is [[satisfactory]] - the acting [[blows]], the [[digits]] [[sucks]], the [[assassin]] [[blows]], the gore is [[marginal]]... and sucks. It is about a group of [[campus]] [[buddy]] who [[unit]] out to a [[recently]] [[proven]] family [[cab]], [[possess]] by the [[parent]] of one of the [[kid]]. [[He]] is [[targets]] to [[exists]] a [[ease]] [[retracted]], but [[minimum]] [[could]] they [[acquaintance]] that a deathly [[hurt]] former [[plastics]] surgeon-gone [[unpleasant]], along with his [[three]] [[maiden]] [[wizards]], [[pursuit]] for usable [[hanky]] to [[redding]] the [[acupuncturist]]. [[He]] [[designation]] is [[Practitioner]]. [[Airlift]] [[afterward]] he [[walks]] around on a [[cycling]] and of [[routing]], chops. This is just a terrible [[cinematographer]], not worthy of anyone's [[tiempo]]. [[Wholly]] said.",0
"The story starts out with a soldier being transported to a desert town then goes back in time to tell the tale of how he came to this place. He started out as an officer in Napoleon's army fighting in Egypt but became separated from his unit. After nearly starving and/or dying of thirst he came upon a leopard which somehow became his bosom buddy. It brought him food and before long the soldier became almost totally wild so acute was his bonding with the animal. All things do end however and the man decided it was necessary for him to leave the critter. A very strange film, [[well]] written and portrayed. Beautiful scenery from Jordan and Utah which didn't always blend perfectly, but who [[cares]].","The story starts out with a soldier being transported to a desert town then goes back in time to tell the tale of how he came to this place. He started out as an officer in Napoleon's army fighting in Egypt but became separated from his unit. After nearly starving and/or dying of thirst he came upon a leopard which somehow became his bosom buddy. It brought him food and before long the soldier became almost totally wild so acute was his bonding with the animal. All things do end however and the man decided it was necessary for him to leave the critter. A very strange film, [[even]] written and portrayed. Beautiful scenery from Jordan and Utah which didn't always blend perfectly, but who [[wut]].",1
"[[I]] [[believe]] that this was [[supposed]] to [[be]] [[shocking]] or something.... All that I can [[say]] is....[[POOR]] [[GOAT]]!!! This [[flick]] is [[so]] [[poorly]] done that the [[parts]] that ""should"" [[shock]] and [[revolt]] you [[come]] across as [[laughable]] at [[best]]. [[The]] [[characters]] are [[so]] [[lame]] and 2....[[wait]]....1 [[dimensional]], that [[I]] [[applauded]] [[each]] sick [[death]].....all except that [[POOR]] [[GOAT]].<br /><br />","[[me]] [[imagine]] that this was [[shouldered]] to [[was]] [[astonishing]] or something.... All that I can [[pointed]] is....[[WEAKER]] [[GOATS]]!!! This [[film]] is [[still]] [[badly]] done that the [[sides]] that ""should"" [[amazement]] and [[upheaval]] you [[entered]] across as [[incongruous]] at [[exemplary]]. [[Both]] [[character]] are [[again]] [[unfortunate]] and 2....[[trusts]]....1 [[dimensions]], that [[me]] [[applaud]] [[both]] sick [[perished]].....all except that [[WEAKER]] [[SHEEP]].<br /><br />",0
"Not since ""8 Heads in a Duffel Bag"" and the ""How High"" previews<br /><br />have I laughed so little at something that the film makers thought<br /><br />would be hysterical.<br /><br />Jerry Lewis is the richest man in the world. He is rejected as 4-F<br /><br />by the army, and decides to use his money to raise his own army-<br /><br />of about half a dozen. He then impersonates a Nazi commander in<br /><br />Italy, and eventually [[tries]] to kill Hitler. That is the description of the<br /><br />[[flimsy]] [[plot]].<br /><br />This film is as funny as a heart [[attack]]. This film makes ""Hogan's<br /><br />Heroes"" look like Shakespeare. If the money men of ""The<br /><br />Producers"" had really wanted to lose their cash, they should have<br /><br />shown this film. I cannot stress how bad this thing is.<br /><br />Lewis' direction consists of two different cameras shooting the<br /><br />action from two different angles, then being edited together. This<br /><br />sitcom type of direction works on television, but here it is an<br /><br />obvious attempt to cheat the audience. He ends most of his<br /><br />scenes with a still shot, as if giving the viewer a chance to double<br /><br />over in stitches before going to the next tired set up. I spent most of<br /><br />the movie doubled over in abdominal agony, accompanied with<br /><br />severe flatulence, over this thing.<br /><br />Lewis, the director and producer, sets the film in 1943, but makes<br /><br />no attempt to use period costumes or sets. Everyone wears the<br /><br />latest style and has the latest interior design...for 1970. The<br /><br />supporting cast is lost as Lewis goes off on his patented tangents,<br /><br />which last as long as major surgery and are just as painful to<br /><br />watch. When Lewis becomes the Nazi commander, he spends the<br /><br />last half of the film screaming at the top of his lungs in a<br /><br />performance so odious as to stink up any good will you try to bring<br /><br />in at the beginning.<br /><br />The final embarassing shot has Lewis and his cronies trying to<br /><br />put one over on the Japanese. They wear buck teeth, squint their<br /><br />eyes, and talk in a ""funny"" accent. It may be one of the most<br /><br />blatantly racist occurrences since the internment camps. I was<br /><br />slack jawed at what Lewis did through this whole thing, but that put<br /><br />me over the edge. Watch for Kaye Ballard's very tasteless scene<br /><br />where she tries to attempt suicide over and over again.<br /><br />""Star Trek""'s George Takei has two small scenes, then wisely<br /><br />drops out of the picture. This has less laughs than Mel Brooks' last<br /><br />three films combined. There is nothing sadder than watching a<br /><br />formerly respected comedian screw up a project so horribly, you<br /><br />actually feel ashamed for them. Jim Carrey learned that with ""The<br /><br />Majestic,"" but Jerry Lewis still shows up on television once in a<br /><br />while pulling the same unfunny schtick. I feel sorry for him.<br /><br />""Which Way to the Front?"" is cheap, unfunny, offensive, and stupid.<br /><br />I feel bad for everyone involved, and anyone who must endure this.<br /><br />I do not recommend it.<br /><br />Though rated (G), this contains some physical violence, some gun<br /><br />violence, and some adult situations. If your child shows interest in<br /><br />seeing this, please consult professional help.<br /><br />","Not since ""8 Heads in a Duffel Bag"" and the ""How High"" previews<br /><br />have I laughed so little at something that the film makers thought<br /><br />would be hysterical.<br /><br />Jerry Lewis is the richest man in the world. He is rejected as 4-F<br /><br />by the army, and decides to use his money to raise his own army-<br /><br />of about half a dozen. He then impersonates a Nazi commander in<br /><br />Italy, and eventually [[endeavour]] to kill Hitler. That is the description of the<br /><br />[[vulnerability]] [[intrigue]].<br /><br />This film is as funny as a heart [[explosion]]. This film makes ""Hogan's<br /><br />Heroes"" look like Shakespeare. If the money men of ""The<br /><br />Producers"" had really wanted to lose their cash, they should have<br /><br />shown this film. I cannot stress how bad this thing is.<br /><br />Lewis' direction consists of two different cameras shooting the<br /><br />action from two different angles, then being edited together. This<br /><br />sitcom type of direction works on television, but here it is an<br /><br />obvious attempt to cheat the audience. He ends most of his<br /><br />scenes with a still shot, as if giving the viewer a chance to double<br /><br />over in stitches before going to the next tired set up. I spent most of<br /><br />the movie doubled over in abdominal agony, accompanied with<br /><br />severe flatulence, over this thing.<br /><br />Lewis, the director and producer, sets the film in 1943, but makes<br /><br />no attempt to use period costumes or sets. Everyone wears the<br /><br />latest style and has the latest interior design...for 1970. The<br /><br />supporting cast is lost as Lewis goes off on his patented tangents,<br /><br />which last as long as major surgery and are just as painful to<br /><br />watch. When Lewis becomes the Nazi commander, he spends the<br /><br />last half of the film screaming at the top of his lungs in a<br /><br />performance so odious as to stink up any good will you try to bring<br /><br />in at the beginning.<br /><br />The final embarassing shot has Lewis and his cronies trying to<br /><br />put one over on the Japanese. They wear buck teeth, squint their<br /><br />eyes, and talk in a ""funny"" accent. It may be one of the most<br /><br />blatantly racist occurrences since the internment camps. I was<br /><br />slack jawed at what Lewis did through this whole thing, but that put<br /><br />me over the edge. Watch for Kaye Ballard's very tasteless scene<br /><br />where she tries to attempt suicide over and over again.<br /><br />""Star Trek""'s George Takei has two small scenes, then wisely<br /><br />drops out of the picture. This has less laughs than Mel Brooks' last<br /><br />three films combined. There is nothing sadder than watching a<br /><br />formerly respected comedian screw up a project so horribly, you<br /><br />actually feel ashamed for them. Jim Carrey learned that with ""The<br /><br />Majestic,"" but Jerry Lewis still shows up on television once in a<br /><br />while pulling the same unfunny schtick. I feel sorry for him.<br /><br />""Which Way to the Front?"" is cheap, unfunny, offensive, and stupid.<br /><br />I feel bad for everyone involved, and anyone who must endure this.<br /><br />I do not recommend it.<br /><br />Though rated (G), this contains some physical violence, some gun<br /><br />violence, and some adult situations. If your child shows interest in<br /><br />seeing this, please consult professional help.<br /><br />",0
