original_text,perturbed_text,label
"One of the greatest [[lessons]] I ever had in how to [[watch]] a [[movie]] [[happened]] this way: <br /><br />I was working in Roger Corman's offices, like so many other wanabees before and since, I was interning and trying to figure out how it all worked and how to make myself [[indispensable]] ([[hah]]!). One afternoon Julie Corman, Roger Corman's [[wife]] and a [[producer]] in her own [[right]], asked me to [[load]] up a [[tape]]. I'm not [[sure]] why she [[wanted]] to [[watch]] it. I [[got]] the [[impression]] it was a [[student]] [[film]] or a [[show]] [[reel]], something [[like]] that, some [[sort]] of [[calling]] [[card]]. Whatever the reasons she [[had]] to [[see]] it, the only free [[video]] machine in the offices at the time happened to be in the [[room]] I was working in, and I was the nearest person to the machine. I started the tape.<br /><br />[[Fade]] in: On screen a figure sat at a desk facing the camera. Behind him, screen [[left]], was a [[door]] that [[opened]] into the [[room]]. [[Against]] the [[far]] wall was a coat rack. A second [[character]] entered through the door and started talking. The first character, the guy at the desk, turned round to reply, (this is all one take, static camera, there are no cuts [[pans]] or dolly shots. Just one [[locked]] off camera). The second [[character]] [[turned]] to hang his [[coat]] on the [[coat]] [[rack]] and delivered his next line. [[Julie]] Corman [[said]] ""I've seen enough."" and left the room.<br /><br />What she had seen in the ten seconds of footage she had watched was that the [[director]] was an idiot. Opening with two characters who immediately turned their backs to the camera delivering lines? Nope, sorry. Next! That's how long you've got. Ten seconds. Cock it up in the opening shot and you are dead.<br /><br />I was reminded of that moment while I watched the opening of this piece of crap. After an interminably long [[travelogue]] of jungle we see several monkeys apparently throwing themselves into cages. A man carrying a gun laughs. A jet liner lands and we see it taxi the whole way to the terminal. God this is [[boring]]! [[Cut]] to the interior of the Airport. Two men meet. [[Aha]]! Something is happening! They shake hands. [[Cut]] to a different angle of the two men -<br /><br />- and the director crosses the line.<br /><br />The first two [[shots]] of the movie that have any kind of spatial relationship with each other and the guy has cocked up. 'Not Crossing The line' is one of those basic rules of movie grammar that keeps the characters from jumping about from side to side on the screen and confusing the audience. Audiences don't like to be confused. Mystified? [[Baffled]]? Puzzled and intrigued? Yes. Audiences love all of those. Confused? No. You loose them. They walk out. 'Not Crossing The line' is one of those things they pound into you at film school, or should. It's basic stuff. It's not an inviolable rule (there are no inviolable rules) directors break it all the time - but not on the first real cut of the movie.<br /><br />I thought, ""I've seen enough"". And switched off.","One of the greatest [[instructional]] I ever had in how to [[observes]] a [[filmmaking]] [[emerged]] this way: <br /><br />I was working in Roger Corman's offices, like so many other wanabees before and since, I was interning and trying to figure out how it all worked and how to make myself [[imperative]] ([[kiddin]]!). One afternoon Julie Corman, Roger Corman's [[wedding]] and a [[creators]] in her own [[law]], asked me to [[borne]] up a [[inscription]]. I'm not [[hopeful]] why she [[seeking]] to [[observing]] it. I [[learn]] the [[footprint]] it was a [[trainee]] [[imaging]] or a [[exhibit]] [[spire]], something [[amore]] that, some [[kinds]] of [[requested]] [[maps]]. Whatever the reasons she [[enjoys]] to [[listen]] it, the only free [[filmed]] machine in the offices at the time happened to be in the [[rooms]] I was working in, and I was the nearest person to the machine. I started the tape.<br /><br />[[Blown]] in: On screen a figure sat at a desk facing the camera. Behind him, screen [[going]], was a [[porte]] that [[opening]] into the [[spaces]]. [[Counter]] the [[hugely]] wall was a coat rack. A second [[letters]] entered through the door and started talking. The first character, the guy at the desk, turned round to reply, (this is all one take, static camera, there are no cuts [[potholes]] or dolly shots. Just one [[sealing]] off camera). The second [[digits]] [[translated]] to hang his [[tier]] on the [[cloak]] [[tray]] and delivered his next line. [[Katharine]] Corman [[highlighted]] ""I've seen enough."" and left the room.<br /><br />What she had seen in the ten seconds of footage she had watched was that the [[managerial]] was an idiot. Opening with two characters who immediately turned their backs to the camera delivering lines? Nope, sorry. Next! That's how long you've got. Ten seconds. Cock it up in the opening shot and you are dead.<br /><br />I was reminded of that moment while I watched the opening of this piece of crap. After an interminably long [[reportage]] of jungle we see several monkeys apparently throwing themselves into cages. A man carrying a gun laughs. A jet liner lands and we see it taxi the whole way to the terminal. God this is [[irritate]]! [[Clipping]] to the interior of the Airport. Two men meet. [[Aahhh]]! Something is happening! They shake hands. [[Severing]] to a different angle of the two men -<br /><br />- and the director crosses the line.<br /><br />The first two [[blows]] of the movie that have any kind of spatial relationship with each other and the guy has cocked up. 'Not Crossing The line' is one of those basic rules of movie grammar that keeps the characters from jumping about from side to side on the screen and confusing the audience. Audiences don't like to be confused. Mystified? [[Aghast]]? Puzzled and intrigued? Yes. Audiences love all of those. Confused? No. You loose them. They walk out. 'Not Crossing The line' is one of those things they pound into you at film school, or should. It's basic stuff. It's not an inviolable rule (there are no inviolable rules) directors break it all the time - but not on the first real cut of the movie.<br /><br />I thought, ""I've seen enough"". And switched off.",0
"In this era when almost everything makes it on to DVD (I'm expecting to see the My Mother the Car collection any day now) this film has been [[unfairly]] neglected. There are innumerable stupid comedies from the 60's as well as many other eras that have received at least a cursory DVD treatment. This one wasn't even released on VHS to my knowledge, despite the talents involved in the making (Arthur Hiller, Eli Wallach, Anne Jackson, Murray Shisgal (notable later for co-writing Tootsie), even Dustin Hoffman in his debut). It's obviously a product of the sixties but so is just about everything else from that era. All films reflect the tastes and customs of the times in which they are made. This was released the same year as The President's Analyst, another absurd masterpiece. That film was finally released on DVD and has developed a cult following. This film has many [[memorable]] bizarre, goofy, [[wacky]] moments. Sure, it's painted in broad strokes and has silly go-go music throughout but that's part of its [[charm]]. It creates its own absurd universe. If whoever is in charge of DVD production for Columbia Pictures releases (I believe Columbia released it) takes polls for new releases this gets my vote.","In this era when almost everything makes it on to DVD (I'm expecting to see the My Mother the Car collection any day now) this film has been [[unduly]] neglected. There are innumerable stupid comedies from the 60's as well as many other eras that have received at least a cursory DVD treatment. This one wasn't even released on VHS to my knowledge, despite the talents involved in the making (Arthur Hiller, Eli Wallach, Anne Jackson, Murray Shisgal (notable later for co-writing Tootsie), even Dustin Hoffman in his debut). It's obviously a product of the sixties but so is just about everything else from that era. All films reflect the tastes and customs of the times in which they are made. This was released the same year as The President's Analyst, another absurd masterpiece. That film was finally released on DVD and has developed a cult following. This film has many [[stupendous]] bizarre, goofy, [[ludicrous]] moments. Sure, it's painted in broad strokes and has silly go-go music throughout but that's part of its [[sexiness]]. It creates its own absurd universe. If whoever is in charge of DVD production for Columbia Pictures releases (I believe Columbia released it) takes polls for new releases this gets my vote.",1
"This movie is an awesome remake of the original by the same title. The movie was cool,despite the fact, I hate new ones! All of the cast was awesome . It [[has]] great cast and an awesome plot!! The main plot is a man is poisoned and he has to solve his own murder , neat eh?!Dennis Quaid is the man who is ""D.O.A""(in other words Dead On Arrival).He finds help with his friends, but everyone is now a suspect!!Dennis's character has several hours to find out who poisoned him. The movie is quite fast and full of action. You can see two other big stars in Meg Ryan(City Of Angels,Courage Under Fire) and Daniel Stern(Home Alone, Very Bad [[Things]],Bushwhacked) in supporting roles in this awesome ,cool remake of a classic movie!!","This movie is an awesome remake of the original by the same title. The movie was cool,despite the fact, I hate new ones! All of the cast was awesome . It [[haya]] great cast and an awesome plot!! The main plot is a man is poisoned and he has to solve his own murder , neat eh?!Dennis Quaid is the man who is ""D.O.A""(in other words Dead On Arrival).He finds help with his friends, but everyone is now a suspect!!Dennis's character has several hours to find out who poisoned him. The movie is quite fast and full of action. You can see two other big stars in Meg Ryan(City Of Angels,Courage Under Fire) and Daniel Stern(Home Alone, Very Bad [[Parts]],Bushwhacked) in supporting roles in this awesome ,cool remake of a classic movie!!",1
"Irwin Allen put all his talents behind this one: he's co-screenwriter, producer and director of this cartoonish ""epic"" about an atomic [[submarine]] and its efforts to reduce a ring of radiation circling the Earth. Potentially [[exciting]] story [[fails]] to [[take]] off, despite an eclectic cast. Varied players from Walter Pigeon and Joan Fontaine to Frankie Avalon and Barbara Eden are [[interestingly]] intermingled and provide a [[dash]] of color, but this [[soggy]] sci-fi is pretty [[cheesy]]. [[Good]] for a few stray laughs, but Allen didn't seem to know the difference between strong, solid adventure and campy nonsense. Later a popular TV series. ** from ****","Irwin Allen put all his talents behind this one: he's co-screenwriter, producer and director of this cartoonish ""epic"" about an atomic [[submarines]] and its efforts to reduce a ring of radiation circling the Earth. Potentially [[beguiling]] story [[aground]] to [[xiong]] off, despite an eclectic cast. Varied players from Walter Pigeon and Joan Fontaine to Frankie Avalon and Barbara Eden are [[eerily]] intermingled and provide a [[script]] of color, but this [[damp]] sci-fi is pretty [[cutesy]]. [[Better]] for a few stray laughs, but Allen didn't seem to know the difference between strong, solid adventure and campy nonsense. Later a popular TV series. ** from ****",0
"[[I]] [[have]] a [[strong]] [[feeling]] that what you [[think]] of this film will [[strongly]] [[depend]] on your [[frame]] of reference. If you've never [[seen]] a Miyazaki film before, then it will probably confuse the [[heck]] out of you. [[If]] you [[have]] [[seen]] a Miyazaki [[film]] before, then it [[will]] [[still]] [[probably]] confuse the heck out of you....but you won't [[really]] [[care]]! That's [[because]] [[I]] [[found]] that the first time I [[saw]] one of his [[animated]] [[films]], [[I]] [[tried]] too [[hard]] to [[figure]] out what was happening and why--and it [[impacted]] my [[enjoyment]] of the [[film]]. Now that I have seen just about every Miyazaki [[film]], I [[see]] the bizarreness and just [[take]] it all in--enjoying the beauty of it all. [[In]] many ways, these [[films]] (at least to Western [[audiences]]) is like drugs--lots of [[strange]] and [[beautiful]] [[images]] that don't [[always]] [[initially]] [[make]] [[sense]] but sure [[feel]] [[great]] to [[see]]!! [[Of]] all the Miyazaki [[films]], this [[might]] [[have]] the most [[unusual]] and [[incomprehensible]] story line--even more [[so]] than [[SPIRITED]] [[AWAY]] and PRINCESS MONONOKE or MY [[NEIGHBOR]] [[TOTORO]]. But, like these and [[many]] other Studio Gibli films, if you just sit back and [[watch]] you are rewarded with a [[fabulous]] [[tale]]. But, [[because]] it is [[so]] [[hard]] to [[describe]] (and others [[have]] already [[done]] [[so]]), I won't even [[go]] there.<br /><br />As for the [[artwork]], it's [[very]] typical of one of these Japanese [[films]], [[though]] there was one noticeable [[change]]. There was a [[very]] [[extensive]] [[use]] of what [[looked]] like [[colored]] [[pencils]] for the backgrounds. This was [[NOT]] a bad thing at all--the [[lovely]] pastel-like [[look]] was [[very]] [[pleasing]] and [[unique]]. [[In]] some [[ways]] it [[looked]] like a [[tiny]] [[bit]] of Bill Plympton's art style was [[infused]] into a [[typical]] Miyazaki [[film]]. [[With]] a [[high]] frame-rate, [[exceptional]] [[character]] animation (which imbued them with [[tons]] of personality) and a [[great]] ""wow-factor"", this is an [[exceptional]] film for all ages. Though [[clearly]] [[designed]] more for younger audiences (the TOTORO [[fans]] [[especially]]), it is a bit scary here and there (during the storm segments) but there is plenty of [[great]] [[stuff]] for [[adults]]. As an adult (at least chronologically so), [[I]] loved the cute [[stuff]] and applaud the other-worldliness of the [[film]].<br /><br />[[A]] [[great]] film--among Miyazaki's best. I don't give it a 10 because I am hesitant to ever do that--plus I did like a few of the studio's other films a bit more (particularly TOTORO). But that DOESN'T mean you shouldn't rush out now and see it--do it and do yourself a favor.","[[me]] [[receive]] a [[severe]] [[emotions]] that what you [[view]] of this film will [[flatly]] [[counting]] on your [[context]] of reference. If you've never [[witnessed]] a Miyazaki film before, then it will probably confuse the [[hell]] out of you. [[Since]] you [[am]] [[consulted]] a Miyazaki [[movie]] before, then it [[hope]] [[too]] [[supposedly]] confuse the heck out of you....but you won't [[sincerely]] [[attention]]! That's [[as]] [[me]] [[encountered]] that the first time I [[witnessed]] one of his [[paced]] [[filmmaking]], [[me]] [[attempted]] too [[challenge]] to [[figures]] out what was happening and why--and it [[stricken]] my [[enjoy]] of the [[filmmaking]]. Now that I have seen just about every Miyazaki [[filmmaking]], I [[consult]] the bizarreness and just [[bring]] it all in--enjoying the beauty of it all. [[By]] many ways, these [[film]] (at least to Western [[populace]]) is like drugs--lots of [[surprising]] and [[nice]] [[depiction]] that don't [[historically]] [[first]] [[obtain]] [[feel]] but sure [[seeing]] [[large]] to [[expect]]!! [[For]] all the Miyazaki [[filmmakers]], this [[may]] [[received]] the most [[unique]] and [[conceivable]] story line--even more [[appropriately]] than [[BRAVE]] [[OUTDOOR]] and PRINCESS MONONOKE or MY [[ADJACENT]] [[MIYAZAKI]]. But, like these and [[miscellaneous]] other Studio Gibli films, if you just sit back and [[supervision]] you are rewarded with a [[great]] [[annals]]. But, [[for]] it is [[appropriately]] [[painful]] to [[portray]] (and others [[had]] already [[proceeded]] [[where]]), I won't even [[proceed]] there.<br /><br />As for the [[art]], it's [[exceptionally]] typical of one of these Japanese [[picture]], [[albeit]] there was one noticeable [[altering]]. There was a [[dramatically]] [[large]] [[accustomed]] of what [[felt]] like [[dyed]] [[erasers]] for the backgrounds. This was [[SANS]] a bad thing at all--the [[cute]] pastel-like [[eyes]] was [[immensely]] [[adorable]] and [[particular]]. [[About]] some [[manner]] it [[hoped]] like a [[little]] [[bitten]] of Bill Plympton's art style was [[injected]] into a [[attribute]] Miyazaki [[picture]]. [[From]] a [[tallest]] frame-rate, [[extreme]] [[font]] animation (which imbued them with [[tonnes]] of personality) and a [[mega]] ""wow-factor"", this is an [[extreme]] film for all ages. Though [[plainly]] [[intentioned]] more for younger audiences (the TOTORO [[partisans]] [[extremely]]), it is a bit scary here and there (during the storm segments) but there is plenty of [[sizable]] [[kinda]] for [[mature]]. As an adult (at least chronologically so), [[me]] loved the cute [[things]] and applaud the other-worldliness of the [[imaging]].<br /><br />[[another]] [[overwhelming]] film--among Miyazaki's best. I don't give it a 10 because I am hesitant to ever do that--plus I did like a few of the studio's other films a bit more (particularly TOTORO). But that DOESN'T mean you shouldn't rush out now and see it--do it and do yourself a favor.",1
"It just so happens that IVAN THE TERRIBLE, PARTS I and II both had entries in the 50 Worst Movies book by Harry Medved. Now, I do think that declaring they are among the worst movies ever is an [[overstatement]], though they are still both pretty poor films--particularly the first one, as it featured more eye rolling and ""googly eyed looks"" than I have ever seen before!! Director Eisenstein and an awful lot of other people out there thought this made the film ""artsy and profound""--and since I am legally sane, I must say that I hated this first film!! The second, while still very incomplete-looking, is a vast improvement, as eye rolling is minimal, though overacting and long boring scenes are present in this film just like in part 1! While part 2 looks pretty incomplete and needed at least another hour (especially since it never gets to Ivan's insane behavior later in life--like killing his son and heir while in a fit of anger). Since both parts 1 and 2 were commissioned by Stalin to both excuse his own murderous reign and [[glorify]] him, it's no surprise that Ivan's life story is left very incomplete. Even without all the truly awful behaviors of Ivan, apparently the supremely evil Stalin STILL didn't like the film and wouldn't allow its release during his lifetime. Maybe he didn't allow this because he was more worried people would see what a HUGE waste of money and resources the film was instead of seeing Stalin as a crazy guy just like Ivan! <br /><br />By the way, there was one [[segment]] of this [[tedious]] film that was just so cool that the film merits a 4 (without it, a 2)--and that's the scene with Prince Vladimir at the banquet! It is well-done and pretty funny in a dark way. And, the scene was done in a Russian version of 2-color Technicolor. This is VERY odd, by the way, because by the mid-1930s, a vastly improved true color process was developed by Technicolor that no longer made everything look all orangy-red and greenish-blue. So, this film during the color sequences looks a lot like a silent or early sound color film. Very odd indeed for the 1940s.","It just so happens that IVAN THE TERRIBLE, PARTS I and II both had entries in the 50 Worst Movies book by Harry Medved. Now, I do think that declaring they are among the worst movies ever is an [[belittle]], though they are still both pretty poor films--particularly the first one, as it featured more eye rolling and ""googly eyed looks"" than I have ever seen before!! Director Eisenstein and an awful lot of other people out there thought this made the film ""artsy and profound""--and since I am legally sane, I must say that I hated this first film!! The second, while still very incomplete-looking, is a vast improvement, as eye rolling is minimal, though overacting and long boring scenes are present in this film just like in part 1! While part 2 looks pretty incomplete and needed at least another hour (especially since it never gets to Ivan's insane behavior later in life--like killing his son and heir while in a fit of anger). Since both parts 1 and 2 were commissioned by Stalin to both excuse his own murderous reign and [[denigrate]] him, it's no surprise that Ivan's life story is left very incomplete. Even without all the truly awful behaviors of Ivan, apparently the supremely evil Stalin STILL didn't like the film and wouldn't allow its release during his lifetime. Maybe he didn't allow this because he was more worried people would see what a HUGE waste of money and resources the film was instead of seeing Stalin as a crazy guy just like Ivan! <br /><br />By the way, there was one [[part]] of this [[herculean]] film that was just so cool that the film merits a 4 (without it, a 2)--and that's the scene with Prince Vladimir at the banquet! It is well-done and pretty funny in a dark way. And, the scene was done in a Russian version of 2-color Technicolor. This is VERY odd, by the way, because by the mid-1930s, a vastly improved true color process was developed by Technicolor that no longer made everything look all orangy-red and greenish-blue. So, this film during the color sequences looks a lot like a silent or early sound color film. Very odd indeed for the 1940s.",0
"I'm rather [[surprised]] that [[anybody]] found this film touching or moving.<br /><br />The basic premise of the film sounded to me like an excellent, if provocative, idea for a movie about a rare sort of relationship, but one (if I can judge by the real-life examples I've known) is extremely deep and loving.<br /><br />However, the film is [[cheaply]] scripted--poorly scripted--and although it has a number of very pretty-looking shots, I didn't find it to be anything special.<br /><br />Probably the biggest problem is that it is far too short and poorly-composed to give its audience time enough to [[invest]], emotionally, in the characters: we don't really care about any of them, and so their stresses and obstacles don't really touch us.<br /><br />I think a REMAKE--from the screenplay up--with some character development by some really good writers--could improve it greatly. It is instructive to compare this film with Brokeback Mountain, which the screen-writers took to far loftier [[levels]] than did the author of the screenplay--screen-writers who were clearly conscious of how to write a classical tragedy, and carried out their task with care, planning, and superb [[craftsmanship]]! However, people only seem to remake those films that don't need it! You're not really missing anything if you skip this one: I found it very [[disappointing]] indeed, and it is only saved from getting a 1-star from me by virtue of the daring and gumption it took to make a film on this sensitive subject.","I'm rather [[rocked]] that [[someone]] found this film touching or moving.<br /><br />The basic premise of the film sounded to me like an excellent, if provocative, idea for a movie about a rare sort of relationship, but one (if I can judge by the real-life examples I've known) is extremely deep and loving.<br /><br />However, the film is [[cheaper]] scripted--poorly scripted--and although it has a number of very pretty-looking shots, I didn't find it to be anything special.<br /><br />Probably the biggest problem is that it is far too short and poorly-composed to give its audience time enough to [[vested]], emotionally, in the characters: we don't really care about any of them, and so their stresses and obstacles don't really touch us.<br /><br />I think a REMAKE--from the screenplay up--with some character development by some really good writers--could improve it greatly. It is instructive to compare this film with Brokeback Mountain, which the screen-writers took to far loftier [[ranked]] than did the author of the screenplay--screen-writers who were clearly conscious of how to write a classical tragedy, and carried out their task with care, planning, and superb [[trades]]! However, people only seem to remake those films that don't need it! You're not really missing anything if you skip this one: I found it very [[sorrowful]] indeed, and it is only saved from getting a 1-star from me by virtue of the daring and gumption it took to make a film on this sensitive subject.",0
"Last week on Friday, I went to [[see]] ""[[Snakes]] on a [[Plane]]"" with my friends. It was amazing compared to this [[horrible]] film (however, many of the scenes were [[ridiculously]] [[hilarious]]). Basically, some woman has a Mayan curse where she [[pukes]] up harmless harmless [[garter]] snakes that, instead of attacking, crawl inside of they're victims. The girl with the bag of [[coke]] is pretty hot. On the title screen it says ""100 Passengers... 3,000 Venemous Vipers!"" Scary, I [[know]]. There weren't even 100 passengers on the train. Only a couple of [[stoners]] and some other washed out losers. It's worth the five [[bucks]] to [[see]] the [[woman]] [[turn]] into a huge CG snake and devour the whole [[train]] then [[get]] [[sucked]] into a [[huge]] vortex though. It's just sad that someone would go to such lengths to make a [[crap]] film, only to [[make]] a few [[bucks]] because of the ""Snakes on a [[Plane]]"" craze.","Last week on Friday, I went to [[view]] ""[[Snake]] on a [[Hovering]]"" with my friends. It was amazing compared to this [[scary]] film (however, many of the scenes were [[awfully]] [[comedian]]). Basically, some woman has a Mayan curse where she [[pooping]] up harmless harmless [[jumpers]] snakes that, instead of attacking, crawl inside of they're victims. The girl with the bag of [[coca]] is pretty hot. On the title screen it says ""100 Passengers... 3,000 Venemous Vipers!"" Scary, I [[behold]]. There weren't even 100 passengers on the train. Only a couple of [[pothead]] and some other washed out losers. It's worth the five [[tickets]] to [[witnessing]] the [[daughters]] [[transformations]] into a huge CG snake and devour the whole [[railroads]] then [[find]] [[strived]] into a [[broad]] vortex though. It's just sad that someone would go to such lengths to make a [[merde]] film, only to [[introduces]] a few [[yuen]] because of the ""Snakes on a [[Hovered]]"" craze.",0
"[[I]] have seen many - possibly too many straight-to-video, no budget slasher films and have developed a taste for the ""good ones"", or the ones that are less [[sucky]], as ridiculous as that sounds, hahaha. DR. CHOPPER, is what I kindly like to refer to as... absolute crap. Nothing about it is enjoyable - the acting sucks, the [[characters]] suck, the [[killer]] sucks, the gore is [[minimal]]... and sucks. [[It]] is about a [[group]] of [[college]] friends who [[drive]] out to a [[newly]] [[discovered]] [[family]] [[cabin]], owned by the parents of one of the kids. It is meant to be a relaxing retreat, but little do they know that a deathly ill former plastic surgeon-gone bad, along with his two female assistants, [[search]] for usable tissue to save the doctor. His name is [[Dr]]. Chopper since he rides around on a [[motorcycle]] and of course, [[chops]]. This is just a terrible movie, not worthy of anyone's time. Enough said.","[[me]] have seen many - possibly too many straight-to-video, no budget slasher films and have developed a taste for the ""good ones"", or the ones that are less [[dunno]], as ridiculous as that sounds, hahaha. DR. CHOPPER, is what I kindly like to refer to as... absolute crap. Nothing about it is enjoyable - the acting sucks, the [[hallmark]] suck, the [[homicide]] sucks, the gore is [[lesser]]... and sucks. [[His]] is about a [[clustered]] of [[school]] friends who [[marche]] out to a [[recently]] [[commented]] [[houses]] [[chalet]], owned by the parents of one of the kids. It is meant to be a relaxing retreat, but little do they know that a deathly ill former plastic surgeon-gone bad, along with his two female assistants, [[discovering]] for usable tissue to save the doctor. His name is [[Doctorate]]. Chopper since he rides around on a [[cycling]] and of course, [[spareribs]]. This is just a terrible movie, not worthy of anyone's time. Enough said.",0
"I saw the film yesterday and stopped it at half time because I felt it was a waste of time. The idea to make a film through the eyes of a headsman - one of the ""evil guys"" throughout most fantasy and medieval films - is great and offers plenty of possibilities but... the film couldn't catch one of them. I was not feeling for any of the characters, the plot was all too predictable (to the point that I followed it)and the second leap of time in the storyline made me [[quit]]. Those who expect a deep [[insight]] into the emotional [[situation]] of a headsman in the middle [[Ages]], a social outcast to that time, might [[be]] disappointed.","I saw the film yesterday and stopped it at half time because I felt it was a waste of time. The idea to make a film through the eyes of a headsman - one of the ""evil guys"" throughout most fantasy and medieval films - is great and offers plenty of possibilities but... the film couldn't catch one of them. I was not feeling for any of the characters, the plot was all too predictable (to the point that I followed it)and the second leap of time in the storyline made me [[cessation]]. Those who expect a deep [[clarity]] into the emotional [[plight]] of a headsman in the middle [[Age]], a social outcast to that time, might [[have]] disappointed.",0
