"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Singapore govt extends third-party war risk insurance SINGAPORE : The government is extending [[third-party]] war risk insurance cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore [[Airlines]] group.","Singapore govt extends third-party war risk insurance SINGAPORE : The government is extending [[full]] war risk insurance cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore [[air]] group.",0.5315618515014648,0.674675464630127,2,0,2,66,"Successful"
"Mills Grabs \$1B Portfolio; Taubman Likely to Lose Contracts Mills [[Corp]]. agreed to purchase a 50 percent interest in nine [[malls]] owned by General Motors [[Asset]] [[Management]] Corp. for just over \$1 billion, creating a new [[joint]] venture between the groups. The deal will extend ...","Mills Grabs \$1B Portfolio; Taubman Likely to Lose Contracts Mills [[g]]. agreed to purchase a 50 percent interest in nine [[businesses]] owned by General Motors [[asset]] [[managing]] Corp. for just over \$1 billion, creating a new [[collaborative]] venture between the groups. The deal will extend ...",0.5608426332473755,0.6181081533432007,2,2,2,95,"Failed"
"Fed Cup all tied up [[FRANCE]] #39;S Russian-born Tatiana Golovin left the Fed Cup final hanging in the balance [[today]] as she beat Russia #39;s US Open [[champion]] Svetlana Kuznetsova 6-4, 6-1 to level the tie at 2-2 and [[take]] it to the final doubles match.","Fed Cup all tied up [[team]] #39;S Russian-born Tatiana Golovin left the Fed Cup final hanging in the balance [[line]] as she beat Russia #39;s US Open [[team]] Svetlana Kuznetsova 6-4, 6-1 to level the tie at 2-2 and [[raise]] it to the final doubles match.",0.28468912839889526,0.3110491633415222,1,1,1,162,"Failed"
"Today in Athens Leontien Zijlaard-van Moorsel of the Netherlands [[wipes]] a tear after winning the gold medal in the [[women]] #39;s road cycling individual time trial at the Vouliagmeni [[Olympic]] [[Centre]] in Athens on Wednesday. ","Today in Athens Leontien Zijlaard-van Moorsel of the Netherlands [[tore]] a tear after winning the gold medal in the [[men]] #39;s road cycling individual time trial at the Vouliagmeni [[sporting]] [[centre]] in Athens on Wednesday. ",0.401803195476532,0.46007978916168213,1,1,1,52,"Failed"
"[[Sun]] to shine spotlight on new operating system, Solaris 10 [[Sun]] Microsystems SUNW is expected to release a [[new]] [[version]] of its operating system today - a big [[part]] of the struggling computer maker #39;s [[plan]] to save itself.","[[scheduled]] to shine spotlight on new operating system, Solaris 10 [[sun]] Microsystems SUNW is expected to release a [[newer]] [[set]] of its operating system today - a big [[deal]] of the struggling computer maker #39;s [[having]] to save itself.",0.4548336863517761,0.5545880794525146,3,3,3,98,"Failed"
"President Hu congratulates Sihamoni on [[becoming]] king of Cambodia Chinese [[President]] [[Hu]] Jintao sent a message to Norodom Sihamoni on [[Thursday]] to congratulate him on his election as the king of Cambodia.","President Hu congratulates Sihamoni on [[succeeding]] king of Cambodia Chinese [[chairman]] [[ho]] Jintao sent a message to Norodom Sihamoni on [[day]] to congratulate him on his election as the king of Cambodia.",0.3587396740913391,0.3690330982208252,0,0,0,57,"Failed"
"Govt. to Test New [[Air]] Passenger [[Screening]] Program [[The]] US government [[unveiled]] plans on Thursday for a revised computer-based program using [[personal]] information to identify airline passengers who may pose a threat to air travel.","Govt. to Test New [[air]] Passenger [[screening]] Program [[the]] US government [[changed]] plans on Thursday for a revised computer-based program using [[human]] information to identify airline passengers who may pose a threat to air travel.",0.21403968334197998,0.37135082483291626,3,3,3,114,"Failed"
"Afghans rocky [[road]] to historic elections [[KALAKAN]], Afghanistan There were toothless old men, turbaned and gray-bearded, and young men not yet old [[enough]] to shave. There were mullahs and mujahedeen, and the presidential candidate #39;s [[3-year-old]] son.","Afghans rocky [[route]] to historic elections [[islamabad]], Afghanistan There were toothless old men, turbaned and gray-bearded, and young men not yet old [[only]] to shave. There were mullahs and mujahedeen, and the presidential candidate #39;s [[youngest]] son.",0.13198179006576538,0.564948558807373,0,0,0,76,"Failed"
"Sun's [[Looking]] Glass [[Provides]] 3D View Developers get early code for new operating system 'skin' still being crafted.","Sun's [[look]] Glass [[uses]] 3D View Developers get early code for new operating system 'skin' still being crafted.",0.3727952241897583,0.3874189257621765,3,3,3,51,"Failed"
"Phelps [[Seeks]] More Gold at [[World]] [[Championships]]  INDIANAPOLIS (Reuters) - Still riding a wave of [[euphoria]]  from the Olympics, Michael Phelps [[returns]] to the pool this [[week]]  at the world [[short]] course swimming championships seeking a  [[repeat]] of his six gold medals in Athens.","Phelps [[seeks]] More Gold at [[world]] [[championships]]  INDIANAPOLIS (Reuters) - Still riding a wave of [[reeling]]  from the Olympics, Michael Phelps [[return]] to the pool this [[weekend]]  at the world [[longest]] course swimming championships seeking a  [[pair]] of his six gold medals in Athens.",0.5216027498245239,0.5760878324508667,1,1,1,86,"Failed"
"[[Nokia]] announces Near [[Field]] Communication products With the Nokia NFC (Near [[Field]] Communication) [[shell]] on their phone, consumers will be able to access a [[variety]] of services and exchange information with a simple touch gesture.","[[google]] announces Near [[field]] Communication products With the Nokia NFC (Near [[field]] Communication) [[functionality]] on their phone, consumers will be able to access a [[collection]] of services and exchange information with a simple touch gesture.",0.17310208082199097,0.18389654159545898,3,3,3,83,"Failed"
"US suspends [[helicopter]] flights after Japan crash (AFP) AFP - The United States suspended [[flights]] of CH-53D military [[helicopters]] in Japan, bowing to [[protests]] over a crash in an Okinawa [[university]] campus.","US suspends [[training]] flights after Japan crash (AFP) AFP - The United States suspended [[flying]] of CH-53D military [[aircraft]] in Japan, bowing to [[protest]] over a crash in an Okinawa [[campus]] campus.",0.3206999897956848,0.33701539039611816,0,0,0,65,"Failed"
"Viacom, Disney [[pay]] \$1.5M FCC fine Disney and Viacom [[agreed]] to a fine of \$1.5 million from the Federal Communications Commission over [[claims]] their children #39;s cable television networks violated advertising restrictions, the FCC said Thursday.","Viacom, Disney [[online]] \$1.5M FCC fine Disney and Viacom [[led]] to a fine of \$1.5 million from the Federal Communications Commission over [[exposing]] their children #39;s cable television networks violated advertising restrictions, the FCC said Thursday.",0.47750264406204224,0.7069153785705566,2,3,2,144,"Successful"
