"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Singapore govt extends third-party war risk [[insurance]] SINGAPORE : The government is extending third-party war risk insurance cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore [[Airlines]] group.","Singapore govt extends third-party war risk [[insurCance]] SINGAPORE : The government is extending third-party war risk insurance cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore [[irlines]] group.",0.321449339389801,0.5931828022003174,2,0,2,36,"Successful"
"[[Mills]] Grabs \$[[1B]] [[Portfolio]]; [[Taubman]] Likely to Lose Contracts Mills Corp. [[agreed]] to purchase a [[50]] percent interest in nine malls owned by General Motors Asset Management Corp. for just over \$1 billion, creating a new joint venture between the groups. The deal will extend ...","[[Mils]] Grabs \$[[B1]] [[Portfoloi]]; [[Laubman]] Likely to Lose Contracts Mills Corp. [[agree]] to purchase a [[5]] percent interest in nine malls owned by General Motors Asset Management Corp. for just over \$1 billion, creating a new joint venture between the groups. The deal will extend ...",0.2582966089248657,0.31076717376708984,2,2,2,158,"Failed"
"[[Sun]] to shine spotlight on new operating system, [[Solaris]] [[10]] [[Sun]] [[Microsystems]] SUNW is [[expected]] to [[release]] a new [[version]] of its operating system today - a big part of the struggling computer maker #39;s [[plan]] to [[save]] itself.","[[Su]] to shine spotlight on new operating system, [[Soaris]] [[Q10]] [[Sn]] [[Midrosystems]] SUNW is [[expcted]] to [[Lelease]] a new [[hersion]] of its operating system today - a big part of the struggling computer maker #39;s [[plac]] to [[sve]] itself.",0.1786329746246338,0.5929787158966064,3,2,3,75,"Successful"
"Fed Cup all tied up FRANCE #[[39]];S Russian-born Tatiana Golovin left the Fed Cup [[final]] [[hanging]] in the balance today as she beat Russia #[[39]];s US Open champion [[Svetlana]] Kuznetsova 6-4, 6-1 to level the tie at [[2-2]] and take it to the final doubles match.","Fed Cup all tied up FRANCE #[[9]];S Russian-born Tatiana Golovin left the Fed Cup [[Final]] [[hganging]] in the balance today as she beat Russia #[[93]];s US Open champion [[Svetlna]] Kuznetsova 6-4, 6-1 to level the tie at [[22-]] and take it to the final doubles match.",0.15631932020187378,0.1627868413925171,1,1,1,162,"Failed"
"Nokia announces [[Near]] [[Field]] Communication products With the Nokia NFC (Near [[Field]] Communication) [[shell]] on their phone, consumers will be able to access a [[variety]] of services and exchange information with a simple touch gesture.","Nokia announces [[ear]] [[Feld]] Communication products With the Nokia NFC (Near [[Feld]] Communication) [[shdell]] on their phone, consumers will be able to access a [[sariety]] of services and exchange information with a simple touch gesture.",0.14274901151657104,0.15247315168380737,3,3,3,119,"Failed"
"Today in Athens Leontien Zijlaard-van Moorsel of the Netherlands wipes a [[tear]] after [[winning]] the [[gold]] [[medal]] in the women #[[39]];s road cycling individual time trial at the Vouliagmeni [[Olympic]] Centre in [[Athens]] on [[Wednesday]]. ","Today in Athens Leontien Zijlaard-van Moorsel of the Netherlands wipes a [[fear]] after [[wininng]] the [[old]] [[meal]] in the women #[[3]];s road cycling individual time trial at the Vouliagmeni [[Oylmpic]] Centre in [[Atens]] on [[Wdenesday]]. ",0.14205873012542725,0.16035544872283936,1,1,1,116,"Failed"
"President Hu [[congratulates]] [[Sihamoni]] on becoming [[king]] of Cambodia Chinese President [[Hu]] [[Jintao]] sent a message to [[Norodom]] Sihamoni on Thursday to congratulate him on his election as the king of Cambodia.","President Hu [[congratuates]] [[iShamoni]] on becoming [[ing]] of Cambodia Chinese President [[H]] [[Jintato]] sent a message to [[Nordoom]] Sihamoni on Thursday to congratulate him on his election as the king of Cambodia.",0.2675498127937317,0.498305082321167,0,0,0,100,"Failed"
"Govt. to [[Test]] New Air Passenger [[Screening]] Program The US government unveiled plans on Thursday for a revised [[computer-based]] program using personal information to identify airline [[passengers]] who may pose a threat to air [[travel]].","Govt. to [[est]] New Air Passenger [[Sceening]] Program The US government unveiled plans on Thursday for a revised [[compuKer-based]] program using personal information to identify airline [[passegners]] who may pose a threat to air [[tavel]].",0.15429049730300903,0.7795003652572632,3,2,3,48,"Successful"
"[[Afghans]] rocky road to historic elections [[KALAKAN]], Afghanistan There were toothless [[old]] [[men]], [[turbaned]] and [[gray-bearded]], and young [[men]] not yet old enough to shave. [[There]] were mullahs and [[mujahedeen]], and the [[presidential]] candidate #39;s 3-year-old son.","[[QAfghans]] rocky road to historic elections [[KALAKA]], Afghanistan There were toothless [[lod]] [[me]], [[turbnaed]] and [[gray-beardec]], and young [[me]] not yet old enough to shave. [[Tehre]] were mullahs and [[uujahedeen]], and the [[presidetnial]] candidate #39;s 3-year-old son.",0.2020391821861267,0.22372376918792725,0,0,0,135,"Failed"
"[[Oil]] Prices Set a New Record Above \$50  SINGAPORE ([[Reuters]]) - Oil prices set a new record above \$50  a barrel on Tuesday as a prolonged U.S. [[production]] outage  following Hurricane Ivan attracted fresh speculative buying.","[[Ol]] Prices Set a New Record Above \$50  SINGAPORE ([[Reunters]]) - Oil prices set a new record above \$50  a barrel on Tuesday as a prolonged U.S. [[prouction]] outage  following Hurricane Ivan attracted fresh speculative buying.",0.17092347145080566,0.18776923418045044,2,2,2,138,"Failed"
"[[Sun's]] [[Looking]] [[Glass]] [[Provides]] [[3D]] [[View]] [[Developers]] [[get]] early [[code]] for new [[operating]] [[system]] '[[skin']] still being [[crafted]].","[[Suns]] [[LooIing]] [[Galss]] [[Provide]] [[D]] [[Vie]] [[Dveelopers]] [[gee]] early [[cde]] for new [[oZerating]] [[sytsem]] '[[ski']] still being [[crwfted]].",0.1476871371269226,0.8666313290596008,3,2,3,80,"Successful"
