"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Singapore govt extends [[third-party]] war risk insurance SINGAPORE : The government is extending [[third-party]] war risk insurance cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the [[Singapore]] [[Airlines]] group.","Singapore govt extends [[third-praty]] war risk insurance SINGAPORE : The government is extending [[thir-dparty]] war risk insurance cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the [[iSngapore]] [[Airlies]] group.",0.4653235077857971,0.67536461353302,2,0,2,48,"Successful"
"Mills Grabs \$[[1B]] Portfolio; Taubman Likely to Lose Contracts [[Mills]] Corp. agreed to purchase a 50 percent interest in nine [[malls]] owned by General Motors Asset [[Management]] Corp. for just over \$1 billion, creating a new [[joint]] [[venture]] between the [[groups]]. The [[deal]] will extend ...","Mills Grabs \$[[1Q]] Portfolio; Taubman Likely to Lose Contracts [[Mill]] Corp. agreed to purchase a 50 percent interest in nine [[mals]] owned by General Motors Asset [[Managmeent]] Corp. for just over \$1 billion, creating a new [[ojint]] [[enture]] between the [[gruops]]. The [[del]] will extend ...",0.27796465158462524,0.3075109124183655,2,2,2,161,"Failed"
"[[Sun]] to shine spotlight on new operating system, [[Solaris]] 10 Sun Microsystems SUNW is expected to release a new version of its operating system today - a big part of the struggling computer maker #39;s plan to [[save]] itself.","[[Su]] to shine spotlight on new operating system, [[Solais]] 10 Sun Microsystems SUNW is expected to release a new version of its operating system today - a big part of the struggling computer maker #39;s plan to [[kave]] itself.",0.3734065890312195,0.38451409339904785,3,3,3,131,"Failed"
"Fed [[Cup]] all [[tied]] up FRANCE #39;S [[Russian-born]] [[Tatiana]] Golovin left the Fed Cup final hanging in the balance today as she [[beat]] Russia #[[39]];s [[US]] [[Open]] champion [[Svetlana]] [[Kuznetsova]] [[6-4]], [[6-1]] to level the tie at 2-2 and take it to the final doubles match.","Fed [[uup]] all [[ted]] up FRANCE #39;S [[Russia-born]] [[Tatana]] Golovin left the Fed Cup final hanging in the balance today as she [[beUat]] Russia #[[3]];s [[SU]] [[Zpen]] champion [[Svelana]] [[KuznBetsova]] [[6-n]], [[61-]] to level the tie at 2-2 and take it to the final doubles match.",0.3391352891921997,0.35187965631484985,1,1,1,162,"Failed"
"[[Nokia]] [[announces]] [[Near]] Field [[Communication]] [[products]] [[With]] the [[Nokia]] NFC ([[Near]] Field [[Communication]]) [[shell]] on their phone, [[consumers]] will be [[able]] to access a [[variety]] of services and [[exchange]] [[information]] with a [[simple]] [[touch]] gesture.","[[NokLa]] [[announce]] [[Nenr]] Field [[Commutication]] [[porducts]] [[Wit]] the [[NoQia]] NFC ([[Naer]] Field [[Cojmmunication]]) [[shel]] on their phone, [[consumeOrs]] will be [[abe]] to access a [[varity]] of services and [[exchane]] [[informatin]] with a [[sOimple]] [[tuch]] gesture.",0.3645128011703491,0.5832130312919617,3,1,3,113,"Successful"
"Today in Athens [[Leontien]] [[Zijlaard-van]] [[Moorsel]] of the Netherlands wipes a tear after winning the gold medal in the women #[[39]];s [[road]] cycling individual time trial at the [[Vouliagmeni]] Olympic [[Centre]] in [[Athens]] on [[Wednesday]]. ","Today in Athens [[Leontine]] [[Zjilaard-van]] [[Morosel]] of the Netherlands wipes a tear after winning the gold medal in the women #[[93]];s [[rad]] cycling individual time trial at the [[Vouliageni]] Olympic [[CenIre]] in [[Atuens]] on [[Wdnesday]]. ",0.3311253786087036,0.34318405389785767,1,1,1,115,"Failed"
"President Hu congratulates Sihamoni on becoming [[king]] of Cambodia Chinese President [[Hu]] Jintao sent a message to Norodom Sihamoni on [[Thursday]] to [[congratulate]] him on his election as the [[king]] of Cambodia.","President Hu congratulates Sihamoni on becoming [[ing]] of Cambodia Chinese President [[H]] Jintao sent a message to Norodom Sihamoni on [[Thurdsay]] to [[cogratulate]] him on his election as the [[ing]] of Cambodia.",0.3539525270462036,0.35769957304000854,0,0,0,100,"Failed"
"Govt. to Test [[New]] Air Passenger Screening Program The US government unveiled plans on Thursday for a revised [[computer-based]] program using personal information to identify airline passengers who may pose a threat to air [[travel]].","Govt. to Test [[Nw]] Air Passenger Screening Program The US government unveiled plans on Thursday for a revised [[compter-based]] program using personal information to identify airline passengers who may pose a threat to air [[trave]].",0.3510187864303589,0.765817403793335,3,2,3,44,"Successful"
"[[Afghans]] rocky [[road]] to historic elections [[KALAKAN]], Afghanistan There were toothless old [[men]], [[turbaned]] and gray-bearded, and young [[men]] not [[yet]] [[old]] [[enough]] to [[shave]]. [[There]] were mullahs and [[mujahedeen]], and the [[presidential]] [[candidate]] #39;s 3-year-old son.","[[AfghanF]] rocky [[rad]] to historic elections [[KALPKAN]], Afghanistan There were toothless old [[en]], [[turbjaned]] and gray-bearded, and young [[mWn]] not [[ret]] [[ol]] [[enouh]] to [[save]]. [[Thee]] were mullahs and [[muahedeen]], and the [[presidenial]] [[cnadidate]] #39;s 3-year-old son.",0.3527958393096924,0.36043745279312134,0,0,0,135,"Failed"
"[[Oil]] [[Prices]] [[Set]] a New Record Above \$50  [[SINGAPORE]] (Reuters) - [[Oil]] prices [[set]] a new record above \$[[50]]  a barrel on Tuesday as a prolonged U.S. production outage  following Hurricane Ivan attracted fresh speculative buying.","[[Oli]] [[Prcies]] [[Ste]] a New Record Above \$50  [[SINGAPOERE]] (Reuters) - [[Ol]] prices [[est]] a new record above \$[[5]]  a barrel on Tuesday as a prolonged U.S. production outage  following Hurricane Ivan attracted fresh speculative buying.",0.28892290592193604,0.3098311424255371,2,2,2,138,"Failed"
