"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[Singapore]] govt extends third-party war risk insurance [[SINGAPORE]] : The government is [[extending]] third-party war risk insurance [[cover]] to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore [[Airlines]] group.","[[SingaporQ]] govt extends third-party war risk insurance [[SINGAPOER]] : The government is [[eaxtending]] third-party war risk insurance [[coer]] to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore [[Aiflines]] group.",0.14984548091888428,0.5307970643043518,2,3,2,52,"Successful"
"[[Mills]] Grabs \$[[1B]] Portfolio; [[Taubman]] Likely to Lose Contracts [[Mills]] Corp. agreed to [[purchase]] a [[50]] percent interest in [[nine]] malls [[owned]] by General Motors Asset [[Management]] [[Corp]]. for just over \$1 [[billion]], creating a new [[joint]] venture between the groups. The deal will extend ...","[[iMlls]] Grabs \$[[B1]] Portfolio; [[Taumban]] Likely to Lose Contracts [[Milsl]] Corp. agreed to [[purcwhase]] a [[0]] percent interest in [[nMine]] malls [[owwned]] by General Motors Asset [[Manageemnt]] [[CorE]]. for just over \$1 [[bilGion]], creating a new [[Qoint]] venture between the groups. The deal will extend ...",0.13051337003707886,0.33096784353256226,2,2,2,162,"Failed"
"Sun to [[shine]] spotlight on new operating [[system]], [[Solaris]] [[10]] Sun Microsystems [[SUNW]] is expected to release a new version of its operating system today - a big part of the struggling computer maker #39;s plan to save itself.","Sun to [[shie]] spotlight on new operating [[tystem]], [[Sloaris]] [[0]] Sun Microsystems [[SNUW]] is expected to release a new version of its operating system today - a big part of the struggling computer maker #39;s plan to save itself.",0.15032309293746948,0.5297195315361023,3,2,3,51,"Successful"
"Fed [[Cup]] all tied up FRANCE #39;S Russian-born [[Tatiana]] [[Golovin]] left the [[Fed]] [[Cup]] [[final]] hanging in the balance [[today]] as she [[beat]] [[Russia]] #39;s [[US]] [[Open]] champion [[Svetlana]] [[Kuznetsova]] 6-4, 6-1 to [[level]] the tie at 2-2 and take it to the final doubles match.","Fed [[Cp]] all tied up FRANCE #39;S Russian-born [[TatiaHna]] [[olovin]] left the [[FQed]] [[up]] [[finaXl]] hanging in the balance [[toady]] as she [[bea]] [[Rlssia]] #39;s [[SU]] [[Ojen]] champion [[Svtelana]] [[Kuznetsoa]] 6-4, 6-1 to [[lvel]] the tie at 2-2 and take it to the final doubles match.",0.11183232069015503,0.7197834849357605,1,2,1,154,"Successful"
"Nokia announces Near Field Communication products With the Nokia NFC (Near Field [[Communication]]) shell on their phone, consumers will be able to access a [[variety]] of [[services]] and exchange [[information]] with a [[simple]] touch gesture.","Nokia announces Near Field Communication products With the Nokia NFC (Near Field [[Communicatino]]) shell on their phone, consumers will be able to access a [[Yariety]] of [[servics]] and exchange [[informatin]] with a [[smple]] touch gesture.",0.11200499534606934,0.11957329511642456,3,3,3,120,"Failed"
"Today in Athens [[Leontien]] [[Zijlaard-van]] Moorsel of the Netherlands [[wipes]] a tear after winning the gold [[medal]] in the women #[[39]];s road [[cycling]] [[individual]] time [[trial]] at the Vouliagmeni Olympic Centre in Athens on [[Wednesday]]. ","Today in Athens [[Leontikn]] [[ZijlaarK-van]] Moorsel of the Netherlands [[wipse]] a tear after winning the gold [[meadl]] in the women #[[9]];s road [[fcycling]] [[individua]] time [[jrial]] at the Vouliagmeni Olympic Centre in Athens on [[Wendesday]]. ",0.15269684791564941,0.5520411729812622,1,1,1,114,"Failed"
"[[President]] [[Hu]] [[congratulates]] Sihamoni on [[becoming]] king of [[Cambodia]] [[Chinese]] [[President]] Hu Jintao [[sent]] a message to [[Norodom]] Sihamoni on [[Thursday]] to [[congratulate]] him on his [[election]] as the king of Cambodia.","[[Pesident]] [[uH]] [[congratHulates]] Sihamoni on [[becomiyg]] king of [[Camobdia]] [[Cheinese]] [[Prqesident]] Hu Jintao [[seXnt]] a message to [[KNorodom]] Sihamoni on [[hTursday]] to [[congratulCate]] him on his [[eleciton]] as the king of Cambodia.",0.11719900369644165,0.7188112735748291,0,1,0,76,"Successful"
"Govt. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised [[computer-based]] program using personal information to identify airline passengers who may pose a threat to air travel.","Govt. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised [[compute-based]] program using personal information to identify airline passengers who may pose a threat to air travel.",0.18696731328964233,0.5425469279289246,3,2,3,32,"Successful"
"[[Afghans]] rocky road to [[historic]] [[elections]] KALAKAN, Afghanistan There were [[toothless]] [[old]] [[men]], [[turbaned]] and gray-bearded, and young [[men]] not yet [[old]] enough to shave. There were [[mullahs]] and [[mujahedeen]], and the [[presidential]] [[candidate]] #39;s 3-year-old son.","[[Afghanw]] rocky road to [[historiL]] [[elecions]] KALAKAN, Afghanistan There were [[tothless]] [[odl]] [[me]], [[turbned]] and gray-bearded, and young [[en]] not yet [[ol]] enough to shave. There were [[mRullahs]] and [[mujahsdeen]], and the [[Oresidential]] [[clndidate]] #39;s 3-year-old son.",0.11198228597640991,0.2272646427154541,0,0,0,134,"Failed"
"[[Oil]] Prices [[Set]] a New Record Above \$[[50]]  SINGAPORE ([[Reuters]]) - [[Oil]] prices set a new [[record]] above \$[[50]]  a [[barrel]] on [[Tuesday]] as a [[prolonged]] U.S. [[production]] [[outage]]  following Hurricane [[Ivan]] [[attracted]] [[fresh]] [[speculative]] buying.","[[OiV]] Prices [[eSt]] a New Record Above \$[[05]]  SINGAPORE ([[Rueters]]) - [[LOil]] prices set a new [[qecord]] above \$[[05]]  a [[barel]] on [[Tuesay]] as a [[prolongved]] U.S. [[produPtion]] [[outaeg]]  following Hurricane [[Iuan]] [[Dattracted]] [[fres]] [[spzeculative]] buying.",0.11642646789550781,0.17731255292892456,2,2,2,138,"Failed"
"Sun's Looking [[Glass]] Provides [[3D]] [[View]] Developers [[get]] early [[code]] for new [[operating]] [[system]] '[[skin']] [[still]] being [[crafted]].","Sun's Looking [[Gass]] Provides [[3]] [[Vie]] Developers [[Jet]] early [[coNde]] for new [[operatinNg]] [[sytsem]] '[[kin']] [[till]] being [[craftFd]].",0.11325091123580933,0.5064001083374023,3,3,3,80,"Failed"
"[[Phelps]] [[Seeks]] [[More]] [[Gold]] at [[World]] Championships  [[INDIANAPOLIS]] ([[Reuters]]) - Still [[riding]] a [[wave]] of euphoria  from the Olympics, [[Michael]] [[Phelps]] returns to the [[pool]] this week  at the world [[short]] [[course]] swimming [[championships]] [[seeking]] a  [[repeat]] of his six gold medals in Athens.","[[ehelps]] [[SeeHks]] [[Mroe]] [[Glod]] at [[Wormld]] Championships  [[INIDANAPOLIS]] ([[Reutes]]) - Still [[ridBing]] a [[bwave]] of euphoria  from the Olympics, [[ichael]] [[Phleps]] returns to the [[pol]] this week  at the world [[Pshort]] [[couse]] swimming [[hcampionships]] [[seeikng]] a  [[mrepeat]] of his six gold medals in Athens.",0.11003434658050537,0.5845104455947876,1,3,1,132,"Successful"
"[[US]] suspends [[helicopter]] [[flights]] after Japan crash (AFP) AFP - [[The]] [[United]] [[States]] suspended flights of CH-53D military helicopters in [[Japan]], bowing to [[protests]] over a crash in an [[Okinawa]] university campus.","[[SU]] suspends [[helUcopter]] [[fights]] after Japan crash (AFP) AFP - [[Teh]] [[UJited]] [[Staets]] suspended flights of CH-53D military helicopters in [[Japqn]], bowing to [[prodtests]] over a crash in an [[OkinawXa]] university campus.",0.13412582874298096,0.6179941892623901,0,3,0,68,"Successful"
"Anniversary remembered on [[game]] day [[When]] the attacks came on Sept. 11, 2001, Tom O'Brien, if only for a moment, [[stopped]] being [[Boston]] [[College's]] coach. On that day, as the World Trade Center and Pentagon smoldered and the world stood still, O'Brien was a Navy man.","Anniversary remembered on [[gLame]] day [[Whehn]] the attacks came on Sept. 11, 2001, Tom O'Brien, if only for a moment, [[stosped]] being [[Bostno]] [[Colelge's]] coach. On that day, as the World Trade Center and Pentagon smoldered and the world stood still, O'Brien was a Navy man.",0.16941112279891968,0.5441828966140747,1,0,1,51,"Successful"
"Viacom, Disney pay \$1.[[5M]] [[FCC]] fine Disney and Viacom agreed to a fine of \$1.5 million from the Federal Communications Commission over [[claims]] their children #[[39]];s cable [[television]] [[networks]] [[violated]] advertising [[restrictions]], the [[FCC]] said Thursday.","Viacom, Disney pay \$1.[[5p]] [[FSCC]] fine Disney and Viacom agreed to a fine of \$1.5 million from the Federal Communications Commission over [[claixms]] their children #[[I9]];s cable [[televisio]] [[networnks]] [[violatde]] advertising [[restrictons]], the [[FC]] said Thursday.",0.16255158185958862,0.4991193413734436,2,2,2,132,"Failed"
