"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Singapore govt [[extends]] third-party war [[risk]] [[insurance]] SINGAPORE : The government is extending third-party war risk insurance cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore Airlines group.","Singapore govt [[gallop]] third-party war [[endangerment]] [[indemnity]] SINGAPORE : The government is extending third-party war risk insurance cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore Airlines group.",0.29119229316711426,0.7015314102172852,2,0,2,203,"Successful"
"Mills Grabs \$1B Portfolio; Taubman Likely to Lose Contracts Mills Corp. agreed to purchase a 50 percent interest in nine malls owned by General Motors Asset Management Corp. for just over \$1 [[billion]], creating a new [[joint]] [[venture]] between the groups. The [[deal]] will [[extend]] ...","Mills Grabs \$1B Portfolio; Taubman Likely to Lose Contracts Mills Corp. agreed to purchase a 50 percent interest in nine malls owned by General Motors Asset Management Corp. for just over \$1 [[1000000000]], creating a new [[stick]] [[embark]] between the groups. The [[mint]] will [[expand]] ...",0.3376368284225464,0.6667299866676331,2,0,2,353,"Successful"
"Sun to shine [[spotlight]] on new [[operating]] [[system]], Solaris [[10]] Sun Microsystems SUNW is [[expected]] to [[release]] a [[new]] version of its operating system [[today]] - a [[big]] [[part]] of the struggling computer maker #39;s plan to [[save]] itself.","Sun to shine [[glare]] on new [[operational]] [[organization]], Solaris [[ten]] Sun Microsystems SUNW is [[await]] to [[relinquish]] a [[raw]] version of its operating system [[now]] - a [[heavy]] [[office]] of the struggling computer maker #39;s plan to [[write]] itself.",0.3324791193008423,0.36107760667800903,3,3,3,541,"Failed"
"Fed Cup all [[tied]] up FRANCE #39;[[S]] Russian-born Tatiana Golovin [[left]] the Fed Cup [[final]] [[hanging]] in the balance today as she [[beat]] [[Russia]] #39;s [[US]] [[Open]] champion Svetlana Kuznetsova 6-4, 6-1 to [[level]] the [[tie]] at 2-2 and [[take]] it to the final doubles match.","Fed Cup all [[bond]] up FRANCE #39;[[sec]] Russian-born Tatiana Golovin [[impart]] the Fed Cup [[last]] [[hang]] in the balance today as she [[amaze]] [[USSR]] #39;s [[America]] [[candid]] champion Svetlana Kuznetsova 6-4, 6-1 to [[tier]] the [[bond]] at 2-2 and [[involve]] it to the final doubles match.",0.16281884908676147,0.5655744075775146,1,2,1,636,"Successful"
"Nokia [[announces]] [[Near]] [[Field]] Communication [[products]] With the Nokia NFC ([[Near]] [[Field]] [[Communication]]) [[shell]] on their phone, consumers will be [[able]] to [[access]] a [[variety]] of [[services]] and [[exchange]] information with a [[simple]] [[touch]] [[gesture]].","Nokia [[harbinger]] [[about]] [[battlefield]] Communication [[production]] With the Nokia NFC ([[about]] [[airfield]] [[communicating]]) [[trounce]] on their phone, consumers will be [[able-bodied]] to [[entree]] a [[miscellany]] of [[serving]] and [[substitute]] information with a [[simple-minded]] [[relate]] [[motion]].",0.3045305609703064,0.35758841037750244,3,3,3,417,"Failed"
"Today in Athens Leontien Zijlaard-van Moorsel of the Netherlands [[wipes]] a [[tear]] after [[winning]] the [[gold]] [[medal]] in the [[women]] #39;s road [[cycling]] [[individual]] [[time]] [[trial]] at the Vouliagmeni [[Olympic]] [[Centre]] in Athens on Wednesday. ","Today in Athens Leontien Zijlaard-van Moorsel of the Netherlands [[rub]] a [[bust]] after [[succeed]] the [[Au]] [[medallion]] in the [[charwoman]] #39;s road [[motorbike]] [[item-by-item]] [[clock]] [[tribulation]] at the Vouliagmeni [[Olympian]] [[rivet]] in Athens on Wednesday. ",0.13710230588912964,0.7620615363121033,1,2,1,227,"Successful"
"[[President]] Hu congratulates Sihamoni on [[becoming]] [[king]] of Cambodia [[Chinese]] [[President]] Hu Jintao [[sent]] a message to Norodom Sihamoni on Thursday to congratulate him on his election as the [[king]] of Cambodia.","[[chairman]] Hu congratulates Sihamoni on [[get]] [[magnate]] of Cambodia [[Taiwanese]] [[chairperson]] Hu Jintao [[charge]] a message to Norodom Sihamoni on Thursday to congratulate him on his election as the [[tycoon]] of Cambodia.",0.20218151807785034,0.2115810513496399,0,0,0,167,"Failed"
"Govt. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a threat to air travel.","Govt. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a threat to air travel.",0.9033666253089905,0.9033666253089905,2,2,3,1,"Skipped"
"[[Afghans]] [[rocky]] [[road]] to historic [[elections]] KALAKAN, Afghanistan [[There]] were toothless [[old]] [[men]], turbaned and gray-bearded, and [[young]] [[men]] not [[yet]] [[old]] [[enough]] to [[shave]]. [[There]] were [[mullahs]] and mujahedeen, and the presidential [[candidate]] #[[39]];s 3-year-old [[son]].","[[Paxto]] [[jolting]] [[route]] to historic [[election]] KALAKAN, Afghanistan [[thither]] were toothless [[quondam]] [[human]], turbaned and gray-bearded, and [[youth]] [[humankind]] not [[heretofore]] [[former]] [[decent]] to [[trim]]. [[thither]] were [[Mulla]] and mujahedeen, and the presidential [[prospect]] #[[ixl]];s 3-year-old [[Logos]].",0.1946616768836975,0.23289591073989868,0,0,0,272,"Failed"
"[[Oil]] Prices [[Set]] a [[New]] [[Record]] [[Above]] \$50  SINGAPORE (Reuters) - [[Oil]] prices [[set]] a [[new]] [[record]] above \$50  a [[barrel]] on [[Tuesday]] as a [[prolonged]] [[U]].S. production outage  [[following]] Hurricane Ivan [[attracted]] [[fresh]] speculative [[buying]].","[[crude]] Prices [[arrange]] a [[raw]] [[tape]] [[above]] \$50  SINGAPORE (Reuters) - [[crude]] prices [[solidification]] a [[raw]] [[platter]] above \$50  a [[drum]] on [[Tues]] as a [[extend]] [[uranium]].S. production outage  [[undermentioned]] Hurricane Ivan [[appeal]] [[saucy]] speculative [[bribe]].",0.2833949327468872,0.5850036144256592,2,0,2,588,"Successful"
"Sun's [[Looking]] [[Glass]] [[Provides]] [[3D]] [[View]] Developers [[get]] [[early]] [[code]] for [[new]] operating [[system]] 'skin' [[still]] being [[crafted]].","Sun's [[attend]] [[shabu]] [[furnish]] [[three-D]] [[survey]] Developers [[start]] [[other]] [[codification]] for [[newfangled]] operating [[organization]] 'skin' [[stock-still]] being [[craft]].",0.29940587282180786,0.42080652713775635,3,3,3,403,"Failed"
"Phelps [[Seeks]] More [[Gold]] at [[World]] [[Championships]]  INDIANAPOLIS (Reuters) - [[Still]] riding a wave of euphoria  from the [[Olympics]], Michael Phelps [[returns]] to the [[pool]] this [[week]]  at the [[world]] [[short]] course swimming championships [[seeking]] a  [[repeat]] of his [[six]] [[gold]] medals in Athens.","Phelps [[assay]] More [[Au]] at [[public]] [[patronage]]  INDIANAPOLIS (Reuters) - [[stillness]] riding a wave of euphoria  from the [[Olympiad]], Michael Phelps [[devolve]] to the [[puddle]] this [[hebdomad]]  at the [[humankind]] [[shortsighted]] course swimming championships [[essay]] a  [[reduplicate]] of his [[sextet]] [[amber]] medals in Athens.",0.14014023542404175,0.18831098079681396,1,1,1,544,"Failed"
"[[US]] suspends [[helicopter]] [[flights]] after [[Japan]] [[crash]] (AFP) AFP - The United [[States]] suspended [[flights]] of CH-53D military helicopters in [[Japan]], [[bowing]] to [[protests]] over a [[crash]] in an Okinawa university campus.","[[U]] suspends [[whirlybird]] [[flight]] after [[Nippon]] [[ram]] (AFP) AFP - The United [[State]] suspended [[flight]] of CH-53D military helicopters in [[Nihon]], [[bow]] to [[objection]] over a [[ram]] in an Okinawa university campus.",0.19890958070755005,0.217950701713562,0,0,0,218,"Failed"
"Anniversary remembered on [[game]] day When the [[attacks]] came on [[Sept]]. 11, 2001, [[Tom]] O'Brien, if only for a moment, stopped being Boston College's [[coach]]. On that day, as the [[World]] Trade Center and Pentagon smoldered and the [[world]] stood still, O'Brien was a Navy man.","Anniversary remembered on [[crippled]] day When the [[flak]] came on [[phratry]]. 11, 2001, [[tom]] O'Brien, if only for a moment, stopped being Boston College's [[autobus]]. On that day, as the [[planetary]] Trade Center and Pentagon smoldered and the [[universe]] stood still, O'Brien was a Navy man.",0.1433579921722412,0.9471835494041443,1,3,1,394,"Successful"
"Viacom, Disney [[pay]] \$[[1]].5M FCC [[fine]] Disney and Viacom agreed to a [[fine]] of \$[[1]].[[5]] [[million]] from the Federal Communications [[Commission]] over [[claims]] their [[children]] #[[39]];s cable [[television]] networks violated advertising [[restrictions]], the FCC said [[Thursday]].","Viacom, Disney [[give]] \$[[ane]].5M FCC [[hunky-dory]] Disney and Viacom agreed to a [[alright]] of \$[[one]].[[V]] [[trillion]] from the Federal Communications [[mission]] over [[call]] their [[nipper]] #[[thirty-nine]];s cable [[TV]] networks violated advertising [[restriction]], the FCC said [[Th]].",0.2815290093421936,0.33097177743911743,2,2,2,388,"Failed"
"[[Restive]] Maldives [[eases]] curfew after [[rounding]] up [[dissidents]] (AFP) AFP - [[A]] curfew in the [[capital]] of the Maldives was eased but [[parliament]] sessions were [[put]] off indefinitely and [[emergency]] [[rule]] continued [[following]] [[last]] week's [[riots]], officials and residents [[said]].","[[edgy]] Maldives [[easiness]] curfew after [[round]] up [[objector]] (AFP) AFP - [[amp]] curfew in the [[chapiter]] of the Maldives was eased but [[sevens]] sessions were [[invest]] off indefinitely and [[pinch]] [[formula]] continued [[chase]] [[finale]] week's [[bacchanalia]], officials and residents [[allege]].",0.1946779489517212,0.6503342986106873,0,1,0,379,"Successful"
"[[US]] [[Airways]], Pilots [[Union]] [[Near]] Agreement [[US]] [[Airways]] is seeking \$800 [[million]] in concessions from employee unions as it attempts to avoid [[filing]] Chapter 11. The [[Air]] [[Line]] Pilots [[Association]] will [[present]] its proposal on the [[evening]] of ","[[uranium]] [[airline]], Pilots [[conjugation]] [[nigh]] Agreement [[uranium]] [[skyway]] is seeking \$800 [[gazillion]] in concessions from employee unions as it attempts to avoid [[lodge]] Chapter 11. The [[publicise]] [[occupation]] Pilots [[tie-up]] will [[nowadays]] its proposal on the [[level]] of ",0.28362327814102173,0.8662981986999512,2,0,2,406,"Successful"
