"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Singapore govt extends third-party war risk insurance [[SINGAPORE]] : The government is extending third-party war risk insurance cover to the Civil [[Aviation]] Authority of Singapore and SATS Security Services, a unit of the Singapore [[Airlines]] group.","Singapore govt extends third-party war risk insurance [[SIGAPORE]] : The government is extending third-party war risk insurance cover to the Civil [[Aѵiation]] Authority of Singapore and SATS Security Services, a unit of the Singapore [[Aіrlines]] group.",0.321449339389801,0.6693947911262512,2,0,2,51,"Successful"
"[[Mills]] Grabs \$1B Portfolio; [[Taubman]] Likely to Lose Contracts Mills Corp. agreed to purchase a 50 percent interest in nine malls owned by General Motors Asset Management Corp. for just over \$1 billion, [[creating]] a new joint venture between the groups. The deal will extend ...","[[Mils]] Grabs \$1B Portfolio; [[Tuabman]] Likely to Lose Contracts Mills Corp. agreed to purchase a 50 percent interest in nine malls owned by General Motors Asset Management Corp. for just over \$1 billion, [[creatng]] a new joint venture between the groups. The deal will extend ...",0.2582966089248657,0.2916979193687439,2,2,2,285,"Failed"
"Fed Cup all tied up FRANCE #39;S Russian-born [[Tatiana]] [[Golovin]] left the Fed Cup final hanging in the balance today as she beat Russia #39;s US Open champion [[Svetlana]] Kuznetsova [[6-4]], [[6-1]] to level the tie at 2-2 and take it to the final doubles match.","Fed Cup all tied up FRANCE #39;S Russian-born [[Tatina]] [[Golvoin]] left the Fed Cup final hanging in the balance today as she beat Russia #39;s US Open champion [[Svetl]] [[ana]] Kuznetsova [[6-Ꮞ]], [[6]] -[[1]] to level the tie at 2-2 and take it to the final doubles match.",0.15631932020187378,0.15915709733963013,1,1,1,247,"Failed"
"[[Nokia]] announces [[Near]] [[Field]] Communication products With the Nokia NFC ([[Near]] [[Field]] Communication) [[shell]] on their phone, consumers will be able to access a variety of services and exchange information with a simple [[touch]] gesture.","[[No𝒌ia]] announces [[Nar]] [[Feld]] Communication products With the Nokia NFC ([[Nar]] [[Feld]] Communication) [[shel]] on their phone, consumers will be able to access a variety of services and exchange information with a simple [[toch]] gesture.",0.14274901151657104,0.17039495706558228,3,3,3,238,"Failed"
"Today in Athens [[Leontien]] [[Zijlaard-van]] [[Moorsel]] of the Netherlands wipes a [[tear]] after winning the [[gold]] [[medal]] in the women #39;s road cycling individual time trial at the [[Vouliagmeni]] [[Olympic]] Centre in Athens on Wednesday. ","Today in Athens [[Lenotien]] [[Zijlɑard-van]] [[Morsel]] of the Netherlands wipes a [[tar]] after winning the [[god]] [[meal]] in the women #39;s road cycling individual time trial at the [[Vouliagm]] [[eni]] [[Oⅼympic]] Centre in Athens on Wednesday. ",0.14205873012542725,0.15881019830703735,1,1,1,175,"Failed"
"President Hu congratulates Sihamoni on becoming [[king]] of Cambodia Chinese President Hu Jintao sent a message to [[Norodom]] Sihamoni on Thursday to congratulate him on his election as the king of Cambodia.","President Hu congratulates Sihamoni on becoming [[k]] [[ing]] of Cambodia Chinese President Hu Jintao sent a message to [[No]] [[rodom]] Sihamoni on Thursday to congratulate him on his election as the king of Cambodia.",0.2675498127937317,0.2802346348762512,0,0,0,115,"Failed"
"Govt. to [[Test]] New Air Passenger [[Screening]] Program The US government unveiled plans on Thursday for a revised [[computer-based]] program using personal information to identify airline passengers who may pose a threat to air travel.","Govt. to [[Teѕt]] New Air Passenger [[Screeոing]] Program The US government unveiled plans on Thursday for a revised [[comрuter-based]] program using personal information to identify airline passengers who may pose a threat to air travel.",0.15429049730300903,0.6147433519363403,3,2,3,62,"Successful"
"[[Afghans]] rocky road to historic [[elections]] [[KALAKAN]], Afghanistan There were toothless old [[men]], turbaned and gray-bearded, and young men not yet old enough to shave. There were mullahs and mujahedeen, and the [[presidential]] [[candidate]] #39;s [[3-year-old]] son.","[[Afghaոs]] rocky road to historic [[elec𝚝ions]] [[KALA]] [[KAN]], Afghanistan There were toothless old [[meո]], turbaned and gray-bearded, and young men not yet old enough to shave. There were mullahs and mujahedeen, and the [[prеsidential]] [[candiԁate]] #39;s [[3-yea-old]] son.",0.2020391821861267,0.22247028350830078,0,0,0,95,"Failed"
"Oil Prices Set a New Record Above \$50  SINGAPORE ([[Reuters]]) - Oil prices [[set]] a new record above \$50  a barrel on Tuesday as a prolonged U.S. production [[outage]]  [[following]] Hurricane [[Ivan]] attracted [[fresh]] [[speculative]] [[buying]].","Oil Prices Set a New Record Above \$50  SINGAPORE ([[Rеuters]]) - Oil prices [[st]] a new record above \$50  a barrel on Tuesday as a prolonged U.S. production [[outa]] [[ge]]  [[foⅼlowing]] Hurricane [[I]] [[van]] attracted [[fⲅesh]] [[s]] [[peculative]] [[buуing]].",0.17092347145080566,0.2222411036491394,2,2,2,213,"Failed"
"Sun's Looking [[Glass]] Provides [[3D]] [[View]] [[Developers]] get early code for new operating system 'skin' still being crafted.","Sun's Looking [[Glaѕs]] Provides [[ƷD]] [[Veiw]] [[Deѵelopers]] get early code for new operating system 'skin' still being crafted.",0.1476871371269226,0.15723955631256104,3,3,3,61,"Failed"
