"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Singapore govt extends third-party war risk insurance SINGAPORE : The government is extending third-party war risk insurance cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore Airlines group.","Singapore govt extends third-party war risk insurance SINGAPORE : The government is extending third-party war risk insurance cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore Airlines group.",0.737337589263916,0.737337589263916,3,3,2,1,"Skipped"
"Mills [[Grabs]] \$1B Portfolio; [[Taubman]] Likely to Lose Contracts Mills Corp. agreed to purchase a 50 percent interest in nine malls owned by General Motors Asset Management Corp. for just over \$1 billion, creating a new joint venture between the groups. The [[deal]] will extend ...","Mills [[Garbs]] \$1B Portfolio; [[TauЬman]] Likely to Lose Contracts Mills Corp. agreed to purchase a 50 percent interest in nine malls owned by General Motors Asset Management Corp. for just over \$1 billion, creating a new joint venture between the groups. The [[del]] will extend ...",0.3897966146469116,0.4235185384750366,2,2,2,286,"Failed"
"[[Sun]] to shine spotlight on new operating system, [[Solaris]] 10 Sun Microsystems SUNW is expected to release a new version of its operating system today - a big part of the struggling computer maker #39;s plan to save itself.","[[Suո]] to shine spotlight on new operating system, [[Soⅼaris]] 10 Sun Microsystems SUNW is expected to release a new version of its operating system today - a big part of the struggling computer maker #39;s plan to save itself.",0.20479273796081543,0.6436022520065308,3,2,3,40,"Successful"
"Fed Cup all tied up FRANCE #39;S [[Russian-born]] [[Tatiana]] [[Golovin]] left the Fed Cup final hanging in the [[balance]] today as she beat [[Russia]] #[[39]];s US [[Open]] [[champion]] Svetlana [[Kuznetsova]] 6-4, 6-1 to level the [[tie]] at 2-2 and take it to the final doubles match.","Fed Cup all tied up FRANCE #39;S [[Rսssian-born]] [[Tatіana]] [[Golovіn]] left the Fed Cup final hanging in the [[balaոce]] today as she beat [[Russiɑ]] #[[3৭]];s US [[Opеn]] [[chaｍpion]] Svetlana [[Kunetsova]] 6-4, 6-1 to level the [[t]] [[ie]] at 2-2 and take it to the final doubles match.",0.32406026124954224,0.4706938862800598,1,1,1,234,"Failed"
"[[Nokia]] [[announces]] [[Near]] Field Communication products With the Nokia NFC ([[Near]] Field Communication) shell on their phone, consumers will be able to access a variety of services and exchange information with a simple touch [[gesture]].","[[No𝒌ia]] [[announcеs]] [[Nar]] Field Communication products With the Nokia NFC ([[Nar]] Field Communication) shell on their phone, consumers will be able to access a variety of services and exchange information with a simple touch [[getsure]].",0.2814198136329651,0.5155858397483826,3,3,3,240,"Failed"
"Today in Athens [[Leontien]] [[Zijlaard-van]] Moorsel of the Netherlands wipes a [[tear]] after winning the gold [[medal]] in the women #39;s road cycling individual time trial at the [[Vouliagmeni]] [[Olympic]] Centre in Athens on Wednesday. ","Today in Athens [[Lentien]] [[Zijlaard-an]] Moorsel of the Netherlands wipes a [[ter]] after winning the gold [[meal]] in the women #39;s road cycling individual time trial at the [[Vouliagme]] [[ni]] [[Olypic]] Centre in Athens on Wednesday. ",0.3543427586555481,0.43307632207870483,1,1,1,229,"Failed"
"Govt. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised [[computer-based]] program using personal information to identify airline passengers who may pose a threat to air travel.","Govt. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised [[coputer-based]] program using personal information to identify airline passengers who may pose a threat to air travel.",0.39100050926208496,0.6270323991775513,3,2,3,45,"Successful"
"[[Afghans]] rocky road to historic elections [[KALAKAN]], Afghanistan There were [[toothless]] old men, [[turbaned]] and gray-bearded, and young men not yet old enough to shave. [[There]] were [[mullahs]] and [[mujahedeen]], and the [[presidential]] [[candidate]] #[[39]];s 3-year-old [[son]].","[[Afghanѕ]] rocky road to historic elections [[KALAKN]], Afghanistan There were [[𝚝oothless]] old men, [[turbaed]] and gray-bearded, and young men not yet old enough to shave. [[Therе]] were [[mulahs]] and [[mujhedeen]], and the [[presiden𝚝ial]] [[candіdate]] #[[Ʒ9]];s 3-year-old [[s]] [[on]].",0.33080852031707764,0.3933865427970886,0,0,0,188,"Failed"
"Oil Prices [[Set]] a New Record Above \$50  SINGAPORE ([[Reuters]]) - Oil prices set a new record above \$50  a barrel on Tuesday as a prolonged U.S. production outage  following Hurricane Ivan attracted fresh speculative buying.","Oil Prices [[St]] a New Record Above \$50  SINGAPORE ([[Reuteⲅs]]) - Oil prices set a new record above \$50  a barrel on Tuesday as a prolonged U.S. production outage  following Hurricane Ivan attracted fresh speculative buying.",0.44133877754211426,0.5580561757087708,2,2,2,237,"Failed"
"Sun's Looking Glass Provides 3D View Developers get early code for new operating system 'skin' still being crafted.","Sun's Looking Glass Provides 3D View Developers get early code for new operating system 'skin' still being crafted.",0.2239668369293213,0.2239668369293213,3,3,3,141,"Failed"
"Phelps Seeks More Gold at World Championships  [[INDIANAPOLIS]] (Reuters) - Still riding a wave of euphoria  from the Olympics, Michael Phelps returns to the [[pool]] this week  at the world short course swimming championships seeking a  repeat of his six gold medals in [[Athens]].","Phelps Seeks More Gold at World Championships  [[INDIANAPOIS]] (Reuters) - Still riding a wave of euphoria  from the Olympics, Michael Phelps returns to the [[pol]] this week  at the world short course swimming championships seeking a  repeat of his six gold medals in [[A𝚝hens]].",0.29683566093444824,0.3835133910179138,1,1,1,273,"Failed"
