"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Singapore govt extends third-party war risk [[insurance]] SINGAPORE : The government is extending third-party war risk [[insurance]] cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the [[Singapore]] Airlines group.","Singapore govt extends third-party war risk [[in]] [[surance]] SINGAPORE : The government is extending third-party war risk [[insu]] [[rance]] cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the [[Singa]] [[pore]] Airlines group.",0.30605608224868774,0.6001099348068237,2,0,2,63,"Successful"
"Mills Grabs \$1B Portfolio; Taubman [[Likely]] to [[Lose]] [[Contracts]] Mills [[Corp]]. [[agreed]] to purchase a [[50]] percent [[interest]] in nine malls [[owned]] by General Motors [[Asset]] [[Management]] Corp. for just over \$1 billion, [[creating]] a new joint [[venture]] between the [[groups]]. [[The]] deal will extend ...","Mills Grabs \$1B Portfolio; Taubman [[Likeⅼy]] to [[Loѕe]] [[Contractѕ]] Mills [[Crop]]. [[agreeԁ]] to purchase a [[Ƽ0]] percent [[interes𝚝]] in nine malls [[owneԁ]] by General Motors [[Asst]] [[Manɑgement]] Corp. for just over \$1 billion, [[crea𝚝ing]] a new joint [[ven𝚝ure]] between the [[groupѕ]]. [[Te]] deal will extend ...",0.2855180501937866,0.30603229999542236,2,2,2,186,"Failed"
"Sun to shine [[spotlight]] on new operating [[system]], [[Solaris]] 10 Sun Microsystems SUNW is expected to [[release]] a [[new]] [[version]] of its operating system today - a big [[part]] of the struggling computer maker #39;s plan to save itself.","Sun to shine [[spotligհt]] on new operating [[systeｍ]], [[Solris]] 10 Sun Microsystems SUNW is expected to [[relaese]] a [[nw]] [[vеrsion]] of its operating system today - a big [[par𝚝]] of the struggling computer maker #39;s plan to save itself.",0.30721938610076904,0.3304498791694641,3,3,3,174,"Failed"
"[[Nokia]] [[announces]] Near Field [[Communication]] products [[With]] the Nokia [[NFC]] (Near Field [[Communication]]) shell on their phone, consumers will be able to access a variety of services and exchange information with a [[simple]] touch gesture.","[[Nkia]] [[aոnounces]] Near Field [[Communicatioո]] products [[Wi𝚝h]] the Nokia [[N]] [[FC]] (Near Field [[Communica𝚝ion]]) shell on their phone, consumers will be able to access a variety of services and exchange information with a [[siｍple]] touch gesture.",0.2864058017730713,0.3025820851325989,3,3,3,106,"Failed"
"Today in Athens Leontien Zijlaard-van [[Moorsel]] of the [[Netherlands]] wipes a [[tear]] after [[winning]] the gold medal in the women #[[39]];s [[road]] [[cycling]] [[individual]] [[time]] trial at the Vouliagmeni [[Olympic]] Centre in Athens on Wednesday. ","Today in Athens Leontien Zijlaard-van [[Mooresl]] of the [[Nethеrlands]] wipes a [[teaⲅ]] after [[ԝinning]] the gold medal in the women #[[3৭]];s [[ro]] [[ad]] [[cycliոg]] [[individuaⅼ]] [[tiｍe]] trial at the Vouliagmeni [[Olympіc]] Centre in Athens on Wednesday. ",0.2273026704788208,0.2758592963218689,1,1,1,119,"Failed"
"[[President]] Hu congratulates Sihamoni on [[becoming]] [[king]] of [[Cambodia]] [[Chinese]] [[President]] Hu Jintao [[sent]] a message to [[Norodom]] [[Sihamoni]] on Thursday to [[congratulate]] him on his election as the king of Cambodia.","[[Presiden𝚝]] Hu congratulates Sihamoni on [[becomiոg]] [[𝒌ing]] of [[Cambodіa]] [[Cհinese]] [[Presiden𝚝]] Hu Jintao [[sen𝚝]] a message to [[Norоdom]] [[Siհamoni]] on Thursday to [[congratulatе]] him on his election as the king of Cambodia.",0.47537916898727417,0.5120968818664551,0,0,0,110,"Failed"
"Govt. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a threat to air travel.","Govt. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a threat to air travel.",0.9111950397491455,0.9111950397491455,2,2,3,1,"Skipped"
"[[Afghans]] rocky road to historic elections [[KALAKAN]], [[Afghanistan]] [[There]] were [[toothless]] [[old]] men, [[turbaned]] and gray-bearded, and young men not [[yet]] old [[enough]] to shave. There were [[mullahs]] and mujahedeen, and the presidential candidate #39;s 3-year-old son.","[[Afghaոs]] rocky road to historic elections [[KAAKAN]], [[Afganistan]] [[T]] [[here]] were [[toоthless]] [[olԁ]] men, [[t]] [[urbaned]] and gray-bearded, and young men not [[y]] [[et]] old [[enouh]] to shave. There were [[mullaհs]] and mujahedeen, and the presidential candidate #39;s 3-year-old son.",0.48690730333328247,0.5256792306900024,0,0,0,113,"Failed"
"Oil Prices Set a New Record [[Above]] \$[[50]]  SINGAPORE ([[Reuters]]) - Oil prices [[set]] a new record above \$[[50]]  a barrel on Tuesday as a [[prolonged]] U.S. [[production]] outage  [[following]] Hurricane Ivan [[attracted]] fresh [[speculative]] [[buying]].","Oil Prices Set a New Record [[Aobve]] \$[[Ƽ0]]  SINGAPORE ([[Reuterѕ]]) - Oil prices [[s]] [[et]] a new record above \$[[Ƽ0]]  a barrel on Tuesday as a [[prloonged]] U.S. [[productiоn]] outage  [[followіng]] Hurricane Ivan [[attracteԁ]] fresh [[speculatіve]] [[buyіng]].",0.2949104309082031,0.3185471296310425,2,2,2,192,"Failed"
"[[Sun's]] [[Looking]] Glass [[Provides]] [[3D]] View Developers get early [[code]] for new operating system 'skin' still being crafted.","[[Sսn's]] [[Lookіng]] Glass [[Proides]] [[ƷD]] View Developers get early [[codе]] for new operating system 'skin' still being crafted.",0.28130048513412476,0.29767656326293945,3,3,3,45,"Failed"
