"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Singapore govt extends third-party [[war]] risk insurance SINGAPORE : The government is extending third-party [[war]] risk insurance [[cover]] to the [[Civil]] [[Aviation]] Authority of Singapore and SATS Security Services, a unit of the [[Singapore]] [[Airlines]] [[group]].","Singapore govt extends third-party [[waⲅ]] risk insurance SINGAPORE : The government is extending third-party [[waⲅ]] risk insurance [[coveⲅ]] to the [[Civiⅼ]] [[Avia𝚝ion]] Authority of Singapore and SATS Security Services, a unit of the [[Singapoⲅe]] [[Airlineѕ]] [[gⲅoup]].",0.23909735679626465,0.6953346133232117,2,0,2,110,"Successful"
"Mills [[Grabs]] \$[[1B]] [[Portfolio]]; [[Taubman]] [[Likely]] to Lose Contracts Mills [[Corp]]. agreed to purchase a 50 percent interest in nine [[malls]] owned by General Motors [[Asset]] Management Corp. for just over \$1 billion, creating a new joint venture between the groups. The deal will extend ...","Mills [[Grabѕ]] \$[[lB]] [[Portfоlio]]; [[Tubman]] [[Likeⅼy]] to Lose Contracts Mills [[Crop]]. agreed to purchase a 50 percent interest in nine [[mallѕ]] owned by General Motors [[Asse𝚝]] Management Corp. for just over \$1 billion, creating a new joint venture between the groups. The deal will extend ...",0.05627089738845825,0.6870012879371643,2,1,2,243,"Successful"
"[[Fed]] [[Cup]] all tied up FRANCE #39;S [[Russian-born]] Tatiana Golovin [[left]] the [[Fed]] Cup [[final]] hanging in the balance [[today]] as she beat Russia #39;s US Open champion [[Svetlana]] [[Kuznetsova]] [[6-4]], [[6-1]] to level the tie at [[2-2]] and take it to the final doubles match.","[[Feԁ]] [[Cp]] all tied up FRANCE #39;S [[Russian-borո]] Tatiana Golovin [[lef𝚝]] the [[Feԁ]] Cup [[finaⅼ]] hanging in the balance [[toԁay]] as she beat Russia #39;s US Open champion [[Svetⅼana]] [[Ku]] [[znetsova]] [[6-Ꮞ]], [[б-1]] to level the tie at [[2˗2]] and take it to the final doubles match.",0.14923912286758423,0.3940798044204712,1,1,1,184,"Failed"
"[[Nokia]] announces [[Near]] Field Communication products [[With]] the Nokia NFC (Near Field Communication) [[shell]] on their phone, [[consumers]] will be able to access a [[variety]] of services and exchange information with a simple touch [[gesture]].","[[Noka]] announces [[Neaⲅ]] Field Communication products [[Wi𝚝h]] the Nokia NFC (Near Field Communication) [[shelⅼ]] on their phone, [[consumerѕ]] will be able to access a [[varie𝚝y]] of services and exchange information with a simple touch [[gestuⲅe]].",0.22843408584594727,0.3203783631324768,3,3,3,241,"Failed"
"Today in Athens [[Leontien]] [[Zijlaard-van]] [[Moorsel]] of the Netherlands [[wipes]] a tear after winning the [[gold]] medal in the women #39;s road cycling individual time trial at the [[Vouliagmeni]] [[Olympic]] Centre in Athens on [[Wednesday]]. ","Today in Athens [[Leotien]] [[Zijaard-van]] [[Moorsеl]] of the Netherlands [[wіpes]] a tear after winning the [[goⅼd]] medal in the women #39;s road cycling individual time trial at the [[Vouliagｍeni]] [[Olympiϲ]] Centre in Athens on [[Wednesԁay]]. ",0.18157750368118286,0.6034407615661621,1,3,1,113,"Successful"
"President Hu [[congratulates]] [[Sihamoni]] on becoming king of [[Cambodia]] Chinese President Hu Jintao sent a message to [[Norodom]] [[Sihamoni]] on Thursday to [[congratulate]] him on his election as the king of [[Cambodia]].","President Hu [[congratulatеs]] [[Sihamonі]] on becoming king of [[Cɑmbodia]] Chinese President Hu Jintao sent a message to [[Noordom]] [[Sihamoոi]] on Thursday to [[congatulate]] him on his election as the king of [[Cambodіa]].",0.15804064273834229,0.8667341470718384,0,2,0,101,"Successful"
"Govt. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a threat to air travel.","Govt. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a threat to air travel.",0.8430730104446411,0.8430730104446411,2,2,3,1,"Skipped"
"Afghans rocky [[road]] to [[historic]] elections [[KALAKAN]], Afghanistan There were toothless old [[men]], turbaned and gray-bearded, and young men not [[yet]] [[old]] enough to shave. [[There]] were mullahs and mujahedeen, and the presidential candidate #39;s 3-year-old [[son]].","Afghans rocky [[roaԁ]] to [[historiϲ]] elections [[KALA]] [[KAN]], Afghanistan There were toothless old [[mn]], turbaned and gray-bearded, and young men not [[ye𝚝]] [[olԁ]] enough to shave. [[Theⲅe]] were mullahs and mujahedeen, and the presidential candidate #39;s 3-year-old [[sn]].",0.10843503475189209,0.24460560083389282,0,0,0,146,"Failed"
"[[Oil]] Prices Set a New Record Above \$50  SINGAPORE (Reuters) - [[Oil]] prices [[set]] a new [[record]] above \$50  a barrel on Tuesday as a [[prolonged]] U.S. production [[outage]]  following Hurricane [[Ivan]] attracted [[fresh]] [[speculative]] buying.","[[Ol]] Prices Set a New Record Above \$50  SINGAPORE (Reuters) - [[Oiⅼ]] prices [[se𝚝]] a new [[recorԁ]] above \$50  a barrel on Tuesday as a [[prolongeԁ]] U.S. production [[outge]]  following Hurricane [[Iѵan]] attracted [[freѕh]] [[speculatiѵe]] buying.",0.27331769466400146,0.32189589738845825,2,2,2,193,"Failed"
"Sun's Looking Glass [[Provides]] 3D View [[Developers]] get early code for [[new]] operating system 'skin' [[still]] being crafted.","Sun's Looking Glass [[Provieds]] 3D View [[Developerѕ]] get early code for [[neԝ]] operating system 'skin' [[stlil]] being crafted.",0.15336215496063232,0.20098048448562622,3,3,3,81,"Failed"
"[[Phelps]] Seeks More Gold at World [[Championships]]  INDIANAPOLIS (Reuters) - Still riding a wave of [[euphoria]]  from the Olympics, Michael Phelps returns to the [[pool]] this [[week]]  at the world [[short]] course swimming championships seeking a  repeat of his six [[gold]] [[medals]] in Athens.","[[Phelpѕ]] Seeks More Gold at World [[Championshipѕ]]  INDIANAPOLIS (Reuters) - Still riding a wave of [[euphoⲅia]]  from the Olympics, Michael Phelps returns to the [[pol]] this [[wee𝒌]]  at the world [[shot]] course swimming championships seeking a  repeat of his six [[god]] [[meals]] in Athens.",0.1650983691215515,0.338367223739624,1,1,1,273,"Failed"
"US [[suspends]] helicopter flights after Japan crash ([[AFP]]) [[AFP]] - The United [[States]] suspended flights of [[CH-53D]] military helicopters in Japan, bowing to protests over a crash in an [[Okinawa]] university campus.","US [[suspendѕ]] helicopter flights after Japan crash ([[AP]]) [[A]] [[FP]] - The United [[Statеs]] suspended flights of [[CH-35D]] military helicopters in Japan, bowing to protests over a crash in an [[Okinaԝa]] university campus.",0.15993022918701172,0.5914208889007568,0,3,0,62,"Successful"
"Anniversary remembered on [[game]] day When the attacks came on Sept. 11, 2001, Tom O'Brien, if only for a moment, [[stopped]] being [[Boston]] College's coach. On that day, as the World Trade Center and Pentagon smoldered and the world stood still, O'Brien was a Navy man.","Anniversary remembered on [[gae]] day When the attacks came on Sept. 11, 2001, Tom O'Brien, if only for a moment, [[ѕtopped]] being [[Bostоn]] College's coach. On that day, as the World Trade Center and Pentagon smoldered and the world stood still, O'Brien was a Navy man.",0.3165590167045593,0.6268889904022217,1,0,1,64,"Successful"
"[[Viacom]], Disney pay \$1.5M FCC [[fine]] Disney and [[Viacom]] [[agreed]] to a fine of \$1.5 million from the Federal Communications Commission over claims their children #[[39]];s cable television networks violated advertising [[restrictions]], the FCC [[said]] Thursday.","[[Viaom]], Disney pay \$1.5M FCC [[𝚏ine]] Disney and [[Viacоm]] [[agreeԁ]] to a fine of \$1.5 million from the Federal Communications Commission over claims their children #[[3৭]];s cable television networks violated advertising [[restrictionѕ]], the FCC [[siad]] Thursday.",0.21478474140167236,0.6709302663803101,2,3,2,86,"Successful"
"[[Pfizer]] Sends Out Update On Drug [[Bextra]] [[Pfizer]] Inc. said Friday that it will provide health-care professionals with additional information about its [[Bextra]] arthritis drug and that it will conduct further studies to confirm the drug #39;s long-term cardiovascular safety record.","[[Pfier]] Sends Out Update On Drug [[Betxra]] [[Pfizeⲅ]] Inc. said Friday that it will provide health-care professionals with additional information about its [[Betxra]] arthritis drug and that it will conduct further studies to confirm the drug #39;s long-term cardiovascular safety record.",0.11171108484268188,0.7065905928611755,2,3,2,61,"Successful"
"Restive Maldives [[eases]] [[curfew]] after rounding up dissidents (AFP) AFP - A [[curfew]] in the capital of the Maldives was eased but parliament sessions were put off indefinitely and emergency rule continued following last week's riots, officials and [[residents]] [[said]].","Restive Maldives [[eaes]] [[curfeԝ]] after rounding up dissidents (AFP) AFP - A [[curew]] in the capital of the Maldives was eased but parliament sessions were put off indefinitely and emergency rule continued following last week's riots, officials and [[residentѕ]] [[siad]].",0.14761734008789062,0.5048210620880127,0,0,0,270,"Failed"
"US [[Airways]], [[Pilots]] Union Near [[Agreement]] US Airways is seeking \$[[800]] million in concessions from employee unions as it attempts to avoid filing [[Chapter]] 11. The Air Line [[Pilots]] Association will present its proposal on the [[evening]] of ","US [[Airwayѕ]], [[Pilotѕ]] Union Near [[Agreemen𝚝]] US Airways is seeking \$[[80]] million in concessions from employee unions as it attempts to avoid filing [[Chater]] 11. The Air Line [[Pilotѕ]] Association will present its proposal on the [[evennig]] of ",0.3161432147026062,0.4034459590911865,2,2,2,241,"Failed"
"[[Sun]] to shine [[spotlight]] on new operating system, [[Solaris]] 10 Sun [[Microsystems]] SUNW is expected to release a [[new]] version of its operating system today - a big part of the struggling computer maker #39;s plan to save itself.","[[Sսn]] to shine [[spotligհt]] on new operating system, [[Solɑris]] 10 Sun [[Micr]] [[osystems]] SUNW is expected to release a [[ոew]] version of its operating system today - a big part of the struggling computer maker #39;s plan to save itself.",0.26686549186706543,0.6958847045898438,3,2,3,71,"Successful"
"HD DVD will boost [[quality]], help stores Four Hollywood [[studios]] this [[week]] [[embraced]] a new [[high-definition]] DVD format from electronics giant [[Toshiba]] - raising many [[questions]] for [[video]] [[lovers]] who have driven sales of [[pre-recorded]] [[DVDs]] to new heights.","HD DVD will boost [[quali𝚝y]], help stores Four Hollywood [[studioѕ]] this [[wee𝒌]] [[embraϲed]] a new [[high-]] [[definition]] DVD format from electronics giant [[ToshiЬa]] - raising many [[questionѕ]] for [[viԁeo]] [[loves]] who have driven sales of [[pre-rеcorded]] [[DVDѕ]] to new heights.",0.27536439895629883,0.4582158923149109,3,3,3,153,"Failed"
"[[Yahoo]]! To Provide Traffic Updates As part of an effort to expand local content, Internet portal company Yahoo! Wednesday night began offering Web [[surfers]] information about current traffic conditions for the largest US metro areas.","[[Yaoo]]! To Provide Traffic Updates As part of an effort to expand local content, Internet portal company Yahoo! Wednesday night began offering Web [[surfe]] [[rs]] information about current traffic conditions for the largest US metro areas.",0.29406648874282837,0.7841967344284058,3,2,3,47,"Successful"
"UPDATE [[1-Jimenez]], Garcia, [[Donald]] [[make]] Langer a happy [[man]] Miguel [[Angel]] Jimenez and [[Sergio]] Garcia warmed up for this month #[[39]];s Ryder [[Cup]] with [[sparkling]] [[starts]] at the European [[Masters]] on [[Thursday]].","UPDATE [[1-Jimeneᴢ]], Garcia, [[Donlad]] [[ma𝒌e]] Langer a happy [[mn]] Miguel [[Angeⅼ]] Jimenez and [[Seⲅgio]] Garcia warmed up for this month #[[3৭]];s Ryder [[Cսp]] with [[sparkⅼing]] [[stɑrts]] at the European [[Mastes]] on [[Thursԁay]].",0.1556309461593628,0.6182951927185059,1,1,1,177,"Failed"
"I.B.M. Sought a China Partnership, Not Just a Sale Inside I.B.M., the issue of whether to stay in the personal computer business has been debated for a decade. The issue was put to rest last week.","I.B.M. Sought a China Partnership, Not Just a Sale Inside I.B.M., the issue of whether to stay in the personal computer business has been debated for a decade. The issue was put to rest last week.",0.8114905953407288,0.8114905953407288,3,3,2,1,"Skipped"
"Hostages [[plight]] clouds [[meeting]] of Blairs party [[BRIGHTON]], England The annual conference of Prime Minister [[Tony]] Blair #39;s Labour Party opened here Monday under the [[pall]] of the [[war]] in [[Iraq]], as the [[fate]] of the British [[hostage]] [[Ken]] Bigley remained uncertain amid fresh appeals for his release from family ","Hostages [[pligh𝚝]] clouds [[mee𝚝ing]] of Blairs party [[BRIHGTON]], England The annual conference of Prime Minister [[Toy]] Blair #39;s Labour Party opened here Monday under the [[p]] [[all]] of the [[wr]] in [[Iraԛ]], as the [[fae]] of the British [[hos𝚝age]] [[Kn]] Bigley remained uncertain amid fresh appeals for his release from family ",0.12457853555679321,0.5435322523117065,0,0,0,294,"Failed"
"EC presses for safer internet The EU [[Telecommunications]] [[Council]] today today launched Safer Internet Plus, a scheme to help parents and [[teachers]] [[control]] what [[children]] view [[online]].","EC presses for safer internet The EU [[Telecommսnications]] [[Counciⅼ]] today today launched Safer Internet Plus, a scheme to help parents and [[teach]] [[ers]] [[c]] [[ontrol]] what [[cildren]] view [[оnline]].",0.11940020322799683,0.6214766502380371,3,3,3,155,"Failed"
"[[England]] [[v]] [[Zimbabwe]] England welcomed [[back]] the world #39;s best one-day [[player]] on [[Friday]] as they began their challenge for the ICC [[Champions]] Trophy by naming key all-rounder Andrew [[Flintoff]] in their line-up to face Zimbabwe at [[Edgbaston]].","[[Englanԁ]] [[ѵ]] [[Zimbabԝe]] England welcomed [[bac𝒌]] the world #39;s best one-day [[playeⲅ]] on [[Friԁay]] as they began their challenge for the ICC [[Championѕ]] Trophy by naming key all-rounder Andrew [[Fliոtoff]] in their line-up to face Zimbabwe at [[Edgbastn]].",0.1760118007659912,0.6437093019485474,1,0,1,215,"Successful"
"Verizon [[brings]] [[top-speed]] [[DSL]] to 16 more areas DSL at 3mbps [[debuts]] in areas within company's existing footprint.","Verizon [[briոgs]] [[top-seed]] [[DL]] to 16 more areas DSL at 3mbps [[debսts]] in areas within company's existing footprint.",0.11549615859985352,0.7632701396942139,3,2,3,49,"Successful"
"Button defends F1 [[decision]] [[Britain]] #39;s [[Jenson]] Button has [[justified]] his decision to [[leave]] BAR for Williams as the dispute over his future moves towards a conclusion.","Button defends F1 [[deciѕion]] [[Britaіn]] #39;s [[Jenѕon]] Button has [[jսstified]] his decision to [[levae]] BAR for Williams as the dispute over his future moves towards a conclusion.",0.22285312414169312,0.5962546467781067,1,2,1,78,"Successful"
