"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Singapore govt extends third-party war risk insurance [[SINGAPORE]] : The government is extending third-party war risk insurance cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the [[Singapore]] Airlines group.","Singapore govt extends third-party war risk insurance [[SING]] [[APORE]] : The government is extending third-party war risk insurance cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the [[Sinɡapore]] Airlines group.",0.35222524404525757,0.637985348701477,2,0,2,42,"Successful"
"Mills Grabs \$1B [[Portfolio]]; [[Taubman]] Likely to Lose Contracts Mills Corp. agreed to purchase a 50 percent interest in nine malls owned by General Motors Asset Management Corp. for just over \$1 billion, creating a new joint venture between the groups. The deal will extend ...","Mills Grabs \$1B [[Potrfolio]]; [[Tauban]] Likely to Lose Contracts Mills Corp. agreed to purchase a 50 percent interest in nine malls owned by General Motors Asset Management Corp. for just over \$1 billion, creating a new joint venture between the groups. The deal will extend ...",0.2725747227668762,0.3316723704338074,2,2,2,287,"Failed"
"[[Sun]] to shine [[spotlight]] on new operating system, [[Solaris]] [[10]] Sun Microsystems [[SUNW]] is expected to release a new version of its [[operating]] [[system]] today - a big part of the [[struggling]] computer maker #39;s [[plan]] to save itself.","[[Sսn]] to shine [[spotligt]] on new operating system, [[Solaⲅis]] [[l0]] Sun Microsystems [[SUW]] is expected to release a new version of its [[operatinɡ]] [[sys𝚝em]] today - a big part of the [[ѕtruggling]] computer maker #39;s [[plɑn]] to save itself.",0.13791638612747192,0.15851926803588867,3,3,3,117,"Failed"
"[[Nokia]] announces Near Field Communication products With the Nokia NFC (Near Field Communication) shell on their phone, [[consumers]] will be able to access a variety of services and exchange information with a simple touch gesture.","[[Nоkia]] announces Near Field Communication products With the Nokia NFC (Near Field Communication) shell on their phone, [[consumerѕ]] will be able to access a variety of services and exchange information with a simple touch gesture.",0.14311861991882324,0.14373284578323364,3,3,3,243,"Failed"
"[[Today]] in Athens [[Leontien]] [[Zijlaard-van]] [[Moorsel]] of the Netherlands wipes a tear after winning the gold medal in the women #39;s road cycling individual time trial at the [[Vouliagmeni]] Olympic Centre in Athens on Wednesday. ","[[Toԁay]] in Athens [[Lontien]] [[Zіjlaard-van]] [[Moorsеl]] of the Netherlands wipes a tear after winning the gold medal in the women #39;s road cycling individual time trial at the [[Vouligameni]] Olympic Centre in Athens on Wednesday. ",0.16959744691848755,0.2024361491203308,1,1,1,229,"Failed"
"President Hu congratulates Sihamoni on becoming king of Cambodia Chinese President Hu [[Jintao]] [[sent]] a message to [[Norodom]] Sihamoni on Thursday to congratulate him on his election as the king of Cambodia.","President Hu congratulates Sihamoni on becoming king of Cambodia Chinese President Hu [[Jinao]] [[set]] a message to [[Norоdom]] Sihamoni on Thursday to congratulate him on his election as the king of Cambodia.",0.32148998975753784,0.32843267917633057,0,0,0,205,"Failed"
"Govt. to Test New Air Passenger [[Screening]] Program The US government unveiled plans on Thursday for a revised [[computer-based]] program using personal information to identify airline passengers who may pose a threat to air travel.","Govt. to Test New Air Passenger [[Scrеening]] Program The US government unveiled plans on Thursday for a revised [[computer-Ьased]] program using personal information to identify airline passengers who may pose a threat to air travel.",0.18733906745910645,0.7070817351341248,3,2,3,55,"Successful"
"[[Afghans]] rocky road to historic elections [[KALAKAN]], Afghanistan There were toothless old men, [[turbaned]] and gray-bearded, and young men not yet old enough to shave. There were mullahs and mujahedeen, and the [[presidential]] candidate #[[39]];s 3-year-old son.","[[A𝚏ghans]] rocky road to historic elections [[KALKAAN]], Afghanistan There were toothless old men, [[tu]] [[rbaned]] and gray-bearded, and young men not yet old enough to shave. There were mullahs and mujahedeen, and the [[preside]] [[ntial]] candidate #[[3৭]];s 3-year-old son.",0.17280232906341553,0.19479316473007202,0,0,0,174,"Failed"
"Oil Prices Set a New Record [[Above]] \$50  [[SINGAPORE]] ([[Reuters]]) - Oil prices set a new record above \$50  a barrel on Tuesday as a [[prolonged]] U.S. production outage  following Hurricane Ivan attracted fresh speculative buying.","Oil Prices Set a New Record [[Aboe]] \$50  [[SINAPORE]] ([[Reters]]) - Oil prices set a new record above \$50  a barrel on Tuesday as a [[proⅼonged]] U.S. production outage  following Hurricane Ivan attracted fresh speculative buying.",0.20703643560409546,0.3970149755477905,2,2,2,236,"Failed"
"[[Sun's]] [[Looking]] Glass Provides 3D View [[Developers]] get early [[code]] for new operating system 'skin' still being [[crafted]].","[[Suns]] [[Loo𝒌ing]] Glass Provides 3D View [[Develoрers]] get early [[cdoe]] for new operating system 'skin' still being [[cra𝚏ted]].",0.13844579458236694,0.15071719884872437,3,3,3,108,"Failed"
