"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Singapore govt extends third-party war risk insurance SINGAPORE : The government is extending third-party war risk insurance cover to the Civil [[Aviation]] Authority of Singapore and SATS Security Services, a unit of the Singapore Airlines group.","Singapore govt extends third-party war risk insurance SINGAPORE : The government is extending third-party war risk insurance cover to the Civil [[Avіation]] Authority of Singapore and SATS Security Services, a unit of the Singapore Airlines group.",0.3264939785003662,0.9091442823410034,2,0,2,38,"Successful"
"Mills [[Grabs]] \$1B Portfolio; Taubman [[Likely]] to Lose Contracts Mills Corp. agreed to [[purchase]] a 50 percent [[interest]] in nine [[malls]] [[owned]] by [[General]] [[Motors]] Asset Management Corp. for just over \$[[1]] [[billion]], creating a [[new]] [[joint]] venture between the [[groups]]. [[The]] deal will extend ...","Mills [[GraЬs]] \$1B Portfolio; Taubman [[Li]] [[kely]] to Lose Contracts Mills Corp. agreed to [[purchaѕe]] a 50 percent [[itnerest]] in nine [[mlals]] [[owneԁ]] by [[Generɑl]] [[Motorѕ]] Asset Management Corp. for just over \$[[l]] [[bilⅼion]], creating a [[ոew]] [[j]] [[oint]] venture between the [[groսps]]. [[Te]] deal will extend ...",0.17870932817459106,0.3774581551551819,2,2,2,144,"Failed"
"Sun to shine [[spotlight]] on new operating system, [[Solaris]] 10 Sun Microsystems SUNW is expected to [[release]] a [[new]] [[version]] of its operating [[system]] today - a big part of the struggling [[computer]] maker #39;s plan to save itself.","Sun to shine [[spotligհt]] on new operating system, [[Solris]] 10 Sun Microsystems SUNW is expected to [[relase]] a [[nw]] [[verѕion]] of its operating [[systeｍ]] today - a big part of the struggling [[computeⲅ]] maker #39;s plan to save itself.",0.14142978191375732,0.20378774404525757,3,3,3,151,"Failed"
"[[Fed]] [[Cup]] all tied up FRANCE #39;S [[Russian-born]] [[Tatiana]] Golovin [[left]] the Fed [[Cup]] [[final]] [[hanging]] in the [[balance]] [[today]] as she beat Russia #39;s US [[Open]] [[champion]] Svetlana [[Kuznetsova]] 6-4, 6-1 to level the tie at 2-2 and take it to the final doubles match.","[[Feԁ]] [[Cp]] all tied up FRANCE #39;S [[Russia-born]] [[Tatianɑ]] Golovin [[lef𝚝]] the Fed [[Cuр]] [[finaⅼ]] [[hangiոg]] in the [[baⅼance]] [[toԁay]] as she beat Russia #39;s US [[Opeո]] [[chaｍpion]] Svetlana [[Kuz]] [[netsova]] 6-4, 6-1 to level the tie at 2-2 and take it to the final doubles match.",0.17189329862594604,0.4515432119369507,1,1,1,156,"Failed"
"Nokia announces [[Near]] Field [[Communication]] products [[With]] the [[Nokia]] [[NFC]] (Near [[Field]] [[Communication]]) shell on their phone, consumers will be able to access a variety of services and exchange information with a simple touch gesture.","Nokia announces [[Nеar]] Field [[Communica𝚝ion]] products [[Wi𝚝h]] the [[No𝒌ia]] [[N]] [[FC]] (Near [[Feild]] [[Communica𝚝ion]]) shell on their phone, consumers will be able to access a variety of services and exchange information with a simple touch gesture.",0.11682987213134766,0.18450850248336792,3,3,3,83,"Failed"
"[[Today]] in [[Athens]] [[Leontien]] [[Zijlaard-van]] [[Moorsel]] of the [[Netherlands]] [[wipes]] a tear after winning the [[gold]] medal in the women #39;s [[road]] cycling [[individual]] [[time]] trial at the [[Vouliagmeni]] Olympic Centre in Athens on Wednesday. ","[[Toԁay]] in [[Athenѕ]] [[Leoոtien]] [[Zijlaɑrd-van]] [[Mоorsel]] of the [[Netherlaոds]] [[wip]] [[es]] a tear after winning the [[ɡold]] medal in the women #39;s [[raod]] cycling [[іndividual]] [[tіme]] trial at the [[Vоuliagmeni]] Olympic Centre in Athens on Wednesday. ",0.15577620267868042,0.21421432495117188,1,1,1,139,"Failed"
"Govt. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a threat to air travel.","Govt. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a threat to air travel.",0.840910792350769,0.840910792350769,2,2,3,1,"Skipped"
"Afghans rocky road to [[historic]] [[elections]] KALAKAN, [[Afghanistan]] [[There]] were toothless old men, [[turbaned]] and gray-bearded, and [[young]] men not [[yet]] old enough to shave. There were mullahs and [[mujahedeen]], and the presidential candidate #39;s 3-year-old [[son]].","Afghans rocky road to [[historiϲ]] [[electionѕ]] KALAKAN, [[Afghanis𝚝an]] [[Theⲅe]] were toothless old men, [[t]] [[urbaned]] and gray-bearded, and [[yong]] men not [[ye𝚝]] old enough to shave. There were mullahs and [[mujɑhedeen]], and the presidential candidate #39;s 3-year-old [[soո]].",0.1314118504524231,0.1446736454963684,0,0,0,143,"Failed"
"[[Oil]] Prices Set a [[New]] Record [[Above]] \$50  SINGAPORE (Reuters) - Oil prices set a [[new]] record above \$[[50]]  a [[barrel]] on [[Tuesday]] as a [[prolonged]] U.S. [[production]] outage  following Hurricane Ivan [[attracted]] [[fresh]] speculative [[buying]].","[[Oiⅼ]] Prices Set a [[Nw]] Record [[Abve]] \$50  SINGAPORE (Reuters) - Oil prices set a [[ոew]] record above \$[[5O]]  a [[bɑrrel]] on [[Tuesdɑy]] as a [[pⲅolonged]] U.S. [[produc𝚝ion]] outage  following Hurricane Ivan [[attracteԁ]] [[freѕh]] speculative [[buyi]] [[ng]].",0.1743612289428711,0.19061487913131714,2,2,2,142,"Failed"
"Sun's Looking Glass Provides 3D [[View]] [[Developers]] [[get]] early [[code]] for new operating system 'skin' still being crafted.","Sun's Looking Glass Provides 3D [[Viеw]] [[Dev]] [[elopers]] [[g]] [[et]] early [[co]] [[de]] for new operating system 'skin' still being crafted.",0.10988211631774902,0.13718652725219727,3,3,3,58,"Failed"
