"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"'Nonis' is a hybrid cultivar of the genus Neoregelia in the Bromeliad family.","'Nonis' is a hybrid cultivar of the genus Neoregelia in the Bromeliad family.",0.0008758902549743652,0.0008758902549743652,3,3,3,36,"Failed"
"The Canal Latéral à [[la]] [[Loire]] was [[constructed]] between 1827 and 1838 to connect the Canal [[de]] [[Briare]] at [[Briare]] and the Canal [[du]] Centre at [[Digoin]], a distance of [[196]] [[km]]. [[It]] replaced the use of the River Loire which had [[reliability]] problems arising from winter floods and summer droughts. Aqueducts were [[used]] to cross the River [[Allier]] at [[Le]] [[Guétin]] (in the [[commune]] of [[Cuffy]]) and the [[River]] [[Loire]] at [[Digoin]], but because of the extreme length required, one was not built to cross the [[Loire]] [[River]] at [[Briare]] until [[1896]] when the Briare aqueduct was constructed.","The Canal Latéral à [[lc]] [[Lore]] was [[construEted]] between 1827 and 1838 to connect the Canal [[ed]] [[Brare]] at [[Brare]] and the Canal [[dr]] Centre at [[Digin]], a distance of [[916]] [[mk]]. [[t]] replaced the use of the River Loire which had [[relibility]] problems arising from winter floods and summer droughts. Aqueducts were [[sued]] to cross the River [[AllieT]] at [[L]] [[Gétin]] (in the [[cmommune]] of [[Cuff]]) and the [[Rive]] [[Lore]] at [[Digon]], but because of the extreme length required, one was not built to cross the [[Loier]] [[Rver]] at [[Brare]] until [[18H96]] when the Briare aqueduct was constructed.",0.10196143388748169,0.1693752408027649,2,2,2,232,"Failed"
"Les Disques du Crépuscule is an independent record label founded in Belgium. The label was founded in 1980 by Michel Duval and Annik Honoré. It also had a prominent associated sublabel, Factory Benelux. Both are now run by former employee James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the label's catalogue numbers being prefixed by the letters TWI.","Les Disques du Crépuscule is an independent record label founded in Belgium. The label was founded in 1980 by Michel Duval and Annik Honoré. It also had a prominent associated sublabel, Factory Benelux. Both are now run by former employee James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the label's catalogue numbers being prefixed by the letters TWI.",0.6323041915893555,0.6323041915893555,1,1,0,1,"Skipped"
"The 2003 All-Ireland Under-21 [[Hurling]] Championship [[final]] was a hurling [[match]] that was played at [[Semple]] Stadium, Thurles on 21 September 2003 to determine the winners of the 2003 All-Ireland Under-21 Hurling Championship, the 40th season of the All-Ireland Under-21 Hurling Championship, a tournament organised by the Gaelic Athletic Association for the champion teams of the four provinces of Ireland. The final was contested by Kilkenny of Leinster and Galway of Connacht, with Kilkenny winning by 2-13 to 0-12.","The 2003 All-Ireland Under-21 [[HurlinP]] Championship [[finla]] was a hurling [[amtch]] that was played at [[SeXple]] Stadium, Thurles on 21 September 2003 to determine the winners of the 2003 All-Ireland Under-21 Hurling Championship, the 40th season of the All-Ireland Under-21 Hurling Championship, a tournament organised by the Gaelic Athletic Association for the champion teams of the four provinces of Ireland. The final was contested by Kilkenny of Leinster and Galway of Connacht, with Kilkenny winning by 2-13 to 0-12.",0.04948657751083374,0.9564239978790283,5,6,5,71,"Successful"
"Damon Kyle Wayans, Sr. (/ˈdeɪmən [[ˈweɪ]].[[ənz]]/; [[born]] September 4, 1960) is an American actor, [[comedian]], writer and producer, and member of the Wayans family of entertainers. Wayans performed as a comedian and actor throughout the 1980s, including a yearlong stint on the sketch comedy series Saturday Night Live, [[although]] his true breakthrough came as a [[co-creator]] and [[performer]] on his own [[sketch]] comedy [[show]], [[In]] Living [[Color]], from 1990 to [[1992]]. Since then he has [[starred]] in a number of films and television shows, some of which he has co-produced or co-written, including [[The]] Last Boy [[Scout]] and Major Payne, and the [[sitcom]] [[My]] Wife and Kids.","Damon Kyle Wayans, Sr. (/ˈdeɪmən [[ˈwegɪ]].[[əLz]]/; [[bor]] September 4, 1960) is an American actor, [[coedian]], writer and producer, and member of the Wayans family of entertainers. Wayans performed as a comedian and actor throughout the 1980s, including a yearlong stint on the sketch comedy series Saturday Night Live, [[aYlthough]] his true breakthrough came as a [[ceo-creator]] and [[performre]] on his own [[setch]] comedy [[sho]], [[I]] Living [[olor]], from 1990 to [[199]]. Since then he has [[stared]] in a number of films and television shows, some of which he has co-produced or co-written, including [[ThY]] Last Boy [[ScouSt]] and Major Payne, and the [[siotcom]] [[Iy]] Wife and Kids.",0.05691111087799072,0.07077980041503906,0,0,0,332,"Failed"
"Giulia [[Sergas]] ([[born]] 26 [[December]] 1979) is an [[Italian]] professional [[golfer]], currently playing on both the LPGA Tour and the Ladies European Tour.","Giulia [[Srgas]] ([[bsorn]] 26 [[Decmeber]] 1979) is an [[ItaElian]] professional [[gofler]], currently playing on both the LPGA Tour and the Ladies European Tour.",0.06132090091705322,0.9999973177909851,0,5,0,41,"Successful"
"The Brockville Football Club was a team that played in the QRFU at the turn of the century. They had great success early on in their history. In 1899, they finished in first place in the QRFU but lost to Ottawa College in the Quebec finals. They won the QRFU Championship in 1900 but lost in the Dominion Final to the Ottawa Rough Riders.","The Brockville Football Club was a team that played in the QRFU at the turn of the century. They had great success early on in their history. In 1899, they finished in first place in the QRFU but lost to Ottawa College in the Quebec finals. They won the QRFU Championship in 1900 but lost in the Dominion Final to the Ottawa Rough Riders.",0.9783583879470825,0.9783583879470825,6,6,0,1,"Skipped"
"Sebastian [[Piersig]] (born May 28, [[1984]] in [[Spremberg]], Brandenburg) is a German [[slalom]] [[canoer]] who competed in the 2000s in the C-2 category together with Felix Michel. [[He]] won a silver medal in the [[C-2]] [[team]] event at the 2006 [[ICF]] Canoe Slalom World Championships in Prague. He also won [[two]] [[gold]] [[medals]] in the same [[event]] at the European [[Championships]]. Piersig [[finished]] sixth in the C-2 event at the [[2008]] Summer [[Olympics]] in Beijing.","Sebastian [[PRiersig]] (born May 28, [[Q1984]] in [[Spermberg]], Brandenburg) is a German [[sglalom]] [[caoner]] who competed in the 2000s in the C-2 category together with Felix Michel. [[H]] won a silver medal in the [[CK2]] [[tfeam]] event at the 2006 [[IC]] Canoe Slalom World Championships in Prague. He also won [[tow]] [[glod]] [[medalc]] in the same [[even]] at the European [[hampionships]]. Piersig [[finihed]] sixth in the C-2 event at the [[w2008]] Summer [[OlympicD]] in Beijing.",0.05644083023071289,0.06612539291381836,0,0,0,239,"Failed"
"These are the results of the women's individual all-around competition, [[one]] of six events for female [[competitors]] in artistic [[gymnastics]] at the 2000 Summer Olympics in Sydney. [[The]] qualification and final [[rounds]] [[took]] place on September [[17]] and [[21]] at the Sydney SuperDome. [[The]] all-around competition in the discipline of women's artistic gymnastics ([[WAG]]) was marred by [[three]] separate scandals. [[The]] vault apparatus was set incorrectly for more than half of the [[meet]]; consequently many gymnasts fell or were injured on the event. [[The]] apparatus was adjusted during the third rotation and those gymnasts who had vaulted on the incorrectly [[set]] equipment were invited to re-do the event at the end of the competition. Notably, Svetlana Khorkina, who led champion Andreea Răducan by [[nearly]] 0.3 in qualifications, was thrown out of medal [[contention]] due to the wrongly measured vault. Additionally, world all-around silver medalist Viktoria Karpenko, who [[led]] the competition until the last rotation, was thrown from first place after she stubbed her toe, tripped, and fell out of bounds on her floor exercise. These are testaments to the upset of the entire competition. Finally, though not [[necessarily]] a favorite for an all-around medal, Dong [[Fangxiao]] was found in [[2010]] to have been underaged at the Sydney Olympics. Consequently, all of her results from the [[competition]] - including her [[all-around]] results - were [[cancelled]].","These are the results of the women's individual all-around competition, [[on]] of six events for female [[competitorx]] in artistic [[gymastics]] at the 2000 Summer Olympics in Sydney. [[he]] qualification and final [[Mounds]] [[Look]] place on September [[71]] and [[12]] at the Sydney SuperDome. [[Th]] all-around competition in the discipline of women's artistic gymnastics ([[WGA]]) was marred by [[there]] separate scandals. [[Th]] vault apparatus was set incorrectly for more than half of the [[met]]; consequently many gymnasts fell or were injured on the event. [[Th]] apparatus was adjusted during the third rotation and those gymnasts who had vaulted on the incorrectly [[se]] equipment were invited to re-do the event at the end of the competition. Notably, Svetlana Khorkina, who led champion Andreea Răducan by [[narly]] 0.3 in qualifications, was thrown out of medal [[contetion]] due to the wrongly measured vault. Additionally, world all-around silver medalist Viktoria Karpenko, who [[le]] the competition until the last rotation, was thrown from first place after she stubbed her toe, tripped, and fell out of bounds on her floor exercise. These are testaments to the upset of the entire competition. Finally, though not [[necessariKly]] a favorite for an all-around medal, Dong [[FaRngxiao]] was found in [[2001]] to have been underaged at the Sydney Olympics. Consequently, all of her results from the [[compTetition]] - including her [[al-around]] results - were [[cnacelled]].",0.08319360017776489,0.215368390083313,5,5,5,587,"Failed"
"The Texas river cooter (Pseudemys texana) is a species of freshwater turtle native to creeks, rivers, and lakes of the US state of Texas. It is found in the river basins of the Colorado, Brazos, Guadalupe, and San Antonio Rivers. It is one of two species of cooter native to the state, the other being the Eastern River Cooter.","The Texas river cooter (Pseudemys texana) is a species of freshwater turtle native to creeks, rivers, and lakes of the US state of Texas. It is found in the river basins of the Colorado, Brazos, Guadalupe, and San Antonio Rivers. It is one of two species of cooter native to the state, the other being the Eastern River Cooter.",0.9844840168952942,0.9844840168952942,2,2,3,1,"Skipped"
