"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"'Nonis' is a hybrid cultivar of the genus Neoregelia in the Bromeliad [[family]].","'Nonis' is a hybrid cultivar of the genus Neoregelia in the Bromeliad [[household]].",0.0008758902549743652,0.0008775591850280762,3,3,3,50,"Failed"
"The [[Canal]] Latéral à [[la]] Loire was [[constructed]] between 1827 and 1838 to [[connect]] the [[Canal]] [[de]] Briare at Briare and the [[Canal]] du [[Centre]] at Digoin, a [[distance]] of 196 km. It replaced the [[use]] of the River Loire which had reliability [[problems]] [[arising]] from winter floods and summer droughts. Aqueducts were [[used]] to [[cross]] the River Allier at Le Guétin (in the [[commune]] of Cuffy) and the [[River]] Loire at Digoin, but because of the extreme length [[required]], one was not [[built]] to [[cross]] the Loire [[River]] at Briare until 1896 when the Briare aqueduct was [[constructed]].","The [[duct]] Latéral à [[lanthanum]] Loire was [[build]] between 1827 and 1838 to [[relate]] the [[duct]] [[Delaware]] Briare at Briare and the [[duct]] du [[marrow]] at Digoin, a [[length]] of 196 km. It replaced the [[habit]] of the River Loire which had reliability [[trouble]] [[grow]] from winter floods and summer droughts. Aqueducts were [[apply]] to [[track]] the River Allier at Le Guétin (in the [[communicate]] of Cuffy) and the [[river]] Loire at Digoin, but because of the extreme length [[involve]], one was not [[establish]] to [[crabby]] the Loire [[river]] at Briare until 1896 when the Briare aqueduct was [[reconstruct]].",0.10196143388748169,0.1754947304725647,2,2,2,605,"Failed"
"Les Disques du Crépuscule is an independent record label founded in Belgium. The label was founded in 1980 by Michel Duval and Annik Honoré. It also had a prominent associated sublabel, Factory Benelux. Both are now run by former employee James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the label's catalogue numbers being prefixed by the letters TWI.","Les Disques du Crépuscule is an independent record label founded in Belgium. The label was founded in 1980 by Michel Duval and Annik Honoré. It also had a prominent associated sublabel, Factory Benelux. Both are now run by former employee James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the label's catalogue numbers being prefixed by the letters TWI.",0.6323041915893555,0.6323041915893555,1,1,0,1,"Skipped"
"The 2003 All-Ireland Under-21 [[Hurling]] Championship final was a [[hurling]] match that was [[played]] at Semple Stadium, Thurles on 21 September 2003 to determine the [[winners]] of the 2003 All-Ireland Under-21 Hurling Championship, the 40th season of the All-Ireland Under-21 [[Hurling]] Championship, a tournament organised by the Gaelic Athletic Association for the champion teams of the four provinces of Ireland. The final was contested by Kilkenny of Leinster and Galway of Connacht, with Kilkenny winning by 2-13 to 0-12.","The 2003 All-Ireland Under-21 [[thrust]] Championship final was a [[throw]] match that was [[fiddle]] at Semple Stadium, Thurles on 21 September 2003 to determine the [[achiever]] of the 2003 All-Ireland Under-21 Hurling Championship, the 40th season of the All-Ireland Under-21 [[cast]] Championship, a tournament organised by the Gaelic Athletic Association for the champion teams of the four provinces of Ireland. The final was contested by Kilkenny of Leinster and Galway of Connacht, with Kilkenny winning by 2-13 to 0-12.",0.04948657751083374,0.5925770998001099,5,6,5,314,"Successful"
"Damon Kyle Wayans, Sr. (/ˈdeɪmən ˈweɪ.ənz/; [[born]] September 4, 1960) is an American [[actor]], [[comedian]], writer and producer, and member of the Wayans [[family]] of entertainers. Wayans performed as a comedian and [[actor]] throughout the [[1980s]], including a yearlong stint on the [[sketch]] comedy series Saturday Night [[Live]], although his [[true]] [[breakthrough]] [[came]] as a co-creator and performer on his own [[sketch]] comedy [[show]], In [[Living]] Color, from 1990 to 1992. Since then he has starred in a [[number]] of films and [[television]] [[shows]], some of which he has co-produced or co-written, [[including]] The [[Last]] Boy [[Scout]] and Major Payne, and the sitcom My Wife and [[Kids]].","Damon Kyle Wayans, Sr. (/ˈdeɪmən ˈweɪ.ənz/; [[Born]] September 4, 1960) is an American [[thespian]], [[comic]], writer and producer, and member of the Wayans [[folk]] of entertainers. Wayans performed as a comedian and [[player]] throughout the [[eighties]], including a yearlong stint on the [[resume]] comedy series Saturday Night [[unrecorded]], although his [[rightful]] [[find]] [[fare]] as a co-creator and performer on his own [[resume]] comedy [[usher]], In [[live]] Color, from 1990 to 1992. Since then he has starred in a [[bit]] of films and [[video]] [[usher]], some of which he has co-produced or co-written, [[include]] The [[live]] Boy [[guide]] and Major Payne, and the sitcom My Wife and [[chaff]].",0.05691111087799072,0.06606996059417725,0,0,0,771,"Failed"
"Giulia Sergas ([[born]] [[26]] December 1979) is an Italian [[professional]] golfer, currently [[playing]] on both the LPGA [[Tour]] and the Ladies European [[Tour]].","Giulia Sergas ([[carry]] [[twenty-six]] December 1979) is an Italian [[master]] golfer, currently [[encounter]] on both the LPGA [[circuit]] and the Ladies European [[enlistment]].",0.06132090091705322,0.8176892995834351,0,2,0,176,"Successful"
"The Brockville Football Club was a team that played in the QRFU at the turn of the century. They had great success early on in their history. In 1899, they finished in first place in the QRFU but lost to Ottawa College in the Quebec finals. They won the QRFU Championship in 1900 but lost in the Dominion Final to the Ottawa Rough Riders.","The Brockville Football Club was a team that played in the QRFU at the turn of the century. They had great success early on in their history. In 1899, they finished in first place in the QRFU but lost to Ottawa College in the Quebec finals. They won the QRFU Championship in 1900 but lost in the Dominion Final to the Ottawa Rough Riders.",0.9783583879470825,0.9783583879470825,6,6,0,1,"Skipped"
"Sebastian Piersig ([[born]] [[May]] 28, 1984 in Spremberg, Brandenburg) is a German slalom canoer who competed in the 2000s in the C-2 category together with Felix Michel. [[He]] won a [[silver]] medal in the C-2 team [[event]] at the 2006 ICF Canoe [[Slalom]] [[World]] [[Championships]] in Prague. [[He]] also won [[two]] [[gold]] medals in the same event at the European [[Championships]]. Piersig [[finished]] sixth in the C-2 event at the 2008 Summer Olympics in Beijing.","Sebastian Piersig ([[Born]] [[whitethorn]] 28, 1984 in Spremberg, Brandenburg) is a German slalom canoer who competed in the 2000s in the C-2 category together with Felix Michel. [[helium]] won a [[silver-tongued]] medal in the C-2 team [[result]] at the 2006 ICF Canoe [[slalom]] [[humankind]] [[title]] in Prague. [[helium]] also won [[2]] [[amber]] medals in the same event at the European [[patronage]]. Piersig [[end]] sixth in the C-2 event at the 2008 Summer Olympics in Beijing.",0.05644083023071289,0.06581389904022217,0,0,0,351,"Failed"
"The Texas river cooter (Pseudemys texana) is a species of freshwater turtle native to creeks, rivers, and lakes of the US state of Texas. It is found in the river basins of the Colorado, Brazos, Guadalupe, and San Antonio Rivers. It is one of two species of cooter native to the state, the other being the Eastern River Cooter.","The Texas river cooter (Pseudemys texana) is a species of freshwater turtle native to creeks, rivers, and lakes of the US state of Texas. It is found in the river basins of the Colorado, Brazos, Guadalupe, and San Antonio Rivers. It is one of two species of cooter native to the state, the other being the Eastern River Cooter.",0.9844840168952942,0.9844840168952942,2,2,3,1,"Skipped"
"Yisrael Beiteinu (Hebrew: יִשְׂרָאֵל בֵּיתֵנוּ‎‎, lit. Israel is Our Home) is a secularist and right-wing nationalist political party in Israel. The party's [[base]] has traditionally been secular, Russian-speaking Israelis. The party describes itself as \""a national movement with the [[clear]] vision to follow in the bold path of Zev Jabotinsky\"", the founder of Revisionist Zionism. It primarily represents immigrants from the former Soviet Union. Although it has attempted to expand its appeal to more established Israelis, it has not been successful, and most of its voters are Russian-speaking. It takes a strong line towards the peace process and the integration of Israeli Arabs, characterized by its 2009 election slogan \""No loyalty, no citizenship\"". Its main platform includes a [[recognition]] of the two-state solution, the creation of a Palestinian state that would include an exchange of some largely Arab-inhabited parts of Israel for largely Jewish-inhabited parts of the West Bank. The party maintains an anti-clerical mantle and encourages socio-economic opportunities for [[new]] immigrants, in [[conjunction]] with efforts to increase Jewish immigration. In the 2009 election the party won 15 seats, its most to date, making it the third [[largest]] party in the previous Knesset. In the 2015 election, the party won six seats.","Yisrael Beiteinu (Hebrew: יִשְׂרָאֵל בֵּיתֵנוּ‎‎, lit. Israel is Our Home) is a secularist and right-wing nationalist political party in Israel. The party's [[found]] has traditionally been secular, Russian-speaking Israelis. The party describes itself as \""a national movement with the [[cleared]] vision to follow in the bold path of Zev Jabotinsky\"", the founder of Revisionist Zionism. It primarily represents immigrants from the former Soviet Union. Although it has attempted to expand its appeal to more established Israelis, it has not been successful, and most of its voters are Russian-speaking. It takes a strong line towards the peace process and the integration of Israeli Arabs, characterized by its 2009 election slogan \""No loyalty, no citizenship\"". Its main platform includes a [[credit]] of the two-state solution, the creation of a Palestinian state that would include an exchange of some largely Arab-inhabited parts of Israel for largely Jewish-inhabited parts of the West Bank. The party maintains an anti-clerical mantle and encourages socio-economic opportunities for [[newly]] immigrants, in [[continuative]] with efforts to increase Jewish immigration. In the 2009 election the party won 15 seats, its most to date, making it the third [[great]] party in the previous Knesset. In the 2015 election, the party won six seats.",0.3065263628959656,0.6005772352218628,0,5,0,1106,"Successful"
