"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"'Nonis' is a [[hybrid]] cultivar of the genus Neoregelia in the Bromeliad [[family]].","'Nonis' is a [[loan-blend]] cultivar of the genus Neoregelia in the Bromeliad [[category]].",0.2745628356933594,0.2776743769645691,3,3,3,50,"Failed"
"The [[Canal]] Latéral à la Loire was constructed between 1827 and 1838 to connect the Canal de Briare at Briare and the Canal du [[Centre]] at Digoin, a distance of 196 km. It [[replaced]] the use of the River Loire which had reliability problems [[arising]] from winter [[floods]] and summer droughts. Aqueducts were [[used]] to [[cross]] the River Allier at Le Guétin (in the commune of Cuffy) and the River Loire at Digoin, but because of the extreme length required, one was not [[built]] to [[cross]] the Loire River at Briare until 1896 when the Briare aqueduct was [[constructed]].","The [[duct]] Latéral à la Loire was constructed between 1827 and 1838 to connect the Canal de Briare at Briare and the Canal du [[nitty-gritty]] at Digoin, a distance of 196 km. It [[substitute]] the use of the River Loire which had reliability problems [[grow]] from winter [[swamp]] and summer droughts. Aqueducts were [[expend]] to [[mark]] the River Allier at Le Guétin (in the commune of Cuffy) and the River Loire at Digoin, but because of the extreme length required, one was not [[establish]] to [[crossing]] the Loire River at Briare until 1896 when the Briare aqueduct was [[build]].",0.561835527420044,0.7041999101638794,2,5,2,522,"Successful"
"Les Disques du Crépuscule is an independent record [[label]] founded in Belgium. The label was founded in 1980 by Michel Duval and Annik Honoré. It also had a prominent associated sublabel, Factory Benelux. Both are now run by former employee James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the label's catalogue numbers being prefixed by the letters TWI.","Les Disques du Crépuscule is an independent record [[pronounce]] founded in Belgium. The label was founded in 1980 by Michel Duval and Annik Honoré. It also had a prominent associated sublabel, Factory Benelux. Both are now run by former employee James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the label's catalogue numbers being prefixed by the letters TWI.",0.48783576488494873,0.6869103312492371,0,1,0,236,"Successful"
"The 2003 All-Ireland Under-21 [[Hurling]] [[Championship]] final was a [[hurling]] [[match]] that was played at Semple [[Stadium]], Thurles on 21 [[September]] 2003 to determine the [[winners]] of the 2003 All-Ireland Under-21 Hurling [[Championship]], the [[40th]] [[season]] of the All-Ireland Under-21 [[Hurling]] [[Championship]], a tournament organised by the Gaelic [[Athletic]] [[Association]] for the [[champion]] teams of the [[four]] [[provinces]] of Ireland. The final was contested by Kilkenny of Leinster and Galway of Connacht, with Kilkenny [[winning]] by 2-13 to 0-12.","The 2003 All-Ireland Under-21 [[hurl]] [[patronage]] final was a [[hurl]] [[equalize]] that was played at Semple [[stadium]], Thurles on 21 [[Sept]] 2003 to determine the [[winner]] of the 2003 All-Ireland Under-21 Hurling [[title]], the [[fortieth]] [[mollify]] of the All-Ireland Under-21 [[hurtle]] [[patronage]], a tournament organised by the Gaelic [[gymnastic]] [[connection]] for the [[champ]] teams of the [[IV]] [[responsibility]] of Ireland. The final was contested by Kilkenny of Leinster and Galway of Connacht, with Kilkenny [[victorious]] by 2-13 to 0-12.",0.27867716550827026,0.649517297744751,5,0,5,481,"Successful"
"Giulia Sergas ([[born]] 26 December 1979) is an Italian professional golfer, [[currently]] [[playing]] on both the LPGA [[Tour]] and the [[Ladies]] European [[Tour]].","Giulia Sergas ([[acquit]] 26 December 1979) is an Italian professional golfer, [[presently]] [[bet]] on both the LPGA [[tour]] and the [[Lady]] European [[hitch]].",0.3041872978210449,0.3624489903450012,0,0,0,187,"Failed"
"The Brockville Football [[Club]] was a team that played in the QRFU at the turn of the century. They had great success early on in their history. In 1899, they finished in first place in the QRFU but lost to Ottawa College in the Quebec finals. They won the QRFU Championship in 1900 but lost in the Dominion Final to the Ottawa Rough Riders.","The Brockville Football [[bludgeon]] was a team that played in the QRFU at the turn of the century. They had great success early on in their history. In 1899, they finished in first place in the QRFU but lost to Ottawa College in the Quebec finals. They won the QRFU Championship in 1900 but lost in the Dominion Final to the Ottawa Rough Riders.",0.5445632934570312,0.9182507395744324,0,6,0,296,"Successful"
"Sebastian Piersig ([[born]] May 28, 1984 in Spremberg, Brandenburg) is a German slalom canoer who [[competed]] in the 2000s in the C-2 category together with Felix Michel. [[He]] won a silver [[medal]] in the C-2 team [[event]] at the 2006 ICF Canoe [[Slalom]] [[World]] [[Championships]] in Prague. He [[also]] won [[two]] gold medals in the same event at the European [[Championships]]. Piersig [[finished]] sixth in the C-2 [[event]] at the 2008 [[Summer]] Olympics in [[Beijing]].","Sebastian Piersig ([[expect]] May 28, 1984 in Spremberg, Brandenburg) is a German slalom canoer who [[compete]] in the 2000s in the C-2 category together with Felix Michel. [[helium]] won a silver [[palm]] in the C-2 team [[consequence]] at the 2006 ICF Canoe [[slalom]] [[worldwide]] [[championship]] in Prague. He [[too]] won [[II]] gold medals in the same event at the European [[patronage]]. Piersig [[complete]] sixth in the C-2 [[outcome]] at the 2008 [[summer]] Olympics in [[Peking]].",0.4178510904312134,0.48438459634780884,0,0,0,351,"Failed"
"Damon Kyle Wayans, [[Sr]]. (/ˈdeɪmən ˈweɪ.ənz/; [[born]] September [[4]], 1960) is an American [[actor]], [[comedian]], [[writer]] and [[producer]], and [[member]] of the Wayans [[family]] of entertainers. Wayans [[performed]] as a [[comedian]] and [[actor]] throughout the [[1980s]], [[including]] a yearlong [[stint]] on the [[sketch]] comedy [[series]] [[Saturday]] [[Night]] [[Live]], although his [[true]] [[breakthrough]] [[came]] as a co-creator and performer on his own [[sketch]] comedy [[show]], [[In]] [[Living]] [[Color]], from 1990 to 1992. Since then he has [[starred]] in a [[number]] of [[films]] and television [[shows]], some of which he has co-produced or co-written, including The [[Last]] [[Boy]] [[Scout]] and [[Major]] Payne, and the sitcom My [[Wife]] and Kids.","Damon Kyle Wayans, [[sr]]. (/ˈdeɪmən ˈweɪ.ənz/; [[deport]] September [[four]], 1960) is an American [[worker]], [[comic]], [[author]] and [[manufacturer]], and [[penis]] of the Wayans [[home]] of entertainers. Wayans [[do]] as a [[comic]] and [[worker]] throughout the [[eighties]], [[include]] a yearlong [[stretch]] on the [[resume]] comedy [[serial]] [[Sat]] [[nighttime]] [[inhabit]], although his [[reliable]] [[find]] [[hail]] as a co-creator and performer on his own [[study]] comedy [[express]], [[inch]] [[keep]] [[gloss]], from 1990 to 1992. Since then he has [[star]] in a [[bit]] of [[picture]] and television [[designate]], some of which he has co-produced or co-written, including The [[end]] [[boy]] [[watch]] and [[major]] Payne, and the sitcom My [[wife]] and Kids.",0.2002483606338501,0.2731361389160156,0,0,0,771,"Failed"
"The Texas river cooter (Pseudemys texana) is a [[species]] of freshwater [[turtle]] [[native]] to creeks, rivers, and lakes of the US [[state]] of [[Texas]]. It is found in the river basins of the Colorado, Brazos, Guadalupe, and San Antonio Rivers. It is [[one]] of [[two]] species of cooter [[native]] to the [[state]], the other being the [[Eastern]] River [[Cooter]].","The Texas river cooter (Pseudemys texana) is a [[coinage]] of freshwater [[polo-neck]] [[aborigine]] to creeks, rivers, and lakes of the US [[posit]] of [[TX]]. It is found in the river basins of the Colorado, Brazos, Guadalupe, and San Antonio Rivers. It is [[peerless]] of [[II]] species of cooter [[aborigine]] to the [[posit]], the other being the [[easterly]] River [[cooter]].",0.17977029085159302,0.2899289131164551,3,3,3,271,"Failed"
"Yisrael Beiteinu (Hebrew: יִשְׂרָאֵל בֵּיתֵנוּ‎‎, lit. Israel is Our Home) is a secularist and right-wing nationalist political [[party]] in Israel. The party's base has traditionally been secular, Russian-speaking Israelis. The party describes itself as \""a national movement with the clear vision to follow in the bold path of Zev Jabotinsky\"", the founder of Revisionist Zionism. It primarily represents immigrants from the former Soviet Union. Although it has attempted to expand its appeal to more established Israelis, it has not been successful, and most of its voters are Russian-speaking. It takes a strong line towards the peace process and the integration of Israeli Arabs, characterized by its 2009 election slogan \""No loyalty, no citizenship\"". Its main platform includes a recognition of the two-state solution, the creation of a Palestinian state that would include an exchange of some largely Arab-inhabited parts of Israel for largely Jewish-inhabited parts of the West Bank. The party maintains an anti-clerical mantle and encourages socio-economic opportunities for new immigrants, in conjunction with efforts to increase Jewish immigration. In the 2009 election the party won 15 seats, its most to date, making it the third largest party in the previous Knesset. In the 2015 election, the party won six [[seats]].","Yisrael Beiteinu (Hebrew: יִשְׂרָאֵל בֵּיתֵנוּ‎‎, lit. Israel is Our Home) is a secularist and right-wing nationalist political [[company]] in Israel. The party's base has traditionally been secular, Russian-speaking Israelis. The party describes itself as \""a national movement with the clear vision to follow in the bold path of Zev Jabotinsky\"", the founder of Revisionist Zionism. It primarily represents immigrants from the former Soviet Union. Although it has attempted to expand its appeal to more established Israelis, it has not been successful, and most of its voters are Russian-speaking. It takes a strong line towards the peace process and the integration of Israeli Arabs, characterized by its 2009 election slogan \""No loyalty, no citizenship\"". Its main platform includes a recognition of the two-state solution, the creation of a Palestinian state that would include an exchange of some largely Arab-inhabited parts of Israel for largely Jewish-inhabited parts of the West Bank. The party maintains an anti-clerical mantle and encourages socio-economic opportunities for new immigrants, in conjunction with efforts to increase Jewish immigration. In the 2009 election the party won 15 seats, its most to date, making it the third largest party in the previous Knesset. In the 2015 election, the party won six [[prat]].",0.6266689300537109,0.7529600262641907,0,1,0,984,"Successful"
