"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"'Nonis' is a [[hybrid]] cultivar of the [[genus]] Neoregelia in the Bromeliad [[family]].","'Nonis' is a [[shamrock]] cultivar of the [[dudes]] Neoregelia in the Bromeliad [[dwellings]].",0.2979641556739807,0.3233962059020996,3,3,3,75,"Failed"
"The [[Canal]] Latéral [[à]] [[la]] Loire was [[constructed]] between 1827 and 1838 to [[connect]] the [[Canal]] de Briare at Briare and the [[Canal]] [[du]] [[Centre]] at Digoin, a [[distance]] of 196 [[km]]. [[It]] [[replaced]] the use of the [[River]] Loire which [[had]] [[reliability]] [[problems]] arising from winter floods and [[summer]] [[droughts]]. [[Aqueducts]] were used to [[cross]] the [[River]] Allier at [[Le]] Guétin (in the [[commune]] of Cuffy) and the [[River]] Loire at Digoin, but [[because]] of the [[extreme]] [[length]] [[required]], one was not [[built]] to [[cross]] the Loire [[River]] at Briare until 1896 when the Briare [[aqueduct]] was [[constructed]].","The [[Canals]] Latéral [[pour]] [[du]] Loire was [[engender]] between 1827 and 1838 to [[attached]] the [[Canals]] de Briare at Briare and the [[Canals]] [[pour]] [[Facilities]] at Digoin, a [[alienation]] of 196 [[klicks]]. [[His]] [[predecessor]] the use of the [[Waterways]] Loire which [[became]] [[trusts]] [[difficulties]] arising from winter floods and [[ronald]] [[dryness]]. [[Hydrants]] were used to [[crucifix]] the [[Waterways]] Allier at [[Li]] Guétin (in the [[boroughs]] of Cuffy) and the [[Waterways]] Loire at Digoin, but [[for]] of the [[utmost]] [[period]] [[asks]], one was not [[building]] to [[transit]] the Loire [[Waterways]] at Briare until 1896 when the Briare [[water]] was [[manufactured]].",0.27556920051574707,0.38328099250793457,2,2,2,907,"Failed"
"Les Disques du Crépuscule is an [[independent]] [[record]] [[label]] founded in Belgium. The [[label]] was founded in 1980 by [[Michel]] Duval and Annik Honoré. [[It]] also [[had]] a [[prominent]] [[associated]] sublabel, [[Factory]] Benelux. [[Both]] are now [[run]] by former [[employee]] [[James]] [[Nice]]. \""Crépuscule\"" [[translates]] as \""[[twilight]]\"", with most of the label's [[catalogue]] [[numbers]] being prefixed by the [[letters]] TWI.","Les Disques du Crépuscule is an [[untied]] [[debriefing]] [[nametag]] founded in Belgium. The [[stamp]] was founded in 1980 by [[Mikhail]] Duval and Annik Honoré. [[His]] also [[hectare]] a [[conspicuous]] [[corresponding]] sublabel, [[Vegetation]] Benelux. [[Thus]] are now [[applied]] by former [[persons]] [[Jacques]] [[Pleasing]]. \""Crépuscule\"" [[indicates]] as \""[[dusk]]\"", with most of the label's [[classifies]] [[quantities]] being prefixed by the [[letter]] TWI.",0.20386457443237305,0.8046320676803589,0,3,0,580,"Successful"
"[[The]] 2003 All-Ireland Under-21 [[Hurling]] [[Championship]] [[final]] was a [[hurling]] [[match]] that was played at Semple [[Stadium]], Thurles on 21 [[September]] 2003 to [[determine]] the [[winners]] of the 2003 All-Ireland Under-21 [[Hurling]] [[Championship]], the 40th season of the All-Ireland Under-21 Hurling Championship, a [[tournament]] [[organised]] by the [[Gaelic]] [[Athletic]] [[Association]] for the [[champion]] [[teams]] of the four [[provinces]] of [[Ireland]]. The [[final]] was [[contested]] by Kilkenny of Leinster and [[Galway]] of Connacht, with Kilkenny [[winning]] by 2-13 to 0-12.","[[Both]] 2003 All-Ireland Under-21 [[Tossing]] [[Buckaroo]] [[last]] was a [[smashing]] [[matches]] that was played at Semple [[Phase]], Thurles on 21 [[Janvier]] 2003 to [[ascertain]] the [[earning]] of the 2003 All-Ireland Under-21 [[Tossing]] [[Champions]], the 40th season of the All-Ireland Under-21 Hurling Championship, a [[pageant]] [[organizes]] by the [[Scottish]] [[Recreation]] [[Associating]] for the [[championship]] [[teamwork]] of the four [[administrations]] of [[Wicklow]]. The [[recent]] was [[conflicted]] by Kilkenny of Leinster and [[Drogheda]] of Connacht, with Kilkenny [[finalist]] by 2-13 to 0-12.",0.37076133489608765,0.7626726627349854,5,6,5,597,"Successful"
"Damon [[Kyle]] Wayans, Sr. (/ˈdeɪmən ˈweɪ.ənz/; [[born]] [[September]] 4, 1960) is an [[American]] [[actor]], [[comedian]], [[writer]] and [[producer]], and [[member]] of the Wayans [[family]] of [[entertainers]]. Wayans [[performed]] as a comedian and [[actor]] throughout the 1980s, [[including]] a yearlong stint on the [[sketch]] [[comedy]] [[series]] [[Saturday]] [[Night]] [[Live]], although his true [[breakthrough]] [[came]] as a co-creator and [[performer]] on his [[own]] [[sketch]] [[comedy]] [[show]], [[In]] [[Living]] [[Color]], from 1990 to 1992. [[Since]] then he [[has]] [[starred]] in a [[number]] of [[films]] and [[television]] [[shows]], some of which he [[has]] co-produced or co-written, [[including]] The [[Last]] [[Boy]] [[Scout]] and [[Major]] Payne, and the [[sitcom]] My [[Wife]] and [[Kids]].","Damon [[Zak]] Wayans, Sr. (/ˈdeɪmən ˈweɪ.ənz/; [[birthed]] [[Seven]] 4, 1960) is an [[Latin]] [[performers]], [[comic]], [[write]] and [[generating]], and [[members]] of the Wayans [[dwelling]] of [[songbird]]. Wayans [[fulfilment]] as a comedian and [[musician]] throughout the 1980s, [[containing]] a yearlong stint on the [[drawings]] [[kidding]] [[installment]] [[Today]] [[Evening]] [[Births]], although his true [[groundbreaking]] [[inlet]] as a co-creator and [[actress]] on his [[sole]] [[biography]] [[comedian]] [[reveals]], [[By]] [[Resides]] [[Colored]], from 1990 to 1992. [[Because]] then he [[gets]] [[comedian]] in a [[volumes]] of [[movie]] and [[velasquez]] [[depicts]], some of which he [[gets]] co-produced or co-written, [[containing]] The [[Previous]] [[Bro]] [[Prospectors]] and [[Transcendent]] Payne, and the [[melodramas]] My [[Fille]] and [[Immature]].",0.19530409574508667,0.2612924575805664,0,0,0,1457,"Failed"
"Giulia Sergas ([[born]] 26 [[December]] 1979) is an [[Italian]] [[professional]] [[golfer]], [[currently]] [[playing]] on both the LPGA [[Tour]] and the [[Ladies]] [[European]] [[Tour]].","Giulia Sergas ([[birth]] 26 [[Janeiro]] 1979) is an [[Ltalian]] [[specialist]] [[golf]], [[recently]] [[cheek]] on both the LPGA [[Circuits]] and the [[Chicks]] [[Reykjavik]] [[Travels]].",0.19149798154830933,0.20048993825912476,0,0,0,304,"Failed"
"The Brockville Football Club was a team that played in the QRFU at the turn of the century. They had great success early on in their history. In 1899, they finished in first place in the QRFU but lost to Ottawa College in the Quebec finals. They won the QRFU Championship in 1900 but lost in the Dominion Final to the Ottawa Rough Riders.","The Brockville Football Club was a team that played in the QRFU at the turn of the century. They had great success early on in their history. In 1899, they finished in first place in the QRFU but lost to Ottawa College in the Quebec finals. They won the QRFU Championship in 1900 but lost in the Dominion Final to the Ottawa Rough Riders.",0.630774974822998,0.630774974822998,6,6,0,1,"Skipped"
"[[Sebastian]] Piersig ([[born]] [[May]] 28, 1984 in Spremberg, [[Brandenburg]]) is a German [[slalom]] canoer who [[competed]] in the 2000s in the C-2 [[category]] together with [[Felix]] [[Michel]]. [[He]] won a silver [[medal]] in the C-2 team [[event]] at the 2006 [[ICF]] [[Canoe]] [[Slalom]] [[World]] [[Championships]] in [[Prague]]. [[He]] also won [[two]] [[gold]] medals in the same [[event]] at the European [[Championships]]. Piersig [[finished]] [[sixth]] in the C-2 [[event]] at the 2008 [[Summer]] [[Olympics]] in [[Beijing]].","[[Fabian]] Piersig ([[birth]] [[Maja]] 28, 1984 in Spremberg, [[Hesse]]) is a German [[skating]] canoer who [[participating]] in the 2000s in the C-2 [[tier]] together with [[Naomi]] [[Michelle]]. [[His]] won a silver [[honours]] in the C-2 team [[activity]] at the 2006 [[IAB]] [[Snorkeling]] [[Skating]] [[Internationally]] [[Copa]] in [[Belgrade]]. [[It]] also won [[three]] [[kim]] medals in the same [[appearances]] at the European [[Trophy]]. Piersig [[terminates]] [[there]] in the C-2 [[appearances]] at the 2008 [[Ronald]] [[Medalist]] in [[Tianjin]].",0.18971902132034302,0.19624894857406616,0,0,0,613,"Failed"
"[[The]] [[Texas]] [[river]] cooter (Pseudemys texana) is a [[species]] of freshwater [[turtle]] native to creeks, rivers, and lakes of the US state of [[Texas]]. [[It]] is [[found]] in the river basins of the Colorado, [[Brazos]], Guadalupe, and San Antonio Rivers. It is one of two [[species]] of cooter native to the state, the other being the Eastern River Cooter.","[[Both]] [[Denton]] [[brook]] cooter (Pseudemys texana) is a [[class]] of freshwater [[spotted]] native to creeks, rivers, and lakes of the US state of [[Lubbock]]. [[He]] is [[detects]] in the river basins of the Colorado, [[Bexar]], Guadalupe, and San Antonio Rivers. It is one of two [[classifies]] of cooter native to the state, the other being the Eastern River Cooter.",0.3253774046897888,0.7160027623176575,3,0,3,186,"Successful"
"These are the [[results]] of the women's [[individual]] all-around [[competition]], one of six [[events]] for [[female]] [[competitors]] in [[artistic]] [[gymnastics]] at the 2000 [[Summer]] [[Olympics]] in Sydney. The [[qualification]] and [[final]] [[rounds]] [[took]] [[place]] on [[September]] 17 and 21 at the Sydney SuperDome. The all-around [[competition]] in the [[discipline]] of women's [[artistic]] [[gymnastics]] (WAG) was [[marred]] by [[three]] [[separate]] scandals. [[The]] vault [[apparatus]] was [[set]] [[incorrectly]] for more than [[half]] of the [[meet]]; [[consequently]] [[many]] gymnasts [[fell]] or were [[injured]] on the [[event]]. The [[apparatus]] was [[adjusted]] during the [[third]] rotation and those gymnasts who had vaulted on the incorrectly [[set]] equipment were [[invited]] to re-do the event at the end of the competition. Notably, Svetlana Khorkina, who [[led]] [[champion]] Andreea Răducan by [[nearly]] 0.3 in [[qualifications]], was [[thrown]] out of [[medal]] [[contention]] due to the [[wrongly]] [[measured]] [[vault]]. Additionally, [[world]] all-around [[silver]] [[medalist]] Viktoria Karpenko, who [[led]] the [[competition]] until the [[last]] rotation, was [[thrown]] from first [[place]] after she stubbed her [[toe]], [[tripped]], and [[fell]] out of [[bounds]] on her [[floor]] [[exercise]]. These are testaments to the [[upset]] of the [[entire]] [[competition]]. [[Finally]], [[though]] not [[necessarily]] a [[favorite]] for an all-around [[medal]], Dong Fangxiao was found in 2010 to [[have]] been underaged at the Sydney [[Olympics]]. [[Consequently]], all of her [[results]] from the [[competition]] - [[including]] her all-around [[results]] - were [[cancelled]].","These are the [[resulting]] of the women's [[sole]] all-around [[tournament]], one of six [[examples]] for [[fille]] [[rivalry]] in [[performer]] [[volleyball]] at the 2000 [[Ronald]] [[Olympian]] in Sydney. The [[capacity]] and [[later]] [[cartridges]] [[takes]] [[venue]] on [[Feb]] 17 and 21 at the Sydney SuperDome. The all-around [[competes]] in the [[strict]] of women's [[imaginative]] [[volleyball]] (WAG) was [[eroded]] by [[four]] [[independent]] scandals. [[Both]] vault [[team]] was [[established]] [[inadvertently]] for more than [[averaging]] of the [[cater]]; [[where]] [[incalculable]] gymnasts [[decline]] or were [[wounded]] on the [[occasions]]. The [[equipment]] was [[modifications]] during the [[iii]] rotation and those gymnasts who had vaulted on the incorrectly [[game]] equipment were [[calling]] to re-do the event at the end of the competition. Notably, Svetlana Khorkina, who [[chaired]] [[defender]] Andreea Răducan by [[intently]] 0.3 in [[grade]], was [[introduced]] out of [[ornamental]] [[litigation]] due to the [[incorrectly]] [[evaluating]] [[trunk]]. Additionally, [[mundo]] all-around [[silvery]] [[trophies]] Viktoria Karpenko, who [[unleashed]] the [[tournaments]] until the [[iast]] rotation, was [[introduced]] from first [[venue]] after she stubbed her [[feet]], [[jumped]], and [[declining]] out of [[bordering]] on her [[porch]] [[drills]]. These are testaments to the [[distraught]] of the [[aggregate]] [[competes]]. [[Lastly]], [[whether]] not [[usually]] a [[prefers]] for an all-around [[medals]], Dong Fangxiao was found in 2010 to [[gets]] been underaged at the Sydney [[Olympian]]. [[Similarly]], all of her [[fruit]] from the [[competes]] - [[consists]] her all-around [[fruit]] - were [[revoked]].",0.4143032431602478,0.7932195663452148,5,4,5,2342,"Successful"
