"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"'Nonis' is a [[hybrid]] cultivar of the [[genus]] Neoregelia in the Bromeliad [[family]].","'Nonis' is a [[mixed]] cultivar of the [[bloke]] Neoregelia in the Bromeliad [[kinship]].",0.18894129991531372,0.19316691160202026,3,3,3,75,"Failed"
"The [[Canal]] Latéral [[à]] [[la]] Loire was [[constructed]] between 1827 and 1838 to [[connect]] the [[Canal]] de Briare at Briare and the [[Canal]] [[du]] [[Centre]] at Digoin, a [[distance]] of 196 [[km]]. [[It]] [[replaced]] the use of the [[River]] Loire which [[had]] [[reliability]] [[problems]] arising from [[winter]] [[floods]] and [[summer]] [[droughts]]. Aqueducts were used to [[cross]] the [[River]] Allier at [[Le]] Guétin (in the [[commune]] of Cuffy) and the [[River]] Loire at Digoin, but [[because]] of the [[extreme]] [[length]] [[required]], one was not [[built]] to [[cross]] the Loire [[River]] at Briare until 1896 when the Briare [[aqueduct]] was [[constructed]].","The [[Canals]] Latéral [[pour]] [[los]] Loire was [[building]] between 1827 and 1838 to [[attaching]] the [[Canals]] de Briare at Briare and the [[Canals]] [[los]] [[Establishments]] at Digoin, a [[separator]] of 196 [[kilometers]]. [[He]] [[superseded]] the use of the [[Aqueduct]] Loire which [[were]] [[trusting]] [[issue]] arising from [[hibernate]] [[tsunamis]] and [[ronald]] [[famines]]. Aqueducts were used to [[crossings]] the [[Aqueduct]] Allier at [[De]] Guétin (in the [[village]] of Cuffy) and the [[Aqueduct]] Loire at Digoin, but [[for]] of the [[considerable]] [[temps]] [[compelled]], one was not [[construction]] to [[crossings]] the Loire [[Aqueduct]] at Briare until 1896 when the Briare [[aqueducts]] was [[building]].",0.2885739803314209,0.8564891219139099,2,0,2,917,"Successful"
"Les Disques du Crépuscule is an independent record [[label]] founded in Belgium. The label was founded in 1980 by Michel Duval and Annik Honoré. It also had a prominent associated sublabel, Factory Benelux. Both are now run by former employee James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the label's catalogue numbers being prefixed by the letters TWI.","Les Disques du Crépuscule is an independent record [[labelled]] founded in Belgium. The label was founded in 1980 by Michel Duval and Annik Honoré. It also had a prominent associated sublabel, Factory Benelux. Both are now run by former employee James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the label's catalogue numbers being prefixed by the letters TWI.",0.7431983947753906,0.7910627126693726,0,1,0,89,"Successful"
"[[The]] 2003 All-Ireland Under-21 [[Hurling]] [[Championship]] [[final]] was a [[hurling]] [[match]] that was [[played]] at [[Semple]] [[Stadium]], Thurles on 21 [[September]] 2003 to [[determine]] the [[winners]] of the 2003 All-Ireland Under-21 [[Hurling]] [[Championship]], the 40th [[season]] of the All-Ireland Under-21 [[Hurling]] [[Championship]], a [[tournament]] [[organised]] by the [[Gaelic]] [[Athletic]] [[Association]] for the [[champion]] [[teams]] of the [[four]] [[provinces]] of [[Ireland]]. The [[final]] was [[contested]] by Kilkenny of Leinster and [[Galway]] of Connacht, with Kilkenny [[winning]] by 2-13 to 0-12.","[[Both]] 2003 All-Ireland Under-21 [[Hurl]] [[Featuring]] [[last]] was a [[lobbed]] [[equivalency]] that was [[doing]] at [[Mcpherson]] [[Phase]], Thurles on 21 [[January]] 2003 to [[establishing]] the [[earning]] of the 2003 All-Ireland Under-21 [[Dodging]] [[Copa]], the 40th [[seasons]] of the All-Ireland Under-21 [[Tossing]] [[Featuring]], a [[championship]] [[organization]] by the [[Scottish]] [[Recreational]] [[League]] for the [[ace]] [[devices]] of the [[three]] [[countries]] of [[Northward]]. The [[last]] was [[challenged]] by Kilkenny of Leinster and [[Waterford]] of Connacht, with Kilkenny [[conquer]] by 2-13 to 0-12.",0.302115797996521,0.6645053029060364,5,6,5,615,"Successful"
"[[Damon]] [[Kyle]] Wayans, [[Sr]]. (/ˈdeɪmən ˈweɪ.ənz/; [[born]] [[September]] 4, 1960) is an [[American]] [[actor]], [[comedian]], [[writer]] and [[producer]], and [[member]] of the Wayans [[family]] of entertainers. Wayans [[performed]] as a comedian and [[actor]] throughout the 1980s, [[including]] a yearlong stint on the [[sketch]] [[comedy]] [[series]] [[Saturday]] [[Night]] Live, although his [[true]] breakthrough [[came]] as a co-creator and [[performer]] on his [[own]] [[sketch]] [[comedy]] [[show]], [[In]] [[Living]] [[Color]], from 1990 to 1992. Since then he [[has]] [[starred]] in a [[number]] of [[films]] and [[television]] shows, some of which he [[has]] co-produced or co-written, [[including]] The [[Last]] [[Boy]] [[Scout]] and [[Major]] Payne, and the [[sitcom]] [[My]] [[Wife]] and [[Kids]].","[[Clint]] [[Randy]] Wayans, [[Kan]]. (/ˈdeɪmən ˈweɪ.ənz/; [[births]] [[Augusto]] 4, 1960) is an [[Latin]] [[musician]], [[irreverent]], [[write]] and [[generators]], and [[coworkers]] of the Wayans [[domicile]] of entertainers. Wayans [[fact]] as a comedian and [[musician]] throughout the 1980s, [[composed]] a yearlong stint on the [[drawings]] [[amusing]] [[installment]] [[Mon]] [[Dark]] Live, although his [[actual]] breakthrough [[reached]] as a co-creator and [[percussionist]] on his [[single]] [[outline]] [[shtick]] [[demo]], [[Onto]] [[Vivo]] [[Picturesque]], from 1990 to 1992. Since then he [[gets]] [[streep]] in a [[numero]] of [[movie]] and [[munoz]] shows, some of which he [[gets]] co-produced or co-written, [[composing]] The [[Previous]] [[Kiddo]] [[Scouting]] and [[Notable]] Payne, and the [[joking]] [[Mana]] [[Consort]] and [[Minors]].",0.31951385736465454,0.7752052545547485,0,8,0,1426,"Successful"
"[[Giulia]] Sergas ([[born]] 26 December 1979) is an [[Italian]] [[professional]] [[golfer]], [[currently]] [[playing]] on both the LPGA Tour and the [[Ladies]] [[European]] Tour.","[[Phoenicia]] Sergas ([[birth]] 26 December 1979) is an [[Ltalian]] [[professions]] [[putter]], [[anymore]] [[jeu]] on both the LPGA Tour and the [[Chicas]] [[Eu]] Tour.",0.338384211063385,0.9692338705062866,0,1,0,185,"Successful"
"The Brockville Football Club was a team that played in the QRFU at the turn of the [[century]]. They had great success early on in their history. In 1899, they finished in first place in the QRFU but lost to Ottawa College in the Quebec [[finals]]. They won the QRFU Championship in 1900 but lost in the Dominion Final to the [[Ottawa]] Rough [[Riders]].","The Brockville Football Club was a team that played in the QRFU at the turn of the [[twentieth]]. They had great success early on in their history. In 1899, they finished in first place in the QRFU but lost to Ottawa College in the Quebec [[quarterfinals]]. They won the QRFU Championship in 1900 but lost in the Dominion Final to the [[Niagara]] Rough [[Truckers]].",0.7158401012420654,0.7827656865119934,0,2,0,102,"Successful"
"Sebastian Piersig ([[born]] [[May]] 28, 1984 in Spremberg, [[Brandenburg]]) is a [[German]] [[slalom]] canoer who [[competed]] in the 2000s in the C-2 [[category]] [[together]] with [[Felix]] [[Michel]]. [[He]] won a [[silver]] [[medal]] in the C-2 [[team]] [[event]] at the 2006 [[ICF]] [[Canoe]] [[Slalom]] [[World]] [[Championships]] in [[Prague]]. [[He]] also won [[two]] [[gold]] [[medals]] in the same [[event]] at the European [[Championships]]. Piersig [[finished]] [[sixth]] in the C-2 [[event]] at the 2008 [[Summer]] [[Olympics]] in [[Beijing]].","Sebastian Piersig ([[arisen]] [[Maj]] 28, 1984 in Spremberg, [[Schwerin]]) is a [[Bavarian]] [[skis]] canoer who [[involved]] in the 2000s in the C-2 [[degrees]] [[collectively]] with [[Nunez]] [[Michael]]. [[It]] won a [[money]] [[adorned]] in the C-2 [[grupo]] [[episodes]] at the 2006 [[ICH]] [[Yacht]] [[Ski]] [[Universe]] [[Copa]] in [[Warsaw]]. [[It]] also won [[three]] [[dorado]] [[awards]] in the same [[protests]] at the European [[Featuring]]. Piersig [[closes]] [[fifth]] in the C-2 [[instances]] at the 2008 [[Summertime]] [[Olympic]] in [[Hu]].",0.32128262519836426,0.4490542411804199,0,0,0,598,"Failed"
"These are the results of the women's [[individual]] all-around [[competition]], one of six [[events]] for [[female]] [[competitors]] in [[artistic]] [[gymnastics]] at the 2000 [[Summer]] Olympics in [[Sydney]]. The [[qualification]] and final [[rounds]] [[took]] [[place]] on [[September]] 17 and 21 at the Sydney SuperDome. The all-around [[competition]] in the [[discipline]] of women's [[artistic]] [[gymnastics]] (WAG) was [[marred]] by three [[separate]] [[scandals]]. [[The]] vault [[apparatus]] was [[set]] [[incorrectly]] for more than [[half]] of the meet; [[consequently]] many [[gymnasts]] [[fell]] or were injured on the [[event]]. The [[apparatus]] was [[adjusted]] during the [[third]] [[rotation]] and those [[gymnasts]] who [[had]] [[vaulted]] on the incorrectly [[set]] [[equipment]] were invited to re-do the event at the [[end]] of the competition. Notably, Svetlana Khorkina, who [[led]] [[champion]] Andreea Răducan by nearly 0.3 in qualifications, was thrown out of medal contention due to the wrongly measured vault. Additionally, world all-around silver medalist Viktoria Karpenko, who [[led]] the competition until the last rotation, was [[thrown]] from first [[place]] after she stubbed her [[toe]], [[tripped]], and [[fell]] out of bounds on her [[floor]] [[exercise]]. [[These]] are testaments to the [[upset]] of the [[entire]] [[competition]]. [[Finally]], though not [[necessarily]] a [[favorite]] for an all-around [[medal]], Dong Fangxiao was [[found]] in 2010 to [[have]] been underaged at the Sydney [[Olympics]]. [[Consequently]], all of her [[results]] from the [[competition]] - [[including]] her all-around [[results]] - were [[cancelled]].","These are the results of the women's [[sole]] all-around [[competitor]], one of six [[appearances]] for [[feminine]] [[racer]] in [[inventive]] [[workout]] at the 2000 [[Ronald]] Olympics in [[Li]]. The [[qualify]] and final [[shots]] [[went]] [[put]] on [[Jan]] 17 and 21 at the Sydney SuperDome. The all-around [[feuds]] in the [[disciplining]] of women's [[imaginative]] [[workout]] (WAG) was [[tempered]] by three [[sporadic]] [[scandal]]. [[Both]] vault [[engine]] was [[game]] [[wrongly]] for more than [[midst]] of the meet; [[additionally]] many [[rowers]] [[autumn]] or were injured on the [[examples]]. The [[engine]] was [[suited]] during the [[iii]] [[turnover]] and those [[rowers]] who [[have]] [[boomed]] on the incorrectly [[configured]] [[pcs]] were invited to re-do the event at the [[finishing]] of the competition. Notably, Svetlana Khorkina, who [[steered]] [[championship]] Andreea Răducan by nearly 0.3 in qualifications, was thrown out of medal contention due to the wrongly measured vault. Additionally, world all-around silver medalist Viktoria Karpenko, who [[steered]] the competition until the last rotation, was [[sacked]] from first [[putting]] after she stubbed her [[toes]], [[declined]], and [[diminished]] out of bounds on her [[terrace]] [[enjoyment]]. [[This]] are testaments to the [[horrified]] of the [[global]] [[competitor]]. [[Lastly]], though not [[always]] a [[choice]] for an all-around [[medalist]], Dong Fangxiao was [[detects]] in 2010 to [[enjoys]] been underaged at the Sydney [[Olympian]]. [[Than]], all of her [[achievements]] from the [[feuds]] - [[include]] her all-around [[conclusions]] - were [[deleted]].",0.3406836986541748,0.630571722984314,5,0,5,1954,"Successful"
"[[Yisrael]] Beiteinu (Hebrew: יִשְׂרָאֵל בֵּיתֵנוּ‎‎, lit. Israel is Our Home) is a secularist and right-wing [[nationalist]] political [[party]] in Israel. The party's [[base]] has traditionally been [[secular]], Russian-speaking [[Israelis]]. The [[party]] describes itself as \""a [[national]] [[movement]] with the clear vision to follow in the bold path of Zev Jabotinsky\"", the founder of Revisionist Zionism. It primarily represents immigrants from the former Soviet Union. [[Although]] it has attempted to expand its appeal to more established Israelis, it has not been successful, and most of its voters are Russian-speaking. It takes a strong line towards the [[peace]] process and the integration of Israeli Arabs, characterized by its 2009 [[election]] slogan \""No loyalty, no citizenship\"". Its main platform includes a recognition of the two-state solution, the creation of a Palestinian state that would include an exchange of some largely Arab-inhabited parts of Israel for largely Jewish-inhabited parts of the West Bank. The [[party]] maintains an anti-clerical mantle and encourages socio-economic opportunities for new immigrants, in conjunction with efforts to increase Jewish immigration. [[In]] the 2009 [[election]] the [[party]] won 15 seats, its most to date, making it the third largest party in the previous Knesset. [[In]] the 2015 [[election]], the [[party]] won six seats.","[[Torah]] Beiteinu (Hebrew: יִשְׂרָאֵל בֵּיתֵנוּ‎‎, lit. Israel is Our Home) is a secularist and right-wing [[nacional]] political [[segment]] in Israel. The party's [[based]] has traditionally been [[mundane]], Russian-speaking [[Rabbis]]. The [[section]] describes itself as \""a [[kraj]] [[circulation]] with the clear vision to follow in the bold path of Zev Jabotinsky\"", the founder of Revisionist Zionism. It primarily represents immigrants from the former Soviet Union. [[Unless]] it has attempted to expand its appeal to more established Israelis, it has not been successful, and most of its voters are Russian-speaking. It takes a strong line towards the [[relax]] process and the integration of Israeli Arabs, characterized by its 2009 [[voters]] slogan \""No loyalty, no citizenship\"". Its main platform includes a recognition of the two-state solution, the creation of a Palestinian state that would include an exchange of some largely Arab-inhabited parts of Israel for largely Jewish-inhabited parts of the West Bank. The [[section]] maintains an anti-clerical mantle and encourages socio-economic opportunities for new immigrants, in conjunction with efforts to increase Jewish immigration. [[Orn]] the 2009 [[opting]] the [[sides]] won 15 seats, its most to date, making it the third largest party in the previous Knesset. [[About]] the 2015 [[voting]], the [[sides]] won six seats.",0.5038875937461853,0.726691484451294,0,4,0,581,"Successful"
