"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"'Nonis' is a [[hybrid]] cultivar of the [[genus]] Neoregelia in the Bromeliad [[family]].","'Nonis' is a [[blends]] cultivar of the [[sorting]] Neoregelia in the Bromeliad [[captivity]].",0.2745628356933594,0.3088369369506836,3,3,3,75,"Failed"
"The [[Canal]] Latéral [[à]] la Loire was constructed between 1827 and 1838 to connect the Canal de Briare at Briare and the Canal du [[Centre]] at Digoin, a [[distance]] of 196 km. [[It]] replaced the use of the [[River]] Loire which [[had]] [[reliability]] problems arising from winter [[floods]] and [[summer]] [[droughts]]. Aqueducts were used to cross the [[River]] Allier at [[Le]] Guétin (in the [[commune]] of Cuffy) and the [[River]] Loire at Digoin, but because of the [[extreme]] [[length]] [[required]], one was not [[built]] to cross the Loire [[River]] at Briare until 1896 when the Briare [[aqueduct]] was constructed.","The [[Canals]] Latéral [[beaucoup]] la Loire was constructed between 1827 and 1838 to connect the Canal de Briare at Briare and the Canal du [[Centrally]] at Digoin, a [[distant]] of 196 km. [[His]] replaced the use of the [[Creek]] Loire which [[grabbed]] [[credibility]] problems arising from winter [[tsunami]] and [[ronald]] [[dehydration]]. Aqueducts were used to cross the [[Creek]] Allier at [[Du]] Guétin (in the [[townships]] of Cuffy) and the [[Creek]] Loire at Digoin, but because of the [[gigantic]] [[term]] [[requested]], one was not [[engendered]] to cross the Loire [[Rio]] at Briare until 1896 when the Briare [[rivers]] was constructed.",0.561835527420044,0.7490015029907227,2,5,2,591,"Successful"
"Les Disques du Crépuscule is an independent record [[label]] founded in Belgium. The label was founded in 1980 by Michel Duval and Annik Honoré. It also had a prominent associated sublabel, Factory Benelux. Both are now run by former employee James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the label's catalogue numbers being prefixed by the letters TWI.","Les Disques du Crépuscule is an independent record [[labelled]] founded in Belgium. The label was founded in 1980 by Michel Duval and Annik Honoré. It also had a prominent associated sublabel, Factory Benelux. Both are now run by former employee James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the label's catalogue numbers being prefixed by the letters TWI.",0.48783576488494873,0.7087715268135071,0,1,0,89,"Successful"
"[[The]] 2003 All-Ireland Under-21 [[Hurling]] [[Championship]] [[final]] was a [[hurling]] [[match]] that was [[played]] at Semple [[Stadium]], Thurles on 21 [[September]] 2003 to [[determine]] the [[winners]] of the 2003 All-Ireland Under-21 [[Hurling]] [[Championship]], the 40th [[season]] of the All-Ireland Under-21 [[Hurling]] Championship, a [[tournament]] [[organised]] by the [[Gaelic]] Athletic [[Association]] for the [[champion]] [[teams]] of the [[four]] [[provinces]] of [[Ireland]]. The final was [[contested]] by Kilkenny of Leinster and [[Galway]] of Connacht, with Kilkenny [[winning]] by 2-13 to 0-12.","[[Both]] 2003 All-Ireland Under-21 [[Pelted]] [[Featuring]] [[last]] was a [[grabbing]] [[equivalency]] that was [[implemented]] at Semple [[Coliseum]], Thurles on 21 [[Janeiro]] 2003 to [[prescribes]] the [[finalists]] of the 2003 All-Ireland Under-21 [[Throwing]] [[Champion]], the 40th [[seasons]] of the All-Ireland Under-21 [[Tossing]] Championship, a [[championship]] [[arranged]] by the [[Scotch]] Athletic [[Cooperative]] for the [[championship]] [[equipment]] of the [[three]] [[countries]] of [[Lreland]]. The final was [[competing]] by Kilkenny of Leinster and [[Limerick]] of Connacht, with Kilkenny [[winner]] by 2-13 to 0-12.",0.27867716550827026,0.7089037299156189,5,0,5,631,"Successful"
"[[Damon]] [[Kyle]] Wayans, Sr. (/ˈdeɪmən ˈweɪ.ənz/; [[born]] [[September]] 4, 1960) is an [[American]] [[actor]], [[comedian]], [[writer]] and [[producer]], and [[member]] of the Wayans [[family]] of [[entertainers]]. Wayans [[performed]] as a [[comedian]] and [[actor]] throughout the 1980s, [[including]] a yearlong stint on the [[sketch]] [[comedy]] [[series]] [[Saturday]] [[Night]] [[Live]], although his true [[breakthrough]] [[came]] as a co-creator and [[performer]] on his [[own]] sketch [[comedy]] [[show]], [[In]] Living [[Color]], from 1990 to 1992. [[Since]] then he [[has]] starred in a number of films and television [[shows]], some of which he [[has]] co-produced or co-written, [[including]] The Last [[Boy]] [[Scout]] and [[Major]] Payne, and the [[sitcom]] My [[Wife]] and Kids.","[[Sizemore]] [[Randy]] Wayans, Sr. (/ˈdeɪmən ˈweɪ.ənz/; [[births]] [[Seven]] 4, 1960) is an [[Latin]] [[performers]], [[satirical]], [[editorial]] and [[artisans]], and [[members]] of the Wayans [[kinship]] of [[superstars]]. Wayans [[performs]] as a [[comical]] and [[actresses]] throughout the 1980s, [[includes]] a yearlong stint on the [[sketches]] [[comedies]] [[range]] [[Tonight]] [[Evenings]] [[Alive]], although his true [[strides]] [[became]] as a co-creator and [[performers]] on his [[exclusively]] sketch [[kidding]] [[shows]], [[Among]] Living [[Flush]], from 1990 to 1992. [[Before]] then he [[have]] starred in a number of films and television [[exposition]], some of which he [[is]] co-produced or co-written, [[containing]] The Last [[Folks]] [[Scouts]] and [[Overwhelming]] Payne, and the [[comedies]] My [[Married]] and Kids.",0.2002483606338501,0.326261043548584,0,0,0,1491,"Failed"
"[[Giulia]] Sergas ([[born]] 26 December 1979) is an [[Italian]] [[professional]] golfer, [[currently]] [[playing]] on both the LPGA [[Tour]] and the Ladies European [[Tour]].","[[Phoenicia]] Sergas ([[welding]] 26 December 1979) is an [[Tuscany]] [[specialised]] golfer, [[presently]] [[breeding]] on both the LPGA [[Rook]] and the Ladies European [[Parkway]].",0.3041872978210449,0.6724417209625244,0,3,0,217,"Successful"
"The Brockville Football Club was a [[team]] that played in the QRFU at the turn of the century. They had great success early on in their history. In 1899, they finished in first place in the QRFU but lost to Ottawa College in the Quebec finals. They won the QRFU Championship in 1900 but lost in the Dominion Final to the Ottawa Rough Riders.","The Brockville Football Club was a [[teams]] that played in the QRFU at the turn of the century. They had great success early on in their history. In 1899, they finished in first place in the QRFU but lost to Ottawa College in the Quebec finals. They won the QRFU Championship in 1900 but lost in the Dominion Final to the Ottawa Rough Riders.",0.5445632934570312,0.8913533687591553,0,6,0,47,"Successful"
"[[Sebastian]] Piersig (born [[May]] 28, 1984 in Spremberg, [[Brandenburg]]) is a [[German]] [[slalom]] canoer who competed in the 2000s in the C-2 [[category]] [[together]] with [[Felix]] Michel. He won a [[silver]] [[medal]] in the C-2 [[team]] [[event]] at the 2006 [[ICF]] [[Canoe]] Slalom [[World]] [[Championships]] in [[Prague]]. He also won [[two]] gold medals in the same [[event]] at the European [[Championships]]. Piersig [[finished]] [[sixth]] in the C-2 [[event]] at the 2008 Summer Olympics in [[Beijing]].","[[Fabian]] Piersig (born [[Maj]] 28, 1984 in Spremberg, [[Baden]]) is a [[Bavarian]] [[skating]] canoer who competed in the 2000s in the C-2 [[ranks]] [[jointly]] with [[Fabio]] Michel. He won a [[plata]] [[trophy]] in the C-2 [[devices]] [[protests]] at the 2006 [[ICH]] [[Ship]] Slalom [[Internationale]] [[Tournament]] in [[Brno]]. He also won [[three]] gold medals in the same [[phenomenon]] at the European [[Copa]]. Piersig [[ends]] [[there]] in the C-2 [[happening]] at the 2008 Summer Olympics in [[Peking]].",0.4178510904312134,0.580891489982605,0,0,0,625,"Failed"
"The [[Texas]] [[river]] cooter (Pseudemys texana) is a [[species]] of [[freshwater]] [[turtle]] [[native]] to [[creeks]], [[rivers]], and lakes of the US [[state]] of [[Texas]]. It is found in the [[river]] [[basins]] of the [[Colorado]], Brazos, [[Guadalupe]], and [[San]] [[Antonio]] [[Rivers]]. [[It]] is one of two [[species]] of cooter [[native]] to the state, the other being the [[Eastern]] [[River]] Cooter.","The [[Abilene]] [[waterway]] cooter (Pseudemys texana) is a [[nature]] of [[fraiche]] [[turtles]] [[natal]] to [[tributaries]], [[flows]], and lakes of the US [[goverment]] of [[Texan]]. It is found in the [[riverbank]] [[lagoons]] of the [[Butte]], Brazos, [[Hidalgo]], and [[Francisco]] [[Bermudez]] [[Rio]]. [[His]] is one of two [[varieties]] of cooter [[indians]] to the state, the other being the [[Mideast]] [[Streams]] Cooter.",0.17977029085159302,0.7183347344398499,3,1,3,501,"Successful"
"Yisrael Beiteinu (Hebrew: יִשְׂרָאֵל בֵּיתֵנוּ‎‎, lit. [[Israel]] is Our [[Home]]) is a secularist and right-wing [[nationalist]] political party in [[Israel]]. The party's base has traditionally been secular, Russian-speaking Israelis. The party describes itself as \""a national movement with the clear vision to follow in the bold path of Zev Jabotinsky\"", the founder of Revisionist Zionism. It primarily represents immigrants from the former Soviet Union. Although it has attempted to expand its appeal to more established Israelis, it has not been successful, and most of its voters are Russian-speaking. It [[takes]] a strong line towards the peace process and the integration of Israeli Arabs, characterized by its 2009 election slogan \""No loyalty, no citizenship\"". Its main platform includes a recognition of the two-state solution, the creation of a Palestinian state that would include an exchange of some largely Arab-inhabited parts of Israel for largely Jewish-inhabited parts of the West Bank. The party maintains an anti-clerical mantle and encourages socio-economic opportunities for new immigrants, in conjunction with efforts to increase Jewish immigration. In the 2009 election the party won 15 seats, its most to date, making it the third largest party in the previous Knesset. In the 2015 election, the party won six seats.","Yisrael Beiteinu (Hebrew: יִשְׂרָאֵל בֵּיתֵנוּ‎‎, lit. [[Israeli]] is Our [[Shelter]]) is a secularist and right-wing [[nationalistic]] political party in [[Yisrael]]. The party's base has traditionally been secular, Russian-speaking Israelis. The party describes itself as \""a national movement with the clear vision to follow in the bold path of Zev Jabotinsky\"", the founder of Revisionist Zionism. It primarily represents immigrants from the former Soviet Union. Although it has attempted to expand its appeal to more established Israelis, it has not been successful, and most of its voters are Russian-speaking. It [[having]] a strong line towards the peace process and the integration of Israeli Arabs, characterized by its 2009 election slogan \""No loyalty, no citizenship\"". Its main platform includes a recognition of the two-state solution, the creation of a Palestinian state that would include an exchange of some largely Arab-inhabited parts of Israel for largely Jewish-inhabited parts of the West Bank. The party maintains an anti-clerical mantle and encourages socio-economic opportunities for new immigrants, in conjunction with efforts to increase Jewish immigration. In the 2009 election the party won 15 seats, its most to date, making it the third largest party in the previous Knesset. In the 2015 election, the party won six seats.",0.6266689300537109,0.7132995128631592,0,3,0,249,"Successful"
