"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"'Nonis' is a [[hybrid]] cultivar of the [[genus]] Neoregelia in the Bromeliad [[family]].","'Nonis' is a [[mixed]] cultivar of the [[genera]] Neoregelia in the Bromeliad [[families]].",0.019388675689697266,0.021394073963165283,3,3,3,75,"Failed"
"[[The]] [[Canal]] Latéral [[à]] [[la]] Loire was [[constructed]] between 1827 and 1838 to connect the [[Canal]] de Briare at Briare and the [[Canal]] [[du]] [[Centre]] at Digoin, a [[distance]] of 196 [[km]]. It replaced the [[use]] of the [[River]] Loire which [[had]] [[reliability]] [[problems]] [[arising]] from winter [[floods]] and [[summer]] [[droughts]]. [[Aqueducts]] were used to [[cross]] the [[River]] Allier at [[Le]] Guétin (in the [[commune]] of Cuffy) and the [[River]] Loire at Digoin, but [[because]] of the [[extreme]] length [[required]], one was not [[built]] to [[cross]] the Loire [[River]] at Briare until 1896 when the Briare [[aqueduct]] was [[constructed]].","[[Both]] [[Canals]] Latéral [[du]] [[lea]] Loire was [[structure]] between 1827 and 1838 to connect the [[Canals]] de Briare at Briare and the [[Canals]] [[des]] [[Establishments]] at Digoin, a [[separator]] of 196 [[mileage]]. It replaced the [[accustomed]] of the [[Waterways]] Loire which [[became]] [[assurance]] [[difficulties]] [[resulting]] from winter [[tide]] and [[hsia]] [[drier]]. [[Gullies]] were used to [[passageway]] the [[Waterways]] Allier at [[De]] Guétin (in the [[communes]] of Cuffy) and the [[Waterways]] Loire at Digoin, but [[since]] of the [[utmost]] length [[necessity]], one was not [[created]] to [[crossings]] the Loire [[Aqueduct]] at Briare until 1896 when the Briare [[agua]] was [[creation]].",0.040051400661468506,0.08240026235580444,2,2,2,923,"Failed"
"Les Disques du Crépuscule is an independent record [[label]] founded in Belgium. The [[label]] was founded in 1980 by Michel Duval and Annik Honoré. It also had a prominent associated sublabel, Factory Benelux. Both are now run by former employee James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the label's catalogue numbers being prefixed by the letters TWI.","Les Disques du Crépuscule is an independent record [[badge]] founded in Belgium. The [[insignia]] was founded in 1980 by Michel Duval and Annik Honoré. It also had a prominent associated sublabel, Factory Benelux. Both are now run by former employee James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the label's catalogue numbers being prefixed by the letters TWI.",0.06845182180404663,0.9988337159156799,0,3,0,139,"Successful"
"[[The]] 2003 All-Ireland Under-21 Hurling Championship final was a hurling [[match]] that was [[played]] at Semple [[Stadium]], Thurles on 21 [[September]] 2003 to [[determine]] the [[winners]] of the 2003 All-Ireland Under-21 [[Hurling]] [[Championship]], the 40th season of the All-Ireland Under-21 [[Hurling]] [[Championship]], a [[tournament]] [[organised]] by the [[Gaelic]] [[Athletic]] [[Association]] for the champion [[teams]] of the four [[provinces]] of [[Ireland]]. The final was [[contested]] by Kilkenny of Leinster and [[Galway]] of Connacht, with Kilkenny [[winning]] by 2-13 to 0-12.","[[Both]] 2003 All-Ireland Under-21 Hurling Championship final was a hurling [[ballgame]] that was [[exerted]] at Semple [[Arena]], Thurles on 21 [[January]] 2003 to [[establish]] the [[winner]] of the 2003 All-Ireland Under-21 [[Flung]] [[Featuring]], the 40th season of the All-Ireland Under-21 [[Flung]] [[Trophy]], a [[compete]] [[hosts]] by the [[Scottish]] [[Gym]] [[League]] for the champion [[devices]] of the four [[prov]] of [[Irish]]. The final was [[competitions]] by Kilkenny of Leinster and [[Wicklow]] of Connacht, with Kilkenny [[prevail]] by 2-13 to 0-12.",0.020151078701019287,0.6384071111679077,5,0,5,643,"Successful"
"[[Damon]] [[Kyle]] Wayans, [[Sr]]. (/ˈdeɪmən ˈweɪ.ənz/; [[born]] [[September]] 4, 1960) is an [[American]] [[actor]], [[comedian]], [[writer]] and [[producer]], and [[member]] of the Wayans [[family]] of entertainers. Wayans [[performed]] as a [[comedian]] and [[actor]] throughout the 1980s, [[including]] a yearlong stint on the [[sketch]] [[comedy]] [[series]] [[Saturday]] [[Night]] [[Live]], although his [[true]] [[breakthrough]] [[came]] as a co-creator and [[performer]] on his [[own]] [[sketch]] [[comedy]] [[show]], [[In]] [[Living]] [[Color]], from 1990 to 1992. [[Since]] then he [[has]] [[starred]] in a [[number]] of [[films]] and [[television]] [[shows]], some of which he [[has]] co-produced or co-written, [[including]] The Last [[Boy]] [[Scout]] and [[Major]] Payne, and the [[sitcom]] My [[Wife]] and [[Kids]].","[[Marlon]] [[Jarrod]] Wayans, [[Strontium]]. (/ˈdeɪmən ˈweɪ.ənz/; [[birth]] [[Avril]] 4, 1960) is an [[Latin]] [[publicist]], [[protagonist]], [[author]] and [[farmer]], and [[colleagues]] of the Wayans [[parental]] of entertainers. Wayans [[played]] as a [[comic]] and [[pianist]] throughout the 1980s, [[composed]] a yearlong stint on the [[cartoons]] [[cartoon]] [[installment]] [[Domingo]] [[Evening]] [[Alive]], although his [[authentic]] [[strides]] [[entrance]] as a co-creator and [[painter]] on his [[unique]] [[biography]] [[wry]] [[demo]], [[With]] [[Vie]] [[Colourful]], from 1990 to 1992. [[After]] then he [[got]] [[actresses]] in a [[serials]] of [[theater]] and [[broadcasting]] [[reflects]], some of which he [[gets]] co-produced or co-written, [[consists]] The Last [[Fellas]] [[Scouts]] and [[Transcendental]] Payne, and the [[parodies]] My [[Donna]] and [[Infant]].",0.07352924346923828,0.1254667043685913,0,0,0,1525,"Failed"
"Giulia Sergas (born 26 December 1979) is an Italian professional [[golfer]], [[currently]] [[playing]] on both the LPGA Tour and the [[Ladies]] [[European]] [[Tour]].","Giulia Sergas (born 26 December 1979) is an Italian professional [[golf]], [[presently]] [[procreation]] on both the LPGA Tour and the [[Nana]] [[Ue]] [[Voyages]].",0.07708144187927246,0.8853789567947388,0,1,0,228,"Successful"
"The Brockville Football [[Club]] was a [[team]] that [[played]] in the QRFU at the [[turn]] of the century. They [[had]] great success [[early]] on in their [[history]]. [[In]] 1899, they [[finished]] in first [[place]] in the QRFU but [[lost]] to [[Ottawa]] College in the [[Quebec]] [[finals]]. They won the QRFU [[Championship]] in 1900 but [[lost]] in the Dominion [[Final]] to the [[Ottawa]] [[Rough]] [[Riders]].","The Brockville Football [[Disco]] was a [[accoutrements]] that [[walked]] in the QRFU at the [[rotating]] of the century. They [[grabbed]] great success [[quickly]] on in their [[narrative]]. [[Toward]] 1899, they [[concluded]] in first [[scene]] in the QRFU but [[missed]] to [[Canadiens]] College in the [[Francaise]] [[preliminaries]]. They won the QRFU [[Champion]] in 1900 but [[fainted]] in the Dominion [[Ultimate]] to the [[Winnipeg]] [[Stark]] [[Chauffeurs]].",0.1039552092552185,0.9999932050704956,0,5,0,586,"Successful"
"[[Sebastian]] Piersig ([[born]] [[May]] 28, 1984 in Spremberg, [[Brandenburg]]) is a [[German]] [[slalom]] canoer who [[competed]] in the 2000s in the C-2 [[category]] [[together]] with Felix Michel. [[He]] won a [[silver]] [[medal]] in the C-2 [[team]] [[event]] at the 2006 [[ICF]] [[Canoe]] [[Slalom]] [[World]] [[Championships]] in [[Prague]]. [[He]] also won two gold medals in the same [[event]] at the European [[Championships]]. Piersig [[finished]] [[sixth]] in the C-2 [[event]] at the 2008 Summer Olympics in [[Beijing]].","[[Fabian]] Piersig ([[births]] [[Apt]] 28, 1984 in Spremberg, [[Berlin]]) is a [[Bavarian]] [[skiing]] canoer who [[participate]] in the 2000s in the C-2 [[categories]] [[jointly]] with Felix Michel. [[It]] won a [[plata]] [[decorated]] in the C-2 [[squads]] [[example]] at the 2006 [[IAB]] [[Lifeboat]] [[Skier]] [[Globe]] [[Tournament]] in [[Belgrade]]. [[It]] also won two gold medals in the same [[occurrences]] at the European [[Champions]]. Piersig [[concluded]] [[there]] in the C-2 [[events]] at the 2008 Summer Olympics in [[Lhasa]].",0.07186955213546753,0.08527100086212158,0,0,0,596,"Failed"
"These are the results of the women's individual all-around competition, one of six [[events]] for female competitors in artistic gymnastics at the 2000 Summer Olympics in Sydney. The qualification and final rounds [[took]] place on September 17 and 21 at the Sydney SuperDome. The all-around competition in the discipline of women's artistic gymnastics (WAG) was marred by three separate scandals. The vault [[apparatus]] was set incorrectly for more than [[half]] of the meet; [[consequently]] [[many]] gymnasts fell or were injured on the event. The [[apparatus]] was [[adjusted]] during the [[third]] [[rotation]] and those gymnasts who [[had]] [[vaulted]] on the [[incorrectly]] [[set]] [[equipment]] were [[invited]] to re-do the [[event]] at the [[end]] of the [[competition]]. Notably, Svetlana Khorkina, who [[led]] [[champion]] Andreea Răducan by [[nearly]] 0.3 in [[qualifications]], was [[thrown]] out of [[medal]] [[contention]] due to the [[wrongly]] [[measured]] [[vault]]. Additionally, world all-around silver [[medalist]] Viktoria Karpenko, who [[led]] the [[competition]] until the [[last]] [[rotation]], was [[thrown]] from first [[place]] after she stubbed her [[toe]], [[tripped]], and [[fell]] out of [[bounds]] on her [[floor]] [[exercise]]. These are testaments to the [[upset]] of the [[entire]] [[competition]]. [[Finally]], [[though]] not [[necessarily]] a [[favorite]] for an all-around [[medal]], Dong Fangxiao was [[found]] in 2010 to have been underaged at the [[Sydney]] [[Olympics]]. Consequently, all of her results from the competition - [[including]] her all-around results - were [[cancelled]].","These are the results of the women's individual all-around competition, one of six [[manifestation]] for female competitors in artistic gymnastics at the 2000 Summer Olympics in Sydney. The qualification and final rounds [[having]] place on September 17 and 21 at the Sydney SuperDome. The all-around competition in the discipline of women's artistic gymnastics (WAG) was marred by three separate scandals. The vault [[systems]] was set incorrectly for more than [[average]] of the meet; [[likewise]] [[vast]] gymnasts fell or were injured on the event. The [[mechanism]] was [[adaptation]] during the [[iii]] [[revolves]] and those gymnasts who [[enjoys]] [[slipped]] on the [[maliciously]] [[establishes]] [[pcs]] were [[asked]] to re-do the [[instance]] at the [[fin]] of the [[pageant]]. Notably, Svetlana Khorkina, who [[translated]] [[proponent]] Andreea Răducan by [[practically]] 0.3 in [[certification]], was [[casting]] out of [[adorned]] [[thesis]] due to the [[inadvertently]] [[calibrated]] [[crypt]]. Additionally, world all-around silver [[gymnast]] Viktoria Karpenko, who [[produced]] the [[pageant]] until the [[former]] [[rotated]], was [[casting]] from first [[situ]] after she stubbed her [[ft]], [[faltered]], and [[leaped]] out of [[constraints]] on her [[sol]] [[fulfilling]]. These are testaments to the [[outraged]] of the [[wholly]] [[contestant]]. [[Lastly]], [[after]] not [[periodically]] a [[predilection]] for an all-around [[medals]], Dong Fangxiao was [[wintergreen]] in 2010 to have been underaged at the [[Sidney]] [[Olympiad]]. Consequently, all of her results from the competition - [[include]] her all-around results - were [[withdrawn]].",0.018432974815368652,0.9340872168540955,5,0,5,1661,"Successful"
"The [[Texas]] [[river]] cooter (Pseudemys texana) is a [[species]] of [[freshwater]] [[turtle]] [[native]] to [[creeks]], [[rivers]], and [[lakes]] of the [[US]] [[state]] of [[Texas]]. It is [[found]] in the [[river]] [[basins]] of the [[Colorado]], Brazos, Guadalupe, and [[San]] [[Antonio]] [[Rivers]]. It is one of [[two]] [[species]] of cooter [[native]] to the [[state]], the other being the [[Eastern]] [[River]] Cooter.","The [[Houston]] [[tributaries]] cooter (Pseudemys texana) is a [[kinds]] of [[fraiche]] [[tortoises]] [[indigenous]] to [[tributaries]], [[tributaries]], and [[lagos]] of the [[OURSELVES]] [[countries]] of [[Texarkana]]. It is [[observed]] in the [[tributaries]] [[pits]] of the [[Denver]], Brazos, Guadalupe, and [[Saint]] [[Fabio]] [[Tok]]. It is one of [[three]] [[kinds]] of cooter [[aborigines]] to the [[states]], the other being the [[Timorese]] [[Waterways]] Cooter.",0.01966613531112671,0.9920329451560974,3,2,3,477,"Successful"
