"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"'Nonis' is a hybrid cultivar of the [[genus]] Neoregelia in the Bromeliad family.","'Nonis' is a hybrid cultivar of the [[classifies]] Neoregelia in the Bromeliad family.",0.0066117048263549805,0.006759285926818848,3,3,3,75,"Failed"
"[[The]] [[Canal]] Latéral à la Loire was [[constructed]] between 1827 and 1838 to connect the Canal de Briare at Briare and the Canal du Centre at Digoin, a distance of 196 km. It replaced the use of the [[River]] Loire which had reliability problems arising from winter floods and summer [[droughts]]. [[Aqueducts]] were used to [[cross]] the River Allier at Le Guétin (in the commune of Cuffy) and the River Loire at Digoin, but [[because]] of the [[extreme]] [[length]] [[required]], one was not built to [[cross]] the Loire River at Briare until 1896 when the Briare aqueduct was constructed.","[[Both]] [[Duct]] Latéral à la Loire was [[founded]] between 1827 and 1838 to connect the Canal de Briare at Briare and the Canal du Centre at Digoin, a distance of 196 km. It replaced the use of the [[Aqueduct]] Loire which had reliability problems arising from winter floods and summer [[rains]]. [[Aqueduct]] were used to [[crossings]] the River Allier at Le Guétin (in the commune of Cuffy) and the River Loire at Digoin, but [[for]] of the [[monumental]] [[times]] [[obligatory]], one was not built to [[crossings]] the Loire River at Briare until 1896 when the Briare aqueduct was constructed.",0.03611081838607788,0.5608091354370117,2,0,2,323,"Successful"
"Les Disques [[du]] Crépuscule is an independent record [[label]] [[founded]] in Belgium. The label was [[founded]] in 1980 by [[Michel]] Duval and Annik Honoré. [[It]] also [[had]] a [[prominent]] [[associated]] sublabel, Factory Benelux. Both are now [[run]] by former [[employee]] James Nice. \""Crépuscule\"" [[translates]] as \""twilight\"", with most of the label's [[catalogue]] [[numbers]] being prefixed by the [[letters]] TWI.","Les Disques [[los]] Crépuscule is an independent record [[badges]] [[corroborated]] in Belgium. The label was [[substantiated]] in 1980 by [[Mike]] Duval and Annik Honoré. [[His]] also [[taken]] a [[dominant]] [[associates]] sublabel, Factory Benelux. Both are now [[applying]] by former [[agents]] James Nice. \""Crépuscule\"" [[translate]] as \""twilight\"", with most of the label's [[pamphlets]] [[illustrations]] being prefixed by the [[cards]] TWI.",0.16300171613693237,0.4129345417022705,0,0,0,680,"Failed"
"[[The]] 2003 All-Ireland Under-21 [[Hurling]] [[Championship]] final was a [[hurling]] [[match]] that was [[played]] at Semple [[Stadium]], Thurles on 21 [[September]] 2003 to [[determine]] the [[winners]] of the 2003 All-Ireland Under-21 Hurling [[Championship]], the 40th [[season]] of the All-Ireland Under-21 Hurling [[Championship]], a tournament [[organised]] by the [[Gaelic]] [[Athletic]] [[Association]] for the [[champion]] [[teams]] of the four [[provinces]] of [[Ireland]]. The final was [[contested]] by Kilkenny of Leinster and [[Galway]] of Connacht, with Kilkenny [[winning]] by 2-13 to 0-12.","[[Both]] 2003 All-Ireland Under-21 [[Flung]] [[Copa]] final was a [[threw]] [[games]] that was [[implemented]] at Semple [[Gymnasium]], Thurles on 21 [[Janeiro]] 2003 to [[decides]] the [[finalists]] of the 2003 All-Ireland Under-21 Hurling [[Starring]], the 40th [[seasonal]] of the All-Ireland Under-21 Hurling [[Copa]], a tournament [[convene]] by the [[Scots]] [[Athletics]] [[Societies]] for the [[champions]] [[appliance]] of the four [[towns]] of [[Northward]]. The final was [[assailed]] by Kilkenny of Leinster and [[Cardiff]] of Connacht, with Kilkenny [[wen]] by 2-13 to 0-12.",0.00627291202545166,0.009046435356140137,5,5,5,646,"Failed"
"[[Damon]] [[Kyle]] Wayans, [[Sr]]. (/ˈdeɪmən ˈweɪ.ənz/; [[born]] [[September]] 4, 1960) is an American actor, comedian, [[writer]] and [[producer]], and member of the Wayans [[family]] of [[entertainers]]. Wayans [[performed]] as a [[comedian]] and [[actor]] throughout the 1980s, [[including]] a yearlong stint on the sketch [[comedy]] [[series]] Saturday Night [[Live]], although his [[true]] [[breakthrough]] [[came]] as a co-creator and [[performer]] on his [[own]] [[sketch]] [[comedy]] show, [[In]] Living [[Color]], from 1990 to 1992. [[Since]] then he [[has]] [[starred]] in a number of [[films]] and [[television]] shows, some of which he has co-produced or co-written, [[including]] The [[Last]] [[Boy]] Scout and [[Major]] Payne, and the [[sitcom]] [[My]] [[Wife]] and [[Kids]].","[[Nolan]] [[Derek]] Wayans, [[Technics]]. (/ˈdeɪmən ˈweɪ.ənz/; [[weld]] [[Feb]] 4, 1960) is an American actor, comedian, [[clerk]] and [[generating]], and member of the Wayans [[household]] of [[jugglers]]. Wayans [[completing]] as a [[starred]] and [[protagonist]] throughout the 1980s, [[embracing]] a yearlong stint on the sketch [[cartoon]] [[installment]] Saturday Night [[Livelihood]], although his [[faithful]] [[progression]] [[was]] as a co-creator and [[actress]] on his [[respective]] [[portrait]] [[comedic]] show, [[Under]] Living [[Hue]], from 1990 to 1992. [[If]] then he [[holds]] [[cameo]] in a number of [[flick]] and [[broadcasting]] shows, some of which he has co-produced or co-written, [[comprise]] The [[Previous]] [[Chico]] Scout and [[Massive]] Payne, and the [[playhouse]] [[Mein]] [[Donna]] and [[Minors]].",0.060824573040008545,0.11303144693374634,0,0,0,1503,"Failed"
"[[The]] Brockville Football Club was a team that [[played]] in the QRFU at the [[turn]] of the century. They [[had]] [[great]] [[success]] [[early]] on in their [[history]]. [[In]] 1899, they [[finished]] in first [[place]] in the QRFU but [[lost]] to [[Ottawa]] [[College]] in the [[Quebec]] [[finals]]. They won the QRFU [[Championship]] in 1900 but [[lost]] in the [[Dominion]] [[Final]] to the Ottawa Rough [[Riders]].","[[Both]] Brockville Football Club was a team that [[suffered]] in the QRFU at the [[corner]] of the century. They [[received]] [[noteworthy]] [[winning]] [[first]] on in their [[historical]]. [[Roundabout]] 1899, they [[terminated]] in first [[location]] in the QRFU but [[losses]] to [[Québec]] [[Undergraduates]] in the [[Québec]] [[concluding]]. They won the QRFU [[Featuring]] in 1900 but [[lose]] in the [[Federal]] [[Conclude]] to the Ottawa Rough [[Runners]].",0.11346828937530518,0.2868001461029053,0,0,0,683,"Failed"
"[[Giulia]] Sergas (born 26 [[December]] 1979) is an [[Italian]] [[professional]] [[golfer]], [[currently]] [[playing]] on both the LPGA [[Tour]] and the [[Ladies]] [[European]] [[Tour]].","[[Yulia]] Sergas (born 26 [[Juli]] 1979) is an [[Sicilian]] [[pros]] [[golfers]], [[already]] [[plays]] on both the LPGA [[Sightseeing]] and the [[Gentlemen]] [[Europeans]] [[Tourists]].",0.06455957889556885,0.18041741847991943,0,0,0,309,"Failed"
"Sebastian Piersig ([[born]] [[May]] 28, 1984 in Spremberg, [[Brandenburg]]) is a [[German]] [[slalom]] canoer who [[competed]] in the 2000s in the C-2 [[category]] [[together]] with Felix Michel. He won a [[silver]] [[medal]] in the C-2 [[team]] [[event]] at the 2006 [[ICF]] [[Canoe]] [[Slalom]] [[World]] [[Championships]] in [[Prague]]. He also won [[two]] gold [[medals]] in the same [[event]] at the European [[Championships]]. Piersig [[finished]] sixth in the C-2 [[event]] at the 2008 Summer [[Olympics]] in [[Beijing]].","Sebastian Piersig ([[nee]] [[Probability]] 28, 1984 in Spremberg, [[Weimar]]) is a [[Bavarian]] [[skier]] canoer who [[coached]] in the 2000s in the C-2 [[level]] [[jointly]] with Felix Michel. He won a [[plata]] [[medalist]] in the C-2 [[pc]] [[example]] at the 2006 [[IAB]] [[Raft]] [[Skier]] [[Internationally]] [[Invitational]] in [[Krakow]]. He also won [[three]] gold [[adorned]] in the same [[examples]] at the European [[Championship]]. Piersig [[completion]] sixth in the C-2 [[accident]] at the 2008 Summer [[Medalist]] in [[Ching]].",0.10974496603012085,0.24159502983093262,0,0,0,620,"Failed"
"[[These]] are the [[results]] of the women's individual all-around [[competition]], one of six events for female competitors in artistic gymnastics at the 2000 Summer [[Olympics]] in [[Sydney]]. The qualification and [[final]] [[rounds]] [[took]] place on [[September]] 17 and 21 at the Sydney SuperDome. The all-around competition in the discipline of women's [[artistic]] gymnastics (WAG) was [[marred]] by three separate scandals. The vault apparatus was set incorrectly for more than half of the meet; consequently many gymnasts fell or were injured on the event. The apparatus was adjusted during the third rotation and those gymnasts who had vaulted on the incorrectly set equipment were invited to re-do the event at the end of the [[competition]]. Notably, [[Svetlana]] Khorkina, who led champion Andreea Răducan by nearly 0.3 in qualifications, was thrown out of medal contention due to the wrongly measured vault. Additionally, world all-around silver medalist Viktoria Karpenko, who led the competition until the last rotation, was [[thrown]] from first place after she stubbed her [[toe]], tripped, and fell out of bounds on her floor exercise. These are testaments to the upset of the [[entire]] [[competition]]. [[Finally]], though not [[necessarily]] a favorite for an all-around medal, Dong Fangxiao was [[found]] in 2010 to [[have]] been underaged at the [[Sydney]] [[Olympics]]. Consequently, all of her results from the [[competition]] - including her all-around results - were cancelled.","[[Those]] are the [[performance]] of the women's individual all-around [[competitor]], one of six events for female competitors in artistic gymnastics at the 2000 Summer [[Medalist]] in [[Li]]. The qualification and [[recent]] [[cycling]] [[had]] place on [[Augusto]] 17 and 21 at the Sydney SuperDome. The all-around competition in the discipline of women's [[technical]] gymnastics (WAG) was [[eroded]] by three separate scandals. The vault apparatus was set incorrectly for more than half of the meet; consequently many gymnasts fell or were injured on the event. The apparatus was adjusted during the third rotation and those gymnasts who had vaulted on the incorrectly set equipment were invited to re-do the event at the end of the [[rivals]]. Notably, [[Tatyana]] Khorkina, who led champion Andreea Răducan by nearly 0.3 in qualifications, was thrown out of medal contention due to the wrongly measured vault. Additionally, world all-around silver medalist Viktoria Karpenko, who led the competition until the last rotation, was [[throw]] from first place after she stubbed her [[foot]], tripped, and fell out of bounds on her floor exercise. These are testaments to the upset of the [[general]] [[competing]]. [[Then]], though not [[increasingly]] a favorite for an all-around medal, Dong Fangxiao was [[deems]] in 2010 to [[recieve]] been underaged at the [[Sidney]] [[Olympiad]]. Consequently, all of her results from the [[rivals]] - including her all-around results - were cancelled.",0.006317257881164551,0.7574310302734375,5,0,5,650,"Successful"
"The [[Texas]] [[river]] cooter (Pseudemys texana) is a [[species]] of freshwater [[turtle]] native to [[creeks]], [[rivers]], and lakes of the US [[state]] of Texas. It is [[found]] in the [[river]] [[basins]] of the [[Colorado]], Brazos, Guadalupe, and [[San]] [[Antonio]] [[Rivers]]. It is one of [[two]] [[species]] of cooter native to the [[state]], the other being the [[Eastern]] [[River]] Cooter.","The [[Texan]] [[creek]] cooter (Pseudemys texana) is a [[varieties]] of freshwater [[turtles]] native to [[aqueduct]], [[waterways]], and lakes of the US [[public]] of Texas. It is [[remarked]] in the [[tributaries]] [[watershed]] of the [[Boise]], Brazos, Guadalupe, and [[Sao]] [[Duran]] [[River]]. It is one of [[three]] [[nature]] of cooter native to the [[statehood]], the other being the [[Southeast]] [[Riverbanks]] Cooter.",0.006593585014343262,0.008761942386627197,3,3,3,489,"Failed"
