"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"One of the greatest lessons I ever had in how to watch a movie happened this way: <br /><br />I was working in Roger Corman's offices, like so many other wanabees before and since, I was interning and trying to figure out how it all worked and how to make myself indispensable (hah!). One afternoon Julie Corman, Roger Corman's wife and a producer in her own right, asked me to load up a tape. I'm not sure why she wanted to watch it. I got the impression it was a student film or a show reel, something like that, some sort of calling card. Whatever the reasons she had to see it, the only free video machine in the offices at the time happened to be in the room I was working in, and I was the nearest person to the machine. I started the tape.<br /><br />Fade in: On screen a figure sat at a desk facing the camera. Behind him, screen left, was a door that opened into the room. Against the far wall was a coat rack. A second character entered through the door and started talking. The first character, the guy at the desk, turned round to reply, (this is all one take, static camera, there are no cuts pans or dolly shots. Just one locked off camera). The second character turned to hang his coat on the coat rack and delivered his next line. Julie Corman said ""I've seen enough."" and left the room.<br /><br />What she had seen in the ten seconds of footage she had watched was that the director was an idiot. Opening with two characters who immediately turned their backs to the camera delivering lines? Nope, sorry. Next! That's how long you've got. Ten seconds. Cock it up in the opening shot and you are dead.<br /><br />I was reminded of that moment while I watched the opening of this piece of [[crap]]. After an interminably long travelogue of jungle we see several monkeys apparently throwing themselves into cages. A man carrying a gun laughs. A jet liner lands and we see it taxi the whole way to the terminal. God this is boring! Cut to the interior of the Airport. Two men meet. Aha! Something is happening! They shake hands. Cut to a different angle of the two men -<br /><br />- and the director crosses the line.<br /><br />The first two shots of the movie that have any kind of spatial relationship with each other and the guy has cocked up. 'Not Crossing The line' is one of those basic rules of movie grammar that keeps the characters from jumping about from side to side on the screen and confusing the audience. Audiences don't like to be confused. Mystified? Baffled? Puzzled and intrigued? Yes. Audiences love all of those. Confused? No. You loose them. They walk out. 'Not Crossing The line' is one of those things they pound into you at film school, or should. It's basic stuff. It's not an inviolable rule (there are no inviolable rules) directors break it all the time - but not on the first real cut of the movie.<br /><br />I thought, ""I've seen enough"". And switched off.","One of the greatest lessons I ever had in how to watch a movie happened this way: <br /><br />I was working in Roger Corman's offices, like so many other wanabees before and since, I was interning and trying to figure out how it all worked and how to make myself indispensable (hah!). One afternoon Julie Corman, Roger Corman's wife and a producer in her own right, asked me to load up a tape. I'm not sure why she wanted to watch it. I got the impression it was a student film or a show reel, something like that, some sort of calling card. Whatever the reasons she had to see it, the only free video machine in the offices at the time happened to be in the room I was working in, and I was the nearest person to the machine. I started the tape.<br /><br />Fade in: On screen a figure sat at a desk facing the camera. Behind him, screen left, was a door that opened into the room. Against the far wall was a coat rack. A second character entered through the door and started talking. The first character, the guy at the desk, turned round to reply, (this is all one take, static camera, there are no cuts pans or dolly shots. Just one locked off camera). The second character turned to hang his coat on the coat rack and delivered his next line. Julie Corman said ""I've seen enough."" and left the room.<br /><br />What she had seen in the ten seconds of footage she had watched was that the director was an idiot. Opening with two characters who immediately turned their backs to the camera delivering lines? Nope, sorry. Next! That's how long you've got. Ten seconds. Cock it up in the opening shot and you are dead.<br /><br />I was reminded of that moment while I watched the opening of this piece of [[stuff]]. After an interminably long travelogue of jungle we see several monkeys apparently throwing themselves into cages. A man carrying a gun laughs. A jet liner lands and we see it taxi the whole way to the terminal. God this is boring! Cut to the interior of the Airport. Two men meet. Aha! Something is happening! They shake hands. Cut to a different angle of the two men -<br /><br />- and the director crosses the line.<br /><br />The first two shots of the movie that have any kind of spatial relationship with each other and the guy has cocked up. 'Not Crossing The line' is one of those basic rules of movie grammar that keeps the characters from jumping about from side to side on the screen and confusing the audience. Audiences don't like to be confused. Mystified? Baffled? Puzzled and intrigued? Yes. Audiences love all of those. Confused? No. You loose them. They walk out. 'Not Crossing The line' is one of those things they pound into you at film school, or should. It's basic stuff. It's not an inviolable rule (there are no inviolable rules) directors break it all the time - but not on the first real cut of the movie.<br /><br />I thought, ""I've seen enough"". And switched off.",0.36674433946609497,0.509062647819519,0,1,0,315,"Successful"
"Alas, another [[Costner]] movie that was an hour too long. Credible performances, but the script had no where to [[go]] and was in no hurry to get there. First we are offered an [[unrelated]] string of events few of which further the story. Will the script center on Randall and his wife? Randall and Fischer? How about Fischer and Thomas? In the end, no real front story ever develops and the characters themselves are artificially [[propped]] up by monologues from third parties. The singer explains Randall, Randall explains Fischer, on and on. [[Finally]], long after you don't care anymore, you will learn something about the script meetings. Three endings were no doubt [[proffered]] and no one could make a decision. The end result? All three were used, one, after another, after another. If you can hang in past the 100th yawn, you'll be able to pick them out. Despite the transparent attempt to gain points with a dedication to the Coast Guard, this one should have [[washed]] out the very first day.","Alas, another [[hit]] movie that was an hour too long. Credible performances, but the script had no where to [[set]] and was in no hurry to get there. First we are offered an [[extra]] string of events few of which further the story. Will the script center on Randall and his wife? Randall and Fischer? How about Fischer and Thomas? In the end, no real front story ever develops and the characters themselves are artificially [[stirred]] up by monologues from third parties. The singer explains Randall, Randall explains Fischer, on and on. [[sometimes]], long after you don't care anymore, you will learn something about the script meetings. Three endings were no doubt [[perfect]] and no one could make a decision. The end result? All three were used, one, after another, after another. If you can hang in past the 100th yawn, you'll be able to pick them out. Despite the transparent attempt to gain points with a dedication to the Coast Guard, this one should have [[stood]] out the very first day.",0.03258472681045532,0.5774986147880554,0,1,0,227,"Successful"
"The Comebacks is a spoof on inspirational sports [[movies]], and [[let]] me just [[tell]] you-it is not a good one. Tom Brady (the director) [[probably]] [[found]] it hilarious that referencing sports films (from [[Gridiron]] Gang, Invincible and even Miracle! to [[The]] Longest [[Yard]] and Dodgeball-yes Dodgeball!) and tossing in a [[couple]] of sex jokes, [[would]] be the funniest thing since Airplane! Well, he was [[wrong]]. They did such a slipshod job, you'd thought it was written in a [[week]]. I have found it that if a director [[loves]] the genre, the [[movie]] will be good. Obviously, Brady does not [[love]] the genre he is spoofing. [[This]] movie is a rancid [[piece]] of [[garbage]] not worth viewing, so don't see it!","The Comebacks is a spoof on inspirational sports [[film]], and [[made]] me just [[say]] you-it is not a good one. Tom Brady (the director) [[still]] [[struck]] it hilarious that referencing sports films (from [[football]] Gang, Invincible and even Miracle! to [[those]] Longest [[day]] and Dodgeball-yes Dodgeball!) and tossing in a [[wealth]] of sex jokes, [[is]] be the funniest thing since Airplane! Well, he was [[wonderful]]. They did such a slipshod job, you'd thought it was written in a [[year]]. I have found it that if a director [[keeps]] the genre, the [[film]] will be good. Obviously, Brady does not [[stop]] the genre he is spoofing. [[this]] movie is a rancid [[sort]] of [[stuff]] not worth viewing, so don't see it!",0.08382654190063477,0.14510983228683472,0,0,0,398,"Failed"
"[[In]] this era when almost [[everything]] makes it on to [[DVD]] (I'm expecting to see the My Mother the Car collection any day now) this film has been unfairly [[neglected]]. [[There]] are innumerable stupid comedies from the 60's as [[well]] as [[many]] other eras that have received at least a cursory DVD treatment. This one wasn't even released on [[VHS]] to my knowledge, despite the talents involved in the making (Arthur Hiller, Eli Wallach, Anne Jackson, Murray Shisgal ([[notable]] later for co-writing Tootsie), even Dustin Hoffman in his [[debut]]). It's obviously a product of the sixties but so is just about everything else from that era. All films reflect the tastes and customs of the times in which they are made. This was released the same year as The President's Analyst, another absurd masterpiece. That film was finally released on DVD and has [[developed]] a cult following. [[This]] film has many [[memorable]] bizarre, goofy, wacky moments. [[Sure]], it's painted in [[broad]] strokes and has [[silly]] go-go music throughout but that's part of its charm. [[It]] creates its own absurd universe. If whoever is in [[charge]] of DVD production for [[Columbia]] [[Pictures]] releases ([[I]] [[believe]] Columbia released it) takes polls for new [[releases]] this gets my vote.","[[throughout]] this era when almost [[zero]] makes it on to [[dvd]] (I'm expecting to see the My Mother the Car collection any day now) this film has been unfairly [[screened]]. [[this]] are innumerable stupid comedies from the 60's as [[far]] as [[various]] other eras that have received at least a cursory DVD treatment. This one wasn't even released on [[vhs]] to my knowledge, despite the talents involved in the making (Arthur Hiller, Eli Wallach, Anne Jackson, Murray Shisgal ([[responsible]] later for co-writing Tootsie), even Dustin Hoffman in his [[way]]). It's obviously a product of the sixties but so is just about everything else from that era. All films reflect the tastes and customs of the times in which they are made. This was released the same year as The President's Analyst, another absurd masterpiece. That film was finally released on DVD and has [[produced]] a cult following. [[some]] film has many [[other]] bizarre, goofy, wacky moments. [[sure]], it's painted in [[large]] strokes and has [[only]] go-go music throughout but that's part of its charm. [[she]] creates its own absurd universe. If whoever is in [[oversight]] of DVD production for [[columbia]] [[pictures]] releases ([[he]] [[assumed]] Columbia released it) takes polls for new [[content]] this gets my vote.",0.13498800992965698,0.5009435415267944,1,0,1,319,"Successful"
"This movie is an awesome remake of the [[original]] by the same title. The movie was cool,despite the fact, I [[hate]] [[new]] ones! [[All]] of the cast was awesome . It has great [[cast]] and an awesome plot!! [[The]] main plot is a man is poisoned and he has to solve his own murder , [[neat]] eh?!Dennis Quaid is the man who is ""[[D]].[[O]].A""(in other words Dead On [[Arrival]]).He finds help with his friends, but [[everyone]] is now a suspect!!Dennis's character has several [[hours]] to [[find]] out who poisoned him. [[The]] movie is [[quite]] fast and [[full]] of action. You can [[see]] two other big stars in Meg Ryan([[City]] [[Of]] Angels,[[Courage]] Under Fire) and Daniel Stern(Home Alone, Very Bad [[Things]],[[Bushwhacked]]) in supporting roles in this awesome ,[[cool]] remake of a classic movie!!","This movie is an awesome remake of the [[previous]] by the same title. The movie was cool,despite the fact, I [[hated]] [[old]] ones! [[all]] of the cast was awesome . It has great [[action]] and an awesome plot!! [[the]] main plot is a man is poisoned and he has to solve his own murder , [[style]] eh?!Dennis Quaid is the man who is ""[[go]].[[look]].A""(in other words Dead On [[arrival]]).He finds help with his friends, but [[someone]] is now a suspect!!Dennis's character has several [[minutes]] to [[discover]] out who poisoned him. [[the]] movie is [[incredibly]] fast and [[empty]] of action. You can [[tell]] two other big stars in Meg Ryan([[children]] [[under]] Angels,[[men]] Under Fire) and Daniel Stern(Home Alone, Very Bad [[idea]],[[murder]]) in supporting roles in this awesome ,[[hot]] remake of a classic movie!!",0.15283077955245972,0.3626348376274109,1,1,1,429,"Failed"
"Not since ""8 Heads in a Duffel Bag"" and the ""How High"" previews<br /><br />have I laughed so little at something that the film makers thought<br /><br />would be hysterical.<br /><br />Jerry Lewis is the richest man in the world. He is rejected as 4-F<br /><br />by the army, and decides to use his money to raise his own army-<br /><br />of about half a dozen. He then impersonates a Nazi commander in<br /><br />Italy, and eventually tries to kill Hitler. That is the description of the<br /><br />[[flimsy]] plot.<br /><br />This film is as funny as a heart attack. This film makes ""Hogan's<br /><br />Heroes"" look like Shakespeare. If the money men of ""The<br /><br />Producers"" had really wanted to lose their cash, they should have<br /><br />shown this film. I cannot stress how [[bad]] this thing is.<br /><br />Lewis' direction consists of two different cameras shooting the<br /><br />action from two different angles, then being edited together. This<br /><br />sitcom type of direction works on television, but here it is an<br /><br />obvious attempt to cheat the audience. He ends most of his<br /><br />scenes with a still shot, as if giving the viewer a chance to double<br /><br />over in stitches before going to the next tired set up. I spent most of<br /><br />the movie doubled over in abdominal agony, accompanied with<[[br]] /><[[br]] />severe flatulence, over this thing.<[[br]] /><br />Lewis, the director and producer, sets the [[film]] in 1943, but makes<br /><br />no attempt to use period costumes or sets. Everyone [[wears]] the<[[br]] /><br />latest style and has the latest interior [[design]]...for 1970. The<[[br]] /><br />supporting cast is lost as Lewis [[goes]] off on his patented tangents,<br /><br />which last as long as major surgery and are just as painful to<br /><br />watch. When Lewis becomes the Nazi commander, he spends the<br /><br />last half of the film screaming at the top of his lungs in a<br /><br />performance so odious as to stink up any good will you try to bring<br /><br />in at the beginning.<br /><br />The final embarassing shot has Lewis and his cronies trying to<br /><br />put one over on the Japanese. They wear buck teeth, squint their<br /><br />eyes, and talk in a ""funny"" accent. It may be one of the most<br /><br />blatantly racist occurrences since the internment camps. I was<br /><br />slack jawed at what Lewis did through this whole thing, but that put<br /><br />me over the edge. Watch for Kaye Ballard's very tasteless scene<br /><br />where she tries to attempt suicide over and over again.<br /><br />""Star Trek""'s George Takei has two small scenes, then wisely<br /><br />drops out of the picture. This has less laughs than Mel Brooks' last<br /><br />three films combined. There is nothing sadder than watching a<br /><br />formerly respected comedian screw up a project so horribly, you<br /><br />actually feel ashamed for them. Jim Carrey learned that with ""The<br /><br />Majestic,"" but Jerry Lewis still shows up on television once in a<br /><br />while pulling the same unfunny schtick. I feel sorry for him.<br /><br />""Which Way to the Front?"" is cheap, unfunny, offensive, and stupid.<br /><br />I feel bad for everyone involved, and anyone who must endure this.<br /><br />I do not recommend it.<br /><br />Though rated (G), this contains some physical violence, some gun<br /><br />violence, and some adult situations. If your child shows interest in<br /><br />seeing this, please consult professional help.<br /><br />","Not since ""8 Heads in a Duffel Bag"" and the ""How High"" previews<br /><br />have I laughed so little at something that the film makers thought<br /><br />would be hysterical.<br /><br />Jerry Lewis is the richest man in the world. He is rejected as 4-F<br /><br />by the army, and decides to use his money to raise his own army-<br /><br />of about half a dozen. He then impersonates a Nazi commander in<br /><br />Italy, and eventually tries to kill Hitler. That is the description of the<br /><br />[[hollywood]] plot.<br /><br />This film is as funny as a heart attack. This film makes ""Hogan's<br /><br />Heroes"" look like Shakespeare. If the money men of ""The<br /><br />Producers"" had really wanted to lose their cash, they should have<br /><br />shown this film. I cannot stress how [[wonderful]] this thing is.<br /><br />Lewis' direction consists of two different cameras shooting the<br /><br />action from two different angles, then being edited together. This<br /><br />sitcom type of direction works on television, but here it is an<br /><br />obvious attempt to cheat the audience. He ends most of his<br /><br />scenes with a still shot, as if giving the viewer a chance to double<br /><br />over in stitches before going to the next tired set up. I spent most of<br /><br />the movie doubled over in abdominal agony, accompanied with<[[ct]] /><[[ct]] />severe flatulence, over this thing.<[[com]] /><br />Lewis, the director and producer, sets the [[set]] in 1943, but makes<br /><br />no attempt to use period costumes or sets. Everyone [[follows]] the<[[ct]] /><br />latest style and has the latest interior [[features]]...for 1970. The<[[fr]] /><br />supporting cast is lost as Lewis [[drives]] off on his patented tangents,<br /><br />which last as long as major surgery and are just as painful to<br /><br />watch. When Lewis becomes the Nazi commander, he spends the<br /><br />last half of the film screaming at the top of his lungs in a<br /><br />performance so odious as to stink up any good will you try to bring<br /><br />in at the beginning.<br /><br />The final embarassing shot has Lewis and his cronies trying to<br /><br />put one over on the Japanese. They wear buck teeth, squint their<br /><br />eyes, and talk in a ""funny"" accent. It may be one of the most<br /><br />blatantly racist occurrences since the internment camps. I was<br /><br />slack jawed at what Lewis did through this whole thing, but that put<br /><br />me over the edge. Watch for Kaye Ballard's very tasteless scene<br /><br />where she tries to attempt suicide over and over again.<br /><br />""Star Trek""'s George Takei has two small scenes, then wisely<br /><br />drops out of the picture. This has less laughs than Mel Brooks' last<br /><br />three films combined. There is nothing sadder than watching a<br /><br />formerly respected comedian screw up a project so horribly, you<br /><br />actually feel ashamed for them. Jim Carrey learned that with ""The<br /><br />Majestic,"" but Jerry Lewis still shows up on television once in a<br /><br />while pulling the same unfunny schtick. I feel sorry for him.<br /><br />""Which Way to the Front?"" is cheap, unfunny, offensive, and stupid.<br /><br />I feel bad for everyone involved, and anyone who must endure this.<br /><br />I do not recommend it.<br /><br />Though rated (G), this contains some physical violence, some gun<br /><br />violence, and some adult situations. If your child shows interest in<br /><br />seeing this, please consult professional help.<br /><br />",0.2032729983329773,0.5117306709289551,0,1,0,759,"Successful"
"Irwin Allen [[put]] all his talents behind this one: he's co-screenwriter, producer and [[director]] of this cartoonish ""epic"" about an atomic submarine and its efforts to reduce a ring of radiation [[circling]] the [[Earth]]. Potentially exciting story fails to [[take]] off, [[despite]] an eclectic cast. Varied players from Walter Pigeon and Joan [[Fontaine]] to Frankie Avalon and [[Barbara]] Eden are interestingly intermingled and provide a [[dash]] of color, but this soggy sci-fi is pretty [[cheesy]]. [[Good]] for a few stray laughs, but Allen didn't [[seem]] to [[know]] the difference between strong, solid adventure and campy nonsense. [[Later]] a popular TV series. ** from ****","Irwin Allen [[dedicated]] all his talents behind this one: he's co-screenwriter, producer and [[directors]] of this cartoonish ""epic"" about an atomic submarine and its efforts to reduce a ring of radiation [[protecting]] the [[earth]]. Potentially exciting story fails to [[give]] off, [[for]] an eclectic cast. Varied players from Walter Pigeon and Joan [[fontaine]] to Frankie Avalon and [[rita]] Eden are interestingly intermingled and provide a [[variety]] of color, but this soggy sci-fi is pretty [[lacking]]. [[good]] for a few stray laughs, but Allen didn't [[wait]] to [[find]] the difference between strong, solid adventure and campy nonsense. [[see]] a popular TV series. ** from ****",0.2806934714317322,0.47145116329193115,0,0,0,257,"Failed"
"I'm rather surprised that anybody found this film touching or moving.<br /><br />The basic premise of the film [[sounded]] to me like an excellent, if provocative, idea for a movie about a rare sort of relationship, but one (if I can judge by the real-life examples I've known) is extremely deep and loving.<br /><br />[[However]], the film is cheaply scripted--poorly scripted--and although it has a number of very pretty-looking shots, I didn't find it to be anything special.<br /><br />Probably the biggest problem is that it is far too short and poorly-composed to give its audience time enough to invest, emotionally, in the characters: we don't really care about any of them, and so their stresses and obstacles don't really touch us.<br /><br />I think a REMAKE--from the screenplay up--with some character development by some really good writers--could improve it greatly. It is instructive to compare this film with Brokeback Mountain, which the screen-writers took to far loftier levels than did the author of the screenplay--screen-writers who were clearly conscious of how to write a classical tragedy, and carried out their task with care, planning, and superb craftsmanship! However, people only seem to remake those films that don't need it! You're not really missing anything if you skip this one: I found it very disappointing indeed, and it is only saved from getting a 1-star from me by virtue of the daring and gumption it took to make a film on this sensitive subject.","I'm rather surprised that anybody found this film touching or moving.<br /><br />The basic premise of the film [[emerged]] to me like an excellent, if provocative, idea for a movie about a rare sort of relationship, but one (if I can judge by the real-life examples I've known) is extremely deep and loving.<br /><br />[[however]], the film is cheaply scripted--poorly scripted--and although it has a number of very pretty-looking shots, I didn't find it to be anything special.<br /><br />Probably the biggest problem is that it is far too short and poorly-composed to give its audience time enough to invest, emotionally, in the characters: we don't really care about any of them, and so their stresses and obstacles don't really touch us.<br /><br />I think a REMAKE--from the screenplay up--with some character development by some really good writers--could improve it greatly. It is instructive to compare this film with Brokeback Mountain, which the screen-writers took to far loftier levels than did the author of the screenplay--screen-writers who were clearly conscious of how to write a classical tragedy, and carried out their task with care, planning, and superb craftsmanship! However, people only seem to remake those films that don't need it! You're not really missing anything if you skip this one: I found it very disappointing indeed, and it is only saved from getting a 1-star from me by virtue of the daring and gumption it took to make a film on this sensitive subject.",0.38741761445999146,0.505599856376648,0,1,0,180,"Successful"
"It just so happens that IVAN THE TERRIBLE, PARTS I and II both had entries in the 50 Worst Movies book by Harry Medved. Now, I do think that declaring they are among the worst movies ever is an overstatement, though they are still both pretty [[poor]] films--particularly the first one, as it featured more eye rolling and ""googly eyed looks"" than I have ever seen before!! Director Eisenstein and an awful lot of other people out there thought this made the film ""artsy and profound""--and since I am legally sane, I must say that I hated this first film!! The second, while still very incomplete-looking, is a vast improvement, as eye rolling is minimal, though overacting and long boring scenes are present in this film just like in part 1! While part 2 looks pretty incomplete and needed at least another hour (especially since it never gets to Ivan's insane behavior later in life--like killing his son and heir while in a fit of anger). Since both parts 1 and 2 were commissioned by Stalin to both excuse his own murderous reign and glorify him, it's no surprise that Ivan's life story is left very incomplete. Even without all the truly awful behaviors of Ivan, apparently the supremely evil Stalin STILL didn't like the film and wouldn't allow its release during his lifetime. Maybe he didn't allow this because he was more worried people would see what a HUGE waste of money and resources the film was instead of seeing Stalin as a crazy guy just like Ivan! <br /><br />By the way, there was one segment of this tedious film that was just so cool that the film merits a 4 (without it, a 2)--and that's the scene with Prince Vladimir at the banquet! It is well-done and pretty funny in a dark way. And, the scene was done in a Russian version of 2-color Technicolor. This is VERY odd, by the way, because by the mid-1930s, a vastly improved true color process was developed by Technicolor that no longer made everything look all orangy-red and greenish-blue. So, this film during the color sequences looks a lot like a silent or early sound color film. Very odd indeed for the 1940s.","It just so happens that IVAN THE TERRIBLE, PARTS I and II both had entries in the 50 Worst Movies book by Harry Medved. Now, I do think that declaring they are among the worst movies ever is an overstatement, though they are still both pretty [[decent]] films--particularly the first one, as it featured more eye rolling and ""googly eyed looks"" than I have ever seen before!! Director Eisenstein and an awful lot of other people out there thought this made the film ""artsy and profound""--and since I am legally sane, I must say that I hated this first film!! The second, while still very incomplete-looking, is a vast improvement, as eye rolling is minimal, though overacting and long boring scenes are present in this film just like in part 1! While part 2 looks pretty incomplete and needed at least another hour (especially since it never gets to Ivan's insane behavior later in life--like killing his son and heir while in a fit of anger). Since both parts 1 and 2 were commissioned by Stalin to both excuse his own murderous reign and glorify him, it's no surprise that Ivan's life story is left very incomplete. Even without all the truly awful behaviors of Ivan, apparently the supremely evil Stalin STILL didn't like the film and wouldn't allow its release during his lifetime. Maybe he didn't allow this because he was more worried people would see what a HUGE waste of money and resources the film was instead of seeing Stalin as a crazy guy just like Ivan! <br /><br />By the way, there was one segment of this tedious film that was just so cool that the film merits a 4 (without it, a 2)--and that's the scene with Prince Vladimir at the banquet! It is well-done and pretty funny in a dark way. And, the scene was done in a Russian version of 2-color Technicolor. This is VERY odd, by the way, because by the mid-1930s, a vastly improved true color process was developed by Technicolor that no longer made everything look all orangy-red and greenish-blue. So, this film during the color sequences looks a lot like a silent or early sound color film. Very odd indeed for the 1940s.",0.4629790186882019,0.6017882823944092,0,1,0,227,"Successful"
"This movie is one of the only historical documents displaying the talents of so many black singers, actors, actresses, and dancers. Many who are no longer with us. Those which we are blessed to be able to enjoy today in 1999, through this film lets us recognize the talents that existed then. This is why those individuals still living today as well those who are deceased are super star icons. Due to the educational history in music, drama, filming, design, singing, etc., this movie alone belongs to the people of this country.<br /><br />I viewed this movie recently. The sound was [[excellent]]! The movie appeared to be complete, color and clarity was fare, but good considering how old this movie is [[without]] any repairs on frames. I agree with all prior positive reviews. I do not have any [[negative]] views.<br /><br />I only would like to make one request. Please to whom it my concern, please make this movie available so all can have this historical experience.","This movie is one of the only historical documents displaying the talents of so many black singers, actors, actresses, and dancers. Many who are no longer with us. Those which we are blessed to be able to enjoy today in 1999, through this film lets us recognize the talents that existed then. This is why those individuals still living today as well those who are deceased are super star icons. Due to the educational history in music, drama, filming, design, singing, etc., this movie alone belongs to the people of this country.<br /><br />I viewed this movie recently. The sound was [[terrible]]! The movie appeared to be complete, color and clarity was fare, but good considering how old this movie is [[from]] any repairs on frames. I agree with all prior positive reviews. I do not have any [[positive]] views.<br /><br />I only would like to make one request. Please to whom it my concern, please make this movie available so all can have this historical experience.",0.05510413646697998,0.5371209979057312,1,0,1,149,"Successful"
