"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"The Comebacks is a [[spoof]] on inspirational sports movies, and [[let]] me just [[tell]] you-it is not a [[good]] one. Tom Brady (the [[director]]) probably [[found]] it [[hilarious]] that referencing [[sports]] [[films]] (from [[Gridiron]] [[Gang]], [[Invincible]] and even Miracle! to The [[Longest]] [[Yard]] and Dodgeball-yes Dodgeball!) and tossing in a [[couple]] of sex [[jokes]], would be the [[funniest]] thing since [[Airplane]]! Well, he was [[wrong]]. They did such a [[slipshod]] [[job]], you'd [[thought]] it was [[written]] in a week. I have [[found]] it that if a director [[loves]] the genre, the movie will be [[good]]. [[Obviously]], Brady does not [[love]] the genre he is spoofing. This [[movie]] is a rancid [[piece]] of [[garbage]] not [[worth]] [[viewing]], so don't [[see]] it!","The Comebacks is a [[travesty]] on inspirational sports movies, and [[permit]] me just [[separate]] you-it is not a [[skillful]] one. Tom Brady (the [[manager]]) probably [[notice]] it [[screaming]] that referencing [[lark]] [[picture]] (from [[gridiron]] [[ring]], [[invincible]] and even Miracle! to The [[long]] [[grounds]] and Dodgeball-yes Dodgeball!) and tossing in a [[twain]] of sex [[trick]], would be the [[mirthful]] thing since [[airplane]]! Well, he was [[wrongly]]. They did such a [[slapdash]] [[problem]], you'd [[consider]] it was [[pen]] in a week. I have [[ground]] it that if a director [[beloved]] the genre, the movie will be [[undecomposed]]. [[manifestly]], Brady does not [[dearest]] the genre he is spoofing. This [[picture]] is a rancid [[small-arm]] of [[drivel]] not [[deserving]] [[view]], so don't [[interpret]] it!",0.20992112159729004,0.26117390394210815,0,0,0,1218,"Failed"
"Alas, another Costner movie that was an hour too long. [[Credible]] [[performances]], but the script had no where to [[go]] and was in no [[hurry]] to [[get]] there. First we are [[offered]] an unrelated [[string]] of events few of which further the [[story]]. Will the [[script]] [[center]] on Randall and his wife? Randall and Fischer? How about Fischer and Thomas? [[In]] the [[end]], no [[real]] front [[story]] ever develops and the [[characters]] themselves are artificially propped up by monologues from [[third]] [[parties]]. The singer [[explains]] Randall, Randall [[explains]] Fischer, on and on. Finally, long after you don't [[care]] anymore, you will [[learn]] something about the script [[meetings]]. Three endings were no doubt proffered and no [[one]] could [[make]] a decision. The [[end]] [[result]]? All three were [[used]], [[one]], after another, after another. If you can [[hang]] in past the [[100th]] yawn, you'll be able to [[pick]] them out. [[Despite]] the [[transparent]] [[attempt]] to [[gain]] [[points]] with a [[dedication]] to the [[Coast]] [[Guard]], this [[one]] should have [[washed]] out the very [[first]] [[day]].","Alas, another Costner movie that was an hour too long. [[believable]] [[functioning]], but the script had no where to [[ecstasy]] and was in no [[rushing]] to [[capture]] there. First we are [[tender]] an unrelated [[thread]] of events few of which further the [[level]]. Will the [[book]] [[eye]] on Randall and his wife? Randall and Fischer? How about Fischer and Thomas? [[inward]] the [[goal]], no [[very]] front [[level]] ever develops and the [[persona]] themselves are artificially propped up by monologues from [[3rd]] [[company]]. The singer [[explicate]] Randall, Randall [[explicate]] Fischer, on and on. Finally, long after you don't [[forethought]] anymore, you will [[discover]] something about the script [[suffer]]. Three endings were no doubt proffered and no [[single]] could [[establish]] a decision. The [[close]] [[answer]]? All three were [[ill-used]], [[unmatched]], after another, after another. If you can [[flow]] in past the [[centesimal]] yawn, you'll be able to [[piece]] them out. [[disdain]] the [[limpid]] [[essay]] to [[attain]] [[charge]] with a [[allegiance]] to the [[seacoast]] [[guard]], this [[unrivalled]] should have [[lave]] out the very [[initiatory]] [[daytime]].",0.21756643056869507,0.26546168327331543,0,0,0,1709,"Failed"
"In this era when almost everything makes it on to DVD (I'm expecting to see the My Mother the Car collection any day now) this film has been unfairly neglected. There are innumerable stupid comedies from the 60's as well as many other eras that have received at least a cursory DVD treatment. This one wasn't even released on VHS to my knowledge, despite the talents involved in the making (Arthur Hiller, Eli Wallach, Anne Jackson, Murray Shisgal (notable later for co-writing Tootsie), even Dustin Hoffman in his debut). It's obviously a product of the sixties but so is just about everything else from that era. All films reflect the tastes and customs of the times in which they are [[made]]. This was released the same year as The President's Analyst, another absurd masterpiece. That film was finally released on DVD and has developed a cult following. This film has many memorable bizarre, goofy, [[wacky]] moments. Sure, it's painted in broad strokes and has silly go-go music throughout but that's part of its charm. It creates its own [[absurd]] universe. If whoever is in charge of DVD production for Columbia Pictures releases (I believe Columbia released it) takes polls for new releases this gets my vote.","In this era when almost everything makes it on to DVD (I'm expecting to see the My Mother the Car collection any day now) this film has been unfairly neglected. There are innumerable stupid comedies from the 60's as well as many other eras that have received at least a cursory DVD treatment. This one wasn't even released on VHS to my knowledge, despite the talents involved in the making (Arthur Hiller, Eli Wallach, Anne Jackson, Murray Shisgal (notable later for co-writing Tootsie), even Dustin Hoffman in his debut). It's obviously a product of the sixties but so is just about everything else from that era. All films reflect the tastes and customs of the times in which they are [[crap]]. This was released the same year as The President's Analyst, another absurd masterpiece. That film was finally released on DVD and has developed a cult following. This film has many memorable bizarre, goofy, [[goofy]] moments. Sure, it's painted in broad strokes and has silly go-go music throughout but that's part of its charm. It creates its own [[derisory]] universe. If whoever is in charge of DVD production for Columbia Pictures releases (I believe Columbia released it) takes polls for new releases this gets my vote.",0.09824079275131226,0.7090804576873779,1,0,1,1354,"Successful"
"This movie is an [[awesome]] remake of the original by the same title. The movie was cool,despite the fact, I hate new ones! All of the cast was awesome . It has great cast and an awesome plot!! The main plot is a man is poisoned and he has to solve his own murder , neat eh?!Dennis Quaid is the man who is ""D.O.A""(in other words Dead On Arrival).He finds help with his friends, but everyone is now a suspect!!Dennis's character has several hours to find out who poisoned him. The movie is quite fast and full of action. You can see two other big stars in Meg Ryan(City Of Angels,Courage Under Fire) and Daniel Stern(Home Alone, Very Bad Things,Bushwhacked) in supporting roles in this [[awesome]] ,[[cool]] remake of a classic movie!!","This movie is an [[awful]] remake of the original by the same title. The movie was cool,despite the fact, I hate new ones! All of the cast was awesome . It has great cast and an awesome plot!! The main plot is a man is poisoned and he has to solve his own murder , neat eh?!Dennis Quaid is the man who is ""D.O.A""(in other words Dead On Arrival).He finds help with his friends, but everyone is now a suspect!!Dennis's character has several hours to find out who poisoned him. The movie is quite fast and full of action. You can see two other big stars in Meg Ryan(City Of Angels,Courage Under Fire) and Daniel Stern(Home Alone, Very Bad Things,Bushwhacked) in supporting roles in this [[awful]] ,[[nerveless]] remake of a classic movie!!",0.09680032730102539,0.7461955547332764,1,0,1,863,"Successful"
"One of the greatest lessons I ever had in how to watch a movie happened this way: <br /><br />I was working in Roger Corman's offices, like so many other wanabees before and since, I was interning and trying to figure out how it all worked and how to make myself indispensable (hah!). One afternoon Julie Corman, Roger Corman's wife and a producer in her own right, asked me to load up a tape. I'm not [[sure]] why she wanted to watch it. I got the impression it was a student film or a show reel, something like that, some sort of calling card. Whatever the reasons she had to see it, the only free video machine in the offices at the time happened to be in the room I was working in, and I was the nearest person to the machine. I started the tape.<br /><br />Fade in: On screen a figure sat at a desk facing the camera. Behind him, screen left, was a door that opened into the room. Against the far wall was a coat rack. A second character entered through the door and started talking. The first character, the guy at the desk, turned round to reply, (this is all one take, static camera, there are no cuts pans or dolly shots. Just [[one]] locked off camera). The second character turned to hang his coat on the coat rack and delivered his next line. Julie Corman said ""I've seen enough."" and left the room.<br /><br />What she had seen in the ten seconds of footage she had watched was that the director was an idiot. Opening with two characters who immediately turned their backs to the camera delivering lines? Nope, [[sorry]]. Next! That's how [[long]] you've got. Ten seconds. Cock it up in the opening shot and you are dead.<br /><br />[[I]] was reminded of that moment while [[I]] watched the opening of this [[piece]] of [[crap]]. After an interminably long travelogue of jungle we see several [[monkeys]] apparently throwing themselves into cages. A man carrying a gun laughs. A jet liner lands and we see it taxi the whole way to the terminal. God this is boring! Cut to the interior of the Airport. Two men meet. Aha! Something is happening! They shake hands. [[Cut]] to a different angle of the two men -<br /><br />- and the director crosses the line.<br /><br />The first two shots of the movie that have any kind of spatial relationship with each other and the guy has cocked up. 'Not Crossing The line' is one of those basic rules of movie grammar that keeps the characters from jumping about from side to side on the screen and confusing the audience. Audiences don't like to be confused. Mystified? Baffled? Puzzled and intrigued? Yes. Audiences love all of those. Confused? No. You loose them. They walk out. 'Not Crossing The line' is one of those things they pound into you at film school, or should. It's basic stuff. It's not an inviolable rule (there are no inviolable rules) directors break it all the time - but not on the first real cut of the movie.<br /><br />I thought, ""I've seen enough"". And switched off.","One of the greatest lessons I ever had in how to watch a movie happened this way: <br /><br />I was working in Roger Corman's offices, like so many other wanabees before and since, I was interning and trying to figure out how it all worked and how to make myself indispensable (hah!). One afternoon Julie Corman, Roger Corman's wife and a producer in her own right, asked me to load up a tape. I'm not [[certain]] why she wanted to watch it. I got the impression it was a student film or a show reel, something like that, some sort of calling card. Whatever the reasons she had to see it, the only free video machine in the offices at the time happened to be in the room I was working in, and I was the nearest person to the machine. I started the tape.<br /><br />Fade in: On screen a figure sat at a desk facing the camera. Behind him, screen left, was a door that opened into the room. Against the far wall was a coat rack. A second character entered through the door and started talking. The first character, the guy at the desk, turned round to reply, (this is all one take, static camera, there are no cuts pans or dolly shots. Just [[unrivaled]] locked off camera). The second character turned to hang his coat on the coat rack and delivered his next line. Julie Corman said ""I've seen enough."" and left the room.<br /><br />What she had seen in the ten seconds of footage she had watched was that the director was an idiot. Opening with two characters who immediately turned their backs to the camera delivering lines? Nope, [[pitiful]]. Next! That's how [[tenacious]] you've got. Ten seconds. Cock it up in the opening shot and you are dead.<br /><br />[[one]] was reminded of that moment while [[iodin]] watched the opening of this [[man]] of [[make]]. After an interminably long travelogue of jungle we see several [[imp]] apparently throwing themselves into cages. A man carrying a gun laughs. A jet liner lands and we see it taxi the whole way to the terminal. God this is boring! Cut to the interior of the Airport. Two men meet. Aha! Something is happening! They shake hands. [[prune]] to a different angle of the two men -<br /><br />- and the director crosses the line.<br /><br />The first two shots of the movie that have any kind of spatial relationship with each other and the guy has cocked up. 'Not Crossing The line' is one of those basic rules of movie grammar that keeps the characters from jumping about from side to side on the screen and confusing the audience. Audiences don't like to be confused. Mystified? Baffled? Puzzled and intrigued? Yes. Audiences love all of those. Confused? No. You loose them. They walk out. 'Not Crossing The line' is one of those things they pound into you at film school, or should. It's basic stuff. It's not an inviolable rule (there are no inviolable rules) directors break it all the time - but not on the first real cut of the movie.<br /><br />I thought, ""I've seen enough"". And switched off.",0.2960050702095032,0.5194932222366333,0,1,0,3966,"Successful"
"Irwin [[Allen]] put all his talents behind this [[one]]: he's co-screenwriter, producer and director of this cartoonish ""[[epic]]"" about an atomic submarine and its [[efforts]] to reduce a ring of radiation circling the [[Earth]]. Potentially [[exciting]] [[story]] [[fails]] to [[take]] off, [[despite]] an eclectic [[cast]]. Varied players from Walter Pigeon and Joan Fontaine to Frankie Avalon and Barbara Eden are interestingly [[intermingled]] and [[provide]] a [[dash]] of color, but this [[soggy]] sci-fi is [[pretty]] cheesy. [[Good]] for a few stray [[laughs]], but Allen didn't [[seem]] to [[know]] the [[difference]] between strong, [[solid]] adventure and campy nonsense. Later a popular [[TV]] series. ** from ****","Irwin [[Gracie]] put all his talents behind this [[ace]]: he's co-screenwriter, producer and director of this cartoonish ""[[heroic]]"" about an atomic submarine and its [[endeavour]] to reduce a ring of radiation circling the [[land]]. Potentially [[stir]] [[narrative]] [[break]] to [[lead]] off, [[contempt]] an eclectic [[project]]. Varied players from Walter Pigeon and Joan Fontaine to Frankie Avalon and Barbara Eden are interestingly [[blend]] and [[ply]] a [[flair]] of color, but this [[muddy]] sci-fi is [[somewhat]] cheesy. [[serious]] for a few stray [[jest]], but Allen didn't [[look]] to [[screw]] the [[divergence]] between strong, [[satisfying]] adventure and campy nonsense. Later a popular [[telecasting]] series. ** from ****",0.228551983833313,0.6456114649772644,0,1,0,958,"Successful"
"I [[saw]] the [[film]] yesterday and stopped it at half time because I felt it was a [[waste]] of time. The idea to make a film through the [[eyes]] of a headsman - one of the ""evil guys"" throughout most fantasy and medieval films - is great and offers plenty of [[possibilities]] but... the [[film]] couldn't [[catch]] [[one]] of them. I was not feeling for any of the [[characters]], the [[plot]] was all too predictable (to the [[point]] that [[I]] followed it)and the second leap of time in the storyline made me [[quit]]. Those who [[expect]] a deep insight into the emotional situation of a headsman in the [[middle]] [[Ages]], a social outcast to that time, might be [[disappointed]].","I [[construe]] the [[shoot]] yesterday and stopped it at half time because I felt it was a [[barren]] of time. The idea to make a film through the [[oculus]] of a headsman - one of the ""evil guys"" throughout most fantasy and medieval films - is great and offers plenty of [[possibility]] but... the [[shoot]] couldn't [[capture]] [[I]] of them. I was not feeling for any of the [[quality]], the [[patch]] was all too predictable (to the [[stage]] that [[ace]] followed it)and the second leap of time in the storyline made me [[discontinue]]. Those who [[carry]] a deep insight into the emotional situation of a headsman in the [[mediate]] [[years]], a social outcast to that time, might be [[thwarted]].",0.24212318658828735,0.6152434349060059,0,1,0,955,"Successful"
"This movie has [[got]] to be the [[biggest]] disappointment I've ever [[experienced]] with a [[film]]. The [[acting]] is [[horrific]], the suspense [[build]] up [[minimal]], and the [[plot]] overall is [[ridiculous]]. I [[found]] myself [[rooting]] for the victim to just [[hurry]] up and become a victim, because she [[obviously]] [[needed]] to be [[put]] out of her [[misery]]. Anyone with rudimentary [[knowledge]] of how the [[world]] [[works]] will [[immediately]] be disgusted at the leaps we're [[asked]] to [[make]] in logic, and the so-called [[suspenseful]] buildup would be [[lucky]] to [[get]] a 3 year old to be mildly [[worried]]. I'm [[dismayed]] that a [[sequel]] is planned, because it means they'll be [[asking]] [[us]] to once again [[swallow]] a [[sub]] [[par]] [[plot]] [[line]]. If this is an example of [[Raw]] Feed's work, [[I]] [[think]] I'll be [[avoiding]] any and all [[future]] films by them.","This movie has [[come]] to be the [[heavy]] disappointment I've ever [[live]] with a [[movie]]. The [[work]] is [[awful]], the suspense [[bod]] up [[minimum]], and the [[patch]] overall is [[pathetic]]. I [[notice]] myself [[rout]] for the victim to just [[speed]] up and become a victim, because she [[plainly]] [[need]] to be [[cast]] out of her [[wretchedness]]. Anyone with rudimentary [[cognition]] of how the [[macrocosm]] [[exploit]] will [[directly]] be disgusted at the leaps we're [[require]] to [[nominate]] in logic, and the so-called [[cliff-hanging]] buildup would be [[golden]] to [[acquire]] a 3 year old to be mildly [[occupy]]. I'm [[appal]] that a [[continuation]] is planned, because it means they'll be [[expect]] [[U]] to once again [[unsay]] a [[substitute]] [[equivalence]] [[game]] [[job]]. If this is an example of [[natural]] Feed's work, [[one]] [[retrieve]] I'll be [[avoid]] any and all [[succeeding]] films by them.",0.21306276321411133,0.2657792568206787,0,0,0,1553,"Failed"
"[[I]] have a [[strong]] [[feeling]] that what you [[think]] of this [[film]] will strongly [[depend]] on your [[frame]] of [[reference]]. If you've never [[seen]] a Miyazaki [[film]] before, then it will [[probably]] [[confuse]] the heck out of you. If you have [[seen]] a Miyazaki [[film]] before, then it will [[still]] probably [[confuse]] the heck out of you....but you won't [[really]] [[care]]! That's because [[I]] [[found]] that the first time [[I]] [[saw]] [[one]] of his animated [[films]], I [[tried]] too [[hard]] to [[figure]] out what was [[happening]] and why--and it [[impacted]] my enjoyment of the [[film]]. Now that [[I]] have [[seen]] just about every Miyazaki [[film]], [[I]] [[see]] the [[bizarreness]] and just [[take]] it all in--enjoying the [[beauty]] of it all. [[In]] many [[ways]], these films (at least to Western [[audiences]]) is [[like]] drugs--lots of strange and beautiful [[images]] that don't [[always]] initially [[make]] [[sense]] but sure [[feel]] [[great]] to [[see]]!! Of all the Miyazaki [[films]], this [[might]] have the most unusual and [[incomprehensible]] [[story]] line--even more so than SPIRITED AWAY and PRINCESS MONONOKE or MY NEIGHBOR TOTORO. [[But]], like these and many other [[Studio]] Gibli films, if you just [[sit]] [[back]] and watch you are [[rewarded]] with a [[fabulous]] [[tale]]. But, because it is so [[hard]] to describe (and others have already [[done]] so), [[I]] won't [[even]] [[go]] there.<br /><br />As for the [[artwork]], it's very typical of [[one]] of these Japanese films, though there was [[one]] noticeable [[change]]. There was a very [[extensive]] [[use]] of what [[looked]] [[like]] [[colored]] pencils for the [[backgrounds]]. This was NOT a [[bad]] [[thing]] at all--the [[lovely]] pastel-like [[look]] was very pleasing and [[unique]]. [[In]] some ways it looked [[like]] a [[tiny]] [[bit]] of [[Bill]] Plympton's [[art]] [[style]] was infused into a typical Miyazaki [[film]]. With a [[high]] frame-rate, [[exceptional]] [[character]] animation (which imbued them with [[tons]] of personality) and a [[great]] ""wow-factor"", this is an [[exceptional]] [[film]] for all ages. Though clearly [[designed]] more for [[younger]] [[audiences]] (the TOTORO fans [[especially]]), it is a [[bit]] scary here and there (during the [[storm]] [[segments]]) but there is [[plenty]] of [[great]] [[stuff]] for [[adults]]. [[As]] an adult (at least chronologically so), [[I]] [[loved]] the [[cute]] [[stuff]] and applaud the other-worldliness of the film.<br /><[[br]] />A [[great]] film--among Miyazaki's best. I don't [[give]] it a 10 because I am hesitant to ever do that--plus I did like a few of the studio's other films a bit more (particularly TOTORO). But that DOESN'T mean you shouldn't rush out now and see it--do it and do yourself a favor.","[[one]] have a [[secure]] [[flavour]] that what you [[retrieve]] of this [[flick]] will strongly [[count]] on your [[shape]] of [[acknowledgment]]. If you've never [[encounter]] a Miyazaki [[picture]] before, then it will [[believably]] [[obnubilate]] the heck out of you. If you have [[escort]] a Miyazaki [[cinema]] before, then it will [[withal]] probably [[throw]] the heck out of you....but you won't [[very]] [[concern]]! That's because [[1]] [[witness]] that the first time [[one]] [[find]] [[1]] of his animated [[film]], I [[try]] too [[tough]] to [[shape]] out what was [[happen]] and why--and it [[touch]] my enjoyment of the [[cinema]]. Now that [[unity]] have [[date]] just about every Miyazaki [[shoot]], [[one]] [[attend]] the [[weirdness]] and just [[hold]] it all in--enjoying the [[knockout]] of it all. [[Indiana]] many [[manner]], these films (at least to Western [[interview]]) is [[corresponding]] drugs--lots of strange and beautiful [[paradigm]] that don't [[forever]] initially [[realise]] [[smell]] but sure [[experience]] [[dandy]] to [[attend]]!! Of all the Miyazaki [[shoot]], this [[power]] have the most unusual and [[inexplicable]] [[report]] line--even more so than SPIRITED AWAY and PRINCESS MONONOKE or MY NEIGHBOR TOTORO. [[only]], like these and many other [[studio]] Gibli films, if you just [[pose]] [[game]] and watch you are [[honor]] with a [[mythological]] [[narration]]. But, because it is so [[heavy]] to describe (and others have already [[set]] so), [[i]] won't [[still]] [[choke]] there.<br /><br />As for the [[art]], it's very typical of [[I]] of these Japanese films, though there was [[ace]] noticeable [[exchange]]. There was a very [[across-the-board]] [[manipulation]] of what [[expect]] [[comparable]] [[dark]] pencils for the [[scope]]. This was NOT a [[risky]] [[affair]] at all--the [[adorable]] pastel-like [[face]] was very pleasing and [[singular]]. [[IN]] some ways it looked [[alike]] a [[petite]] [[routine]] of [[placard]] Plympton's [[graphics]] [[trend]] was infused into a typical Miyazaki [[take]]. With a [[eminent]] frame-rate, [[olympian]] [[quality]] animation (which imbued them with [[scores]] of personality) and a [[swell]] ""wow-factor"", this is an [[particular]] [[take]] for all ages. Though clearly [[intentional]] more for [[immature]] [[audience]] (the TOTORO fans [[specially]]), it is a [[spot]] scary here and there (during the [[tempest]] [[section]]) but there is [[flock]] of [[majuscule]] [[overindulge]] for [[adult]]. [[A]] an adult (at least chronologically so), [[ane]] [[bed]] the [[cunning]] [[satiate]] and applaud the other-worldliness of the film.<br /><[[BR]] />A [[bang-up]] film--among Miyazaki's best. I don't [[afford]] it a 10 because I am hesitant to ever do that--plus I did like a few of the studio's other films a bit more (particularly TOTORO). But that DOESN'T mean you shouldn't rush out now and see it--do it and do yourself a favor.",0.09666669368743896,0.1138150691986084,1,1,1,4538,"Failed"
"I'm rather surprised that anybody found this film touching or moving.<br /><br />The basic premise of the film sounded to me like an excellent, if provocative, idea for a movie about a rare sort of relationship, but [[one]] (if I can judge by the real-life examples I've known) is extremely deep and loving.<br /><br />However, the [[film]] is cheaply scripted--poorly scripted--and although it has a number of very pretty-looking shots, I didn't find it to be anything special.<br /><br />Probably the biggest problem is that it is far too short and poorly-composed to give its audience time enough to invest, emotionally, in the characters: we don't really care about any of them, and so their stresses and obstacles don't really touch us.<br /><br />I think a REMAKE--from the screenplay up--with some character development by some really good writers--could improve it greatly. It is instructive to compare this film with Brokeback Mountain, which the screen-writers took to far loftier levels than did the author of the screenplay--screen-writers who were clearly conscious of how to write a classical tragedy, and [[carried]] out their task with care, planning, and superb craftsmanship! However, people only seem to remake those films that don't need it! You're not really missing anything if you skip this one: I found it very disappointing indeed, and it is only saved from getting a 1-star from me by virtue of the daring and gumption it took to make a film on this sensitive subject.","I'm rather surprised that anybody found this film touching or moving.<br /><br />The basic premise of the film sounded to me like an excellent, if provocative, idea for a movie about a rare sort of relationship, but [[unrivaled]] (if I can judge by the real-life examples I've known) is extremely deep and loving.<br /><br />However, the [[celluloid]] is cheaply scripted--poorly scripted--and although it has a number of very pretty-looking shots, I didn't find it to be anything special.<br /><br />Probably the biggest problem is that it is far too short and poorly-composed to give its audience time enough to invest, emotionally, in the characters: we don't really care about any of them, and so their stresses and obstacles don't really touch us.<br /><br />I think a REMAKE--from the screenplay up--with some character development by some really good writers--could improve it greatly. It is instructive to compare this film with Brokeback Mountain, which the screen-writers took to far loftier levels than did the author of the screenplay--screen-writers who were clearly conscious of how to write a classical tragedy, and [[impart]] out their task with care, planning, and superb craftsmanship! However, people only seem to remake those films that don't need it! You're not really missing anything if you skip this one: I found it very disappointing indeed, and it is only saved from getting a 1-star from me by virtue of the daring and gumption it took to make a film on this sensitive subject.",0.3825053572654724,0.5150943994522095,0,1,0,1417,"Successful"
