"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"One of the greatest lessons I ever had in how to watch a movie happened this way: <br /><br />I was working in Roger Corman's offices, like so many other wanabees before and since, I was interning and trying to figure out how it all worked and how to make myself indispensable (hah!). One afternoon Julie Corman, Roger Corman's wife and a producer in her own right, asked me to load up a tape. I'm not sure why she wanted to watch it. I got the impression it was a student film or a show reel, something like that, some sort of calling card. Whatever the reasons she had to see it, the only free video machine in the offices at the time happened to be in the room I was working in, and I was the nearest person to the machine. I started the tape.<br /><br />Fade in: On screen a figure sat at a desk facing the camera. Behind him, screen left, was a door that opened into the room. Against the far wall was a coat rack. A second character entered through the door and started talking. The first character, the guy at the desk, turned round to reply, (this is all one take, static camera, there are no cuts pans or dolly shots. Just one locked off camera). The second character turned to hang his coat on the coat rack and delivered his next line. Julie Corman said ""I've seen enough."" and left the room.<br /><br />What she had seen in the ten seconds of footage she had watched was that the director was an idiot. Opening with two characters who immediately turned their backs to the camera delivering lines? Nope, sorry. Next! That's how long you've got. Ten seconds. Cock it up in the opening shot and you are dead.<br /><br />I was reminded of that moment while I watched the opening of this [[piece]] of [[crap]]. After an interminably long travelogue of jungle we see several monkeys apparently throwing themselves into cages. A man carrying a gun laughs. A jet liner lands and we see it taxi the whole way to the terminal. God this is [[boring]]! Cut to the interior of the Airport. Two men meet. Aha! Something is happening! They shake hands. Cut to a different angle of the two men -<br /><br />- and the director crosses the line.<br /><br />The first two shots of the movie that have any kind of spatial relationship with each other and the guy has cocked up. 'Not Crossing The line' is one of those basic rules of movie grammar that keeps the characters from jumping about from side to side on the screen and confusing the audience. Audiences don't like to be confused. Mystified? Baffled? Puzzled and intrigued? Yes. Audiences love all of those. Confused? No. You loose them. They walk out. 'Not Crossing The line' is one of those things they pound into you at film school, or should. It's basic stuff. It's not an inviolable rule (there are no inviolable rules) directors break it all the time - but not on the first real cut of the movie.<br /><br />I thought, ""I've seen enough"". And switched off.","One of the greatest lessons I ever had in how to watch a movie happened this way: <br /><br />I was working in Roger Corman's offices, like so many other wanabees before and since, I was interning and trying to figure out how it all worked and how to make myself indispensable (hah!). One afternoon Julie Corman, Roger Corman's wife and a producer in her own right, asked me to load up a tape. I'm not sure why she wanted to watch it. I got the impression it was a student film or a show reel, something like that, some sort of calling card. Whatever the reasons she had to see it, the only free video machine in the offices at the time happened to be in the room I was working in, and I was the nearest person to the machine. I started the tape.<br /><br />Fade in: On screen a figure sat at a desk facing the camera. Behind him, screen left, was a door that opened into the room. Against the far wall was a coat rack. A second character entered through the door and started talking. The first character, the guy at the desk, turned round to reply, (this is all one take, static camera, there are no cuts pans or dolly shots. Just one locked off camera). The second character turned to hang his coat on the coat rack and delivered his next line. Julie Corman said ""I've seen enough."" and left the room.<br /><br />What she had seen in the ten seconds of footage she had watched was that the director was an idiot. Opening with two characters who immediately turned their backs to the camera delivering lines? Nope, sorry. Next! That's how long you've got. Ten seconds. Cock it up in the opening shot and you are dead.<br /><br />I was reminded of that moment while I watched the opening of this [[slice]] of [[fucked]]. After an interminably long travelogue of jungle we see several monkeys apparently throwing themselves into cages. A man carrying a gun laughs. A jet liner lands and we see it taxi the whole way to the terminal. God this is [[pesky]]! Cut to the interior of the Airport. Two men meet. Aha! Something is happening! They shake hands. Cut to a different angle of the two men -<br /><br />- and the director crosses the line.<br /><br />The first two shots of the movie that have any kind of spatial relationship with each other and the guy has cocked up. 'Not Crossing The line' is one of those basic rules of movie grammar that keeps the characters from jumping about from side to side on the screen and confusing the audience. Audiences don't like to be confused. Mystified? Baffled? Puzzled and intrigued? Yes. Audiences love all of those. Confused? No. You loose them. They walk out. 'Not Crossing The line' is one of those things they pound into you at film school, or should. It's basic stuff. It's not an inviolable rule (there are no inviolable rules) directors break it all the time - but not on the first real cut of the movie.<br /><br />I thought, ""I've seen enough"". And switched off.",0.27495014667510986,0.5032387971878052,0,1,0,405,"Successful"
"The Comebacks is a [[spoof]] on [[inspirational]] sports [[movies]], and [[let]] me just [[tell]] you-it is not a [[good]] one. Tom [[Brady]] (the [[director]]) [[probably]] [[found]] it [[hilarious]] that [[referencing]] [[sports]] [[films]] (from Gridiron [[Gang]], Invincible and even [[Miracle]]! to [[The]] [[Longest]] [[Yard]] and Dodgeball-yes [[Dodgeball]]!) and [[tossing]] in a [[couple]] of [[sex]] [[jokes]], would [[be]] the funniest thing [[since]] [[Airplane]]! [[Well]], he was [[wrong]]. They did such a slipshod job, you'd [[thought]] it was [[written]] in a [[week]]. [[I]] have [[found]] it that if a [[director]] [[loves]] the genre, the [[movie]] [[will]] be good. [[Obviously]], [[Brady]] [[does]] not [[love]] the genre he is spoofing. This [[movie]] is a rancid [[piece]] of [[garbage]] not [[worth]] [[viewing]], [[so]] don't [[see]] it!","The Comebacks is a [[faked]] on [[inspired]] sports [[filmmakers]], and [[licenses]] me just [[speaks]] you-it is not a [[decent]] one. Tom [[Quarterback]] (the [[directors]]) [[maybe]] [[unearthed]] it [[comedian]] that [[refer]] [[leisure]] [[scene]] (from Gridiron [[Kang]], Invincible and even [[Genius]]! to [[Both]] [[Larger]] [[Trier]] and Dodgeball-yes [[Kickball]]!) and [[laying]] in a [[spouse]] of [[sexuality]] [[comedic]], would [[become]] the funniest thing [[unless]] [[Aircraft]]! [[Perfectly]], he was [[unsuitable]]. They did such a slipshod job, you'd [[believing]] it was [[prepared]] in a [[weekends]]. [[me]] have [[watched]] it that if a [[provost]] [[fond]] the genre, the [[filmmaking]] [[wanna]] be good. [[Prominently]], [[Quarterback]] [[have]] not [[cared]] the genre he is spoofing. This [[flick]] is a rancid [[lump]] of [[refused]] not [[pena]] [[visions]], [[why]] don't [[refer]] it!",0.2763735055923462,0.4451497197151184,0,0,0,1791,"Failed"
"Alas, another Costner movie that was an hour too long. Credible performances, but the script had no where to go and was in no hurry to get there. First we are offered an unrelated string of events few of which further the story. Will the script center on Randall and his wife? Randall and Fischer? How about Fischer and Thomas? In the end, no real front story ever develops and the characters themselves are artificially propped up by monologues from third parties. The singer explains Randall, Randall explains Fischer, on and on. Finally, long after you don't care anymore, you will learn something about the script meetings. Three endings were no doubt proffered and no one could make a decision. The end result? All three were used, one, after another, after another. If you can hang in past the 100th yawn, you'll be able to pick them out. [[Despite]] the [[transparent]] [[attempt]] to [[gain]] [[points]] with a dedication to the [[Coast]] [[Guard]], this one should [[have]] [[washed]] out the [[very]] first day.","Alas, another Costner movie that was an hour too long. Credible performances, but the script had no where to go and was in no hurry to get there. First we are offered an unrelated string of events few of which further the story. Will the script center on Randall and his wife? Randall and Fischer? How about Fischer and Thomas? In the end, no real front story ever develops and the characters themselves are artificially propped up by monologues from third parties. The singer explains Randall, Randall explains Fischer, on and on. Finally, long after you don't care anymore, you will learn something about the script meetings. Three endings were no doubt proffered and no one could make a decision. The end result? All three were used, one, after another, after another. If you can hang in past the 100th yawn, you'll be able to pick them out. [[Whatever]] the [[transparency]] [[tempting]] to [[climbs]] [[theme]] with a dedication to the [[Seaside]] [[Garde]], this one should [[enjoy]] [[clean]] out the [[exceptionally]] first day.",0.19469565153121948,0.5260261297225952,0,1,0,378,"Successful"
"[[In]] this era when almost everything [[makes]] it on to DVD (I'm [[expecting]] to [[see]] the [[My]] [[Mother]] the [[Car]] [[collection]] any [[day]] now) this [[film]] [[has]] been unfairly [[neglected]]. There are [[innumerable]] stupid comedies from the 60's as well as many other eras that have received at least a [[cursory]] DVD treatment. This one wasn't even released on VHS to my knowledge, despite the talents involved in the making (Arthur Hiller, Eli Wallach, Anne Jackson, Murray Shisgal (notable later for co-writing [[Tootsie]]), even Dustin Hoffman in his debut). It's obviously a product of the sixties but so is just about everything else from that era. All films reflect the tastes and customs of the times in which they are made. This was released the same year as The President's Analyst, another absurd masterpiece. That film was finally released on DVD and has developed a cult following. This film [[has]] many memorable bizarre, goofy, [[wacky]] moments. [[Sure]], it's painted in broad strokes and has silly go-go music throughout but that's part of its charm. It creates its own [[absurd]] universe. If whoever is in charge of DVD production for Columbia Pictures releases (I believe Columbia released it) takes polls for new releases this gets my vote.","[[For]] this era when almost everything [[becomes]] it on to DVD (I'm [[expected]] to [[query]] the [[Mu]] [[Mothers]] the [[Che]] [[harvests]] any [[dates]] now) this [[flick]] [[haya]] been unfairly [[malpractice]]. There are [[interminable]] stupid comedies from the 60's as well as many other eras that have received at least a [[facile]] DVD treatment. This one wasn't even released on VHS to my knowledge, despite the talents involved in the making (Arthur Hiller, Eli Wallach, Anne Jackson, Murray Shisgal (notable later for co-writing [[Twix]]), even Dustin Hoffman in his debut). It's obviously a product of the sixties but so is just about everything else from that era. All films reflect the tastes and customs of the times in which they are made. This was released the same year as The President's Analyst, another absurd masterpiece. That film was finally released on DVD and has developed a cult following. This film [[had]] many memorable bizarre, goofy, [[quirky]] moments. [[Safe]], it's painted in broad strokes and has silly go-go music throughout but that's part of its charm. It creates its own [[laughable]] universe. If whoever is in charge of DVD production for Columbia Pictures releases (I believe Columbia released it) takes polls for new releases this gets my vote.",0.1406785249710083,0.5552061796188354,1,0,1,612,"Successful"
"[[This]] movie is an awesome remake of the original by the same title. The movie was cool,[[despite]] the fact, I hate new ones! All of the cast was awesome . It has [[great]] cast and an awesome plot!! The main plot is a man is poisoned and he has to solve his own murder , [[neat]] eh?!Dennis Quaid is the man who is ""D.O.A""(in other words Dead On Arrival).He finds help with his friends, but everyone is now a suspect!!Dennis's character has several hours to find out who poisoned him. The movie is quite fast and full of action. You can see two other big stars in Meg Ryan(City Of Angels,Courage Under Fire) and Daniel Stern(Home Alone, Very Bad [[Things]],[[Bushwhacked]]) in supporting roles in this [[awesome]] ,[[cool]] remake of a [[classic]] [[movie]]!!","[[These]] movie is an awesome remake of the original by the same title. The movie was cool,[[except]] the fact, I hate new ones! All of the cast was awesome . It has [[huge]] cast and an awesome plot!! The main plot is a man is poisoned and he has to solve his own murder , [[hyper]] eh?!Dennis Quaid is the man who is ""D.O.A""(in other words Dead On Arrival).He finds help with his friends, but everyone is now a suspect!!Dennis's character has several hours to find out who poisoned him. The movie is quite fast and full of action. You can see two other big stars in Meg Ryan(City Of Angels,Courage Under Fire) and Daniel Stern(Home Alone, Very Bad [[Parts]],[[Narked]]) in supporting roles in this [[unbelievable]] ,[[nice]] remake of a [[conventional]] [[photo]]!!",0.09932053089141846,0.5258898735046387,1,0,1,332,"Successful"
"[[Irwin]] [[Allen]] put all his talents behind this one: he's co-screenwriter, [[producer]] and [[director]] of this cartoonish ""[[epic]]"" about an [[atomic]] submarine and its efforts to [[reduce]] a [[ring]] of [[radiation]] circling the Earth. Potentially exciting story [[fails]] to take off, despite an eclectic [[cast]]. Varied [[players]] from Walter Pigeon and Joan Fontaine to Frankie Avalon and Barbara Eden are interestingly [[intermingled]] and provide a dash of color, but this soggy sci-fi is pretty cheesy. Good for a few stray laughs, but Allen didn't seem to [[know]] the difference between strong, solid [[adventure]] and campy [[nonsense]]. [[Later]] a popular [[TV]] series. ** from ****","[[Erwin]] [[Alan]] put all his talents behind this one: he's co-screenwriter, [[creator]] and [[master]] of this cartoonish ""[[manas]]"" about an [[radiated]] submarine and its efforts to [[diminishes]] a [[circling]] of [[rays]] circling the Earth. Potentially exciting story [[defraud]] to take off, despite an eclectic [[threw]]. Varied [[protagonists]] from Walter Pigeon and Joan Fontaine to Frankie Avalon and Barbara Eden are interestingly [[mixing]] and provide a dash of color, but this soggy sci-fi is pretty cheesy. Good for a few stray laughs, but Allen didn't seem to [[confess]] the difference between strong, solid [[voyage]] and campy [[codswallop]]. [[Hereafter]] a popular [[BROADCASTING]] series. ** from ****",0.22658133506774902,0.5201976895332336,0,1,0,535,"Successful"
"[[I]] [[have]] a [[strong]] [[feeling]] that what you [[think]] of this [[film]] will [[strongly]] [[depend]] on your frame of [[reference]]. [[If]] you've never seen a [[Miyazaki]] [[film]] before, then it will [[probably]] confuse the [[heck]] out of you. [[If]] you [[have]] [[seen]] a [[Miyazaki]] [[film]] before, then it [[will]] [[still]] probably [[confuse]] the heck out of you....but you won't [[really]] [[care]]! That's because I [[found]] that the first [[time]] I [[saw]] one of his [[animated]] films, I tried too hard to figure out what was [[happening]] and why--and it [[impacted]] my enjoyment of the film. Now that I [[have]] [[seen]] just about [[every]] Miyazaki [[film]], I [[see]] the bizarreness and just [[take]] it all in--enjoying the [[beauty]] of it all. [[In]] many ways, these [[films]] (at least to Western audiences) is like drugs--lots of [[strange]] and [[beautiful]] [[images]] that don't [[always]] [[initially]] [[make]] sense but [[sure]] [[feel]] [[great]] to [[see]]!! [[Of]] all the [[Miyazaki]] films, this [[might]] [[have]] the most [[unusual]] and [[incomprehensible]] [[story]] line--even more so than SPIRITED [[AWAY]] and PRINCESS MONONOKE or [[MY]] [[NEIGHBOR]] [[TOTORO]]. But, [[like]] these and [[many]] other [[Studio]] Gibli [[films]], if you just sit back and [[watch]] you are [[rewarded]] with a fabulous [[tale]]. But, because it is [[so]] [[hard]] to describe (and others have already [[done]] [[so]]), I won't even [[go]] there.<br /><br />As for the [[artwork]], it's [[very]] [[typical]] of one of these Japanese [[films]], [[though]] there was one [[noticeable]] [[change]]. There was a [[very]] [[extensive]] [[use]] of what [[looked]] like [[colored]] [[pencils]] for the [[backgrounds]]. [[This]] was [[NOT]] a [[bad]] [[thing]] at all--the [[lovely]] pastel-like [[look]] was [[very]] [[pleasing]] and [[unique]]. [[In]] some [[ways]] it [[looked]] like a [[tiny]] [[bit]] of Bill Plympton's art [[style]] was infused into a [[typical]] Miyazaki film. [[With]] a [[high]] frame-rate, [[exceptional]] [[character]] [[animation]] (which [[imbued]] them with tons of [[personality]]) and a [[great]] ""wow-factor"", this is an [[exceptional]] [[film]] for all [[ages]]. [[Though]] [[clearly]] [[designed]] more for [[younger]] audiences (the [[TOTORO]] [[fans]] especially), it is a [[bit]] [[scary]] here and there (during the [[storm]] [[segments]]) but there is [[plenty]] of [[great]] [[stuff]] for [[adults]]. As an [[adult]] (at least chronologically [[so]]), I [[loved]] the [[cute]] [[stuff]] and [[applaud]] the other-worldliness of the film.<br /><br />[[A]] [[great]] film--among Miyazaki's best. I don't give it a 10 because I am hesitant to ever do that--plus I did like a few of the studio's other films a bit more (particularly TOTORO). But that DOESN'T mean you shouldn't rush out now and see it--do it and do yourself a favor.","[[me]] [[enjoy]] a [[vigorous]] [[sentiments]] that what you [[feels]] of this [[films]] will [[pointedly]] [[counts]] on your frame of [[referring]]. [[Although]] you've never seen a [[Nausicaa]] [[cinematic]] before, then it will [[likely]] confuse the [[hell]] out of you. [[After]] you [[had]] [[saw]] a [[Hayao]] [[theaters]] before, then it [[wishing]] [[similarly]] probably [[misleading]] the heck out of you....but you won't [[decidedly]] [[caring]]! That's because I [[detecting]] that the first [[minute]] I [[watched]] one of his [[spirited]] films, I tried too hard to figure out what was [[event]] and why--and it [[harmed]] my enjoyment of the film. Now that I [[had]] [[saw]] just about [[any]] Miyazaki [[movie]], I [[embrace]] the bizarreness and just [[taken]] it all in--enjoying the [[exquisite]] of it all. [[For]] many ways, these [[filmmaking]] (at least to Western audiences) is like drugs--lots of [[startling]] and [[delicious]] [[photographed]] that don't [[routinely]] [[first]] [[translating]] sense but [[hopeful]] [[sens]] [[big]] to [[staring]]!! [[Among]] all the [[Hayao]] films, this [[may]] [[hectares]] the most [[unfamiliar]] and [[indecipherable]] [[legends]] line--even more so than SPIRITED [[OUTLYING]] and PRINCESS MONONOKE or [[MIN]] [[NEIGHBORHOODS]] [[NAUSICAA]]. But, [[amour]] these and [[several]] other [[Workshop]] Gibli [[flick]], if you just sit back and [[surveillance]] you are [[met]] with a fabulous [[tales]]. But, because it is [[whereby]] [[difficult]] to describe (and others have already [[conclude]] [[appropriately]]), I won't even [[devote]] there.<br /><br />As for the [[artworks]], it's [[incredibly]] [[classic]] of one of these Japanese [[filming]], [[despite]] there was one [[identifiable]] [[alteration]]. There was a [[too]] [[broader]] [[utilizes]] of what [[sounded]] like [[paints]] [[crayon]] for the [[sources]]. [[These]] was [[NOPE]] a [[damaging]] [[matter]] at all--the [[excellent]] pastel-like [[seems]] was [[quite]] [[delighted]] and [[own]]. [[On]] some [[lane]] it [[contemplated]] like a [[mini]] [[somewhat]] of Bill Plympton's art [[format]] was infused into a [[regular]] Miyazaki film. [[From]] a [[alta]] frame-rate, [[great]] [[featured]] [[driven]] (which [[seeping]] them with tons of [[character]]) and a [[formidable]] ""wow-factor"", this is an [[brilliant]] [[cine]] for all [[years]]. [[Whereas]] [[arguably]] [[geared]] more for [[fewer]] audiences (the [[MIYAZAKI]] [[loyalists]] especially), it is a [[piece]] [[afraid]] here and there (during the [[typhoon]] [[segment]]) but there is [[abundance]] of [[large]] [[ruse]] for [[adult]]. As an [[grownups]] (at least chronologically [[where]]), I [[loving]] the [[charming]] [[ruse]] and [[praising]] the other-worldliness of the film.<br /><br />[[another]] [[excellent]] film--among Miyazaki's best. I don't give it a 10 because I am hesitant to ever do that--plus I did like a few of the studio's other films a bit more (particularly TOTORO). But that DOESN'T mean you shouldn't rush out now and see it--do it and do yourself a favor.",0.1764838695526123,0.4916626811027527,1,1,1,4936,"Failed"
"It just so happens that IVAN THE TERRIBLE, PARTS I and II both had entries in the 50 Worst Movies book by Harry Medved. Now, I do think that declaring they are among the worst movies ever is an overstatement, though they are still both pretty poor films--particularly the first one, as it featured more eye rolling and ""googly eyed looks"" than I have ever seen before!! Director Eisenstein and an awful lot of other people out there thought this made the film ""artsy and profound""--and since I am legally sane, I must say that I hated this first film!! The second, while still very incomplete-looking, is a vast improvement, as eye rolling is minimal, though overacting and long boring scenes are present in this film just like in part 1! While part 2 looks pretty incomplete and needed at least another hour (especially since it never gets to Ivan's insane behavior later in life--like killing his son and heir while in a fit of anger). Since both parts 1 and 2 were commissioned by Stalin to both excuse his own murderous reign and glorify him, it's no surprise that Ivan's life story is left very incomplete. Even without all the truly awful behaviors of Ivan, apparently the supremely evil Stalin STILL didn't like the film and wouldn't allow its release during his lifetime. Maybe he didn't allow this because he was more worried people would see what a HUGE waste of money and resources the film was instead of seeing Stalin as a crazy guy just like Ivan! <br /><br />By the way, there was one segment of this [[tedious]] film that was just so cool that the film merits a 4 (without it, a 2)--and that's the scene with Prince Vladimir at the banquet! It is well-done and pretty funny in a dark way. And, the scene was done in a Russian version of 2-color Technicolor. This is VERY odd, by the way, because by the mid-1930s, a vastly improved true color process was developed by Technicolor that no longer made everything look all orangy-red and greenish-blue. So, this film during the color sequences looks a lot like a silent or early sound color film. Very odd indeed for the 1940s.","It just so happens that IVAN THE TERRIBLE, PARTS I and II both had entries in the 50 Worst Movies book by Harry Medved. Now, I do think that declaring they are among the worst movies ever is an overstatement, though they are still both pretty poor films--particularly the first one, as it featured more eye rolling and ""googly eyed looks"" than I have ever seen before!! Director Eisenstein and an awful lot of other people out there thought this made the film ""artsy and profound""--and since I am legally sane, I must say that I hated this first film!! The second, while still very incomplete-looking, is a vast improvement, as eye rolling is minimal, though overacting and long boring scenes are present in this film just like in part 1! While part 2 looks pretty incomplete and needed at least another hour (especially since it never gets to Ivan's insane behavior later in life--like killing his son and heir while in a fit of anger). Since both parts 1 and 2 were commissioned by Stalin to both excuse his own murderous reign and glorify him, it's no surprise that Ivan's life story is left very incomplete. Even without all the truly awful behaviors of Ivan, apparently the supremely evil Stalin STILL didn't like the film and wouldn't allow its release during his lifetime. Maybe he didn't allow this because he was more worried people would see what a HUGE waste of money and resources the film was instead of seeing Stalin as a crazy guy just like Ivan! <br /><br />By the way, there was one segment of this [[laborious]] film that was just so cool that the film merits a 4 (without it, a 2)--and that's the scene with Prince Vladimir at the banquet! It is well-done and pretty funny in a dark way. And, the scene was done in a Russian version of 2-color Technicolor. This is VERY odd, by the way, because by the mid-1930s, a vastly improved true color process was developed by Technicolor that no longer made everything look all orangy-red and greenish-blue. So, this film during the color sequences looks a lot like a silent or early sound color film. Very odd indeed for the 1940s.",0.4752309322357178,0.5289599895477295,0,1,0,234,"Successful"
"I've seen a few of Mr. Boorman's movies and didn't like much of them. Not that they are bad movies, quite the contrary are good movies, but not content I personally found entertaining. However I [[think]] Where the Heart Is, although made to cater to the less than art savvy American audience, is [[masterful]] as satire, and as social commentary of the times it was made in. I've had to replace this movie in my collection at least a half a dozen times, since every time I loan it out to someone I know could appreciate it's artistry on all its levels, my copy fails to come back home to me, lol. The last time took 7 years to replace it since it was out of print for VHS sales, has never been made as a DVD that I know of, and had to wait till one of the premium cable channels ran it before I could tape it again.<br /><br />[[My]] [[favorite]] aspect after the nail-on-the-head social commentary is the paintings by Timna Woollard. I've searched for 15 years to find anyone or anywhere that could lead me to where her work is available for sale. Or better yet a copy of the paintings in the movie without the ending credits rolling over them. I have a room in my house that I dedicated to putting copies of her paintings in, and no one seems to know if it ever was released as a coffee table book, or video aquarium, or as a documentary of her work. If anyone does know of where I can acquire any sort of copy of Timna's work or where her studio is in England, please do not hesitate to contact me via email.","I've seen a few of Mr. Boorman's movies and didn't like much of them. Not that they are bad movies, quite the contrary are good movies, but not content I personally found entertaining. However I [[ideology]] Where the Heart Is, although made to cater to the less than art savvy American audience, is [[prose]] as satire, and as social commentary of the times it was made in. I've had to replace this movie in my collection at least a half a dozen times, since every time I loan it out to someone I know could appreciate it's artistry on all its levels, my copy fails to come back home to me, lol. The last time took 7 years to replace it since it was out of print for VHS sales, has never been made as a DVD that I know of, and had to wait till one of the premium cable channels ran it before I could tape it again.<br /><br />[[Mon]] [[favourite]] aspect after the nail-on-the-head social commentary is the paintings by Timna Woollard. I've searched for 15 years to find anyone or anywhere that could lead me to where her work is available for sale. Or better yet a copy of the paintings in the movie without the ending credits rolling over them. I have a room in my house that I dedicated to putting copies of her paintings in, and no one seems to know if it ever was released as a coffee table book, or video aquarium, or as a documentary of her work. If anyone does know of where I can acquire any sort of copy of Timna's work or where her studio is in England, please do not hesitate to contact me via email.",0.3034905195236206,0.5046564340591431,1,0,1,246,"Successful"
"Since I am required to [[write]] minimum of 10 [[lines]], and this [[garbage]] deserves not only a single one, I'll start with the following: 1. I [[voted]] [[AWFUL]] for this dreadful [[so]] called ""movie"".<br /><br />2. Let me explain why these turkeys Mr. David Varod produces are shot mainly in my [[beautiful]] [[homeland]], [[Bulgaria]] (just in BTW, for the illiterate people around - this country is IN EUROPE, based north to Greece and has absolutely nothing to do with Mexico and Uruguay) Some years ago, NU Image has invaded our [[country]] and started [[making]] crappy mostly direct-to-video releases. Why here? Because here they pay derisively low fees to the Bulgarian [[crew]] and to the Bulgarian actors (most of them distinguished ones) which are, in many ways, [[better]] than most of their American colleagues. Personally I am ashamed of that [[fact]]. The [[reason]] is, of course, the greediness of the [[Americans]] [[involved]] and their wish to [[get]] most, if not all of the [[profit]]. [[Actually]] it would't [[be]] so [[bad]] if only the production wasn't so filthy and pale. There hasn't been a [[good]] picture [[shot]] here for years. [[At]] present [[NU]] [[image]] is being sued here over the very questionably [[purchasing]] of our [[national]] [[cinema]] [[production]] centre [[called]] Boyana [[Films]]. No doubt about it there has been corruption, there has been deceit, there has been a lies in this recent purchase. The Bulgarian cinema is dead. [[Long]] live the Bulgarian cinema!","Since I am required to [[texted]] minimum of 10 [[rows]], and this [[scrap]] deserves not only a single one, I'll start with the following: 1. I [[ballot]] [[TERRIFYING]] for this dreadful [[once]] called ""movie"".<br /><br />2. Let me explain why these turkeys Mr. David Varod produces are shot mainly in my [[extraordinary]] [[pains]], [[Bulgarian]] (just in BTW, for the illiterate people around - this country is IN EUROPE, based north to Greece and has absolutely nothing to do with Mexico and Uruguay) Some years ago, NU Image has invaded our [[nationals]] and started [[fact]] crappy mostly direct-to-video releases. Why here? Because here they pay derisively low fees to the Bulgarian [[marine]] and to the Bulgarian actors (most of them distinguished ones) which are, in many ways, [[well]] than most of their American colleagues. Personally I am ashamed of that [[reality]]. The [[grounds]] is, of course, the greediness of the [[Us]] [[implicated]] and their wish to [[find]] most, if not all of the [[gains]]. [[Fundamentally]] it would't [[is]] so [[malicious]] if only the production wasn't so filthy and pale. There hasn't been a [[satisfying]] picture [[killed]] here for years. [[Through]] present [[NT]] [[graphic]] is being sued here over the very questionably [[shopping]] of our [[nationalist]] [[kino]] [[manufactured]] centre [[urging]] Boyana [[Theater]]. No doubt about it there has been corruption, there has been deceit, there has been a lies in this recent purchase. The Bulgarian cinema is dead. [[Lasting]] live the Bulgarian cinema!",0.2382415533065796,0.5008055567741394,0,1,0,1090,"Successful"
