Model,comments,dataset,dataset type,Precision Performance,Recall Performance,F1 performance
LSTM,,imdb,test - textfooler,0.896,0.893,0.893
LSTM,,imdb,adv - textfooler,0.807,0.802,0.802
LSTM,,imdb,test - textbugger,0.875,0.872,0.872
LSTM,,imdb,adv - textbugger,0.782,0.78,0.779
LSTM,,imdb,test - paraphrased,0.822,0.823,0.823
LSTM,,imdb,adv - paraphrased,0.828,0.827,0.827
LSTM,,ag_news,test - textfooler,0.946,0.946,0.946
LSTM,,ag_news,adv - textfooler,0.825,0.818,0.818
LSTM,,ag_news,test - textbugger,0.889,0.887,0.887
LSTM,,ag_news,adv - textbugger,0.745,0.737,0.737
LSTM,,ag_news,test - paraphrased,0.923,0.92,0.92
LSTM,,ag_news,adv - paraphrased,0.836,0.827,0.827
LSTM,,dbpedia,test - textfooler,0.973,0.972,0.972
LSTM,,dbpedia,adv - textfooler,0.685,0.669,0.669
LSTM,,dbpedia,test - textbugger,0.952,0.951,0.951
LSTM,,dbpedia,adv - textbugger,0.717,0.685,0.693
LSTM,,dbpedia,test - paraphrased,0.957,0.957,0.957
LSTM,,dbpedia,adv - paraphrased,0.945,0.94,0.942
PBM,,imdb,test - textfooler,0.87,0.863,0.862
PBM,,imdb,adv - textfooler,0.725,0.725,0.725
PBM,,imdb,test - textbugger,0.836,0.828,0.826
PBM,,imdb,adv - textbugger,0.735,0.734,0.734
PBM,,imdb,test - paraphrased,0.8139,0.804,0.8004
PBM,,imdb,adv - paraphrased,0.8413,0.834,0.8318
PBM,,ag_news,test - textfooler,0.842,0.841,0.841
PBM,,ag_news,adv - textfooler,0.583,0.576,0.572
PBM,,ag_news,test - textbugger,0.721,0.713,0.715
PBM,,ag_news,adv - textbugger,0.492,0.483,0.485
PBM,,ag_news,test - paraphrased,0.8029,0.802,0.8008
PBM,,ag_news,adv - paraphrased,0.7667,0.763,0.7632
PBM,,dbpedia,test - textfooler,0.83,0.874,0.85
PBM,,dbpedia,adv - textfooler,0.487,0.52,0.497
PBM,,dbpedia,test - textbugger,0.747,0.812,0.777
PBM,,dbpedia,adv - textbugger,0.489,0.53,0.506
PBM,,dbpedia,test - paraphrased,0.8598,0.9,0.8791
PBM,,dbpedia,adv - paraphrased,0.8216,0.849,0.8305
PBM,DT,imdb,test - textfooler,0.888,0.884,0.884
PBM,DT,imdb,adv - textfooler,0.733,0.732,0.732
PBM,DT,imdb,test - textbugger,0.87,0.867,0.866
PBM,DT,imdb,adv - textbugger,0.735,0.734,0.733
PBM,DT,imdb,test - paraphrased,0.8298,0.826,0.8244
PBM,DT,imdb,adv - paraphrased,0.8459,0.843,0.8418
PBM,DT,ag_news,test - textfooler,0.893,0.889,0.889
