original_text,perturbed_text,label
"Singapore govt extends third-party war risk [[insurance]] SINGAPORE : The government is extending third-party war [[risk]] [[insurance]] cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore [[Airlines]] group.","Singapore govt extends third-party war risk [[insuarnce]] SINGAPORE : The government is extending third-party war [[rifk]] [[insurace]] cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore [[irlines]] group.",2
"Sun to shine spotlight on new operating system, [[Solaris]] 10 [[Sun]] Microsystems SUNW is expected to release a new version of its operating system [[today]] - a big [[part]] of the struggling [[computer]] [[maker]] #[[39]];s [[plan]] to [[save]] itself.","Sun to shine spotlight on new operating system, [[Solarsi]] 10 [[uSn]] Microsystems SUNW is expected to release a new version of its operating system [[toay]] - a big [[prat]] of the struggling [[cmputer]] [[mYker]] #[[3]];s [[bplan]] to [[skve]] itself.",3
"[[Nokia]] announces [[Near]] Field [[Communication]] products With the [[Nokia]] [[NFC]] (Near Field Communication) shell on their phone, consumers will be able to access a [[variety]] of services and exchange information with a simple touch gesture.","[[okia]] announces [[eNar]] Field [[Cmomunication]] products With the [[okia]] [[NFX]] (Near Field Communication) shell on their phone, consumers will be able to access a [[varicety]] of services and exchange information with a simple touch gesture.",3
Govt. to [[Test]] New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a threat to air travel.,Govt. to [[TBst]] New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a threat to air travel.,3
"[[Afghans]] rocky road to historic [[elections]] [[KALAKAN]], [[Afghanistan]] [[There]] were [[toothless]] [[old]] [[men]], [[turbaned]] and [[gray-bearded]], and [[young]] [[men]] not yet [[old]] enough to shave. [[There]] were [[mullahs]] and mujahedeen, and the presidential candidate #[[39]];s 3-year-old [[son]].","[[Afhans]] rocky road to historic [[eletcions]] [[BKALAKAN]], [[Afghanystan]] [[SThere]] were [[tothless]] [[Ild]] [[dmen]], [[turtbaned]] and [[gray-berrded]], and [[fyoung]] [[emn]] not yet [[olz]] enough to shave. [[TherW]] were [[mullhas]] and mujahedeen, and the presidential candidate #[[3]];s 3-year-old [[osn]].",0
"[[US]] [[suspends]] helicopter [[flights]] after [[Japan]] crash ([[AFP]]) [[AFP]] - The United [[States]] [[suspended]] [[flights]] of CH-53D [[military]] [[helicopters]] in [[Japan]], bowing to protests over a crash in an [[Okinawa]] university [[campus]].","[[S]] [[suspendw]] helicopter [[fights]] after [[JapDn]] crash ([[APF]]) [[AF]] - The United [[Statse]] [[suspendd]] [[flightvs]] of CH-53D [[miiltary]] [[helecopters]] in [[Jpan]], bowing to protests over a crash in an [[Okinaw]] university [[capmus]].",0
"[[Viacom]], Disney pay \$1.5M [[FCC]] [[fine]] Disney and [[Viacom]] [[agreed]] to a fine of \$1.5 million from the Federal Communications Commission over claims their children #39;s cable television [[networks]] [[violated]] [[advertising]] restrictions, the FCC said Thursday.","[[Vicom]], Disney pay \$1.5M [[bCC]] [[ffine]] Disney and [[Viavcom]] [[agree]] to a fine of \$1.5 million from the Federal Communications Commission over claims their children #39;s cable television [[Dnetworks]] [[ivolated]] [[advertisign]] restrictions, the FCC said Thursday.",2
"Anniversary remembered on [[game]] day When the attacks came on [[Sept]]. [[11]], [[2001]], Tom O'Brien, if only for a [[moment]], stopped being [[Boston]] College's [[coach]]. On that day, as the World Trade Center and Pentagon [[smoldered]] and the world [[stood]] [[still]], [[O'Brien]] was a Navy [[man]].","Anniversary remembered on [[ame]] day When the attacks came on [[Sep]]. [[1]], [[201]], Tom O'Brien, if only for a [[oment]], stopped being [[Bhston]] College's [[coch]]. On that day, as the World Trade Center and Pentagon [[sfoldered]] and the world [[stoPd]] [[till]], [[O'Briegn]] was a Navy [[mn]].",1
"[[Restive]] [[Maldives]] [[eases]] curfew after rounding up [[dissidents]] ([[AFP]]) [[AFP]] - A curfew in the [[capital]] of the Maldives was [[eased]] but [[parliament]] [[sessions]] were [[put]] off indefinitely and [[emergency]] rule continued following [[last]] week's [[riots]], [[officials]] and [[residents]] [[said]].","[[RBestive]] [[aMldives]] [[eatses]] curfew after rounding up [[dissiwdents]] ([[AFQ]]) [[AF]] - A curfew in the [[caopital]] of the Maldives was [[esaed]] but [[parliamekt]] [[sesEsions]] were [[upt]] off indefinitely and [[emergenc]] rule continued following [[lasvt]] week's [[ripts]], [[offiIcials]] and [[residRents]] [[sai]].",0
"[[US]] [[Airways]], Pilots [[Union]] Near [[Agreement]] [[US]] Airways is seeking \$[[800]] [[million]] in concessions from employee [[unions]] as it attempts to [[avoid]] [[filing]] [[Chapter]] [[11]]. The [[Air]] Line Pilots [[Association]] will present its [[proposal]] on the [[evening]] of ","[[dS]] [[Aiwrays]], Pilots [[Unijn]] Near [[Avgreement]] [[S]] Airways is seeking \$[[80]] [[mllion]] in concessions from employee [[unios]] as it attempts to [[Qavoid]] [[fpiling]] [[Chpter]] [[1]]. The [[iAr]] Line Pilots [[Asnsociation]] will present its [[procosal]] on the [[evneing]] of ",2
