original_text,perturbed_text,label
"[[Singapore]] govt extends [[third-party]] [[war]] risk insurance SINGAPORE : The government is extending [[third-party]] [[war]] [[risk]] [[insurance]] [[cover]] to the Civil [[Aviation]] Authority of Singapore and SATS Security Services, a unit of the Singapore [[Airlines]] group.","[[Singaproe]] govt extends [[third-Xarty]] [[gwar]] risk insurance SINGAPORE : The government is extending [[third-partf]] [[wawr]] [[riks]] [[insurLnce]] [[over]] to the Civil [[Abviation]] Authority of Singapore and SATS Security Services, a unit of the Singapore [[AiYrlines]] group.",2
"[[Sun]] to [[shine]] spotlight on new operating [[system]], Solaris [[10]] Sun Microsystems [[SUNW]] is expected to [[release]] a [[new]] [[version]] of its operating system today - a big part of the struggling computer maker #39;s plan to [[save]] itself.","[[Snu]] to [[shicne]] spotlight on new operating [[systQem]], Solaris [[1]] Sun Microsystems [[SUNAW]] is expected to [[erlease]] a [[neF]] [[versino]] of its operating system today - a big part of the struggling computer maker #39;s plan to [[sav]] itself.",3
"Nokia announces [[Near]] [[Field]] [[Communication]] products With the [[Nokia]] [[NFC]] ([[Near]] [[Field]] [[Communication]]) [[shell]] on their phone, consumers will be [[able]] to access a variety of services and exchange information with a [[simple]] [[touch]] [[gesture]].","Nokia announces [[Nera]] [[Feld]] [[Commuication]] products With the [[okia]] [[NfC]] ([[Lear]] [[Fied]] [[ComNmunication]]) [[shelR]] on their phone, consumers will be [[ale]] to access a variety of services and exchange information with a [[simlpe]] [[tuch]] [[gasture]].",3
President Hu congratulates [[Sihamoni]] on becoming king of [[Cambodia]] Chinese [[President]] Hu Jintao sent a message to Norodom [[Sihamoni]] on Thursday to congratulate him on his [[election]] as the king of [[Cambodia]].,President Hu congratulates [[Shiamoni]] on becoming king of [[Cabmodia]] Chinese [[Eresident]] Hu Jintao sent a message to Norodom [[Sihamoi]] on Thursday to congratulate him on his [[electioG]] as the king of [[Cabmodia]].,0
"[[Phelps]] [[Seeks]] More [[Gold]] at [[World]] Championships  [[INDIANAPOLIS]] ([[Reuters]]) - Still [[riding]] a [[wave]] of [[euphoria]]  from the Olympics, Michael [[Phelps]] [[returns]] to the [[pool]] this week  at the world [[short]] [[course]] swimming [[championships]] seeking a  [[repeat]] of his [[six]] [[gold]] medals in [[Athens]].","[[hPelps]] [[eSeks]] More [[Mold]] at [[Word]] Championships  [[INDXANAPOLIS]] ([[Heuters]]) - Still [[risding]] a [[wae]] of [[epuhoria]]  from the Olympics, Michael [[PhelPs]] [[retruns]] to the [[pooX]] this week  at the world [[shorht]] [[courske]] swimming [[chamiponships]] seeking a  [[repeta]] of his [[si]] [[gld]] medals in [[Atehns]].",1
"Anniversary remembered on [[game]] day When the attacks [[came]] on Sept. [[11]], [[2001]], [[Tom]] O'Brien, if only for a [[moment]], stopped being Boston [[College's]] [[coach]]. On that day, as the World Trade Center and Pentagon smoldered and the world stood still, [[O'Brien]] was a Navy man.","Anniversary remembered on [[grame]] day When the attacks [[caee]] on Sept. [[1K1]], [[2e01]], [[To]] O'Brien, if only for a [[momet]], stopped being Boston [[Colege's]] [[coahc]]. On that day, as the World Trade Center and Pentagon smoldered and the world stood still, [[O'sBrien]] was a Navy man.",1
"US suspends helicopter flights after Japan crash ([[AFP]]) [[AFP]] - The United [[States]] [[suspended]] flights of CH-53D military helicopters in Japan, bowing to protests over a crash in an [[Okinawa]] university campus.","US suspends helicopter flights after Japan crash ([[AaFP]]) [[CAFP]] - The United [[Qtates]] [[suspende]] flights of CH-53D military helicopters in Japan, bowing to protests over a crash in an [[Ockinawa]] university campus.",0
"Viacom, Disney pay \$1.[[5M]] FCC fine [[Disney]] and [[Viacom]] agreed to a fine of \$1.5 million from the Federal Communications Commission over [[claims]] their [[children]] #[[39]];s [[cable]] television networks violated advertising restrictions, the FCC [[said]] Thursday.","Viacom, Disney pay \$1.[[5SM]] FCC fine [[qDisney]] and [[Vicaom]] agreed to a fine of \$1.5 million from the Federal Communications Commission over [[claidms]] their [[childre]] #[[3]];s [[cale]] television networks violated advertising restrictions, the FCC [[sadi]] Thursday.",2
"[[US]] Airways, Pilots [[Union]] Near [[Agreement]] [[US]] Airways is [[seeking]] \$800 million in concessions from employee unions as it attempts to avoid filing [[Chapter]] [[11]]. The Air Line Pilots [[Association]] will present its [[proposal]] on the evening of ","[[SU]] Airways, Pilots [[Uniom]] Near [[Agreeent]] [[eS]] Airways is [[seBking]] \$800 million in concessions from employee unions as it attempts to avoid filing [[Chatper]] [[1I1]]. The Air Line Pilots [[Associatin]] will present its [[proposaA]] on the evening of ",2
[[Pfizer]] [[Sends]] [[Out]] [[Update]] [[On]] [[Drug]] [[Bextra]] [[Pfizer]] [[Inc]]. [[said]] [[Friday]] that it will provide [[health-care]] professionals with [[additional]] [[information]] about its [[Bextra]] [[arthritis]] [[drug]] and that it will [[conduct]] further studies to [[confirm]] the [[drug]] #39;s [[long-term]] [[cardiovascular]] [[safety]] [[record]].,[[Pfzer]] [[Send]] [[Ou]] [[UpGate]] [[vOn]] [[Dirug]] [[BeDxtra]] [[PfizeW]] [[In]]. [[sadi]] [[Frida]] that it will provide [[healthc-are]] professionals with [[additionla]] [[informatiun]] about its [[Betra]] [[arthrfitis]] [[rrug]] and that it will [[conduc]] further studies to [[confim]] the [[droug]] #39;s [[loFg-term]] [[cardiovasculLr]] [[safLety]] [[recEord]].,2
"[[Restive]] [[Maldives]] eases [[curfew]] after rounding up [[dissidents]] ([[AFP]]) [[AFP]] - A [[curfew]] in the [[capital]] of the [[Maldives]] was [[eased]] but [[parliament]] sessions were put off indefinitely and [[emergency]] [[rule]] continued following [[last]] [[week's]] [[riots]], officials and [[residents]] said.","[[Testive]] [[Maldivejs]] eases [[curew]] after rounding up [[dissdients]] ([[AFeP]]) [[AFQ]] - A [[urfew]] in the [[capbtal]] of the [[Maldves]] was [[eawsed]] but [[parliamenX]] sessions were put off indefinitely and [[emerNgency]] [[rulLe]] continued following [[flast]] [[wee'ks]] [[rots]], officials and [[residDents]] said.",0
"[[Hostages]] plight clouds meeting of [[Blairs]] party [[BRIGHTON]], England The annual [[conference]] of [[Prime]] [[Minister]] [[Tony]] Blair #39;s Labour [[Party]] [[opened]] here Monday under the [[pall]] of the war in [[Iraq]], as the [[fate]] of the [[British]] [[hostage]] Ken Bigley [[remained]] uncertain amid fresh appeals for his release from family ","[[Hostaes]] plight clouds meeting of [[BlaiEs]] party [[BIGHTON]], England The annual [[ocnference]] of [[Prie]] [[Miinster]] [[Toy]] Blair #39;s Labour [[Praty]] [[opiened]] here Monday under the [[pcall]] of the war in [[Ira]], as the [[faet]] of the [[rBitish]] [[ostage]] Ken Bigley [[remaiyed]] uncertain amid fresh appeals for his release from family ",0
UN #[[39]];s [[Kofe]] [[Annan]] [[Calls]] [[Iraq]] War [[Illegal]] United [[Nations]] [[Secretary]] [[General]] [[Kofi]] [[Annan]] [[said]] this [[week]] that the [[US]] [[war]] in [[Iraq]] is [[illegal]] and questioned [[whether]] the [[country]] could hold [[credible]] ,UN #[[93]];s [[Dofe]] [[Annna]] [[CalFs]] [[Irq]] War [[Illegral]] United [[NatiXons]] [[Secretry]] [[GJneral]] [[ofi]] [[Anna]] [[asid]] this [[wek]] that the [[SU]] [[awr]] in [[Ira]] is [[illeegal]] and questioned [[wether]] the [[cuontry]] could hold [[crediblj]] ,0
"[[Two]] Britons [[shot]] [[dead]] [[near]] death railway [[bridge]] ([[AFP]]) [[AFP]] - [[Two]] [[Britons]] were [[shot]] [[dead]] by [[unknown]] [[gunmen]] [[near]] the [[famous]] Bridge over the [[River]] [[Kwai]] in [[western]] Thailand, [[police]] [[said]].","[[TZo]] Britons [[soht]] [[ead]] [[nera]] death railway [[bridPe]] ([[APF]]) [[AjP]] - [[Tow]] [[Brtons]] were [[Ehot]] [[deead]] by [[uenknown]] [[gnumen]] [[naer]] the [[kfamous]] Bridge over the [[iRver]] [[Kwi]] in [[wester]] Thailand, [[polich]] [[sad]].",0
"[[Protests]] in Canada over [[Ukraine]] [[crisis]] ([[AFP]]) [[AFP]] - [[Hundreds]] of [[Canadians]], many of [[Ukrainian]] [[descent]], [[braved]] freezing [[temperatures]] to [[protest]] what they [[consider]] to be the [[fixed]] outcome of the [[Ukrainian]] [[presidential]] [[election]].","[[ProtestM]] in Canada over [[Ukramine]] [[xcrisis]] ([[AFeP]]) [[IFP]] - [[Hundrdes]] of [[Canaduians]], many of [[Urkainian]] [[descet]], [[bravde]] freezing [[tecmperatures]] to [[prxotest]] what they [[cTonsider]] to be the [[fixeGd]] outcome of the [[UkraiSian]] [[presidentiCal]] [[leection]].",0
"[[EC]] presses for [[safer]] internet The EU Telecommunications Council today today launched [[Safer]] Internet [[Plus]], a [[scheme]] to [[help]] [[parents]] and [[teachers]] [[control]] what [[children]] [[view]] [[online]].","[[LC]] presses for [[sfer]] internet The EU Telecommunications Council today today launched [[SAfer]] Internet [[Plu]], a [[cheme]] to [[helhp]] [[parets]] and [[techers]] [[ocntrol]] what [[chilren]] [[vew]] [[Qnline]].",3
[[Cycling]]: [[Petacchi]] wins [[second]] [[stage]] in Spain [[MADRID]] : [[Alessandro]] [[Petacchi]] [[showed]] why he is [[considered]] [[one]] of the world #[[39]];s top [[sprinters]] when [[coming]] out on [[top]] in a [[mass]] dash to the [[line]] in the [[second]] [[stage]] of the [[Tour]] of Spain.,[[Cyclnig]]: [[Petachi]] wins [[sceond]] [[stge]] in Spain [[MADRI]] : [[AlessanKdro]] [[PetGacchi]] [[showe]] why he is [[considerd]] [[Wne]] of the world #[[3H9]];s top [[spritters]] when [[cofming]] out on [[toLp]] in a [[mss]] dash to the [[liwe]] in the [[scond]] [[sgtage]] of the [[Tou]] of Spain.,1
"[[Gazprom]] Plans [[LNG]] Terminal in [[US]] [[Gazprom]] [[came]] a [[step]] closer to the liquefied natural [[gas]] [[market]] on [[Friday]], saying [[Petro-Canada]] [[would]] help in its goal to [[build]] [[plants]] in [[Russia]] and the United States.","[[Gaprom]] Plans [[LN]] Terminal in [[S]] [[Gazsprom]] [[cam]] a [[sep]] closer to the liquefied natural [[ga]] [[mraket]] on [[FriKay]], saying [[Petrco-Canada]] [[woculd]] help in its goal to [[Xuild]] [[plats]] in [[ERussia]] and the United States.",2
"A conspiracy theory : [[In]] the [[aftermath]] of [[Arafats]] passing AH [[Jaffor]] [[Ullah]]. Yasser [[Arafat]], the [[acknowledged]] [[leader]] of [[Palestinian]] people, [[lived]] amidst [[controversy]] all through his life. [[The]] cause of his [[death]] has now [[become]] a [[source]] of controversy amongst the [[departed]] [[leaders]] people all over Middle East.","A conspiracy theory : [[ITn]] the [[afteGmath]] of [[rAafats]] passing AH [[Jaoffor]] [[UllaY]]. Yasser [[Arfaat]], the [[acnkowledged]] [[leaedr]] of [[ualestinian]] people, [[lDved]] amidst [[contrmoversy]] all through his life. [[tThe]] cause of his [[dsath]] has now [[ebcome]] a [[souzrce]] of controversy amongst the [[edparted]] [[leGaders]] people all over Middle East.",0
"[[ESPN]].com [[news]] [[services]] Six months [[ago]], Scottie [[Pippen]] issued a  [[quot]];This is probably it for me [[quot]]; [[declaration]], that last [[season]] was looking more and more like his [[last]] in an [[NBA]] uniform.","[[ESQN]].com [[new]] [[serviczes]] Six months [[aog]], Scottie [[Pxppen]] issued a  [[uqot]];This is probably it for me [[qBuot]]; [[declartaion]], that last [[seasbn]] was looking more and more like his [[lasP]] in an [[NBQA]] uniform.",1
