original_text,perturbed_text,label
"Singapore govt extends third-party war [[risk]] insurance SINGAPORE : The government is extending third-party war risk insurance cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore [[Airlines]] group.","Singapore govt extends third-party war [[menace]] insurance SINGAPORE : The government is extending third-party war risk insurance cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore [[Airspace]] group.",2
"[[Mills]] [[Grabs]] \$1B [[Portfolio]]; Taubman Likely to Lose Contracts Mills Corp. agreed to purchase a 50 percent interest in nine [[malls]] owned by [[General]] Motors [[Asset]] [[Management]] Corp. for just over \$1 billion, creating a new [[joint]] [[venture]] between the [[groups]]. [[The]] deal will extend ...","[[Factories]] [[Fang]] \$1B [[Wallet]]; Taubman Likely to Lose Contracts Mills Corp. agreed to purchase a 50 percent interest in nine [[stores]] owned by [[International]] Motors [[Goods]] [[Govern]] Corp. for just over \$1 billion, creating a new [[communal]] [[endeavour]] between the [[gatherings]]. [[Both]] deal will extend ...",2
"[[Sun]] to shine [[spotlight]] on new [[operating]] [[system]], [[Solaris]] 10 [[Sun]] Microsystems SUNW is expected to [[release]] a new [[version]] of its operating [[system]] today - a big part of the struggling computer maker #39;s plan to save itself.","[[Soils]] to shine [[concentrated]] on new [[operates]] [[diets]], [[Mandrake]] 10 [[Soleil]] Microsystems SUNW is expected to [[disclosure]] a new [[printout]] of its operating [[systems]] today - a big part of the struggling computer maker #39;s plan to save itself.",3
"Fed [[Cup]] all [[tied]] up FRANCE #39;S Russian-born [[Tatiana]] Golovin [[left]] the Fed [[Cup]] [[final]] [[hanging]] in the [[balance]] [[today]] as she beat [[Russia]] #39;s [[US]] [[Open]] [[champion]] Svetlana Kuznetsova 6-4, 6-1 to level the [[tie]] at 2-2 and [[take]] it to the [[final]] doubles match.","Fed [[Chopping]] all [[tie]] up FRANCE #39;S Russian-born [[Tonya]] Golovin [[leftist]] the Fed [[Chopping]] [[latest]] [[halts]] in the [[reconcile]] [[sonntag]] as she beat [[Medvedev]] #39;s [[V]] [[Tennis]] [[sympathizer]] Svetlana Kuznetsova 6-4, 6-1 to level the [[knot]] at 2-2 and [[toma]] it to the [[finalised]] doubles match.",1
"[[Nokia]] announces [[Near]] [[Field]] [[Communication]] products [[With]] the [[Nokia]] NFC ([[Near]] [[Field]] [[Communication]]) [[shell]] on their phone, [[consumers]] [[will]] [[be]] [[able]] to [[access]] a variety of [[services]] and [[exchange]] [[information]] with a [[simple]] touch [[gesture]].","[[Motorola]] announces [[Proximity]] [[Overland]] [[Communications]] products [[Of]] the [[Handset]] NFC ([[Roundabout]] [[Acreage]] [[Telecommunications]]) [[pounded]] on their phone, [[purchaser]] [[determination]] [[constitute]] [[likely]] to [[accede]] a variety of [[utilities]] and [[traded]] [[reporting]] with a [[banal]] touch [[signaling]].",3
[[Today]] in Athens Leontien Zijlaard-van Moorsel of the Netherlands wipes a [[tear]] after [[winning]] the gold [[medal]] in the [[women]] #39;s road cycling individual time trial at the Vouliagmeni [[Olympic]] [[Centre]] in [[Athens]] on [[Wednesday]]. ,[[Dates]] in Athens Leontien Zijlaard-van Moorsel of the Netherlands wipes a [[ruptured]] after [[conquest]] the gold [[adornments]] in the [[hoochie]] #39;s road cycling individual time trial at the Vouliagmeni [[Olympus]] [[Centres]] in [[Parthenon]] on [[Nowadays]]. ,1
[[President]] [[Hu]] congratulates Sihamoni on [[becoming]] [[king]] of Cambodia [[Chinese]] [[President]] [[Hu]] Jintao sent a message to Norodom Sihamoni on [[Thursday]] to congratulate him on his [[election]] as the [[king]] of [[Cambodia]].,[[Chief]] [[Yun]] congratulates Sihamoni on [[makes]] [[rei]] of Cambodia [[Rmb]] [[Presidential]] [[Yoo]] Jintao sent a message to Norodom Sihamoni on [[Nowadays]] to congratulate him on his [[opting]] as the [[roi]] of [[Binh]].,0
"[[Afghans]] [[rocky]] [[road]] to [[historic]] [[elections]] KALAKAN, [[Afghanistan]] There were [[toothless]] old men, turbaned and gray-bearded, and [[young]] [[men]] not yet old enough to shave. There were mullahs and mujahedeen, and the [[presidential]] candidate #39;s 3-year-old son.","[[Pakistani]] [[boulder]] [[router]] to [[saga]] [[valda]] KALAKAN, [[Bagdad]] There were [[inefficient]] old men, turbaned and gray-bearded, and [[yong]] [[bloke]] not yet old enough to shave. There were mullahs and mujahedeen, and the [[presided]] candidate #39;s 3-year-old son.",0
[[Oil]] Prices Set a [[New]] [[Record]] [[Above]] \$50  SINGAPORE ([[Reuters]]) - [[Oil]] prices set a [[new]] record above \$50  a barrel on [[Tuesday]] as a [[prolonged]] U.[[S]]. [[production]] [[outage]]  [[following]] [[Hurricane]] [[Ivan]] [[attracted]] fresh [[speculative]] [[buying]].,[[Lubrication]] Prices Set a [[Nouvelle]] [[Discs]] [[Avant]] \$50  SINGAPORE ([[Newsday]]) - [[Refineries]] prices set a [[nouvelle]] record above \$50  a barrel on [[Domingos]] as a [[interminable]] U.[[n]]. [[generators]] [[blackouts]]  [[afterwards]] [[Cyclone]] [[Ewan]] [[learnt]] fresh [[theoretical]] [[bribed]].,2
"Phelps [[Seeks]] More Gold at [[World]] [[Championships]]  [[INDIANAPOLIS]] (Reuters) - [[Still]] [[riding]] a wave of [[euphoria]]  from the Olympics, [[Michael]] Phelps returns to the [[pool]] this [[week]]  at the [[world]] [[short]] [[course]] [[swimming]] [[championships]] [[seeking]] a  repeat of his [[six]] gold [[medals]] in [[Athens]].","Phelps [[Aim]] More Gold at [[Cosmic]] [[Champions]]  [[DUBUQUE]] (Reuters) - [[Meanwhile]] [[equestrian]] a wave of [[exhilaration]]  from the Olympics, [[Michaela]] Phelps returns to the [[clusters]] this [[mois]]  at the [[universes]] [[shortest]] [[route]] [[beach]] [[champions]] [[aspires]] a  repeat of his [[eight]] gold [[adornments]] in [[Poseidon]].",1
"[[US]] suspends [[helicopter]] flights after [[Japan]] [[crash]] (AFP) AFP - The [[United]] [[States]] suspended flights of CH-53D military helicopters in [[Japan]], [[bowing]] to protests over a crash in an [[Okinawa]] university [[campus]].","[[VERSUS]] suspends [[aeronautics]] flights after [[Yen]] [[misadventure]] (AFP) AFP - The [[Standardized]] [[Sate]] suspended flights of CH-53D military helicopters in [[Yen]], [[bowed]] to protests over a crash in an [[Kyushu]] university [[profs]].",0
"Anniversary [[remembered]] on [[game]] [[day]] When the attacks [[came]] on [[Sept]]. 11, 2001, Tom O'Brien, if only for a moment, stopped being Boston College's coach. On that day, as the [[World]] Trade Center and Pentagon smoldered and the world stood still, O'Brien was a Navy man.","Anniversary [[remembrances]] on [[stake]] [[days]] When the attacks [[entrances]] on [[Seventh]]. 11, 2001, Tom O'Brien, if only for a moment, stopped being Boston College's coach. On that day, as the [[Globally]] Trade Center and Pentagon smoldered and the world stood still, O'Brien was a Navy man.",1
"Viacom, [[Disney]] [[pay]] \$1.5M FCC [[fine]] [[Disney]] and Viacom agreed to a fine of \$1.5 million from the Federal Communications Commission over [[claims]] their children #39;s cable [[television]] networks violated advertising restrictions, the FCC said [[Thursday]].","Viacom, [[Fantasyland]] [[render]] \$1.5M FCC [[awesome]] [[Fantasyland]] and Viacom agreed to a fine of \$1.5 million from the Federal Communications Commission over [[applications]] their children #39;s cable [[rocio]] networks violated advertising restrictions, the FCC said [[Nowadays]].",2
Pfizer Sends Out Update On [[Drug]] Bextra Pfizer [[Inc]]. said [[Friday]] that it [[will]] provide health-care professionals with [[additional]] information about its Bextra arthritis [[drug]] and that it [[will]] conduct [[further]] studies to confirm the [[drug]] #39;s long-term [[cardiovascular]] safety [[record]].,Pfizer Sends Out Update On [[Medecine]] Bextra Pfizer [[Serv]]. said [[Today]] that it [[availability]] provide health-care professionals with [[addendum]] information about its Bextra arthritis [[medecine]] and that it [[readiness]] conduct [[anew]] studies to confirm the [[medicine]] #39;s long-term [[myocardial]] safety [[archive]].,2
"[[US]] [[Airways]], Pilots [[Union]] Near Agreement US Airways is seeking \$800 million in concessions from [[employee]] unions as it attempts to avoid filing Chapter 11. The [[Air]] [[Line]] Pilots Association will present its proposal on the evening of ","[[V]] [[Vectors]], Pilots [[League]] Near Agreement US Airways is seeking \$800 million in concessions from [[servers]] unions as it attempts to avoid filing Chapter 11. The [[Aeroplanes]] [[Lineup]] Pilots Association will present its proposal on the evening of ",2
"Restive [[Maldives]] [[eases]] [[curfew]] after [[rounding]] up [[dissidents]] (AFP) AFP - A [[curfew]] in the [[capital]] of the [[Maldives]] was [[eased]] but [[parliament]] sessions were [[put]] off indefinitely and [[emergency]] [[rule]] [[continued]] [[following]] [[last]] week's [[riots]], [[officials]] and [[residents]] [[said]].","Restive [[Bahamas]] [[lowers]] [[lockout]] after [[neighborhoods]] up [[deserters]] (AFP) AFP - A [[wandering]] in the [[investors]] of the [[Tobago]] was [[relieve]] but [[parliamentary]] sessions were [[putting]] off indefinitely and [[contingency]] [[prescription]] [[continuation]] [[trailing]] [[former]] week's [[restlessness]], [[earners]] and [[renters]] [[affirmed]].",0
"Novell [[launches]] [[Linux]] for [[desktop]] [[computers]] Novell, one of the [[popular]] names in the open-source [[community]], has launched [[Linux]] Desktop 9 [[OS]] for [[enterprise]] [[computer]] [[systems]] [[today]] for [[lower]] [[deployment]] and [[management]] prices.","Novell [[commencing]] [[Windows]] for [[desks]] [[equipment]] Novell, one of the [[trendy]] names in the open-source [[populations]], has launched [[Windows]] Desktop 9 [[EO]] for [[undertaking]] [[calculators]] [[arrangements]] [[friday]] for [[weaker]] [[spreads]] and [[directors]] prices.",3
"[[Service]] Sector Hit [[By]] High Oil Costs [[Confidence]] in service firms [[has]] been hit by rising oil prices and [[interest]] [[rates]] but manufacturers have seen the [[best]] rate of orders for nine years, two surveys show.","[[Services]] Sector Hit [[Among]] High Oil Costs [[Reliability]] in service firms [[ai]] been hit by rising oil prices and [[beware]] [[pricing]] but manufacturers have seen the [[purest]] rate of orders for nine years, two surveys show.",2
"TruSecure merges with Betrusted BOSTON - Information [[security]] services companies TruSecure Corp. and Betrusted plan to announce on Tuesday that they have merged, forming a new company called Cybertrust.","TruSecure merges with Betrusted BOSTON - Information [[insured]] services companies TruSecure Corp. and Betrusted plan to announce on Tuesday that they have merged, forming a new company called Cybertrust.",3
"Hostages plight [[clouds]] [[meeting]] of Blairs [[party]] [[BRIGHTON]], [[England]] The [[annual]] [[conference]] of [[Prime]] [[Minister]] [[Tony]] [[Blair]] #39;s [[Labour]] [[Party]] [[opened]] here Monday under the pall of the war in Iraq, as the fate of the British [[hostage]] [[Ken]] Bigley [[remained]] [[uncertain]] amid [[fresh]] [[appeals]] for his [[release]] from [[family]] ","Hostages plight [[yin]] [[session]] of Blairs [[side]] [[WATFORD]], [[Brittany]] The [[everyyear]] [[briefings]] of [[Prima]] [[President]] [[Tono]] [[Lindsey]] #39;s [[Operating]] [[Faction]] [[opener]] here Monday under the pall of the war in Iraq, as the fate of the British [[perps]] [[Teri]] Bigley [[repose]] [[unrecognized]] amid [[freshwater]] [[appellate]] for his [[emancipate]] from [[dwelling]] ",0
"Report: Israeli army mistakenly kills three Egyptian soldiers JERUSALEM [[A]] [[preliminary]] [[Israeli]] army [[investigation]] [[has]] found that Israeli [[troops]] [[apparently]] killed three Egyptian soldiers by mistake, [[thinking]] they were Palestinian [[militants]] along the Gaza-Egypt border.","Report: Israeli army mistakenly kills three Egyptian soldiers JERUSALEM [[another]] [[frst]] [[Lsrael]] army [[orbiter]] [[ai]] found that Israeli [[sil]] [[conspicuously]] killed three Egyptian soldiers by mistake, [[insights]] they were Palestinian [[cocked]] along the Gaza-Egypt border.",0
"Baseball's Homeless [[Franchise]] [[Bud]] Selig, the [[Major]] [[League]] Baseball [[commissioner]], didn't realize he was gambling when he [[awarded]] the [[Expos]] to Washington.","Baseball's Homeless [[Honesty]] [[Eggs]] Selig, the [[Crucial]] [[Association]] Baseball [[delegates]], didn't realize he was gambling when he [[conceded]] the [[Opposition]] to Washington.",1
"[[Plane]] of NASCAR [[Team]] [[Hendrick]] [[Missing]] [[Race]] fans [[wave]] American flags in the stands during the [[singing]] of the National Anthem prior to the [[start]] of the NASCAR [[Subway]] 500 stock [[car]] race at Martinsville Speedway in Martinsville, Va.","[[Airspace]] of NASCAR [[Appliance]] [[Willem]] [[Unaccounted]] [[Errands]] fans [[airwaves]] American flags in the stands during the [[anthems]] of the National Anthem prior to the [[launch]] of the NASCAR [[Subsurface]] 500 stock [[railcar]] race at Martinsville Speedway in Martinsville, Va.",1
