original_text,perturbed_text,label
"Singapore govt extends third-party war risk [[insurance]] SINGAPORE : The government is extending third-party war risk [[insurance]] cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore Airlines group.","Singapore govt extends third-party war risk [[assurance]] SINGAPORE : The government is extending third-party war risk [[security]] cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore Airlines group.",2
"Sun to shine spotlight on new operating system, Solaris 10 Sun Microsystems SUNW is [[expected]] to release a new version of its operating system [[today]] - a big part of the struggling [[computer]] maker #39;s plan to save itself.","Sun to shine spotlight on new operating system, Solaris 10 Sun Microsystems SUNW is [[prescribed]] to release a new version of its operating system [[yesterday]] - a big part of the struggling [[compute]] maker #39;s plan to save itself.",3
"[[Fed]] [[Cup]] all [[tied]] up [[FRANCE]] #39;S Russian-born Tatiana Golovin [[left]] the [[Fed]] [[Cup]] [[final]] [[hanging]] in the [[balance]] [[today]] as she [[beat]] [[Russia]] #39;s US Open champion [[Svetlana]] Kuznetsova 6-4, 6-1 to level the tie at 2-2 and [[take]] it to the [[final]] [[doubles]] [[match]].","[[Nurturing]] [[Coffeemaker]] all [[plugged]] up [[FRANCIE]] #39;S Russian-born Tatiana Golovin [[going]] the [[Powered]] [[Taza]] [[recent]] [[suspend]] in the [[balances]] [[tonight]] as she [[downs]] [[Russo]] #39;s US Open champion [[Oksana]] Kuznetsova 6-4, 6-1 to level the tie at 2-2 and [[pick]] it to the [[recent]] [[quadruple]] [[equivalency]].",1
"[[Nokia]] [[announces]] Near [[Field]] Communication [[products]] With the [[Nokia]] NFC ([[Near]] Field [[Communication]]) [[shell]] on their phone, consumers will be able to access a variety of services and exchange information with a [[simple]] [[touch]] gesture.","[[Blackberry]] [[testified]] Near [[Lands]] Communication [[mercantile]] With the [[Motorola]] NFC ([[Hardly]] Field [[Contact]]) [[detonating]] on their phone, consumers will be able to access a variety of services and exchange information with a [[unremarkable]] [[impacted]] gesture.",3
Today in Athens Leontien Zijlaard-van Moorsel of the [[Netherlands]] wipes a tear after [[winning]] the gold [[medal]] in the [[women]] #39;s [[road]] [[cycling]] [[individual]] time [[trial]] at the Vouliagmeni [[Olympic]] [[Centre]] in Athens on [[Wednesday]]. ,Today in Athens Leontien Zijlaard-van Moorsel of the [[Dutch]] wipes a tear after [[won]] the gold [[decorating]] in the [[females]] #39;s [[routing]] [[bicycles]] [[capita]] time [[experiments]] at the Vouliagmeni [[Olimpia]] [[Clinics]] in Athens on [[Domingos]]. ,1
Govt. to Test New Air Passenger Screening Program The US government [[unveiled]] plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a threat to air travel.,Govt. to Test New Air Passenger Screening Program The US government [[revealed]] plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a threat to air travel.,3
"[[Afghans]] [[rocky]] [[road]] to [[historic]] [[elections]] KALAKAN, [[Afghanistan]] There were [[toothless]] [[old]] [[men]], turbaned and gray-bearded, and [[young]] [[men]] not yet [[old]] enough to [[shave]]. There were mullahs and mujahedeen, and the presidential [[candidate]] #39;s 3-year-old [[son]].","[[Pakistanis]] [[boulder]] [[journeys]] to [[stories]] [[valda]] KALAKAN, [[Afghanis]] There were [[fruitless]] [[yesteryear]] [[humans]], turbaned and gray-bearded, and [[underage]] [[mankind]] not yet [[antiquity]] enough to [[bearded]]. There were mullahs and mujahedeen, and the presidential [[finalist]] #39;s 3-year-old [[jr]].",0
Oil [[Prices]] Set a New Record [[Above]] \$50  SINGAPORE (Reuters) - [[Oil]] [[prices]] set a new [[record]] above \$50  a [[barrel]] on [[Tuesday]] as a [[prolonged]] [[U]].S. [[production]] outage  [[following]] [[Hurricane]] [[Ivan]] [[attracted]] [[fresh]] [[speculative]] [[buying]].,Oil [[Tolls]] Set a New Record [[High]] \$50  SINGAPORE (Reuters) - [[Petrol]] [[bonuses]] set a new [[document]] above \$50  a [[casks]] on [[Mardi]] as a [[unending]] [[neither]].S. [[products]] outage  [[afterwards]] [[Typhoon]] [[Evan]] [[aroused]] [[expense]] [[notional]] [[bribed]].,2
Sun's Looking Glass [[Provides]] 3D [[View]] Developers [[get]] [[early]] code for new operating [[system]] 'skin' [[still]] being [[crafted]].,Sun's Looking Glass [[Poses]] 3D [[Findings]] Developers [[acquire]] [[earliest]] code for new operating [[devices]] 'skin' [[farther]] being [[readies]].,3
"Anniversary remembered on [[game]] day When the attacks came on Sept. 11, 2001, Tom O'Brien, if only for a moment, stopped being Boston College's [[coach]]. On that day, as the World Trade Center and Pentagon smoldered and the world stood still, O'Brien was a Navy man.","Anniversary remembered on [[gaming]] day When the attacks came on Sept. 11, 2001, Tom O'Brien, if only for a moment, stopped being Boston College's [[trainer]]. On that day, as the World Trade Center and Pentagon smoldered and the world stood still, O'Brien was a Navy man.",1
