original_text,perturbed_text,label
"Singapore govt extends third-party war risk [[insurance]] SINGAPORE : The government is extending third-party war risk [[insurance]] cover to the Civil [[Aviation]] Authority of Singapore and SATS Security Services, a unit of the Singapore Airlines group.","Singapore govt extends third-party war risk [[insurCance]] SINGAPORE : The government is extending third-party war risk [[insuarnce]] cover to the Civil [[viation]] Authority of Singapore and SATS Security Services, a unit of the Singapore Airlines group.",2
"[[Mills]] Grabs \$[[1B]] Portfolio; [[Taubman]] Likely to Lose Contracts Mills Corp. agreed to purchase a [[50]] percent interest in nine [[malls]] owned by [[General]] Motors [[Asset]] Management Corp. for just over \$1 billion, creating a new joint venture between the groups. The deal will extend ...","[[Mils]] Grabs \$[[B1]] Portfolio; [[Taubamn]] Likely to Lose Contracts Mills Corp. agreed to purchase a [[T0]] percent interest in nine [[malSls]] owned by [[GenerDl]] Motors [[sset]] Management Corp. for just over \$1 billion, creating a new joint venture between the groups. The deal will extend ...",2
President Hu congratulates [[Sihamoni]] on [[becoming]] [[king]] of [[Cambodia]] [[Chinese]] President Hu Jintao [[sent]] a message to [[Norodom]] [[Sihamoni]] on [[Thursday]] to [[congratulate]] him on his [[election]] as the [[king]] of [[Cambodia]].,President Hu congratulates [[Siamoni]] on [[becomiag]] [[kAing]] of [[Camobdia]] [[CXhinese]] President Hu Jintao [[sCent]] a message to [[Norodo]] [[Sizamoni]] on [[Thursdyy]] to [[cngratulate]] him on his [[eletcion]] as the [[ikng]] of [[Cambodai]].,0
"Afghans rocky road to [[historic]] [[elections]] [[KALAKAN]], [[Afghanistan]] There were toothless old [[men]], [[turbaned]] and [[gray-bearded]], and [[young]] [[men]] not [[yet]] [[old]] enough to shave. There were [[mullahs]] and [[mujahedeen]], and the [[presidential]] candidate #39;s 3-year-old son.","Afghans rocky road to [[hzistoric]] [[elecions]] [[tALAKAN]], [[AfghanistRn]] There were toothless old [[me]], [[turbnaed]] and [[gxray-bearded]], and [[Eoung]] [[me]] not [[yKt]] [[ol]] enough to shave. There were [[mullnahs]] and [[mujaUhedeen]], and the [[rpesidential]] candidate #39;s 3-year-old son.",0
[[Oil]] [[Prices]] Set a [[New]] Record [[Above]] \$50  [[SINGAPORE]] ([[Reuters]]) - [[Oil]] prices set a new record above \$50  a [[barrel]] on Tuesday as a prolonged U.S. [[production]] [[outage]]  [[following]] [[Hurricane]] [[Ivan]] attracted fresh [[speculative]] buying.,[[OLil]] [[Price]] Set a [[Ne]] Record [[AKbove]] \$50  [[SINGDPORE]] ([[RZuters]]) - [[Ol]] prices set a new record above \$50  a [[Ebarrel]] on Tuesday as a prolonged U.S. [[pHroduction]] [[otuage]]  [[vfollowing]] [[Hurrcane]] [[Ian]] attracted fresh [[specultive]] buying.,2
"US suspends [[helicopter]] flights after Japan crash ([[AFP]]) [[AFP]] - [[The]] United States [[suspended]] flights of [[CH-53D]] [[military]] [[helicopters]] in Japan, [[bowing]] to protests over a [[crash]] in an Okinawa [[university]] campus.","US suspends [[heIicopter]] flights after Japan crash ([[FP]]) [[AFb]] - [[hTe]] United States [[supsended]] flights of [[CH-5e3D]] [[miliatry]] [[elicopters]] in Japan, [[owing]] to protests over a [[cash]] in an Okinawa [[univesrity]] campus.",0
"Anniversary remembered on [[game]] day When the attacks came on Sept. 11, 2001, Tom O'Brien, if only for a moment, stopped being [[Boston]] College's coach. On that day, as the World Trade [[Center]] and Pentagon smoldered and the world stood still, [[O'Brien]] was a Navy man.","Anniversary remembered on [[agme]] day When the attacks came on Sept. 11, 2001, Tom O'Brien, if only for a moment, stopped being [[Bsoton]] College's coach. On that day, as the World Trade [[Cenetr]] and Pentagon smoldered and the world stood still, [[O'Brie]] was a Navy man.",1
"Viacom, Disney pay \$1.[[5M]] FCC fine Disney and Viacom agreed to a fine of \$1.5 million from the [[Federal]] Communications Commission over claims their [[children]] #[[39]];s [[cable]] [[television]] [[networks]] violated [[advertising]] [[restrictions]], the [[FCC]] [[said]] [[Thursday]].","Viacom, Disney pay \$1.[[H5M]] FCC fine Disney and Viacom agreed to a fine of \$1.5 million from the [[eFderal]] Communications Commission over claims their [[chilrden]] #[[3c9]];s [[Ncable]] [[teelvision]] [[newtorks]] violated [[advermtising]] [[rsetrictions]], the [[FCY]] [[saCid]] [[jThursday]].",2
[[Pfizer]] Sends [[Out]] [[Update]] [[On]] Drug [[Bextra]] Pfizer Inc. said [[Friday]] that it will [[provide]] [[health-care]] professionals with [[additional]] [[information]] about its [[Bextra]] [[arthritis]] drug and that it will [[conduct]] further studies to [[confirm]] the [[drug]] #[[39]];s [[long-term]] [[cardiovascular]] safety record.,[[Pflizer]] Sends [[Ost]] [[Uqdate]] [[nO]] Drug [[Bexera]] Pfizer Inc. said [[rFiday]] that it will [[providde]] [[health-caXe]] professionals with [[adjitional]] [[informatioMn]] about its [[Bexbra]] [[aNrthritis]] drug and that it will [[condutc]] further studies to [[confiMm]] the [[drgu]] #[[U39]];s [[longterm]] [[cardiovsacular]] safety record.,2
"[[Restive]] [[Maldives]] eases [[curfew]] after [[rounding]] up [[dissidents]] (AFP) AFP - A curfew in the [[capital]] of the [[Maldives]] was [[eased]] but [[parliament]] sessions were [[put]] off [[indefinitely]] and [[emergency]] [[rule]] [[continued]] [[following]] last [[week's]] [[riots]], [[officials]] and [[residents]] [[said]].","[[ReItive]] [[Maldvies]] eases [[cuhrfew]] after [[rouGnding]] up [[issidents]] (AFP) AFP - A curfew in the [[cpaital]] of the [[Maldivse]] was [[eaSsed]] but [[aprliament]] sessions were [[Vput]] off [[indefiniteFly]] and [[emergMency]] [[ule]] [[ocntinued]] [[forllowing]] last [[weeD's]] [[ritos]], [[officiLls]] and [[rsidents]] [[sid]].",0
