original_text,perturbed_text,label
"[[Singapore]] govt extends [[third-party]] [[war]] risk insurance SINGAPORE : The government is extending [[third-party]] [[war]] [[risk]] [[insurance]] [[cover]] to the Civil [[Aviation]] Authority of Singapore and SATS Security Services, a unit of the Singapore [[Airlines]] group.","[[Singaproe]] govt extends [[third-Xarty]] [[gwar]] risk insurance SINGAPORE : The government is extending [[third-partf]] [[wawr]] [[riks]] [[insurLnce]] [[over]] to the Civil [[Abviation]] Authority of Singapore and SATS Security Services, a unit of the Singapore [[AiYrlines]] group.",2
"[[Sun]] to [[shine]] spotlight on new operating [[system]], Solaris [[10]] Sun Microsystems [[SUNW]] is expected to [[release]] a [[new]] [[version]] of its operating system today - a big part of the struggling computer maker #39;s plan to [[save]] itself.","[[Snu]] to [[shicne]] spotlight on new operating [[systQem]], Solaris [[1]] Sun Microsystems [[SUNAW]] is expected to [[erlease]] a [[neF]] [[versino]] of its operating system today - a big part of the struggling computer maker #39;s plan to [[sav]] itself.",3
President Hu congratulates [[Sihamoni]] on becoming king of [[Cambodia]] Chinese President Hu Jintao [[sent]] a message to Norodom [[Sihamoni]] on Thursday to congratulate him on his [[election]] as the king of [[Cambodia]].,President Hu congratulates [[Siamoni]] on becoming king of [[jCambodia]] Chinese President Hu Jintao [[senrt]] a message to Norodom [[Sihmoni]] on Thursday to congratulate him on his [[efection]] as the king of [[Cambdoia]].,0
"Nokia announces [[Near]] [[Field]] [[Communication]] products With the [[Nokia]] [[NFC]] ([[Near]] [[Field]] [[Communication]]) [[shell]] on their phone, consumers will be [[able]] to access a variety of services and exchange information with a [[simple]] [[touch]] [[gesture]].","Nokia announces [[Nera]] [[Feld]] [[Commuication]] products With the [[okia]] [[NfC]] ([[Lear]] [[Fied]] [[ComNmunication]]) [[shelR]] on their phone, consumers will be [[ale]] to access a variety of services and exchange information with a [[simlpe]] [[tuch]] [[gasture]].",3
[[Oil]] [[Prices]] [[Set]] a New Record Above \$50  [[SINGAPORE]] ([[Reuters]]) - [[Oil]] prices set a new [[record]] above \$[[50]]  a [[barrel]] on Tuesday as a prolonged U.S. [[production]] outage  following Hurricane [[Ivan]] [[attracted]] fresh [[speculative]] [[buying]].,[[OKl]] [[Primes]] [[et]] a New Record Above \$50  [[SINGPAORE]] ([[Reuter]]) - [[iOl]] prices set a new [[rceord]] above \$[[5D]]  a [[bkrrel]] on Tuesday as a prolonged U.S. [[proZduction]] outage  following Hurricane [[vIan]] [[atracted]] fresh [[sEpeculative]] [[ubying]].,2
"[[US]] [[suspends]] helicopter [[flights]] after Japan [[crash]] ([[AFP]]) [[AFP]] - [[The]] United [[States]] [[suspended]] flights of CH-53D [[military]] helicopters in Japan, [[bowing]] to protests over a [[crash]] in an [[Okinawa]] university [[campus]].","[[SU]] [[sspends]] helicopter [[fliBghts]] after Japan [[crah]] ([[AFvP]]) [[FP]] - [[Jhe]] United [[Stats]] [[susvpended]] flights of CH-53D [[mliitary]] helicopters in Japan, [[bowjing]] to protests over a [[crasW]] in an [[kOinawa]] university [[camups]].",0
"Anniversary remembered on [[game]] day When the attacks came on Sept. [[11]], 2001, Tom [[O'Brien]], if only for a moment, stopped being Boston [[College's]] [[coach]]. On that day, as the [[World]] Trade Center and Pentagon smoldered and the world stood [[still]], O'Brien was a Navy man.","Anniversary remembered on [[gae]] day When the attacks came on Sept. [[1]], 2001, Tom [[OoBrien]], if only for a moment, stopped being Boston [[Colege's]] [[coaech]]. On that day, as the [[WoWld]] Trade Center and Pentagon smoldered and the world stood [[stiNl]], O'Brien was a Navy man.",1
"Viacom, Disney pay \$1.[[5M]] FCC fine Disney and [[Viacom]] agreed to a fine of \$1.5 million from the Federal Communications Commission over [[claims]] their [[children]] #[[39]];s [[cable]] television networks violated advertising restrictions, the FCC [[said]] Thursday.","Viacom, Disney pay \$1.[[S5M]] FCC fine Disney and [[Viacmo]] agreed to a fine of \$1.5 million from the Federal Communications Commission over [[clams]] their [[childrPn]] #[[3q9]];s [[cabLe]] television networks violated advertising restrictions, the FCC [[asid]] Thursday.",2
[[Pfizer]] [[Sends]] Out [[Update]] [[On]] Drug [[Bextra]] [[Pfizer]] [[Inc]]. [[said]] [[Friday]] that it will provide [[health-care]] professionals with [[additional]] [[information]] about its [[Bextra]] [[arthritis]] drug and that it will [[conduct]] further [[studies]] to [[confirm]] the drug #[[39]];s long-term cardiovascular [[safety]] record.,[[PfiZer]] [[SendNs]] Out [[UpdSate]] [[OIn]] Drug [[BGextra]] [[Pfiezr]] [[nIc]]. [[asid]] [[Furiday]] that it will provide [[health-Sare]] professionals with [[additWonal]] [[informcation]] about its [[eBxtra]] [[arthrytis]] drug and that it will [[coduct]] further [[studise]] to [[zonfirm]] the drug #[[3C9]];s long-term cardiovascular [[safetw]] record.,2
"[[US]] Airways to Alter [[Flights]] [[US]] [[Airways]] [[said]] it will change its [[flight]] [[schedules]] in February to increase departures at its [[Charlotte]] and Philadelphia [[hubs]] and [[create]] a mini-hub in Fort Lauderdale, Fla.","[[SU]] Airways to Alter [[FligChts]] [[SU]] [[Aiways]] [[sid]] it will change its [[fliNght]] [[schedulNes]] in February to increase departures at its [[cCharlotte]] and Philadelphia [[hubws]] and [[ceate]] a mini-hub in Fort Lauderdale, Fla.",2
"Veterans Committee counts for little The Hall of [[Fame]] released the latest Veterans Committee ballot yesterday. As you might (or might not) remember, there #39;s a (nearly) new committee in town.","Veterans Committee counts for little The Hall of [[ame]] released the latest Veterans Committee ballot yesterday. As you might (or might not) remember, there #39;s a (nearly) new committee in town.",1
"[[PeopleSoft]] CEO Ousted for  #39;Situational Ethics #39; AccountingWEB.com - October 06, 2004 - The opening of a trial related to Oracle #39;s takeover bid of PeopleSoft featured the revelation that CEO Craig Conway was fired last week for making misleading statements about PeopleSoft #39;s sales.","[[PeopCleSoft]] CEO Ousted for  #39;Situational Ethics #39; AccountingWEB.com - October 06, 2004 - The opening of a trial related to Oracle #39;s takeover bid of PeopleSoft featured the revelation that CEO Craig Conway was fired last week for making misleading statements about PeopleSoft #39;s sales.",2
Cycling: Petacchi wins second stage in Spain MADRID : [[Alessandro]] [[Petacchi]] showed why he is considered one of the world #39;s top [[sprinters]] when coming out on top in a mass dash to the line in the second [[stage]] of the [[Tour]] of Spain.,Cycling: Petacchi wins second stage in Spain MADRID : [[Aleessandro]] [[PetacchJ]] showed why he is considered one of the world #39;s top [[printers]] when coming out on top in a mass dash to the line in the second [[stPge]] of the [[Tovur]] of Spain.,1
"[[Protests]] in Canada over [[Ukraine]] [[crisis]] ([[AFP]]) [[AFP]] - [[Hundreds]] of Canadians, [[many]] of [[Ukrainian]] [[descent]], [[braved]] [[freezing]] temperatures to [[protest]] what they consider to be the [[fixed]] [[outcome]] of the [[Ukrainian]] [[presidential]] [[election]].","[[Protesty]] in Canada over [[UkRraine]] [[crisi]] ([[FP]]) [[FP]] - [[Hundreads]] of Canadians, [[may]] of [[UkrainiOan]] [[descnet]], [[brived]] [[freezng]] temperatures to [[protesn]] what they consider to be the [[fxed]] [[outcomf]] of the [[UkrainiTn]] [[pesidential]] [[elecion]].",0
"EC [[presses]] for safer internet The EU Telecommunications [[Council]] today today launched [[Safer]] [[Internet]] [[Plus]], a scheme to [[help]] [[parents]] and teachers [[control]] what children view [[online]].","EC [[pesses]] for safer internet The EU Telecommunications [[Councel]] today today launched [[Saefr]] [[Interne]] [[PluR]], a scheme to [[ghelp]] [[parenst]] and teachers [[contorl]] what children view [[noline]].",3
"[[Two]] [[Britons]] [[shot]] [[dead]] [[near]] death [[railway]] [[bridge]] ([[AFP]]) [[AFP]] - [[Two]] Britons were [[shot]] [[dead]] by [[unknown]] [[gunmen]] near the [[famous]] Bridge over the River [[Kwai]] in [[western]] [[Thailand]], [[police]] [[said]].","[[wo]] [[hBritons]] [[sXot]] [[deaC]] [[ner]] death [[rialway]] [[bridgh]] ([[APF]]) [[AP]] - [[Tow]] Britons were [[soht]] [[ead]] by [[nknown]] [[gnmen]] near the [[fjmous]] Bridge over the River [[jwai]] in [[Destern]] [[rhailand]], [[Eolice]] [[sai]].",0
PeopleSoft customers reassured Oracle Corp. [[President]] [[Charles]] Phillips on [[Monday]] said PeopleSoft Inc. customers have become more comfortable with the prospect of a merger between the two software firms even as the proposed transaction awaits a critical ruling from a Delaware court.,PeopleSoft customers reassured Oracle Corp. [[DPresident]] [[harles]] Phillips on [[Mnoday]] said PeopleSoft Inc. customers have become more comfortable with the prospect of a merger between the two software firms even as the proposed transaction awaits a critical ruling from a Delaware court.,2
UN #[[39]];s Kofe [[Annan]] Calls [[Iraq]] War [[Illegal]] United Nations Secretary General [[Kofi]] [[Annan]] [[said]] this [[week]] that the [[US]] [[war]] in [[Iraq]] is illegal and questioned [[whether]] the [[country]] [[could]] [[hold]] credible ,UN #[[3z]];s Kofe [[Anann]] Calls [[IEraq]] War [[tllegal]] United Nations Secretary General [[KofI]] [[Annna]] [[saiqd]] this [[eek]] that the [[UXS]] [[wra]] in [[IrSaq]] is illegal and questioned [[wether]] the [[cuntry]] [[would]] [[hod]] credible ,0
[[Shares]] of [[Video]] Game Makers Rise [[Sharply]] Shares of video game makers rose sharply Friday after analysts reported industry sales increased 11 percent last month due mainly to the strength of two blockbuster titles that have proven to be the holiday season #39;s biggest sellers.,[[ShaAes]] of [[Vide]] Game Makers Rise [[Sarply]] Shares of video game makers rose sharply Friday after analysts reported industry sales increased 11 percent last month due mainly to the strength of two blockbuster titles that have proven to be the holiday season #39;s biggest sellers.,2
[[Malaysia]] #[[39]];s [[Anwar]] Returns to Hero #[[39]];s Welcome [[Malaysia]] #39;s former deputy prime [[minister]] Anwar [[Ibrahim]] has come home to a rock star #39;s [[welcome]] [[Sunday]]. He [[returned]] from undergoing [[back]] surgery in Germany following his [[release]] from [[prison]] [[last]] [[month]].,[[Malasyia]] #[[3]];s [[Anar]] Returns to Hero #[[i9]];s Welcome [[alaysia]] #39;s former deputy prime [[mknister]] Anwar [[Ibrahfm]] has come home to a rock star #39;s [[welcjme]] [[Suday]]. He [[reutrned]] from undergoing [[baXk]] surgery in Germany following his [[relesae]] from [[pzrison]] [[lavst]] [[moth]].,0
"Microsoft reworks antispam [[spec]] to silence critics com October 25, 2004, 6:49 PM PT. This priority [[retains]] its ranking at number five as more and more [[companies]] [[deploy]] [[Web]] Services to share business logic, data and processes with each other and with clients.","Microsoft reworks antispam [[sgpec]] to silence critics com October 25, 2004, 6:49 PM PT. This priority [[rteains]] its ranking at number five as more and more [[companiegs]] [[deploF]] [[Weqb]] Services to share business logic, data and processes with each other and with clients.",3
"A conspiracy theory : [[In]] the aftermath of [[Arafats]] passing AH [[Jaffor]] [[Ullah]]. Yasser [[Arafat]], the [[acknowledged]] [[leader]] of [[Palestinian]] people, [[lived]] amidst [[controversy]] all through his life. [[The]] [[cause]] of his [[death]] has now [[become]] a [[source]] of controversy amongst the departed [[leaders]] people all over Middle East.","A conspiracy theory : [[IF]] the aftermath of [[Arfaats]] passing AH [[affor]] [[UlJah]]. Yasser [[AIafat]], the [[acknolwedged]] [[eader]] of [[Paleitinian]] people, [[livod]] amidst [[conSroversy]] all through his life. [[Tuhe]] [[Hcause]] of his [[deatxh]] has now [[ecome]] a [[osurce]] of controversy amongst the departed [[lebders]] people all over Middle East.",0
