original_text,perturbed_text,label
"Singapore govt extends third-party war risk insurance SINGAPORE : The government is [[extending]] third-party war risk insurance cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore Airlines group.","Singapore govt extends third-party war risk insurance SINGAPORE : The government is [[gallop]] third-party war risk insurance cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore Airlines group.",2
"[[Mills]] Grabs \$1B Portfolio; Taubman Likely to Lose Contracts [[Mills]] Corp. agreed to purchase a 50 percent interest in nine malls owned by General Motors Asset Management Corp. for just over \$1 [[billion]], creating a new joint venture between the groups. The [[deal]] will extend ...","[[grinder]] Grabs \$1B Portfolio; Taubman Likely to Lose Contracts [[pulverisation]] Corp. agreed to purchase a 50 percent interest in nine malls owned by General Motors Asset Management Corp. for just over \$1 [[1000000000000]], creating a new joint venture between the groups. The [[heap]] will extend ...",2
"Sun to shine spotlight on new operating system, Solaris [[10]] Sun Microsystems SUNW is expected to [[release]] a new version of its operating system today - a big part of the struggling [[computer]] maker #39;s plan to save itself.","Sun to shine spotlight on new operating system, Solaris [[decade]] Sun Microsystems SUNW is expected to [[sacking]] a new version of its operating system today - a big part of the struggling [[figurer]] maker #39;s plan to save itself.",3
Today in Athens Leontien Zijlaard-van Moorsel of the [[Netherlands]] wipes a [[tear]] after [[winning]] the gold [[medal]] in the [[women]] #[[39]];s road cycling [[individual]] [[time]] [[trial]] at the Vouliagmeni Olympic Centre in [[Athens]] on [[Wednesday]]. ,Today in Athens Leontien Zijlaard-van Moorsel of the [[Nederland]] wipes a [[teardrop]] after [[victorious]] the gold [[medallion]] in the [[char]] #[[thirty-nine]];s road cycling [[case-by-case]] [[sentence]] [[tribulation]] at the Vouliagmeni Olympic Centre in [[Athinai]] on [[Midweek]]. ,1
Govt. to Test New [[Air]] Passenger Screening Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may [[pose]] a threat to [[air]] travel.,Govt. to Test New [[send]] Passenger Screening Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may [[sit]] a threat to [[line]] travel.,3
"[[Afghans]] rocky road to [[historic]] elections KALAKAN, Afghanistan There were toothless [[old]] [[men]], turbaned and gray-bearded, and [[young]] [[men]] not [[yet]] [[old]] [[enough]] to shave. There were mullahs and mujahedeen, and the presidential [[candidate]] #[[39]];s 3-year-old [[son]].","[[Paxto]] rocky road to [[historical]] elections KALAKAN, Afghanistan There were toothless [[honest-to-goodness]] [[homo]], turbaned and gray-bearded, and [[offspring]] [[humankind]] not [[nonetheless]] [[one-time]] [[plenty]] to shave. There were mullahs and mujahedeen, and the presidential [[prospect]] #[[thirty-nine]];s 3-year-old [[Word]].",0
"[[US]] suspends helicopter flights after Japan crash (AFP) AFP - The [[United]] [[States]] suspended flights of CH-53D military helicopters in Japan, bowing to protests over a crash in an Okinawa university campus.","[[uracil]] suspends helicopter flights after Japan crash (AFP) AFP - The [[unify]] [[express]] suspended flights of CH-53D military helicopters in Japan, bowing to protests over a crash in an Okinawa university campus.",0
"Phelps [[Seeks]] More [[Gold]] at [[World]] [[Championships]]  INDIANAPOLIS (Reuters) - [[Still]] [[riding]] a wave of euphoria  from the Olympics, Michael Phelps [[returns]] to the pool this [[week]]  at the [[world]] [[short]] [[course]] swimming [[championships]] seeking a  [[repeat]] of his [[six]] [[gold]] medals in Athens.","Phelps [[attempt]] More [[gold]] at [[world-wide]] [[backing]]  INDIANAPOLIS (Reuters) - [[stock-still]] [[disembarrass]] a wave of euphoria  from the Olympics, Michael Phelps [[reappearance]] to the pool this [[hebdomad]]  at the [[humankind]] [[brusque]] [[form]] swimming [[patronage]] seeking a  [[ingeminate]] of his [[hexad]] [[Au]] medals in Athens.",1
"Anniversary remembered on [[game]] day When the attacks came on Sept. 11, 2001, Tom O'Brien, if only for a moment, stopped being Boston College's [[coach]]. On that day, as the World Trade Center and Pentagon smoldered and the world stood still, O'Brien was a Navy man.","Anniversary remembered on [[halting]] day When the attacks came on Sept. 11, 2001, Tom O'Brien, if only for a moment, stopped being Boston College's [[tutor]]. On that day, as the World Trade Center and Pentagon smoldered and the world stood still, O'Brien was a Navy man.",1
"Viacom, Disney [[pay]] \$1.5M FCC fine Disney and Viacom agreed to a fine of \$1.5 million from the Federal Communications Commission over claims their children #39;s cable television [[networks]] [[violated]] advertising restrictions, the FCC said Thursday.","Viacom, Disney [[remuneration]] \$1.5M FCC fine Disney and Viacom agreed to a fine of \$1.5 million from the Federal Communications Commission over claims their children #39;s cable television [[web]] [[desecrate]] advertising restrictions, the FCC said Thursday.",2
