original_text,perturbed_text,label
"Singapore govt extends third-party war risk insurance SINGAPORE : The government is [[extending]] third-party [[war]] [[risk]] [[insurance]] cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore Airlines group.","Singapore govt extends third-party war risk insurance SINGAPORE : The government is [[gallop]] third-party [[warfare]] [[jeopardy]] [[policy]] cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore Airlines group.",2
"[[Mills]] [[Grabs]] \$1B Portfolio; Taubman [[Likely]] to Lose [[Contracts]] Mills Corp. [[agreed]] to purchase a 50 percent interest in nine malls owned by General Motors Asset Management Corp. for just over \$1 billion, creating a new joint venture between the groups. The deal will [[extend]] ...","[[manufactory]] [[catch]] \$1B Portfolio; Taubman [[belike]] to Lose [[press]] Mills Corp. [[concord]] to purchase a 50 percent interest in nine malls owned by General Motors Asset Management Corp. for just over \$1 billion, creating a new joint venture between the groups. The deal will [[gallop]] ...",2
"[[Sun]] to shine spotlight on new operating system, Solaris 10 Sun Microsystems SUNW is expected to [[release]] a new version of its operating system today - a big [[part]] of the struggling computer maker #39;s plan to save itself.","[[Sunday]] to shine spotlight on new operating system, Solaris 10 Sun Microsystems SUNW is expected to [[resign]] a new version of its operating system today - a big [[percentage]] of the struggling computer maker #39;s plan to save itself.",3
Today in [[Athens]] Leontien Zijlaard-van Moorsel of the [[Netherlands]] [[wipes]] a [[tear]] after [[winning]] the [[gold]] [[medal]] in the [[women]] #[[39]];s road [[cycling]] [[individual]] [[time]] [[trial]] at the Vouliagmeni Olympic [[Centre]] in [[Athens]] on [[Wednesday]]. ,Today in [[Athinai]] Leontien Zijlaard-van Moorsel of the [[Nederland]] [[wipe]] a [[bust]] after [[acquire]] the [[aureate]] [[decoration]] in the [[womanhood]] #[[ixl]];s road [[motorbike]] [[case-by-case]] [[sentence]] [[tribulation]] at the Vouliagmeni Olympic [[meat]] in [[Athinai]] on [[Midweek]]. ,1
[[President]] Hu [[congratulates]] Sihamoni on [[becoming]] [[king]] of Cambodia [[Chinese]] [[President]] Hu Jintao [[sent]] a [[message]] to Norodom Sihamoni on Thursday to [[congratulate]] him on his election as the [[king]] of [[Cambodia]].,[[chairman]] Hu [[congratulate]] Sihamoni on [[decorous]] [[magnate]] of Cambodia [[Formosan]] [[chairman]] Hu Jintao [[beam]] a [[content]] to Norodom Sihamoni on Thursday to [[preen]] him on his election as the [[mogul]] of [[Kampuchea]].,0
"[[Afghans]] rocky road to [[historic]] elections KALAKAN, Afghanistan There were toothless old [[men]], turbaned and gray-bearded, and [[young]] [[men]] not yet old enough to shave. There were mullahs and mujahedeen, and the presidential candidate #39;s 3-year-old [[son]].","[[Paxto]] rocky road to [[historical]] elections KALAKAN, Afghanistan There were toothless old [[humans]], turbaned and gray-bearded, and [[immature]] [[homo]] not yet old enough to shave. There were mullahs and mujahedeen, and the presidential candidate #39;s 3-year-old [[Word]].",0
"[[Fed]] [[Cup]] all [[tied]] up FRANCE #[[39]];[[S]] Russian-born Tatiana Golovin [[left]] the [[Fed]] [[Cup]] final [[hanging]] in the [[balance]] today as she [[beat]] [[Russia]] #[[39]];s US [[Open]] champion Svetlana Kuznetsova 6-4, 6-1 to [[level]] the [[tie]] at 2-2 and [[take]] it to the [[final]] doubles [[match]].","[[FRS]] [[transfuse]] all [[bond]] up FRANCE #[[ixl]];[[sec]] Russian-born Tatiana Golovin [[exit]] the [[FRS]] [[transfuse]] final [[advert]] in the [[equipoise]] today as she [[flummox]] [[USSR]] #[[ixl]];s US [[afford]] champion Svetlana Kuznetsova 6-4, 6-1 to [[dismantle]] the [[bond]] at 2-2 and [[adopt]] it to the [[terminal]] doubles [[catch]].",1
[[Oil]] Prices [[Set]] a New Record [[Above]] \$50  SINGAPORE (Reuters) - Oil [[prices]] [[set]] a new [[record]] above \$50  a barrel on Tuesday as a prolonged [[U]].S. production outage  [[following]] Hurricane Ivan attracted fresh [[speculative]] [[buying]].,[[embrocate]] Prices [[plant]] a New Record [[supra]] \$50  SINGAPORE (Reuters) - Oil [[damage]] [[band]] a new [[memorialise]] above \$50  a barrel on Tuesday as a prolonged [[uranium]].S. production outage  [[trace]] Hurricane Ivan attracted fresh [[questioning]] [[bribe]].,2
"[[US]] suspends [[helicopter]] [[flights]] after Japan [[crash]] (AFP) AFP - The United [[States]] suspended flights of CH-53D military [[helicopters]] in Japan, bowing to protests over a crash in an Okinawa university campus.","[[America]] suspends [[whirlybird]] [[trajectory]] after Japan [[doss]] (AFP) AFP - The United [[DoS]] suspended flights of CH-53D military [[whirlybird]] in Japan, bowing to protests over a crash in an Okinawa university campus.",0
Sun's [[Looking]] [[Glass]] [[Provides]] 3D [[View]] Developers [[get]] [[early]] [[code]] for [[new]] operating [[system]] 'skin' [[still]] being crafted.,Sun's [[bet]] [[ice]] [[cater]] 3D [[catch]] Developers [[grow]] [[betimes]] [[encipher]] for [[freshly]] operating [[organization]] 'skin' [[stock-still]] being crafted.,3
