original_text,perturbed_text,label
"Singapore govt extends third-party war risk [[insurance]] SINGAPORE : The [[government]] is extending third-party war [[risk]] insurance cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore Airlines [[group]].","Singapore govt extends third-party war risk [[policy]] SINGAPORE : The [[politics]] is extending third-party war [[danger]] insurance cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore Airlines [[radical]].",2
"[[Fed]] [[Cup]] all [[tied]] up FRANCE #[[39]];S Russian-born Tatiana Golovin [[left]] the [[Fed]] [[Cup]] final [[hanging]] in the [[balance]] today as she [[beat]] [[Russia]] #[[39]];s US [[Open]] [[champion]] Svetlana Kuznetsova 6-4, 6-1 to [[level]] the [[tie]] at 2-2 and [[take]] it to the final [[doubles]] [[match]].","[[flow]] [[transfuse]] all [[bond]] up FRANCE #[[thirty-nine]];S Russian-born Tatiana Golovin [[impart]] the [[fertilize]] [[transfuse]] final [[advert]] in the [[counterbalance]] today as she [[mystify]] [[USSR]] #[[thirty-nine]];s US [[afford]] [[prizewinning]] Svetlana Kuznetsova 6-4, 6-1 to [[charge]] the [[bond]] at 2-2 and [[payoff]] it to the final [[image]] [[equate]].",1
"[[Sun]] to shine [[spotlight]] on [[new]] [[operating]] system, Solaris [[10]] Sun Microsystems SUNW is [[expected]] to [[release]] a new [[version]] of its operating [[system]] today - a [[big]] [[part]] of the struggling computer [[maker]] #39;s plan to [[save]] itself.","[[Dominicus]] to shine [[foreground]] on [[fresh]] [[maneuver]] system, Solaris [[tenner]] Sun Microsystems SUNW is [[wait]] to [[loss]] a new [[variation]] of its operating [[organization]] today - a [[liberal]] [[divide]] of the struggling computer [[manufacturer]] #39;s plan to [[economize]] itself.",3
[[President]] Hu congratulates Sihamoni on becoming [[king]] of Cambodia Chinese [[President]] Hu Jintao sent a message to Norodom Sihamoni on [[Thursday]] to congratulate him on his election as the [[king]] of Cambodia.,[[prexy]] Hu congratulates Sihamoni on becoming [[mogul]] of Cambodia Chinese [[chair]] Hu Jintao sent a message to Norodom Sihamoni on [[Th]] to congratulate him on his election as the [[mogul]] of Cambodia.,0
[[Today]] in [[Athens]] Leontien Zijlaard-van Moorsel of the Netherlands wipes a [[tear]] after [[winning]] the [[gold]] [[medal]] in the [[women]] #[[39]];s road [[cycling]] [[individual]] [[time]] [[trial]] at the Vouliagmeni [[Olympic]] [[Centre]] in [[Athens]] on [[Wednesday]]. ,[[nowadays]] in [[Athinai]] Leontien Zijlaard-van Moorsel of the Netherlands wipes a [[rent]] after [[acquire]] the [[gilded]] [[decoration]] in the [[char]] #[[ixl]];s road [[motorbike]] [[mortal]] [[clock]] [[visitation]] at the Vouliagmeni [[Olympian]] [[sum]] in [[Athinai]] on [[Wed]]. ,1
"[[Afghans]] [[rocky]] [[road]] to [[historic]] elections KALAKAN, Afghanistan There were toothless [[old]] [[men]], turbaned and gray-bearded, and [[young]] [[men]] not [[yet]] [[old]] enough to shave. There were mullahs and mujahedeen, and the presidential [[candidate]] #[[39]];s 3-year-old [[son]].","[[Paxto]] [[bouldered]] [[route]] to [[historical]] elections KALAKAN, Afghanistan There were toothless [[one-time]] [[humans]], turbaned and gray-bearded, and [[offspring]] [[mankind]] not [[however]] [[sometime]] enough to shave. There were mullahs and mujahedeen, and the presidential [[prospect]] #[[ixl]];s 3-year-old [[Logos]].",0
[[Oil]] [[Prices]] [[Set]] a [[New]] [[Record]] [[Above]] \$50  SINGAPORE (Reuters) - [[Oil]] [[prices]] [[set]] a [[new]] [[record]] above \$[[50]]  a [[barrel]] on [[Tuesday]] as a [[prolonged]] [[U]].[[S]]. production outage  following Hurricane Ivan [[attracted]] [[fresh]] [[speculative]] [[buying]].,[[crude]] [[damage]] [[localize]] a [[unexampled]] [[commemorate]] [[supra]] \$50  SINGAPORE (Reuters) - [[crude]] [[toll]] [[arrange]] a [[young]] [[commemorate]] above \$[[fifty]]  a [[cask]] on [[Tues]] as a [[lengthy]] [[uranium]].[[south]]. production outage  following Hurricane Ivan [[draw]] [[impudent]] [[questioning]] [[bribe]].,2
"Anniversary remembered on [[game]] day When the attacks came on Sept. 11, 2001, Tom O'Brien, if only for a moment, stopped being Boston College's coach. On that day, as the [[World]] Trade Center and Pentagon smoldered and the [[world]] stood still, O'Brien was a Navy man.","Anniversary remembered on [[gimpy]] day When the attacks came on Sept. 11, 2001, Tom O'Brien, if only for a moment, stopped being Boston College's coach. On that day, as the [[macrocosm]] Trade Center and Pentagon smoldered and the [[macrocosm]] stood still, O'Brien was a Navy man.",1
"Viacom, Disney pay \$1.5M FCC fine Disney and Viacom [[agreed]] to a fine of \$1.5 million from the Federal [[Communications]] [[Commission]] over claims their [[children]] #[[39]];s cable [[television]] [[networks]] [[violated]] [[advertising]] restrictions, the FCC said Thursday.","Viacom, Disney pay \$1.5M FCC fine Disney and Viacom [[correspond]] to a fine of \$1.5 million from the Federal [[communicating]] [[committee]] over claims their [[youngster]] #[[ixl]];s cable [[video]] [[web]] [[transgress]] [[push]] restrictions, the FCC said Thursday.",2
"Phelps [[Seeks]] More [[Gold]] at [[World]] [[Championships]]  INDIANAPOLIS (Reuters) - [[Still]] [[riding]] a wave of [[euphoria]]  from the [[Olympics]], Michael Phelps [[returns]] to the pool this [[week]]  at the [[world]] [[short]] [[course]] swimming [[championships]] [[seeking]] a  [[repeat]] of his [[six]] [[gold]] medals in Athens.","Phelps [[attempt]] More [[aureate]] at [[humankind]] [[backing]]  INDIANAPOLIS (Reuters) - [[placid]] [[drive]] a wave of [[euphory]]  from the [[Olympiad]], Michael Phelps [[replication]] to the pool this [[workweek]]  at the [[humanity]] [[suddenly]] [[feed]] swimming [[backing]] [[search]] a  [[recapitulate]] of his [[half-dozen]] [[Au]] medals in Athens.",1
