original_text,perturbed_text,label
"Singapore govt extends third-party war [[risk]] [[insurance]] [[SINGAPORE]] : The [[government]] is extending third-party war [[risk]] [[insurance]] [[cover]] to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore Airlines [[group]].","Singapore govt extends third-party war [[adventure]] [[policy]] [[Singapore]] : The [[politics]] is extending third-party war [[adventure]] [[indemnity]] [[overcompensate]] to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore Airlines [[radical]].",2
"[[Mills]] Grabs \$1B Portfolio; Taubman Likely to Lose Contracts Mills Corp. [[agreed]] to purchase a [[50]] percent interest in [[nine]] [[malls]] [[owned]] by [[General]] [[Motors]] Asset Management Corp. for just over \$1 billion, creating a new joint venture between the groups. The [[deal]] will extend ...","[[pulverization]] Grabs \$1B Portfolio; Taubman Likely to Lose Contracts Mills Corp. [[agree]] to purchase a [[l]] percent interest in [[IX]] [[center]] [[have]] by [[worldwide]] [[drive]] Asset Management Corp. for just over \$1 billion, creating a new joint venture between the groups. The [[stack]] will extend ...",2
"[[Sun]] to [[shine]] spotlight on [[new]] operating system, Solaris 10 [[Sun]] Microsystems SUNW is expected to release a new version of its operating system today - a big part of the struggling computer maker #39;s plan to save itself.","[[Dominicus]] to [[strike]] spotlight on [[young]] operating system, Solaris 10 [[solarise]] Microsystems SUNW is expected to release a new version of its operating system today - a big part of the struggling computer maker #39;s plan to save itself.",3
Today in Athens Leontien Zijlaard-van Moorsel of the [[Netherlands]] wipes a [[tear]] after [[winning]] the [[gold]] [[medal]] in the [[women]] #39;s road [[cycling]] [[individual]] time [[trial]] at the Vouliagmeni [[Olympic]] [[Centre]] in [[Athens]] on [[Wednesday]]. ,Today in Athens Leontien Zijlaard-van Moorsel of the [[Nederland]] wipes a [[bust]] after [[advance]] the [[Au]] [[decoration]] in the [[char]] #39;s road [[cycle]] [[item-by-item]] time [[visitation]] at the Vouliagmeni [[Olympian]] [[meat]] in [[Athinai]] on [[Wed]]. ,1
"[[Fed]] Cup all tied up FRANCE #39;[[S]] Russian-born Tatiana Golovin left the [[Fed]] [[Cup]] final hanging in the [[balance]] today as she [[beat]] Russia #39;s US [[Open]] [[champion]] Svetlana Kuznetsova 6-4, 6-1 to level the [[tie]] at 2-2 and [[take]] it to the [[final]] [[doubles]] [[match]].","[[feed]] Cup all tied up FRANCE #39;[[south]] Russian-born Tatiana Golovin left the [[fertilise]] [[transfuse]] final hanging in the [[proportion]] today as she [[tick]] Russia #39;s US [[afford]] [[booster]] Svetlana Kuznetsova 6-4, 6-1 to level the [[bond]] at 2-2 and [[proceeds]] it to the [[terminal]] [[doubling]] [[peer]].",1
President Hu [[congratulates]] Sihamoni on [[becoming]] [[king]] of [[Cambodia]] Chinese [[President]] Hu Jintao [[sent]] a message to Norodom Sihamoni on Thursday to [[congratulate]] him on his election as the [[king]] of [[Cambodia]].,President Hu [[plume]] Sihamoni on [[seemly]] [[tycoon]] of [[Kampuchea]] Chinese [[chairman]] Hu Jintao [[institutionalize]] a message to Norodom Sihamoni on Thursday to [[felicitate]] him on his election as the [[tycoon]] of [[Kampuchea]].,0
Sun's [[Looking]] [[Glass]] [[Provides]] 3D [[View]] Developers [[get]] [[early]] [[code]] for new [[operating]] [[system]] 'skin' [[still]] being crafted.,Sun's [[calculate]] [[methamphetamine]] [[leave]] 3D [[eyeshot]] Developers [[find]] [[former]] [[encrypt]] for new [[manoeuvre]] [[organization]] 'skin' [[smooth]] being crafted.,3
"[[US]] [[suspends]] [[helicopter]] [[flights]] after Japan [[crash]] (AFP) AFP - The [[United]] [[States]] [[suspended]] flights of CH-53D military [[helicopters]] in Japan, [[bowing]] to protests over a [[crash]] in an Okinawa university campus.","[[uranium]] [[freeze]] [[eggbeater]] [[flying]] after Japan [[wreck]] (AFP) AFP - The [[combine]] [[express]] [[freeze]] flights of CH-53D military [[whirlybird]] in Japan, [[accede]] to protests over a [[wreck]] in an Okinawa university campus.",0
"Viacom, Disney pay \$[[1]].5M FCC fine Disney and Viacom agreed to a [[fine]] of \$1.[[5]] million from the Federal Communications Commission over claims their children #39;s [[cable]] television [[networks]] violated advertising restrictions, the FCC said Thursday.","Viacom, Disney pay \$[[unity]].5M FCC fine Disney and Viacom agreed to a [[amercement]] of \$1.[[fivesome]] million from the Federal Communications Commission over claims their children #39;s [[telegraph]] television [[meshwork]] violated advertising restrictions, the FCC said Thursday.",2
"Anniversary [[remembered]] on [[game]] day When the attacks came on Sept. 11, 2001, Tom O'Brien, if only for a moment, stopped being Boston College's [[coach]]. On that day, as the World Trade Center and Pentagon smoldered and the world stood still, O'Brien was a Navy man.","Anniversary [[recall]] on [[biz]] day When the attacks came on Sept. 11, 2001, Tom O'Brien, if only for a moment, stopped being Boston College's [[train]]. On that day, as the World Trade Center and Pentagon smoldered and the world stood still, O'Brien was a Navy man.",1
