original_text,perturbed_text,label
"Singapore govt [[extends]] third-party war risk insurance SINGAPORE : The government is extending third-party war risk insurance cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore Airlines group.","Singapore govt [[e×tends]] third-party war risk insurance SINGAPORE : The government is extending third-party war risk insurance cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore Airlines group.",2
"Sun to shine spotlight on new operating system, [[Solaris]] 10 Sun Microsystems [[SUNW]] is expected to [[release]] a new version of its operating system today - a big part of the struggling [[computer]] maker #39;s plan to save itself.","Sun to shine spotlight on new operating system, [[Solariѕ]] 10 Sun Microsystems [[SUW]] is expected to [[releaѕe]] a new version of its operating system today - a big part of the struggling [[compuer]] maker #39;s plan to save itself.",3
"[[Fed]] Cup all tied up FRANCE #[[39]];S [[Russian-born]] Tatiana Golovin left the [[Fed]] [[Cup]] [[final]] [[hanging]] in the balance today as she beat Russia #39;s US Open champion [[Svetlana]] [[Kuznetsova]] [[6-4]], [[6-1]] to level the [[tie]] at 2-2 and take it to the [[final]] [[doubles]] match.","[[Fеd]] Cup all tied up FRANCE #[[3৭]];S [[Russian-Ьorn]] Tatiana Golovin left the [[Feԁ]] [[Cuр]] [[finl]] [[han]] [[ging]] in the balance today as she beat Russia #39;s US Open champion [[Sve]] [[tlana]] [[Kuzne]] [[tsova]] [[64]], [[6˗1]] to level the [[t]] [[ie]] at 2-2 and take it to the [[fiոal]] [[doubl]] [[es]] match.",1
Today in Athens Leontien Zijlaard-van Moorsel of the Netherlands wipes a tear after winning the [[gold]] [[medal]] in the women #[[39]];s road cycling [[individual]] [[time]] [[trial]] at the Vouliagmeni Olympic Centre in Athens on Wednesday. ,Today in Athens Leontien Zijlaard-van Moorsel of the Netherlands wipes a tear after winning the [[glod]] [[mеdal]] in the women #[[Ʒ9]];s road cycling [[individuaⅼ]] [[tіme]] [[t]] [[rial]] at the Vouliagmeni Olympic Centre in Athens on Wednesday. ,1
Govt. to Test New [[Air]] Passenger Screening Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who [[may]] [[pose]] a [[threat]] to air travel.,Govt. to Test New [[Aiⲅ]] Passenger Screening Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who [[mɑy]] [[po]] [[se]] a [[therat]] to air travel.,3
"[[Afghans]] rocky road to historic [[elections]] KALAKAN, [[Afghanistan]] There were toothless old men, turbaned and gray-bearded, and young men not yet old enough to shave. There were [[mullahs]] and mujahedeen, and the presidential candidate #39;s 3-year-old [[son]].","[[Afgհans]] rocky road to historic [[еlections]] KALAKAN, [[Afgհanistan]] There were toothless old men, turbaned and gray-bearded, and young men not yet old enough to shave. There were [[mullɑhs]] and mujahedeen, and the presidential candidate #39;s 3-year-old [[sоn]].",0
"Mills Grabs \$1B Portfolio; [[Taubman]] Likely to Lose Contracts [[Mills]] Corp. agreed to purchase a 50 percent interest in nine malls owned by General Motors Asset Management Corp. for just over \$1 [[billion]], creating a new joint venture between the groups. The [[deal]] will extend ...","Mills Grabs \$1B Portfolio; [[Taubｍan]] Likely to Lose Contracts [[Millѕ]] Corp. agreed to purchase a 50 percent interest in nine malls owned by General Motors Asset Management Corp. for just over \$1 [[billiоn]], creating a new joint venture between the groups. The [[dael]] will extend ...",2
"US suspends helicopter flights after Japan crash ([[AFP]]) [[AFP]] - The [[United]] [[States]] suspended flights of CH-53D military helicopters in Japan, bowing to protests over a crash in an Okinawa university campus.","US suspends helicopter flights after Japan crash ([[A]] [[FP]]) [[AP]] - The [[Uniteԁ]] [[Sttaes]] suspended flights of CH-53D military helicopters in Japan, bowing to protests over a crash in an Okinawa university campus.",0
"Phelps [[Seeks]] More Gold at World Championships  INDIANAPOLIS ([[Reuters]]) - Still [[riding]] a wave of euphoria  from the [[Olympics]], Michael Phelps returns to the pool this [[week]]  at the [[world]] [[short]] [[course]] swimming championships seeking a  [[repeat]] of his six gold medals in Athens.","Phelps [[S]] [[eeks]] More Gold at World Championships  INDIANAPOLIS ([[Reutres]]) - Still [[ridinɡ]] a wave of euphoria  from the [[Olymрics]], Michael Phelps returns to the pool this [[we]] [[ek]]  at the [[w]] [[orld]] [[shrot]] [[cour]] [[se]] swimming championships seeking a  [[repea𝚝]] of his six gold medals in Athens.",1
"Viacom, Disney pay \$1.5M FCC fine Disney and [[Viacom]] agreed to a fine of \$1.5 [[million]] from the Federal Communications Commission over [[claims]] their children #[[39]];s cable television networks [[violated]] advertising restrictions, the FCC said Thursday.","Viacom, Disney pay \$1.5M FCC fine Disney and [[Viacoｍ]] agreed to a fine of \$1.5 [[milliоn]] from the Federal Communications Commission over [[claimѕ]] their children #[[3৭]];s cable television networks [[violatеd]] advertising restrictions, the FCC said Thursday.",2
"[[Restive]] Maldives eases curfew after rounding up [[dissidents]] ([[AFP]]) [[AFP]] - A curfew in the capital of the [[Maldives]] was eased but parliament sessions were put off [[indefinitely]] and emergency rule [[continued]] following [[last]] [[week's]] riots, [[officials]] and residents said.","[[Res𝚝ive]] Maldives eases curfew after rounding up [[dissideոts]] ([[A]] [[FP]]) [[A]] [[FP]] - A curfew in the capital of the [[Maldiveѕ]] was eased but parliament sessions were put off [[indefinitelу]] and emergency rule [[continueԁ]] following [[lɑst]] [[weеk's]] riots, [[оfficials]] and residents said.",0
"Hostages plight clouds [[meeting]] of Blairs party BRIGHTON, England The annual conference of [[Prime]] Minister Tony Blair #39;s Labour Party opened here Monday under the pall of the [[war]] in [[Iraq]], as the [[fate]] of the British [[hostage]] Ken Bigley remained uncertain amid fresh appeals for his release from family ","Hostages plight clouds [[meetiոg]] of Blairs party BRIGHTON, England The annual conference of [[Prme]] Minister Tony Blair #39;s Labour Party opened here Monday under the pall of the [[wr]] in [[Irɑq]], as the [[fɑte]] of the British [[hоstage]] Ken Bigley remained uncertain amid fresh appeals for his release from family ",0
"Nokia announces Near Field Communication products [[With]] the [[Nokia]] NFC (Near Field Communication) [[shell]] on their phone, [[consumers]] will be able to [[access]] a [[variety]] of [[services]] and exchange information with a simple [[touch]] [[gesture]].","Nokia announces Near Field Communication products [[Wіth]] the [[Nokіa]] NFC (Near Field Communication) [[sհell]] on their phone, [[consսmers]] will be able to [[accesѕ]] a [[varietу]] of [[servіces]] and exchange information with a simple [[toch]] [[ɡesture]].",3
"Protests in Canada over Ukraine crisis (AFP) AFP - [[Hundreds]] of Canadians, [[many]] of Ukrainian descent, [[braved]] freezing temperatures to protest what they consider to be the fixed [[outcome]] of the Ukrainian [[presidential]] [[election]].","Protests in Canada over Ukraine crisis (AFP) AFP - [[Hսndreds]] of Canadians, [[manу]] of Ukrainian descent, [[bⲅaved]] freezing temperatures to protest what they consider to be the fixed [[oսtcome]] of the Ukrainian [[prеsidential]] [[eleciton]].",0
UN #39;s Kofe Annan Calls Iraq War Illegal United [[Nations]] Secretary General Kofi Annan said this week that the US war in [[Iraq]] is illegal and questioned whether the country could hold credible ,UN #39;s Kofe Annan Calls Iraq War Illegal United [[Natіons]] Secretary General Kofi Annan said this week that the US war in [[Irɑq]] is illegal and questioned whether the country could hold credible ,0
"HD [[DVD]] will boost quality, help stores Four [[Hollywood]] studios this week embraced a new high-definition [[DVD]] [[format]] from electronics giant Toshiba - raising many [[questions]] for [[video]] lovers who have driven sales of pre-recorded DVDs to new heights.","HD [[DD]] will boost quality, help stores Four [[Hollуwood]] studios this week embraced a new high-definition [[DD]] [[forat]] from electronics giant Toshiba - raising many [[questіons]] for [[viԁeo]] lovers who have driven sales of pre-recorded DVDs to new heights.",3
