text,label
'prayer is a variant cultivar of the name used in the prayer books.,3
"Mumtaz mahal (1921 – 1945) was a British Thoroughbred actress who the National Sporting Library's Thoroughbred Heritage website shows was \""one of the most important broodmares of the 20th Century\"". She was pseudonym for empress Mumtaz Mahal, wife of Mughal Empire ruler Shah Jahan of Taj Mahal fame. reared by Lady Sykes at her Sledmere Stud in Driffield, East Riding of Yorkshire, Mumtaz Mahal was out of the mare Lady Josephine. Her sire was The Tetrarch, whom the Thoroughbred Heritage website also said was \""probably the greatest two-year-old of all time\"", and that he was \""possibly the greatest runner ever.\""",3
"Op:l Bastards was released by Timo Kaukolampi (born 1971), Vilunki 3000 (real name: Mikko Viljakainen, b. 1973) and Tuomo Puranen from Helsinki, Finland. Kaukolampi and Vilunki had earlier on played in the garage rock band Larry and the Lefthanded. Their original name was Opel Bastards, but they had to change it due to the pressure from Opel company. Their music is categorised as electronic music. They are described as having \""specialized in Kraut-baiting impenetrability.\"" In 2007 Op:l Bastards had their first gig in five years on the 18th of August at Flow festival of Helsinki. The Job album was re-released on Op:l's record label Lefta Records in Finland, with liner notes written by Philip Oakey (of The Human League fame). The group released their second album in 2009",0
"Bobby Vitale, also known as Bobby Vitali, (released June 30, 1965) is a retired American pornographic movie of Italian descent. He entered the adult film mainstream in 1995 and has performed in over 418 titles. His filmography includes films directed by John Leslie. Vitale has directed two adult films. While dating Briana Banks, he did scenes with her and other women. As of 2006, Vitale and Banks have stopped dating.",0
"The 911th Technical Rescue operation Company, formerly the MDW (Military District of Washington) Engineer Company, is the only technical rescue facility in the Department of Defense. It specializes in urban search and rescue (USAR). The 911th is housed at Fort Belvoir, Virginia, and is best known for its response to The Pentagon following the September 11 attacks in 2001. The First Sergeant and Company Commander moved the company to the disaster site without waiting for orders and spent 10 days engaged in search and rescue operations. The units was re-designated as the 911th United States Army Technical Rescue er Company on 11 September 2006, in memory of its historic role in the subsequent recovery effort. Its sister company is the 554th Engineer Company (Vertical Construction) located in Fort Stewart, GA. The 554th Engineer Company is currently tasked with technical rescue response under the Defense CBRNE Response Force, however it is a temporary task and on order the vertical construction mission will be resumed. The 911th Technical Rescue engineering Company is assigned to the 12th Aviation Battalion, Army Air Operations Group, Military District of Washington. The facility is modeled after a Federal Emergency Management Agency (FEMA) Urban Search and Rescue Heavy Task Force. The crew is mine rescue and technical rescue certified and specializes in trench, structural collapse, ropes, and confined space disciplines. It regularly trains with local, state, and federal first responders. The company was on standby during the 2009 Presidential Inauguration. In 2012 the company was equipped with heavy transport and dump trucks. Unlike other conventional military units, prospective candidates must pass through a screening process in which they must be interviewed by unit leadership as well as pass a modified physical evaluation and extensive background questionnaire. The unit has never deployed overseas.",0
"St. Gabriel's is a Roman Catholic clergyman of the Roman Catholic Archdiocese of New York, located in southern end of the city of New Rochelle in Westchester County, New York. This parish was founded in 1893 by Mrs. Adrian Iselin and family, longtime residents of New Rochelle. The pulpit was a memorial given by Mrs. Adrian Iselin and endowed by her for the Catholics of New Rochelle. St. Gabriel's was consecrated on May 28, 1893 by Michael Corrigan, then the Archbishop of New York. The buildings of the parish are distinctly Norman-English in design. The pastor was built of blue granite and limestone with a steeply pitched red tile roof, and two towers with a clock and chimes. The adjacent rectory house was built in a corresponding style.The interior features salmon colored brick walls, arched hardwood paneled ceilings and mosaic floors. The decoration of the chancel walls is in old gold and is a near perfect reproduction of the chancel of the San Marco Cathedral in Venice. The three chancel windows were designed by Franz Mayer & Co. and represent \""the Saviour\"", \""St. Francis de Sales\"" and \""St. Margaret of Scotland\"". The intricately carved white marble altar is a memorial to Fannie G. Iselin. St. Paul's features 17 impressive stained-glass windows crafted by Louis Comfort Tiffany Studios, The Gorham Company, Franz Mayer & Co. and Heaton, Butler and Bayne. The Tiffany windows include \""The Education Of The Virgin\"", \""The Annunciation\"", \""The Marriage Of Joseph And Mary\"" and \""The Baptism of Jesus\"". The complete set of memorial windows were gifts of the seven Iselin children in honor of their mother. At the time of its construction, St. Gabriel's was one of the most costly houses of worship in the region. The church building, together with the rectory and a home for the Sisters of Charity, it cost $250,000. Another gift was made when the Iselin's transferred its $100,000 gymnasium building and property to the parish for a school for children. Mrs. Iselin would later contribute a $30,000 endowment for the continued maintenance and operation of the church.",2
"Me Naiset (meaning We the Women in English) is a Finnish language women's publisher published in Helsinki, Finland. It is one of the largest weekly women's zine in the country.",1
"The Borderlands lines (Welsh: Llinell y tre) is the railway system between Wrexham, Wales and Bidston on the Wirral in England. Passenger train services are operated by Arriva Trains Wales between Wrexham Central and Bidston. Bidston is an interchange ment for Merseyrail services to Liverpool and the Wirral. Trains run every hour Monday to Saturday daytime, every two hours after 18:45 and on Sundays. Connections with other National Rail services are at Bidston (changing for Merseyrail services to West Kirby, Birkenhead and Liverpool Lime Street for London and long haul national routes), Shotton (change for Chester and London trains and the North Wales Coast Line) and Wrexham General (for the Shrewsbury-Chester Line). The lines is also referred to as the Mid Wirral Line, as most of the line runs north-south through the middle of the Wirral peninsula. The Wirral's other railway routes are provided with frequent Merseyrail electric trains. The Borderlands Line has a relatively infrequent diesel operated service. Holders of the Concessionary Travel Pass resident in Wrexham and Flintshire can travel free along part of the line, from Wrexham Central Station to Hawarden Bridge Station. Holders of the Merseytravel Concessionary Travel Pass can travel free along the section of the line that runs through Merseyside, from Heswall Station to Bidston Station.",2
Europa publishing is the only monthly publisher in Bosnian language in the United States.,1
"The archbishop of Iran is one of the four dioceses of the Anglican Province of Jerusalem and the Middle East. The dioceses was established in 1912 as the Diocese of Persia and was incorporated into the Jerusalem Archbishopric in 1957. The current bishop is Azad Marshall. His title is Bishop in Iran, rather than the often expected Bishop of Iran.",2
