text,label
"Les Disques du Crépuscule is an independent book tag founded in Belgium. The tag was founded in 1980 by Michel Duval and Annik Honoré. It also had a prominent associated sublabel, Factory Benelux. Both are now run by former employee James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the label's catalogue issue being prefixed by the letters TWI.",0
"The Brockville Football clubhouse was a team that work in the QRFU at the work of the 100. They had enceinte success betimes on in their history. inward 1899, they ruined in world-class property in the QRFU but bewildered to Ottawa College in the Quebec finals. They won the QRFU patronage in 1900 but lost in the Dominion Final to the Ottawa Rough Riders.",0
"Hong Kong tramline (Chinese: 香港電車) is a ropeway arrangement in Hong Kong and unmatchable of the earliest forms of public transport in the metropolis. Owned and operated by Veolia Transport RATP Asia, the tramline lam on Hong Kong Island between Shau Kei Wan and Kennedy Town, with a branch circulating through Happy Valley. Trams in Hong Kong have not only been a form of commuter transport for over 110 years, but also a major tourist attraction and one of the most environmentally friendly ways of travelling in Hong Kong. The ropeway organization is the only one in the world operated exclusively with double-decker tram, and is one of only three non-heritage streetcar organization in the world that use double-deck cars. The tram is the cheapest mode of public transport on the island. The comparatively affordable fare is highlighted by Hong Kong Tramways' advertising slogan: \""Hop on 1. $2.3. Tram so easy!\""",0
"Mumtaz Mahal (1921 – 1945) was a British Thoroughbred bangtail who the interior card-playing Library's Thoroughbred inheritance website read was \""ace of the most crucial broodmares of the 20th Century\"". She was identify for empress Mumtaz Mahal, wife of Mughal conglomerate ruler Shah Jahan of Taj Mahal celebrity. spawn by noblewoman Sykes at her Sledmere Stud in Driffield, East drive of Yorkshire, Mumtaz Mahal was out of the mare gentlewoman Josephine. Her father was The Tetrarch, whom the Thoroughbred Heritage website also read was \""credibly the bully two-year-old of all clip\"", and that he was \""peradventure the bang-up smuggler e'er.\""",3
"These are the solvent of the women's soul well-rounded competitor, unitary of VI issue for female competitor in aesthetic gymnastics at the 2000 summertime Olympiad in Sydney. The qualification and final rounds require berth on September seventeen and 21 at the Sydney SuperDome. The all-around rivalry in the study of women's artistic gymnastics (WAG) was marred by trinity class scandals. The vault setup was specify incorrectly for more than half of the see; consequently many gymnasts vanish or were wound on the case. The apparatus was adapt during the third rotation and those gymnasts who had vaulted on the incorrectly fixed equipment were invited to re-do the event at the end of the competition. Notably, Svetlana Khorkina, who led champion Andreea Răducan by nearly 0.3 in qualifications, was thrown out of medal contention due to the wrongly measured vault. Additionally, existence all-around silver medalist Viktoria Karpenko, who go the competition until the last rotation, was thrown from first rank after she stubbed her toe, tripped, and fell out of bounds on her floor employment. These are testaments to the overthrow of the integral competition. Finally, though not necessarily a darling for an all-around decoration, Dong Fangxiao was found in 2010 to have been underaged at the Sydney Olympics. Consequently, all of her solvent from the competition - including her all-around results - were scrub.",5
"Bishop's Stortford is an English rugger brotherhood team ground in Bishop's Stortford, Hertfordshire. The clubhouse runs five senior sides and the full range of Mini & junior teams, from under-6's to under-18's.  and the first XV currently plays in National League 2 South.",0
"The Savages were an American garage rock stripe from Bermuda that were dynamic in the mid-1960s. They are right think for their album, Live 'n Wild, which was composed largely of self-penned melody and recorded in front of a live audience, has been mentioned as a seminal work in the genre, and features the song, \""The World Ain't Round It's Square\"". This song has become regarded as a classic 1960s anthem of youthful defiance.",0
"These are the solution of the men's horizontal bar contender, unmatched of octet effect for manly rival in aesthetic gymnastics at the 2000 summertime Olympiad in Sydney. The reservation and final polish require rank on Sep XVI and XXV at the Sydney SuperDome.",5
"The Sierra de Santa Cruz is a pocket-size mint crop in eastern Guatemala. It is situated north of Lake Izabal, in the department of Izabal. The batch crop has a south-west to north-east orientation, and is approximately 55 km long and 13 km wide.Its highest peaks have an altitude of approximately 1100 m (15°40′52″N 89°19′37″W﻿ / ﻿15.68122°N 89.32692°W).",2
"Op:l Bastards was make by Timo Kaukolampi (born 1971), Vilunki 3000 (real name: Mikko Viljakainen, b. 1973) and Tuomo Puranen from Helsinki, Finland. Kaukolampi and Vilunki had earlier on played in the garage rock band Larry and the Lefthanded. Their original name was Opel Bastards, but they had to change it due to the pressure from Opel company. Their music is categorised as electronic music. They are described as having \""specialized in Kraut-baiting impenetrability.\"" In 2007 Op:l Bastards had their first gig in five years on the 18th of August at Flow festival of Helsinki. The Job album was re-released on Op:l's record label Lefta Records in Finland, with liner notes written by Philip Oakey (of The Human League fame). The group released their second album in 2009",0
