original_text,perturbed_text,label
"The [[Canal]] Latéral à la Loire was [[constructed]] between 1827 and 1838 to [[connect]] the [[Canal]] [[de]] Briare at Briare and the [[Canal]] du [[Centre]] at Digoin, a [[distance]] of 196 km. It replaced the [[use]] of the River Loire which had reliability problems [[arising]] from winter [[floods]] and summer [[droughts]]. Aqueducts were [[used]] to cross the River Allier at Le Guétin (in the commune of Cuffy) and the River Loire at Digoin, but because of the extreme [[length]] [[required]], [[one]] was not [[built]] to [[cross]] the Loire River at Briare until 1896 when the Briare aqueduct was [[constructed]].","The [[duct]] Latéral à la Loire was [[manufacture]] between 1827 and 1838 to [[associate]] the [[duct]] [[Delaware]] Briare at Briare and the [[duct]] du [[concentrate]] at Digoin, a [[outdistance]] of 196 km. It replaced the [[employ]] of the River Loire which had reliability problems [[rebel]] from winter [[swamp]] and summer [[drouth]]. Aqueducts were [[employ]] to cross the River Allier at Le Guétin (in the commune of Cuffy) and the River Loire at Digoin, but because of the extreme [[duration]] [[needful]], [[unrivaled]] was not [[make]] to [[thwartwise]] the Loire River at Briare until 1896 when the Briare aqueduct was [[manufacture]].",2
"Les Disques du Crépuscule is an independent [[record]] [[label]] founded in Belgium. The [[label]] was founded in 1980 by Michel Duval and Annik Honoré. It also had a prominent associated sublabel, Factory Benelux. Both are now run by former employee James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the label's catalogue [[numbers]] being prefixed by the letters TWI.","Les Disques du Crépuscule is an independent [[book]] [[tag]] founded in Belgium. The [[tag]] was founded in 1980 by Michel Duval and Annik Honoré. It also had a prominent associated sublabel, Factory Benelux. Both are now run by former employee James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the label's catalogue [[issue]] being prefixed by the letters TWI.",0
"The Brockville Football [[Club]] was a team that [[played]] in the QRFU at the [[turn]] of the [[century]]. They had [[great]] success [[early]] on in their history. [[In]] 1899, they [[finished]] in [[first]] [[place]] in the QRFU but [[lost]] to Ottawa College in the Quebec finals. They won the QRFU [[Championship]] in 1900 but lost in the Dominion Final to the Ottawa Rough Riders.","The Brockville Football [[clubhouse]] was a team that [[work]] in the QRFU at the [[work]] of the [[100]]. They had [[enceinte]] success [[betimes]] on in their history. [[inward]] 1899, they [[ruined]] in [[world-class]] [[property]] in the QRFU but [[bewildered]] to Ottawa College in the Quebec finals. They won the QRFU [[patronage]] in 1900 but lost in the Dominion Final to the Ottawa Rough Riders.",0
"The [[Texas]] river cooter (Pseudemys texana) is a [[species]] of freshwater [[turtle]] native to creeks, rivers, and lakes of the US [[state]] of Texas. It is [[found]] in the river [[basins]] of the [[Colorado]], Brazos, Guadalupe, and San Antonio [[Rivers]]. It is [[one]] of two [[species]] of cooter [[native]] to the [[state]], the other being the Eastern River Cooter.","The [[TX]] river cooter (Pseudemys texana) is a [[coinage]] of freshwater [[capsize]] native to creeks, rivers, and lakes of the US [[commonwealth]] of Texas. It is [[rule]] in the river [[washstand]] of the [[CO]], Brazos, Guadalupe, and San Antonio [[river]]. It is [[unity]] of two [[mintage]] of cooter [[aboriginal]] to the [[land]], the other being the Eastern River Cooter.",3
"Hong Kong [[Tramways]] (Chinese: 香港電車) is a [[tram]] [[system]] in Hong Kong and [[one]] of the earliest forms of public transport in the metropolis. Owned and operated by Veolia Transport RATP Asia, the [[tramway]] [[runs]] on Hong Kong Island between Shau Kei Wan and Kennedy Town, with a branch circulating through Happy Valley. Trams in Hong Kong have not only been a form of commuter transport for over 110 years, but also a major tourist attraction and one of the most environmentally friendly ways of travelling in Hong Kong. The [[tram]] [[system]] is the only one in the world operated exclusively with double-decker [[trams]], and is one of only three non-heritage [[tram]] [[systems]] in the world that use double-deck cars. The tram is the cheapest mode of public transport on the island. The comparatively affordable fare is highlighted by Hong Kong Tramways' advertising slogan: \""Hop on 1. $2.3. Tram so easy!\""","Hong Kong [[tramline]] (Chinese: 香港電車) is a [[ropeway]] [[arrangement]] in Hong Kong and [[unmatchable]] of the earliest forms of public transport in the metropolis. Owned and operated by Veolia Transport RATP Asia, the [[tramline]] [[lam]] on Hong Kong Island between Shau Kei Wan and Kennedy Town, with a branch circulating through Happy Valley. Trams in Hong Kong have not only been a form of commuter transport for over 110 years, but also a major tourist attraction and one of the most environmentally friendly ways of travelling in Hong Kong. The [[ropeway]] [[organization]] is the only one in the world operated exclusively with double-decker [[tram]], and is one of only three non-heritage [[streetcar]] [[organization]] in the world that use double-deck cars. The tram is the cheapest mode of public transport on the island. The comparatively affordable fare is highlighted by Hong Kong Tramways' advertising slogan: \""Hop on 1. $2.3. Tram so easy!\""",0
"Mumtaz Mahal (1921 – 1945) was a British Thoroughbred [[racehorse]] who the [[National]] [[Sporting]] Library's Thoroughbred [[Heritage]] website [[says]] was \""[[one]] of the most [[important]] broodmares of the 20th Century\"". She was [[named]] for empress Mumtaz Mahal, wife of Mughal [[Empire]] ruler Shah Jahan of Taj Mahal [[fame]]. [[Bred]] by [[Lady]] Sykes at her Sledmere Stud in Driffield, East [[Riding]] of Yorkshire, Mumtaz Mahal was out of the mare [[Lady]] Josephine. Her [[sire]] was The Tetrarch, whom the Thoroughbred Heritage website also [[said]] was \""[[probably]] the [[greatest]] two-year-old of all [[time]]\"", and that he was \""[[possibly]] the [[greatest]] [[runner]] [[ever]].\""","Mumtaz Mahal (1921 – 1945) was a British Thoroughbred [[bangtail]] who the [[interior]] [[card-playing]] Library's Thoroughbred [[inheritance]] website [[read]] was \""[[ace]] of the most [[crucial]] broodmares of the 20th Century\"". She was [[identify]] for empress Mumtaz Mahal, wife of Mughal [[conglomerate]] ruler Shah Jahan of Taj Mahal [[celebrity]]. [[spawn]] by [[noblewoman]] Sykes at her Sledmere Stud in Driffield, East [[drive]] of Yorkshire, Mumtaz Mahal was out of the mare [[gentlewoman]] Josephine. Her [[father]] was The Tetrarch, whom the Thoroughbred Heritage website also [[read]] was \""[[credibly]] the [[bully]] two-year-old of all [[clip]]\"", and that he was \""[[peradventure]] the [[bang-up]] [[smuggler]] [[e'er]].\""",3
"These are the [[results]] of the women's [[individual]] [[all-around]] [[competition]], [[one]] of [[six]] [[events]] for female [[competitors]] in [[artistic]] gymnastics at the 2000 [[Summer]] [[Olympics]] in Sydney. The qualification and final rounds [[took]] [[place]] on September [[17]] and 21 at the Sydney SuperDome. The all-around [[competition]] in the [[discipline]] of women's artistic gymnastics (WAG) was marred by [[three]] [[separate]] scandals. The vault [[apparatus]] was [[set]] incorrectly for more than half of the [[meet]]; consequently many gymnasts [[fell]] or were [[injured]] on the [[event]]. The apparatus was [[adjusted]] during the third rotation and those gymnasts who had vaulted on the incorrectly [[set]] equipment were invited to re-do the event at the end of the competition. Notably, Svetlana Khorkina, who led champion Andreea Răducan by nearly 0.3 in qualifications, was thrown out of medal contention due to the wrongly measured vault. Additionally, [[world]] all-around silver medalist Viktoria Karpenko, who [[led]] the competition until the last rotation, was thrown from first [[place]] after she stubbed her toe, tripped, and fell out of bounds on her floor [[exercise]]. These are testaments to the [[upset]] of the [[entire]] competition. Finally, though not necessarily a [[favorite]] for an all-around [[medal]], Dong Fangxiao was found in 2010 to have been underaged at the Sydney Olympics. Consequently, all of her [[results]] from the competition - including her all-around results - were [[cancelled]].","These are the [[solvent]] of the women's [[soul]] [[well-rounded]] [[competitor]], [[unitary]] of [[VI]] [[issue]] for female [[competitor]] in [[aesthetic]] gymnastics at the 2000 [[summertime]] [[Olympiad]] in Sydney. The qualification and final rounds [[require]] [[berth]] on September [[seventeen]] and 21 at the Sydney SuperDome. The all-around [[rivalry]] in the [[study]] of women's artistic gymnastics (WAG) was marred by [[trinity]] [[class]] scandals. The vault [[setup]] was [[specify]] incorrectly for more than half of the [[see]]; consequently many gymnasts [[vanish]] or were [[wound]] on the [[case]]. The apparatus was [[adapt]] during the third rotation and those gymnasts who had vaulted on the incorrectly [[fixed]] equipment were invited to re-do the event at the end of the competition. Notably, Svetlana Khorkina, who led champion Andreea Răducan by nearly 0.3 in qualifications, was thrown out of medal contention due to the wrongly measured vault. Additionally, [[existence]] all-around silver medalist Viktoria Karpenko, who [[go]] the competition until the last rotation, was thrown from first [[rank]] after she stubbed her toe, tripped, and fell out of bounds on her floor [[employment]]. These are testaments to the [[overthrow]] of the [[integral]] competition. Finally, though not necessarily a [[darling]] for an all-around [[decoration]], Dong Fangxiao was found in 2010 to have been underaged at the Sydney Olympics. Consequently, all of her [[solvent]] from the competition - including her all-around results - were [[scrub]].",5
"Bishop's Stortford is an English [[rugby]] [[union]] team [[based]] in Bishop's Stortford, Hertfordshire. The [[club]] runs five senior sides and the full range of Mini & junior teams, from under-6's to under-18's.  and the first XV currently plays in National League 2 South.","Bishop's Stortford is an English [[rugger]] [[brotherhood]] team [[ground]] in Bishop's Stortford, Hertfordshire. The [[clubhouse]] runs five senior sides and the full range of Mini & junior teams, from under-6's to under-18's.  and the first XV currently plays in National League 2 South.",0
"The Savages were an American garage rock [[band]] from Bermuda that were [[active]] in the mid-1960s. They are [[best]] [[remembered]] for their album, Live 'n Wild, which was composed largely of self-penned [[tunes]] and recorded in front of a live audience, has been mentioned as a seminal work in the genre, and features the song, \""The World Ain't Round It's Square\"". This song has become regarded as a classic 1960s anthem of youthful defiance.","The Savages were an American garage rock [[stripe]] from Bermuda that were [[dynamic]] in the mid-1960s. They are [[right]] [[think]] for their album, Live 'n Wild, which was composed largely of self-penned [[melody]] and recorded in front of a live audience, has been mentioned as a seminal work in the genre, and features the song, \""The World Ain't Round It's Square\"". This song has become regarded as a classic 1960s anthem of youthful defiance.",0
"These are the [[results]] of the men's horizontal bar [[competition]], [[one]] of [[eight]] [[events]] for [[male]] [[competitors]] in [[artistic]] gymnastics at the 2000 [[Summer]] [[Olympics]] in Sydney. The [[qualification]] and final [[rounds]] [[took]] [[place]] on [[September]] [[16]] and [[25]] at the Sydney SuperDome.","These are the [[solution]] of the men's horizontal bar [[contender]], [[unmatched]] of [[octet]] [[effect]] for [[manly]] [[rival]] in [[aesthetic]] gymnastics at the 2000 [[summertime]] [[Olympiad]] in Sydney. The [[reservation]] and final [[polish]] [[require]] [[rank]] on [[Sep]] [[XVI]] and [[XXV]] at the Sydney SuperDome.",5
